Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AALR3;06/06/2023;11:20:00;23,17;23,17;23,17;23,17;4.634,00;200
AALR3;06/06/2023;11:15:00;23,17;23,19;23,16;23,17;69.494,00;3.000
AALR3;06/06/2023;11:10:00;23,19;23,19;23,18;23,18;13.912,00;600
AALR3;06/06/2023;11:05:00;23,19;23,21;23,19;23,21;18.559,00;800
AALR3;06/06/2023;11:00:00;23,19;23,21;23,19;23,21;34.793,00;1.500
AALR3;06/06/2023;10:55:00;23,21;23,21;23,20;23,20;13.924,00;600
AALR3;06/06/2023;10:50:00;23,18;23,19;23,18;23,19;13.911,00;600
AALR3;06/06/2023;10:45:00;23,21;23,23;23,19;23,19;25.525,00;1.100
AALR3;06/06/2023;10:40:00;23,23;23,23;23,21;23,21;11.610,00;500
AALR3;06/06/2023;10:35:00;23,25;23,25;23,22;23,25;13.941,00;600
AALR3;06/06/2023;10:30:00;23,25;23,30;23,25;23,27;90.821,00;3.900
AALR3;06/06/2023;10:25:00;23,22;23,24;23,22;23,24;53.408,00;2.300
AALR3;06/06/2023;10:20:00;23,21;23,21;23,21;23,21;2.321,00;100
AALR3;06/06/2023;10:10:00;23,24;23,28;23,24;23,25;6.977,00;300
AALR3;06/06/2023;10:05:00;23,13;23,21;23,13;23,21;6.947,00;300
AALR3;06/06/2023;10:00:00;23,08;23,12;23,01;23,12;20.751,00;900
AALR3;05/06/2023;16:50:00;23,20;23,20;23,15;23,15;1.317.308,00;56.900
AALR3;05/06/2023;16:45:00;23,21;23,21;23,18;23,18;13.918,00;600
AALR3;05/06/2023;16:40:00;23,20;23,22;23,16;23,19;171.597,00;7.400
AALR3;05/06/2023;16:35:00;23,18;23,20;23,18;23,19;18.554,00;800
AALR3;05/06/2023;16:30:00;23,18;23,24;23,18;23,19;41.777,00;1.800
AALR3;05/06/2023;16:25:00;23,20;23,21;23,18;23,20;27.834,00;1.200
AALR3;05/06/2023;16:20:00;23,14;23,20;23,14;23,20;27.811,00;1.200
AALR3;05/06/2023;16:15:00;23,10;23,14;23,10;23,14;39.299,00;1.700
AALR3;05/06/2023;16:10:00;23,11;23,12;23,10;23,12;13.866,00;600
AALR3;05/06/2023;16:05:00;23,11;23,11;23,10;23,10;11.553,00;500
AALR3;05/06/2023;16:00:00;23,09;23,11;23,09;23,10;9.241,00;400
AALR3;05/06/2023;15:55:00;23,10;23,10;23,10;23,10;6.930,00;300
AALR3;05/06/2023;15:50:00;23,11;23,11;23,09;23,09;9.240,00;400
AALR3;05/06/2023;15:45:00;23,12;23,13;23,11;23,12;11.559,00;500
AALR3;05/06/2023;15:40:00;23,09;23,12;23,09;23,12;11.550,00;500
AALR3;05/06/2023;15:35:00;22,99;23,09;22,99;23,08;320.714,00;13.900
AALR3;05/06/2023;15:30:00;22,98;23,00;22,98;23,00;18.394,00;800
AALR3;05/06/2023;15:25:00;23,00;23,02;22,99;23,01;32.208,00;1.400
AALR3;05/06/2023;15:20:00;22,96;23,00;22,95;23,00;66.635,00;2.900
AALR3;05/06/2023;15:15:00;22,94;22,95;22,93;22,93;11.470,00;500
AALR3;05/06/2023;15:10:00;22,95;22,95;22,93;22,95;6.883,00;300
AALR3;05/06/2023;15:05:00;22,96;22,97;22,93;22,95;18.364,00;800
AALR3;05/06/2023;15:00:00;22,89;22,97;22,89;22,96;45.891,00;2.000
AALR3;05/06/2023;14:55:00;22,89;22,91;22,88;22,90;18.315,00;800
AALR3;05/06/2023;14:50:00;22,83;22,89;22,83;22,88;150.936,00;6.600
AALR3;05/06/2023;14:45:00;22,81;22,83;22,81;22,83;41.079,00;1.800
AALR3;05/06/2023;14:40:00;22,81;22,83;22,81;22,82;6.846,00;300
AALR3;05/06/2023;14:35:00;22,82;22,82;22,80;22,81;15.967,00;700
AALR3;05/06/2023;14:30:00;22,81;22,82;22,81;22,82;6.844,00;300
AALR3;05/06/2023;14:25:00;22,81;22,82;22,81;22,81;6.844,00;300
AALR3;05/06/2023;14:20:00;22,81;22,82;22,81;22,82;9.125,00;400
