Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ABCB4;16/06/2023;17:30:00;17,69;17,69;17,61;17,61;19.438,00;1.100
ABCB4;16/06/2023;16:45:00;17,59;17,69;17,57;17,69;3.498.762,00;197.900
ABCB4;16/06/2023;16:40:00;17,63;17,63;17,57;17,59;475.092,00;27.000
ABCB4;16/06/2023;16:35:00;17,59;17,64;17,58;17,64;283.369,00;16.100
ABCB4;16/06/2023;16:30:00;17,59;17,63;17,58;17,59;232.347,00;13.200
ABCB4;16/06/2023;16:25:00;17,59;17,61;17,58;17,58;759.689,00;43.200
ABCB4;16/06/2023;16:20:00;17,60;17,63;17,58;17,59;160.180,00;9.100
ABCB4;16/06/2023;16:15:00;17,61;17,62;17,58;17,59;142.570,00;8.100
ABCB4;16/06/2023;16:10:00;17,58;17,61;17,58;17,61;47.519,00;2.700
ABCB4;16/06/2023;16:05:00;17,59;17,59;17,56;17,58;135.308,00;7.700
ABCB4;16/06/2023;16:00:00;17,62;17,62;17,59;17,59;139.110,00;7.900
ABCB4;16/06/2023;15:55:00;17,60;17,62;17,59;17,61;112.676,00;6.400
ABCB4;16/06/2023;15:50:00;17,61;17,62;17,60;17,60;68.669,00;3.900
ABCB4;16/06/2023;15:45:00;17,62;17,62;17,60;17,60;251.709,00;14.300
ABCB4;16/06/2023;15:40:00;17,63;17,64;17,60;17,61;285.335,00;16.200
ABCB4;16/06/2023;15:35:00;17,67;17,67;17,63;17,63;120.022,00;6.800
ABCB4;16/06/2023;15:30:00;17,67;17,71;17,67;17,67;288.292,00;16.300
ABCB4;16/06/2023;15:25:00;17,68;17,68;17,66;17,67;24.740,00;1.400
ABCB4;16/06/2023;15:20:00;17,68;17,71;17,68;17,68;76.070,00;4.300
ABCB4;16/06/2023;15:15:00;17,68;17,69;17,67;17,67;67.178,00;3.800
ABCB4;16/06/2023;15:10:00;17,68;17,69;17,68;17,69;56.590,00;3.200
ABCB4;16/06/2023;15:05:00;17,67;17,69;17,66;17,68;79.539,00;4.500
ABCB4;16/06/2023;15:00:00;17,66;17,67;17,65;17,67;52.993,00;3.000
ABCB4;16/06/2023;14:55:00;17,68;17,68;17,64;17,66;157.170,00;8.900
ABCB4;16/06/2023;14:50:00;17,69;17,70;17,69;17,69;83.153,00;4.700
ABCB4;16/06/2023;14:45:00;17,69;17,70;17,69;17,70;31.852,00;1.800
ABCB4;16/06/2023;14:40:00;17,69;17,70;17,69;17,69;44.226,00;2.500
ABCB4;16/06/2023;14:35:00;17,68;17,70;17,67;17,69;134.385,00;7.600
ABCB4;16/06/2023;14:30:00;17,67;17,68;17,65;17,68;72.449,00;4.100
