Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ABEV3;16/06/2023;17:30:00;15,08;15,20;15,01;15,20;1.756.454,00;116.200
ABEV3;16/06/2023;16:45:00;15,09;15,10;15,05;15,07;340.330.393,00;22.583.200
ABEV3;16/06/2023;16:40:00;15,09;15,10;15,08;15,08;8.744.974,00;579.500
ABEV3;16/06/2023;16:35:00;15,10;15,13;15,09;15,10;8.041.130,00;532.400
ABEV3;16/06/2023;16:30:00;15,10;15,11;15,08;15,10;7.477.642,00;495.300
ABEV3;16/06/2023;16:25:00;15,10;15,11;15,09;15,11;9.388.165,00;621.600
ABEV3;16/06/2023;16:20:00;15,10;15,11;15,07;15,09;8.071.315,00;534.900
ABEV3;16/06/2023;16:15:00;15,10;15,11;15,08;15,10;5.349.316,00;354.300
ABEV3;16/06/2023;16:10:00;15,10;15,11;15,08;15,10;5.017.049,00;332.400
ABEV3;16/06/2023;16:05:00;15,11;15,11;15,08;15,11;8.590.230,00;569.100
ABEV3;16/06/2023;16:00:00;15,09;15,11;15,07;15,11;7.047.233,00;467.100
ABEV3;16/06/2023;15:55:00;15,10;15,11;15,08;15,09;4.330.422,00;286.900
ABEV3;16/06/2023;15:50:00;15,14;15,14;15,10;15,11;6.155.882,00;406.900
ABEV3;16/06/2023;15:45:00;15,14;15,15;15,12;15,13;6.202.414,00;409.900
ABEV3;16/06/2023;15:40:00;15,15;15,15;15,13;15,15;5.669.069,00;374.400
ABEV3;16/06/2023;15:35:00;15,16;15,17;15,14;15,14;5.960.818,00;393.500
ABEV3;16/06/2023;15:30:00;15,12;15,17;15,11;15,17;5.596.539,00;369.600
ABEV3;16/06/2023;15:25:00;15,11;15,12;15,11;15,12;2.532.190,00;167.500
ABEV3;16/06/2023;15:20:00;15,12;15,13;15,11;15,12;1.726.790,00;114.200
ABEV3;16/06/2023;15:15:00;15,13;15,14;15,12;15,13;1.723.150,00;113.900
ABEV3;16/06/2023;15:10:00;15,11;15,14;15,09;15,14;17.648.806,00;1.168.400
ABEV3;16/06/2023;15:05:00;15,12;15,13;15,09;15,11;5.214.324,00;345.100
ABEV3;16/06/2023;15:00:00;15,16;15,17;15,12;15,12;2.029.154,00;134.000
ABEV3;16/06/2023;14:55:00;15,16;15,17;15,15;15,17;1.642.481,00;108.300
ABEV3;16/06/2023;14:50:00;15,17;15,17;15,16;15,17;1.290.709,00;85.100
ABEV3;16/06/2023;14:45:00;15,18;15,18;15,16;15,17;2.508.042,00;165.300
ABEV3;16/06/2023;14:40:00;15,19;15,19;15,17;15,19;2.231.298,00;147.000
ABEV3;16/06/2023;14:35:00;15,18;15,19;15,17;15,18;1.691.405,00;111.400
ABEV3;16/06/2023;14:30:00;15,18;15,19;15,17;15,18;2.982.767,00;196.400
ABEV3;16/06/2023;14:25:00;15,20;15,20;15,16;15,18;4.329.411,00;285.200
ABEV3;16/06/2023;14:20:00;15,20;15,21;15,18;15,20;1.344.512,00;88.500
ABEV3;16/06/2023;14:15:00;15,19;15,20;15,18;15,19;1.160.545,00;76.400
ABEV3;16/06/2023;14:10:00;15,19;15,20;15,18;15,18;1.415.812,00;93.200
ABEV3;16/06/2023;14:05:00;15,18;15,20;15,17;15,20;2.531.358,00;166.700
ABEV3;16/06/2023;14:00:00;15,21;15,21;15,18;15,19;1.317.841,00;86.700
ABEV3;16/06/2023;13:55:00;15,19;15,21;15,19;15,20;2.075.195,00;136.500
ABEV3;16/06/2023;13:50:00;15,22;15,22;15,19;15,19;1.657.128,00;109.000
ABEV3;16/06/2023;13:45:00;15,20;15,22;15,20;15,22;3.356.136,00;220.600
ABEV3;16/06/2023;13:40:00;15,20;15,21;15,18;15,21;2.165.731,00;142.500
ABEV3;16/06/2023;13:35:00;15,20;15,20;15,19;15,20;1.343.202,00;88.400
ABEV3;16/06/2023;13:30:00;15,19;15,20;15,18;15,20;3.258.099,00;214.500
ABEV3;16/06/2023;13:25:00;15,20;15,21;15,19;15,19;1.198.008,00;78.800
ABEV3;16/06/2023;13:20:00;15,20;15,21;15,18;15,21;6.436.351,00;423.500
ABEV3;16/06/2023;13:15:00;15,20;15,21;15,18;15,20;3.045.790,00;200.400
ABEV3;16/06/2023;13:10:00;15,21;15,22;15,18;15,19;1.340.006,00;88.200
ABEV3;16/06/2023;13:05:00;15,20;15,22;15,18;15,21;5.462.659,00;359.400
ABEV3;16/06/2023;13:00:00;15,21;15,21;15,19;15,20;1.581.051,00;104.000
ABEV3;16/06/2023;12:55:00;15,21;15,22;15,20;15,21;1.217.056,00;80.000
ABEV3;16/06/2023;12:50:00;15,22;15,23;15,21;15,21;2.061.130,00;135.400
ABEV3;16/06/2023;12:45:00;15,22;15,23;15,21;15,22;1.217.829,00;80.000
ABEV3;16/06/2023;12:40:00;15,24;15,25;15,22;15,23;1.405.947,00;92.300
ABEV3;16/06/2023;12:35:00;15,22;15,26;15,22;15,25;4.845.207,00;317.900
ABEV3;16/06/2023;12:30:00;15,21;15,24;15,20;15,24;3.301.026,00;216.900
ABEV3;16/06/2023;12:25:00;15,21;15,22;15,20;15,21;2.102.206,00;138.200
ABEV3;16/06/2023;12:20:00;15,21;15,23;15,20;15,21;2.796.752,00;183.800
ABEV3;16/06/2023;12:15:00;15,22;15,23;15,21;15,21;1.451.792,00;95.400
ABEV3;16/06/2023;12:10:00;15,22;15,24;15,21;15,22;2.787.484,00;183.100
ABEV3;16/06/2023;12:05:00;15,24;15,24;15,22;15,22;1.116.013,00;73.300
ABEV3;16/06/2023;12:00:00;15,23;15,25;15,23;15,23;1.429.408,00;93.800
ABEV3;16/06/2023;11:55:00;15,20;15,24;15,20;15,24;3.988.910,00;262.200
ABEV3;16/06/2023;11:50:00;15,20;15,22;15,20;15,20;1.443.308,00;94.900
ABEV3;16/06/2023;11:45:00;15,19;15,23;15,19;15,21;3.071.564,00;201.900
ABEV3;16/06/2023;11:40:00;15,19;15,22;15,19;15,20;1.613.128,00;106.100
ABEV3;16/06/2023;11:35:00;15,21;15,21;15,18;15,19;3.654.284,00;240.500
ABEV3;16/06/2023;11:30:00;15,22;15,23;15,20;15,21;2.637.171,00;173.300
ABEV3;16/06/2023;11:25:00;15,20;15,24;15,19;15,22;2.975.589,00;195.500
ABEV3;16/06/2023;11:20:00;15,25;15,26;15,19;15,20;3.467.400,00;227.800
ABEV3;16/06/2023;11:15:00;15,22;15,27;15,22;15,25;3.131.048,00;205.300
