Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AERI3;06/06/2023;11:20:00;1,51;1,51;1,51;1,51;7.097,00;4.700
AERI3;06/06/2023;11:15:00;1,50;1,52;1,50;1,50;151.816,00;100.600
AERI3;06/06/2023;11:10:00;1,51;1,51;1,50;1,51;53.637,00;35.600
AERI3;06/06/2023;11:05:00;1,50;1,51;1,50;1,51;10.399,00;6.900
AERI3;06/06/2023;11:00:00;1,51;1,51;1,50;1,50;45.156,00;30.100
AERI3;06/06/2023;10:55:00;1,51;1,51;1,50;1,51;20.788,00;13.800
AERI3;06/06/2023;10:50:00;1,51;1,51;1,50;1,51;24.497,00;16.300
AERI3;06/06/2023;10:45:00;1,51;1,51;1,50;1,51;10.527,00;7.000
AERI3;06/06/2023;10:40:00;1,51;1,51;1,49;1,50;270.211,00;180.300
AERI3;06/06/2023;10:35:00;1,51;1,51;1,50;1,51;22.317,00;14.800
AERI3;06/06/2023;10:30:00;1,51;1,51;1,50;1,51;278.434,00;184.500
AERI3;06/06/2023;10:25:00;1,51;1,51;1,50;1,51;4.376,00;2.900
AERI3;06/06/2023;10:20:00;1,50;1,51;1,50;1,50;192.601,00;128.400
AERI3;06/06/2023;10:15:00;1,50;1,50;1,49;1,50;69.405,00;46.400
AERI3;06/06/2023;10:10:00;1,50;1,51;1,50;1,50;122.571,00;81.700
AERI3;06/06/2023;10:05:00;1,51;1,51;1,49;1,49;296.625,00;197.700
AERI3;06/06/2023;10:00:00;1,50;1,51;1,50;1,51;68.755,00;45.600
AERI3;05/06/2023;17:30:00;1,50;1,51;1,50;1,51;95.123,00;63.300
AERI3;05/06/2023;16:50:00;1,49;1,51;1,49;1,51;692.329,00;460.300
AERI3;05/06/2023;16:45:00;1,49;1,50;1,49;1,50;126.883,00;85.000
AERI3;05/06/2023;16:40:00;1,49;1,50;1,49;1,49;70.637,00;47.400
AERI3;05/06/2023;16:35:00;1,49;1,50;1,49;1,49;136.536,00;91.600
AERI3;05/06/2023;16:30:00;1,49;1,50;1,49;1,49;78.903,00;52.900
AERI3;05/06/2023;16:25:00;1,49;1,50;1,49;1,49;167.934,00;112.600
AERI3;05/06/2023;16:20:00;1,49;1,50;1,49;1,49;148.753,00;99.800
AERI3;05/06/2023;16:15:00;1,48;1,50;1,48;1,49;244.677,00;164.200
AERI3;05/06/2023;16:10:00;1,48;1,49;1,48;1,48;155.334,00;104.800
AERI3;05/06/2023;16:05:00;1,51;1,52;1,48;1,48;857.487,00;572.900
AERI3;05/06/2023;16:00:00;1,52;1,52;1,51;1,51;47.170,00;31.200
AERI3;05/06/2023;15:55:00;1,52;1,52;1,51;1,52;5.015,00;3.300
AERI3;05/06/2023;15:50:00;1,52;1,52;1,51;1,52;32.225,00;21.300
AERI3;05/06/2023;15:45:00;1,52;1,52;1,51;1,52;20.489,00;13.500
AERI3;05/06/2023;15:40:00;1,52;1,52;1,51;1,52;13.061,00;8.600
AERI3;05/06/2023;15:35:00;1,52;1,52;1,51;1,52;24.783,00;16.400
AERI3;05/06/2023;15:30:00;1,52;1,52;1,51;1,52;16.198,00;10.700
AERI3;05/06/2023;15:25:00;1,52;1,52;1,51;1,52;17.457,00;11.500
AERI3;05/06/2023;15:20:00;1,52;1,52;1,51;1,52;21.869,00;14.400
AERI3;05/06/2023;15:15:00;1,52;1,52;1,51;1,51;12.296,00;8.100
AERI3;05/06/2023;15:10:00;1,52;1,52;1,52;1,52;4.560,00;3.000
AERI3;05/06/2023;15:05:00;1,53;1,53;1,51;1,52;124.523,00;82.000
AERI3;05/06/2023;15:00:00;1,52;1,53;1,52;1,53;92.902,00;61.100
AERI3;05/06/2023;14:55:00;1,52;1,52;1,52;1,52;7.600,00;5.000
AERI3;05/06/2023;14:50:00;1,52;1,52;1,51;1,52;10.310,00;6.800
AERI3;05/06/2023;14:45:00;1,52;1,52;1,51;1,51;11.080,00;7.300
AERI3;05/06/2023;14:40:00;1,52;1,52;1,51;1,52;13.053,00;8.600
AERI3;05/06/2023;14:35:00;1,52;1,52;1,51;1,52;15.922,00;10.500
AERI3;05/06/2023;14:30:00;1,52;1,52;1,51;1,52;31.732,00;20.900
AERI3;05/06/2023;14:25:00;1,52;1,52;1,51;1,52;10.764,00;7.100
AERI3;05/06/2023;14:20:00;1,52;1,52;1,51;1,52;10.174,00;6.700
AERI3;05/06/2023;14:15:00;1,52;1,52;1,51;1,52;8.502,00;5.600
AERI3;05/06/2023;14:10:00;1,52;1,52;1,51;1,52;14.276,00;9.400
AERI3;05/06/2023;14:05:00;1,53;1,53;1,51;1,52;120.117,00;79.100
AERI3;05/06/2023;14:00:00;1,53;1,53;1,52;1,52;12.965,00;8.500
AERI3;05/06/2023;13:55:00;1,53;1,53;1,52;1,53;14.668,00;9.600
AERI3;05/06/2023;13:50:00;1,53;1,53;1,53;1,53;2.601,00;1.700
AERI3;05/06/2023;13:45:00;1,53;1,53;1,53;1,53;4.284,00;2.800
AERI3;05/06/2023;13:40:00;1,52;1,53;1,51;1,53;157.778,00;103.800
AERI3;05/06/2023;13:35:00;1,52;1,52;1,51;1,51;32.481,00;21.400
AERI3;05/06/2023;13:30:00;1,52;1,52;1,52;1,52;13.224,00;8.700
AERI3;05/06/2023;13:25:00;1,51;1,52;1,51;1,52;757,00;500
AERI3;05/06/2023;13:20:00;1,52;1,52;1,51;1,51;4.545,00;3.000
AERI3;05/06/2023;13:15:00;1,51;1,52;1,51;1,52;115.063,00;76.200
AERI3;05/06/2023;13:10:00;1,51;1,51;1,50;1,51;7.398,00;4.900
AERI3;05/06/2023;13:05:00;1,51;1,51;1,51;1,51;5.738,00;3.800
AERI3;05/06/2023;13:00:00;1,51;1,51;1,50;1,51;33.666,00;22.400
AERI3;05/06/2023;12:55:00;1,51;1,51;1,51;1,51;51.189,00;33.900
AERI3;05/06/2023;12:50:00;1,51;1,51;1,50;1,51;7.840,00;5.200
AERI3;05/06/2023;12:45:00;1,51;1,51;1,51;1,51;20.989,00;13.900
AERI3;05/06/2023;12:40:00;1,51;1,51;1,50;1,51;8.898,00;5.900
AERI3;05/06/2023;12:35:00;1,51;1,51;1,50;1,51;6.037,00;4.000
AERI3;05/06/2023;12:30:00;1,51;1,51;1,50;1,51;5.884,00;3.900
AERI3;05/06/2023;12:25:00;1,51;1,51;1,50;1,51;53.390,00;35.500
AERI3;05/06/2023;12:20:00;1,51;1,51;1,50;1,51;7.996,00;5.300
AERI3;05/06/2023;12:15:00;1,51;1,51;1,50;1,51;10.396,00;6.900
AERI3;05/06/2023;12:10:00;1,51;1,51;1,50;1,51;8.134,00;5.400
AERI3;05/06/2023;12:05:00;1,51;1,51;1,50;1,51;6.940,00;4.600
AERI3;05/06/2023;12:00:00;1,51;1,51;1,51;1,51;36.542,00;24.200
AERI3;05/06/2023;11:55:00;1,51;1,51;1,50;1,51;23.701,00;15.700
AERI3;05/06/2023;11:50:00;1,50;1,51;1,50;1,51;236.607,00;156.700
AERI3;05/06/2023;11:45:00;1,51;1,51;1,50;1,50;7.812,00;5.200
AERI3;05/06/2023;11:40:00;1,50;1,51;1,49;1,51;39.488,00;26.400
AERI3;05/06/2023;11:35:00;1,50;1,50;1,49;1,50;111.374,00;74.400
AERI3;05/06/2023;11:30:00;1,50;1,51;1,49;1,50;34.360,00;22.900
AERI3;05/06/2023;11:25:00;1,50;1,51;1,50;1,50;124.053,00;82.700
AERI3;05/06/2023;11:20:00;1,49;1,51;1,49;1,50;31.628,00;21.100
AERI3;05/06/2023;11:15:00;1,50;1,50;1,49;1,49;112.791,00;75.200
AERI3;05/06/2023;11:10:00;1,50;1,51;1,50;1,50;222.903,00;148.600
AERI3;05/06/2023;11:05:00;1,52;1,52;1,50;1,50;70.214,00;46.500
AERI3;05/06/2023;11:00:00;1,51;1,52;1,51;1,51;140.886,00;93.300
AERI3;05/06/2023;10:55:00;1,52;1,52;1,50;1,50;442.245,00;292.900
AERI3;05/06/2023;10:50:00;1,52;1,52;1,51;1,52;26.112,00;17.200
AERI3;05/06/2023;10:45:00;1,52;1,52;1,52;1,52;8.056,00;5.300
AERI3;05/06/2023;10:40:00;1,52;1,52;1,51;1,52;7.890,00;5.200
AERI3;05/06/2023;10:35:00;1,52;1,52;1,51;1,52;9.377,00;6.200
AERI3;05/06/2023;10:30:00;1,52;1,53;1,51;1,52;141.617,00;93.200
AERI3;05/06/2023;10:25:00;1,52;1,53;1,52;1,53;10.343,00;6.800
AERI3;05/06/2023;10:20:00;1,53;1,53;1,52;1,53;7.154,00;4.700
AERI3;05/06/2023;10:15:00;1,54;1,54;1,52;1,53;167.844,00;109.700
AERI3;05/06/2023;10:10:00;1,54;1,54;1,53;1,54;73.418,00;47.800
AERI3;05/06/2023;10:05:00;1,53;1,54;1,53;1,54;49.898,00;32.600
AERI3;05/06/2023;10:00:00;1,51;1,52;1,51;1,52;58.666,00;38.700
AERI3;02/06/2023;17:30:00;1,51;1,53;1,51;1,51;192.801,00;127.000
AERI3;02/06/2023;16:50:00;1,50;1,52;1,50;1,51;406.673,00;269.400
AERI3;02/06/2023;16:45:00;1,50;1,51;1,50;1,51;98.686,00;65.700
AERI3;02/06/2023;16:40:00;1,50;1,51;1,50;1,50;108.163,00;72.000
AERI3;02/06/2023;16:35:00;1,50;1,51;1,50;1,50;187.606,00;124.800
AERI3;02/06/2023;16:30:00;1,51;1,51;1,49;1,50;460.584,00;307.000
AERI3;02/06/2023;16:25:00;1,50;1,51;1,50;1,50;91.277,00;60.800
AERI3;02/06/2023;16:20:00;1,50;1,51;1,50;1,50;93.542,00;62.300
AERI3;02/06/2023;16:15:00;1,51;1,51;1,50;1,50;234.509,00;155.900
AERI3;02/06/2023;16:10:00;1,50;1,51;1,49;1,50;477.994,00;318.700
AERI3;02/06/2023;16:05:00;1,50;1,52;1,50;1,50;503.637,00;333.800
AERI3;02/06/2023;16:00:00;1,53;1,54;1,50;1,50;629.967,00;414.600
AERI3;02/06/2023;15:55:00;1,54;1,54;1,53;1,53;12.909,00;8.400
AERI3;02/06/2023;15:50:00;1,54;1,54;1,53;1,53;20.296,00;13.200
AERI3;02/06/2023;15:45:00;1,54;1,54;1,53;1,54;31.805,00;20.700
AERI3;02/06/2023;15:40:00;1,53;1,54;1,53;1,54;39.996,00;26.100
AERI3;02/06/2023;15:35:00;1,53;1,53;1,52;1,53;57.739,00;37.900
AERI3;02/06/2023;15:30:00;1,54;1,54;1,52;1,53;256.395,00;167.700
AERI3;02/06/2023;15:25:00;1,54;1,54;1,53;1,54;1.844,00;1.200
AERI3;02/06/2023;15:20:00;1,53;1,54;1,52;1,54;160.581,00;105.000
AERI3;02/06/2023;15:15:00;1,52;1,53;1,52;1,53;1.986,00;1.300
AERI3;02/06/2023;15:10:00;1,53;1,53;1,52;1,53;22.551,00;14.800
AERI3;02/06/2023;15:05:00;1,53;1,53;1,53;1,53;3.366,00;2.200
AERI3;02/06/2023;15:00:00;1,53;1,53;1,52;1,53;194.451,00;127.200
AERI3;02/06/2023;14:55:00;1,53;1,54;1,53;1,54;2.614,00;1.700
AERI3;02/06/2023;14:50:00;1,53;1,54;1,53;1,53;153.783,00;100.500
AERI3;02/06/2023;14:45:00;1,54;1,54;1,52;1,53;34.980,00;22.900
AERI3;02/06/2023;14:40:00;1,54;1,54;1,53;1,54;64.012,00;41.800
AERI3;02/06/2023;14:35:00;1,54;1,54;1,53;1,53;3.079,00;2.000
AERI3;02/06/2023;14:30:00;1,53;1,54;1,53;1,53;29.563,00;19.300
AERI3;02/06/2023;14:25:00;1,54;1,54;1,53;1,53;6.126,00;4.000
AERI3;02/06/2023;14:20:00;1,52;1,54;1,52;1,53;235.927,00;154.200
AERI3;02/06/2023;14:15:00;1,53;1,53;1,52;1,52;19.168,00;12.600
