Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AESB3;06/06/2023;11:20:00;12,33;12,33;12,31;12,31;138.062,00;11.200
AESB3;06/06/2023;11:15:00;12,32;12,34;12,32;12,33;115.876,00;9.400
AESB3;06/06/2023;11:10:00;12,31;12,33;12,30;12,32;123.153,00;10.000
AESB3;06/06/2023;11:05:00;12,30;12,34;12,30;12,32;306.946,00;24.900
AESB3;06/06/2023;11:00:00;12,29;12,32;12,29;12,30;120.609,00;9.800
AESB3;06/06/2023;10:55:00;12,29;12,31;12,29;12,30;137.739,00;11.200
AESB3;06/06/2023;10:50:00;12,29;12,30;12,29;12,30;277.826,00;22.600
AESB3;06/06/2023;10:45:00;12,32;12,32;12,29;12,29;425.434,00;34.600
AESB3;06/06/2023;10:40:00;12,32;12,32;12,30;12,32;167.422,00;13.600
AESB3;06/06/2023;10:35:00;12,33;12,33;12,31;12,31;245.137,00;19.900
AESB3;06/06/2023;10:30:00;12,24;12,34;12,24;12,33;1.028.546,00;83.700
AESB3;06/06/2023;10:25:00;12,23;12,25;12,23;12,24;266.784,00;21.800
AESB3;06/06/2023;10:20:00;12,22;12,23;12,21;12,23;173.590,00;14.200
AESB3;06/06/2023;10:15:00;12,24;12,25;12,20;12,23;255.463,00;20.900
AESB3;06/06/2023;10:10:00;12,25;12,25;12,23;12,25;865.969,00;70.700
AESB3;06/06/2023;10:05:00;12,21;12,25;12,21;12,25;748.190,00;61.100
AESB3;06/06/2023;10:00:00;12,18;12,20;12,17;12,20;243.714,00;20.000
AESB3;05/06/2023;17:30:00;12,13;12,15;12,12;12,15;20.630,00;1.700
AESB3;05/06/2023;16:50:00;12,17;12,17;12,13;12,13;1.753.254,00;144.500
AESB3;05/06/2023;16:45:00;12,16;12,17;12,15;12,17;88.769,00;7.300
AESB3;05/06/2023;16:40:00;12,16;12,16;12,15;12,15;27.958,00;2.300
AESB3;05/06/2023;16:35:00;12,16;12,16;12,14;12,15;82.635,00;6.800
AESB3;05/06/2023;16:30:00;12,15;12,16;12,14;12,15;97.223,00;8.000
AESB3;05/06/2023;16:25:00;12,14;12,16;12,14;12,15;133.605,00;11.000
AESB3;05/06/2023;16:20:00;12,14;12,16;12,13;12,14;207.740,00;17.100
AESB3;05/06/2023;16:15:00;12,14;12,15;12,14;12,14;77.701,00;6.400
AESB3;05/06/2023;16:10:00;12,15;12,15;12,14;12,14;54.639,00;4.500
AESB3;05/06/2023;16:05:00;12,14;12,15;12,14;12,14;128.748,00;10.600
AESB3;05/06/2023;16:00:00;12,15;12,16;12,14;12,14;110.543,00;9.100
AESB3;05/06/2023;15:55:00;12,16;12,17;12,15;12,16;113.097,00;9.300
AESB3;05/06/2023;15:50:00;12,16;12,17;12,15;12,16;186.017,00;15.300
AESB3;05/06/2023;15:45:00;12,16;12,17;12,15;12,16;109.445,00;9.000
AESB3;05/06/2023;15:40:00;12,17;12,18;12,16;12,16;91.271,00;7.500
AESB3;05/06/2023;15:35:00;12,18;12,18;12,17;12,17;71.809,00;5.900
AESB3;05/06/2023;15:30:00;12,17;12,18;12,16;12,17;64.502,00;5.300
AESB3;05/06/2023;15:25:00;12,17;12,18;12,16;12,17;96.133,00;7.900
AESB3;05/06/2023;15:20:00;12,16;12,18;12,15;12,17;107.017,00;8.800
AESB3;05/06/2023;15:15:00;12,16;12,17;12,15;12,15;49.836,00;4.100
AESB3;05/06/2023;15:10:00;12,15;12,17;12,15;12,16;72.954,00;6.000
AESB3;05/06/2023;15:05:00;12,17;12,17;12,15;12,15;54.710,00;4.500
AESB3;05/06/2023;15:00:00;12,15;12,18;12,14;12,17;233.534,00;19.200
AESB3;05/06/2023;14:55:00;12,14;12,15;12,14;12,14;97.163,00;8.000
AESB3;05/06/2023;14:50:00;12,14;12,15;12,14;12,14;48.561,00;4.000
AESB3;05/06/2023;14:45:00;12,15;12,16;12,14;12,14;69.254,00;5.700
AESB3;05/06/2023;14:40:00;12,14;12,16;12,14;12,15;63.166,00;5.200
AESB3;05/06/2023;14:35:00;12,14;12,15;12,14;12,14;65.570,00;5.400
AESB3;05/06/2023;14:30:00;12,15;12,15;12,14;12,14;43.716,00;3.600
AESB3;05/06/2023;14:25:00;12,15;12,15;12,15;12,15;48.600,00;4.000
AESB3;05/06/2023;14:20:00;12,15;12,16;12,15;12,15;44.958,00;3.700
AESB3;05/06/2023;14:15:00;12,16;12,17;12,15;12,15;85.113,00;7.000
AESB3;05/06/2023;14:10:00;12,16;12,17;12,15;12,16;66.883,00;5.500
AESB3;05/06/2023;14:05:00;12,15;12,18;12,14;12,17;211.637,00;17.400
AESB3;05/06/2023;14:00:00;12,13;12,19;12,12;12,16;1.050.810,00;86.400
AESB3;05/06/2023;13:55:00;12,13;12,14;12,12;12,13;87.352,00;7.200
AESB3;05/06/2023;13:50:00;12,14;12,15;12,12;12,13;325.137,00;26.800
AESB3;05/06/2023;13:45:00;12,16;12,16;12,14;12,14;106.929,00;8.800
AESB3;05/06/2023;13:40:00;12,15;12,17;12,15;12,16;98.479,00;8.100
AESB3;05/06/2023;13:35:00;12,16;12,16;12,15;12,15;57.123,00;4.700
AESB3;05/06/2023;13:30:00;12,15;12,18;12,15;12,16;136.236,00;11.200
AESB3;05/06/2023;13:25:00;12,16;12,17;12,15;12,15;103.353,00;8.500
AESB3;05/06/2023;13:20:00;12,14;12,17;12,14;12,16;93.587,00;7.700
AESB3;05/06/2023;13:15:00;12,13;12,15;12,12;12,14;111.657,00;9.200
AESB3;05/06/2023;13:10:00;12,12;12,14;12,12;12,12;97.004,00;8.000
AESB3;05/06/2023;13:05:00;12,13;12,14;12,12;12,13;92.195,00;7.600
AESB3;05/06/2023;13:00:00;12,14;12,15;12,12;12,13;156.604,00;12.900
AESB3;05/06/2023;12:55:00;12,13;12,13;12,12;12,13;139.481,00;11.500
AESB3;05/06/2023;12:50:00;12,13;12,14;12,12;12,13;60.650,00;5.000
AESB3;05/06/2023;12:45:00;12,14;12,15;12,13;12,13;115.298,00;9.500
AESB3;05/06/2023;12:40:00;12,16;12,16;12,14;12,14;159.189,00;13.100
AESB3;05/06/2023;12:35:00;12,17;12,17;12,15;12,16;128.923,00;10.600
AESB3;05/06/2023;12:30:00;12,18;12,19;12,17;12,17;92.547,00;7.600
AESB3;05/06/2023;12:25:00;12,18;12,19;12,18;12,18;82.826,00;6.800
AESB3;05/06/2023;12:20:00;12,19;12,20;12,18;12,19;91.424,00;7.500
AESB3;05/06/2023;12:15:00;12,20;12,21;12,19;12,19;79.268,00;6.500
AESB3;05/06/2023;12:10:00;12,20;12,21;12,20;12,21;76.877,00;6.300
AESB3;05/06/2023;12:05:00;12,20;12,22;12,20;12,20;113.546,00;9.300
AESB3;05/06/2023;12:00:00;12,20;12,21;12,20;12,20;95.165,00;7.800
AESB3;05/06/2023;11:55:00;12,22;12,22;12,20;12,20;97.652,00;8.000
AESB3;05/06/2023;11:50:00;12,19;12,23;12,19;12,22;189.306,00;15.500
AESB3;05/06/2023;11:45:00;12,20;12,20;12,19;12,19;108.543,00;8.900
AESB3;05/06/2023;11:40:00;12,14;12,21;12,13;12,20;1.121.856,00;92.100
AESB3;05/06/2023;11:35:00;12,17;12,17;12,13;12,14;290.266,00;23.900
AESB3;05/06/2023;11:30:00;12,18;12,20;12,17;12,18;292.404,00;24.000
AESB3;05/06/2023;11:25:00;12,16;12,18;12,12;12,18;794.951,00;65.400
AESB3;05/06/2023;11:20:00;12,17;12,18;12,15;12,16;479.369,00;39.400
AESB3;05/06/2023;11:15:00;12,19;12,19;12,17;12,17;625.631,00;51.400
AESB3;05/06/2023;11:10:00;12,21;12,21;12,19;12,19;236.682,00;19.400
AESB3;05/06/2023;11:05:00;12,21;12,22;12,21;12,21;123.384,00;10.100
AESB3;05/06/2023;11:00:00;12,20;12,23;12,20;12,21;85.574,00;7.000
AESB3;05/06/2023;10:55:00;12,20;12,23;12,17;12,20;6.529.514,00;535.300
AESB3;05/06/2023;10:50:00;12,14;12,22;12,12;12,20;2.069.186,00;169.900
AESB3;05/06/2023;10:45:00;12,22;12,23;12,13;12,14;1.031.750,00;84.600
AESB3;05/06/2023;10:40:00;12,14;12,22;12,14;12,22;1.263.120,00;103.600
AESB3;05/06/2023;10:35:00;12,14;12,15;12,14;12,15;40.069,00;3.300
AESB3;05/06/2023;10:30:00;12,13;12,15;12,10;12,14;164.825,00;13.600
AESB3;05/06/2023;10:25:00;12,14;12,14;12,12;12,14;265.562,00;21.900
AESB3;05/06/2023;10:20:00;12,17;12,17;12,13;12,13;224.783,00;18.500
AESB3;05/06/2023;10:15:00;12,21;12,21;12,15;12,17;349.489,00;28.700
AESB3;05/06/2023;10:10:00;12,11;12,22;12,09;12,21;896.323,00;73.800
AESB3;05/06/2023;10:05:00;12,14;12,14;12,09;12,11;112.722,00;9.300
AESB3;05/06/2023;10:00:00;12,14;12,16;12,10;12,14;244.891,00;20.200
AESB3;02/06/2023;17:30:00;12,13;12,16;12,13;12,16;27.931,00;2.300
AESB3;02/06/2023;16:50:00;12,19;12,19;12,14;12,14;3.078.535,00;253.500
AESB3;02/06/2023;16:45:00;12,18;12,19;12,17;12,18;287.504,00;23.600
AESB3;02/06/2023;16:40:00;12,20;12,20;12,17;12,18;763.866,00;62.700
