Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AGRO3;06/06/2023;11:20:00;22,79;22,80;22,76;22,76;107.055,00;4.700
AGRO3;06/06/2023;11:15:00;22,79;22,80;22,78;22,80;41.033,00;1.800
AGRO3;06/06/2023;11:10:00;22,80;22,80;22,78;22,78;91.187,00;4.000
AGRO3;06/06/2023;11:05:00;22,79;22,80;22,78;22,80;111.689,00;4.900
AGRO3;06/06/2023;11:00:00;22,83;22,85;22,79;22,79;161.955,00;7.100
AGRO3;06/06/2023;10:55:00;22,84;22,85;22,83;22,85;38.828,00;1.700
AGRO3;06/06/2023;10:50:00;22,86;22,89;22,82;22,82;318.033,00;13.900
AGRO3;06/06/2023;10:45:00;22,84;22,88;22,83;22,85;63.981,00;2.800
AGRO3;06/06/2023;10:40:00;22,79;22,84;22,79;22,83;27.393,00;1.200
AGRO3;06/06/2023;10:35:00;22,75;22,84;22,75;22,82;34.188,00;1.500
AGRO3;06/06/2023;10:30:00;22,73;22,83;22,69;22,75;170.740,00;7.500
AGRO3;06/06/2023;10:25:00;22,70;22,75;22,68;22,73;224.723,00;9.900
AGRO3;06/06/2023;10:20:00;22,72;22,72;22,70;22,71;102.165,00;4.500
AGRO3;06/06/2023;10:15:00;22,79;22,83;22,73;22,76;150.401,00;6.600
AGRO3;06/06/2023;10:10:00;22,80;22,85;22,76;22,76;59.276,00;2.600
AGRO3;06/06/2023;10:05:00;22,80;22,87;22,80;22,80;150.597,00;6.600
AGRO3;06/06/2023;10:00:00;22,70;22,82;22,70;22,82;207.112,00;9.100
AGRO3;05/06/2023;17:30:00;22,70;22,80;22,70;22,70;25.004,00;1.100
AGRO3;05/06/2023;16:50:00;22,73;22,75;22,68;22,68;1.009.733,00;44.500
AGRO3;05/06/2023;16:45:00;22,72;22,74;22,71;22,72;93.179,00;4.100
AGRO3;05/06/2023;16:40:00;22,75;22,78;22,72;22,72;127.389,00;5.600
AGRO3;05/06/2023;16:35:00;22,74;22,75;22,69;22,74;660.795,00;29.100
AGRO3;05/06/2023;16:30:00;22,74;22,75;22,74;22,75;193.373,00;8.500
AGRO3;05/06/2023;16:25:00;22,75;22,75;22,73;22,75;181.920,00;8.000
AGRO3;05/06/2023;16:20:00;22,69;22,75;22,69;22,75;297.448,00;13.100
AGRO3;05/06/2023;16:15:00;22,70;22,70;22,67;22,68;61.255,00;2.700
AGRO3;05/06/2023;16:10:00;22,69;22,70;22,67;22,69;97.567,00;4.300
AGRO3;05/06/2023;16:05:00;22,68;22,70;22,68;22,69;31.765,00;1.400
AGRO3;05/06/2023;16:00:00;22,68;22,70;22,68;22,69;70.330,00;3.100
AGRO3;05/06/2023;15:55:00;22,68;22,70;22,68;22,68;154.323,00;6.800
AGRO3;05/06/2023;15:50:00;22,74;22,74;22,68;22,69;319.983,00;14.100
AGRO3;05/06/2023;15:45:00;22,73;22,75;22,72;22,74;52.294,00;2.300
AGRO3;05/06/2023;15:40:00;22,74;22,75;22,74;22,75;195.638,00;8.600
AGRO3;05/06/2023;15:35:00;22,75;22,77;22,72;22,73;81.913,00;3.600
AGRO3;05/06/2023;15:30:00;22,78;22,78;22,76;22,76;70.588,00;3.100
AGRO3;05/06/2023;15:25:00;22,79;22,83;22,77;22,78;337.443,00;14.800
AGRO3;05/06/2023;15:20:00;22,77;22,79;22,76;22,79;38.719,00;1.700
AGRO3;05/06/2023;15:15:00;22,78;22,79;22,78;22,78;29.615,00;1.300
AGRO3;05/06/2023;15:10:00;22,78;22,80;22,77;22,78;36.459,00;1.600
AGRO3;05/06/2023;15:05:00;22,80;22,80;22,77;22,79;100.305,00;4.400
AGRO3;05/06/2023;15:00:00;22,75;22,80;22,75;22,79;118.424,00;5.200
AGRO3;05/06/2023;14:55:00;22,75;22,75;22,74;22,75;209.293,00;9.200
AGRO3;05/06/2023;14:50:00;22,68;22,75;22,68;22,73;86.358,00;3.800
