Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AGXY3;06/06/2023;11:10:00;5,80;5,80;5,80;5,80;6.380,00;1.100
AGXY3;06/06/2023;11:00:00;5,80;5,80;5,79;5,79;1.738,00;300
AGXY3;06/06/2023;10:55:00;5,79;5,79;5,79;5,79;579,00;100
AGXY3;06/06/2023;10:45:00;5,82;5,82;5,82;5,82;1.164,00;200
AGXY3;06/06/2023;10:40:00;5,82;5,82;5,82;5,82;582,00;100
AGXY3;06/06/2023;10:35:00;5,83;5,83;5,83;5,83;5.830,00;1.000
AGXY3;06/06/2023;10:30:00;5,83;5,83;5,83;5,83;2.915,00;500
AGXY3;06/06/2023;10:20:00;5,80;5,83;5,80;5,83;1.163,00;200
AGXY3;06/06/2023;10:15:00;5,79;5,79;5,77;5,77;19.626,00;3.400
AGXY3;06/06/2023;10:10:00;5,79;5,79;5,79;5,79;579,00;100
AGXY3;06/06/2023;10:05:00;5,78;5,79;5,78;5,79;1.735,00;300
AGXY3;06/06/2023;10:00:00;5,77;5,77;5,77;5,77;4.616,00;800
AGXY3;05/06/2023;17:30:00;5,80;5,80;5,77;5,77;15.032,00;2.600
AGXY3;05/06/2023;16:50:00;5,76;5,76;5,76;5,76;17.856,00;3.100
AGXY3;05/06/2023;16:45:00;5,76;5,78;5,76;5,78;4.619,00;800
AGXY3;05/06/2023;16:40:00;5,73;5,75;5,73;5,75;9.188,00;1.600
AGXY3;05/06/2023;16:35:00;5,70;5,73;5,70;5,73;38.797,00;6.800
AGXY3;05/06/2023;16:30:00;5,70;5,70;5,69;5,70;22.786,00;4.000
AGXY3;05/06/2023;16:25:00;5,71;5,71;5,70;5,70;11.973,00;2.100
AGXY3;05/06/2023;16:15:00;5,74;5,74;5,74;5,74;5.740,00;1.000
AGXY3;05/06/2023;16:10:00;5,70;5,73;5,70;5,73;13.118,00;2.300
AGXY3;05/06/2023;16:05:00;5,78;5,79;5,70;5,70;46.901,00;8.200
AGXY3;05/06/2023;16:00:00;5,78;5,79;5,75;5,79;87.486,00;15.200
AGXY3;05/06/2023;15:55:00;5,82;5,83;5,78;5,78;7.551,00;1.300
AGXY3;05/06/2023;15:50:00;5,78;5,82;5,78;5,82;8.695,00;1.500
AGXY3;05/06/2023;15:45:00;5,80;5,80;5,79;5,80;5.792,00;1.000
AGXY3;05/06/2023;15:40:00;5,81;5,83;5,79;5,80;13.945,00;2.400
AGXY3;05/06/2023;15:35:00;5,78;5,78;5,78;5,78;578,00;100
AGXY3;05/06/2023;15:30:00;5,80;5,80;5,79;5,80;4.638,00;800
AGXY3;05/06/2023;15:25:00;5,79;5,79;5,79;5,79;15.054,00;2.600
AGXY3;05/06/2023;15:15:00;5,76;5,76;5,76;5,76;576,00;100
AGXY3;05/06/2023;15:10:00;5,76;5,76;5,76;5,76;576,00;100
AGXY3;05/06/2023;15:05:00;5,82;5,82;5,75;5,75;92.133,00;16.000
AGXY3;05/06/2023;15:00:00;5,85;5,85;5,85;5,85;585,00;100
AGXY3;05/06/2023;14:55:00;5,85;5,85;5,81;5,81;1.166,00;200
AGXY3;05/06/2023;14:50:00;5,84;5,84;5,84;5,84;584,00;100
AGXY3;05/06/2023;14:45:00;5,91;5,91;5,79;5,83;94.496,00;16.200
AGXY3;05/06/2023;14:35:00;5,91;5,95;5,90;5,90;36.044,00;6.100
AGXY3;05/06/2023;14:30:00;5,96;5,97;5,96;5,97;4.178,00;700
AGXY3;05/06/2023;14:10:00;5,92;5,92;5,92;5,92;592,00;100
AGXY3;05/06/2023;14:05:00;5,96;5,97;5,94;5,97;11.332,00;1.900
AGXY3;05/06/2023;14:00:00;5,95;5,96;5,95;5,95;3.572,00;600
AGXY3;05/06/2023;13:55:00;5,93;5,94;5,93;5,94;1.187,00;200
AGXY3;05/06/2023;13:50:00;5,94;5,94;5,94;5,94;594,00;100
AGXY3;05/06/2023;13:40:00;5,89;5,89;5,89;5,89;589,00;100
AGXY3;05/06/2023;13:25:00;5,93;5,94;5,93;5,94;1.187,00;200
AGXY3;05/06/2023;13:20:00;5,92;5,92;5,92;5,92;592,00;100
AGXY3;05/06/2023;13:15:00;5,92;5,92;5,92;5,92;592,00;100
AGXY3;05/06/2023;13:10:00;5,93;5,93;5,92;5,92;30.787,00;5.200
AGXY3;05/06/2023;13:05:00;5,90;5,93;5,90;5,93;10.038,00;1.700
AGXY3;05/06/2023;13:00:00;5,89;5,90;5,89;5,90;1.179,00;200
AGXY3;05/06/2023;12:55:00;5,89;5,90;5,89;5,90;1.179,00;200
AGXY3;05/06/2023;12:50:00;5,90;5,90;5,90;5,90;590,00;100
AGXY3;05/06/2023;12:45:00;5,89;5,89;5,89;5,89;1.178,00;200
AGXY3;05/06/2023;12:40:00;5,89;5,89;5,89;5,89;589,00;100
AGXY3;05/06/2023;12:35:00;5,88;5,89;5,88;5,89;3.533,00;600
AGXY3;05/06/2023;12:30:00;5,90;5,90;5,89;5,89;1.179,00;200
AGXY3;05/06/2023;12:20:00;5,91;5,91;5,91;5,91;11.820,00;2.000
AGXY3;05/06/2023;12:15:00;5,91;5,91;5,91;5,91;591,00;100
AGXY3;05/06/2023;12:10:00;5,91;5,92;5,88;5,91;15.366,00;2.600
AGXY3;05/06/2023;12:05:00;5,88;5,92;5,88;5,92;1.772,00;300
AGXY3;05/06/2023;12:00:00;5,97;5,97;5,86;5,88;41.199,00;7.000
AGXY3;05/06/2023;11:50:00;5,95;5,95;5,94;5,94;4.754,00;800
AGXY3;05/06/2023;11:45:00;5,92;5,96;5,92;5,96;4.158,00;700
AGXY3;05/06/2023;11:40:00;5,91;5,91;5,91;5,91;591,00;100
AGXY3;05/06/2023;11:35:00;5,92;5,93;5,91;5,91;2.369,00;400
AGXY3;05/06/2023;11:30:00;5,93;5,93;5,93;5,93;593,00;100
