Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ALLD3;16/06/2023;17:30:00;6,92;6,92;6,92;6,92;13.148,00;1.900
ALLD3;16/06/2023;16:45:00;6,92;6,92;6,91;6,92;12.452,00;1.800
ALLD3;16/06/2023;16:40:00;6,97;6,97;6,92;6,92;27.834,00;4.000
ALLD3;16/06/2023;16:35:00;6,98;6,98;6,98;6,98;3.490,00;500
ALLD3;16/06/2023;16:30:00;6,98;6,98;6,98;6,98;2.792,00;400
ALLD3;16/06/2023;16:25:00;6,97;7,00;6,97;7,00;50.196,00;7.200
ALLD3;16/06/2023;16:20:00;7,00;7,00;6,97;6,97;13.272,00;1.900
ALLD3;16/06/2023;16:15:00;6,97;6,99;6,97;6,99;1.396,00;200
ALLD3;16/06/2023;16:10:00;6,99;7,00;6,98;6,98;9.792,00;1.400
ALLD3;16/06/2023;16:05:00;6,97;6,99;6,97;6,99;3.492,00;500
ALLD3;16/06/2023;16:00:00;6,97;7,00;6,97;7,00;2.094,00;300
ALLD3;16/06/2023;15:55:00;6,98;6,98;6,97;6,97;1.395,00;200
ALLD3;16/06/2023;15:50:00;6,97;6,97;6,97;6,97;4.182,00;600
ALLD3;16/06/2023;15:40:00;6,98;6,98;6,98;6,98;1.396,00;200
ALLD3;16/06/2023;15:20:00;6,98;6,98;6,98;6,98;2.094,00;300
ALLD3;16/06/2023;14:55:00;6,98;6,98;6,98;6,98;698,00;100
ALLD3;16/06/2023;14:45:00;6,99;7,00;6,99;7,00;5.593,00;800
ALLD3;16/06/2023;14:35:00;7,00;7,00;7,00;7,00;1.400,00;200
ALLD3;16/06/2023;14:25:00;7,01;7,01;7,01;7,01;2.804,00;400
ALLD3;16/06/2023;14:10:00;7,03;7,03;7,03;7,03;703,00;100
ALLD3;16/06/2023;14:05:00;7,03;7,03;7,03;7,03;7.733,00;1.100
ALLD3;16/06/2023;14:00:00;7,02;7,02;7,01;7,01;1.403,00;200
ALLD3;16/06/2023;13:55:00;6,99;6,99;6,99;6,99;699,00;100
ALLD3;16/06/2023;13:40:00;7,03;7,03;7,03;7,03;7.030,00;1.000
ALLD3;16/06/2023;13:35:00;6,99;7,01;6,99;7,01;4.899,00;700
ALLD3;16/06/2023;13:10:00;7,01;7,01;7,01;7,01;7.010,00;1.000
ALLD3;16/06/2023;12:45:00;7,01;7,01;7,01;7,01;1.402,00;200
ALLD3;16/06/2023;12:40:00;7,01;7,01;6,99;6,99;9.801,00;1.400
ALLD3;16/06/2023;12:35:00;7,02;7,02;7,01;7,01;2.105,00;300
ALLD3;16/06/2023;12:20:00;7,04;7,04;7,03;7,03;1.407,00;200
ALLD3;16/06/2023;12:15:00;7,04;7,04;7,04;7,04;7.040,00;1.000
ALLD3;16/06/2023;11:55:00;7,03;7,04;7,03;7,04;3.516,00;500
ALLD3;16/06/2023;11:40:00;7,00;7,00;7,00;7,00;3.500,00;500
ALLD3;16/06/2023;11:30:00;7,00;7,00;7,00;7,00;16.800,00;2.400
ALLD3;16/06/2023;11:25:00;7,00;7,00;7,00;7,00;2.800,00;400
ALLD3;16/06/2023;11:20:00;7,00;7,00;7,00;7,00;18.900,00;2.700
ALLD3;16/06/2023;11:15:00;7,07;7,07;6,99;7,00;39.280,00;5.600
ALLD3;16/06/2023;11:10:00;7,08;7,08;7,08;7,08;14.160,00;2.000
ALLD3;16/06/2023;11:05:00;7,08;7,08;7,08;7,08;708,00;100
ALLD3;16/06/2023;11:00:00;7,08;7,08;7,08;7,08;708,00;100
ALLD3;16/06/2023;10:50:00;7,06;7,06;7,06;7,06;2.824,00;400
ALLD3;16/06/2023;10:45:00;7,06;7,06;7,06;7,06;3.530,00;500
ALLD3;16/06/2023;10:35:00;7,06;7,06;7,06;7,06;706,00;100
ALLD3;16/06/2023;10:30:00;7,06;7,10;7,06;7,06;2.832,00;400
ALLD3;16/06/2023;10:25:00;7,01;7,05;7,01;7,05;4.226,00;600
ALLD3;16/06/2023;10:20:00;7,04;7,04;7,04;7,04;704,00;100
ALLD3;16/06/2023;10:15:00;6,98;7,04;6,98;7,04;35.898,00;5.100
ALLD3;16/06/2023;10:10:00;7,05;7,05;7,05;7,05;705,00;100
ALLD3;15/06/2023;17:30:00;6,97;7,00;6,97;6,98;15.361,00;2.200
ALLD3;15/06/2023;16:50:00;7,02;7,02;6,97;6,97;97.600,00;14.000
ALLD3;15/06/2023;16:45:00;6,99;6,99;6,98;6,98;13.962,00;2.000
ALLD3;15/06/2023;16:40:00;7,10;7,10;6,99;6,99;263.913,00;37.600
ALLD3;15/06/2023;16:35:00;7,10;7,10;7,10;7,10;2.130,00;300
ALLD3;15/06/2023;16:30:00;7,09;7,10;7,09;7,10;2.837,00;400
ALLD3;15/06/2023;16:25:00;7,15;7,15;7,15;7,15;10.725,00;1.500
ALLD3;15/06/2023;16:20:00;7,11;7,11;7,11;7,11;2.844,00;400
ALLD3;15/06/2023;16:15:00;7,09;7,11;7,07;7,07;24.124,00;3.400
ALLD3;15/06/2023;16:05:00;7,07;7,07;7,07;7,07;707,00;100
ALLD3;15/06/2023;16:00:00;7,06;7,06;7,06;7,06;706,00;100
ALLD3;15/06/2023;15:55:00;7,06;7,06;7,05;7,05;7.756,00;1.100
ALLD3;15/06/2023;15:45:00;7,06;7,06;7,06;7,06;2.118,00;300
ALLD3;15/06/2023;15:40:00;7,06;7,06;7,06;7,06;706,00;100
ALLD3;15/06/2023;15:30:00;7,02;7,08;7,02;7,08;60.594,00;8.600
ALLD3;15/06/2023;15:20:00;7,02;7,02;7,02;7,02;1.404,00;200
ALLD3;15/06/2023;15:10:00;7,04;7,04;7,04;7,04;5.632,00;800
ALLD3;15/06/2023;15:00:00;7,04;7,04;7,04;7,04;53.504,00;7.600
ALLD3;15/06/2023;14:50:00;7,00;7,00;7,00;7,00;700,00;100
ALLD3;15/06/2023;14:35:00;7,02;7,02;7,00;7,00;62.348,00;8.900
ALLD3;15/06/2023;14:30:00;7,05;7,05;7,01;7,01;49.134,00;7.000
ALLD3;15/06/2023;13:50:00;7,07;7,07;7,07;7,07;1.414,00;200
ALLD3;15/06/2023;13:35:00;7,06;7,06;7,04;7,04;2.116,00;300
