Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ALPA3;16/06/2023;16:05:00;11,66;11,66;11,16;11,16;8.978,00;800
ALPA3;16/06/2023;13:45:00;11,56;11,56;11,56;11,56;1.156,00;100
ALPA3;16/06/2023;13:40:00;11,60;11,60;11,60;11,60;1.160,00;100
ALPA3;16/06/2023;12:25:00;11,70;11,70;11,70;11,70;5.850,00;500
ALPA3;16/06/2023;11:45:00;11,75;11,75;11,75;11,75;1.175,00;100
ALPA3;16/06/2023;11:40:00;11,72;11,72;11,72;11,72;1.172,00;100
ALPA3;16/06/2023;10:15:00;11,58;11,60;11,58;11,60;3.477,00;300
ALPA3;15/06/2023;17:30:00;11,58;11,64;11,58;11,64;5.811,00;500
ALPA3;15/06/2023;16:40:00;11,57;11,58;11,57;11,58;34.738,00;3.000
ALPA3;15/06/2023;16:25:00;11,56;11,57;11,55;11,57;9.246,00;800
ALPA3;15/06/2023;15:10:00;11,54;11,55;11,54;11,55;2.309,00;200
ALPA3;15/06/2023;14:40:00;11,54;11,54;11,54;11,54;1.154,00;100
ALPA3;15/06/2023;14:25:00;11,42;11,44;11,42;11,44;2.286,00;200
ALPA3;15/06/2023;13:00:00;11,36;11,36;11,36;11,36;1.136,00;100
ALPA3;15/06/2023;11:50:00;11,54;11,62;11,54;11,62;2.316,00;200
ALPA3;15/06/2023;11:45:00;11,54;11,54;11,51;11,52;13.818,00;1.200
ALPA3;15/06/2023;11:35:00;11,48;11,48;11,48;11,48;2.296,00;200
ALPA3;15/06/2023;11:20:00;11,50;11,50;11,50;11,50;1.150,00;100
ALPA3;15/06/2023;11:10:00;11,50;11,52;11,50;11,52;3.454,00;300
ALPA3;15/06/2023;11:00:00;11,42;11,42;11,36;11,36;5.693,00;500
ALPA3;15/06/2023;10:55:00;11,49;11,49;11,49;11,49;1.149,00;100
ALPA3;15/06/2023;10:50:00;11,42;11,42;11,42;11,42;1.142,00;100
ALPA3;15/06/2023;10:35:00;11,11;11,11;11,11;11,11;1.111,00;100
ALPA3;15/06/2023;10:30:00;11,28;11,39;11,28;11,39;6.784,00;600
ALPA3;15/06/2023;10:20:00;11,10;11,10;11,10;11,10;5.550,00;500
ALPA3;14/06/2023;17:30:00;11,30;11,38;11,30;11,38;4.543,00;400
ALPA3;14/06/2023;16:50:00;11,35;11,37;11,35;11,35;14.766,00;1.300
ALPA3;14/06/2023;16:45:00;11,26;11,26;11,26;11,26;1.126,00;100
ALPA3;14/06/2023;15:45:00;11,35;11,35;11,35;11,35;1.135,00;100
ALPA3;14/06/2023;15:40:00;11,15;11,24;11,15;11,24;3.362,00;300
ALPA3;14/06/2023;15:20:00;11,10;11,16;11,10;11,16;2.226,00;200
ALPA3;14/06/2023;12:15:00;11,00;11,00;11,00;11,00;1.100,00;100
ALPA3;14/06/2023;11:35:00;11,00;11,00;11,00;11,00;1.100,00;100
ALPA3;14/06/2023;11:25:00;11,19;11,19;11,19;11,19;1.119,00;100
ALPA3;14/06/2023;11:20:00;11,13;11,13;11,13;11,13;1.113,00;100
ALPA3;14/06/2023;11:10:00;11,13;11,13;11,13;11,13;1.113,00;100
ALPA3;14/06/2023;10:45:00;11,00;11,00;11,00;11,00;4.400,00;400
ALPA3;14/06/2023;10:40:00;10,99;11,00;10,99;11,00;4.397,00;400
ALPA3;14/06/2023;10:35:00;10,85;10,85;10,85;10,85;1.085,00;100
ALPA3;14/06/2023;10:30:00;10,81;10,81;10,81;10,81;3.243,00;300
ALPA3;13/06/2023;14:45:00;11,07;11,07;10,81;10,81;3.269,00;300
ALPA3;13/06/2023;14:15:00;11,07;11,07;11,07;11,07;8.856,00;800
ALPA3;13/06/2023;13:55:00;10,95;10,95;10,94;10,94;3.284,00;300
ALPA3;13/06/2023;13:05:00;11,00;11,00;11,00;11,00;2.200,00;200
ALPA3;13/06/2023;12:10:00;11,08;11,13;11,08;11,13;5.560,00;500
ALPA3;13/06/2023;11:55:00;11,00;11,00;11,00;11,00;1.100,00;100
ALPA3;13/06/2023;11:40:00;10,97;10,99;10,97;10,99;3.293,00;300
ALPA3;13/06/2023;11:15:00;10,94;10,94;10,94;10,94;1.094,00;100
ALPA3;13/06/2023;11:10:00;10,97;10,97;10,97;10,97;2.194,00;200
ALPA3;13/06/2023;11:05:00;11,09;11,09;11,09;11,09;1.109,00;100
ALPA3;13/06/2023;11:00:00;11,03;11,11;11,00;11,07;60.690,00;5.500
ALPA3;13/06/2023;10:50:00;11,15;11,15;11,00;11,00;9.976,00;900
ALPA3;12/06/2023;17:30:00;11,42;11,43;11,42;11,43;5.714,00;500
ALPA3;12/06/2023;16:30:00;11,43;11,43;11,41;11,41;14.835,00;1.300
ALPA3;12/06/2023;16:20:00;11,42;11,43;11,42;11,43;6.857,00;600
ALPA3;12/06/2023;15:45:00;11,43;11,43;11,43;11,43;1.143,00;100
ALPA3;12/06/2023;15:30:00;11,42;11,42;11,42;11,42;1.142,00;100
ALPA3;12/06/2023;15:15:00;11,39;11,39;11,39;11,39;4.556,00;400
ALPA3;12/06/2023;13:55:00;11,39;11,41;11,39;11,41;4.559,00;400
ALPA3;12/06/2023;13:50:00;11,22;11,22;11,22;11,22;60.588,00;5.400
ALPA3;12/06/2023;13:45:00;11,23;11,23;11,23;11,23;4.492,00;400
ALPA3;12/06/2023;13:15:00;11,22;11,22;11,22;11,22;1.122,00;100
ALPA3;12/06/2023;13:10:00;11,20;11,20;11,17;11,19;14.549,00;1.300
ALPA3;12/06/2023;10:00:00;11,22;11,22;11,22;11,22;3.366,00;300
ALPA3;09/06/2023;16:50:00;11,21;11,22;11,21;11,22;4.487,00;400
ALPA3;09/06/2023;16:35:00;11,21;11,21;11,21;11,21;1.121,00;100
ALPA3;09/06/2023;16:15:00;11,21;11,21;11,21;11,21;1.121,00;100
ALPA3;09/06/2023;16:05:00;11,20;11,20;11,20;11,20;1.120,00;100
ALPA3;09/06/2023;15:55:00;11,45;11,45;11,45;11,45;1.145,00;100
ALPA3;09/06/2023;15:50:00;11,30;11,30;11,30;11,30;1.130,00;100
ALPA3;09/06/2023;15:45:00;11,20;11,20;11,20;11,20;2.240,00;200
ALPA3;09/06/2023;15:40:00;11,20;11,20;11,20;11,20;3.360,00;300
ALPA3;09/06/2023;15:15:00;11,21;11,22;11,21;11,22;31.393,00;2.800
ALPA3;09/06/2023;15:10:00;11,19;11,20;11,19;11,20;2.239,00;200
ALPA3;09/06/2023;15:05:00;11,17;11,18;11,17;11,18;6.707,00;600
ALPA3;09/06/2023;15:00:00;11,16;11,17;11,16;11,17;3.350,00;300
ALPA3;09/06/2023;14:50:00;11,15;11,15;11,15;11,15;2.230,00;200
ALPA3;09/06/2023;14:35:00;11,15;11,15;11,15;11,15;1.115,00;100
ALPA3;09/06/2023;13:55:00;11,28;11,30;11,28;11,30;5.645,00;500
ALPA3;09/06/2023;13:20:00;11,31;11,31;11,31;11,31;3.393,00;300
ALPA3;09/06/2023;13:10:00;11,07;11,07;11,07;11,07;2.214,00;200
ALPA3;09/06/2023;12:30:00;11,31;11,31;11,31;11,31;1.131,00;100
ALPA3;09/06/2023;12:25:00;11,19;11,19;11,19;11,19;19.023,00;1.700
ALPA3;09/06/2023;12:20:00;11,20;11,20;11,19;11,19;50.385,00;4.500
ALPA3;09/06/2023;11:25:00;11,32;11,32;11,32;11,32;3.396,00;300
ALPA3;09/06/2023;11:15:00;11,35;11,36;11,35;11,36;2.271,00;200
ALPA3;09/06/2023;11:10:00;11,35;11,35;11,35;11,35;2.270,00;200
ALPA3;09/06/2023;11:05:00;11,38;11,38;11,38;11,38;5.690,00;500
ALPA3;09/06/2023;11:00:00;11,48;11,48;11,38;11,38;10.272,00;900
ALPA3;09/06/2023;10:55:00;11,39;11,39;11,39;11,39;1.139,00;100
ALPA3;09/06/2023;10:50:00;11,39;11,39;11,39;11,39;1.139,00;100
ALPA3;09/06/2023;10:45:00;11,35;11,40;11,35;11,40;4.554,00;400
ALPA3;07/06/2023;17:30:00;11,00;11,00;10,92;10,92;9.859,00;900
ALPA3;07/06/2023;14:15:00;11,13;11,15;11,13;11,14;30.087,00;2.700
ALPA3;07/06/2023;13:40:00;11,15;11,15;11,15;11,15;2.230,00;200
ALPA3;07/06/2023;12:30:00;11,18;11,18;11,18;11,18;1.118,00;100
ALPA3;07/06/2023;11:30:00;11,09;11,09;11,08;11,08;2.217,00;200
ALPA3;07/06/2023;11:05:00;11,25;11,25;11,25;11,25;1.125,00;100
ALPA3;07/06/2023;10:55:00;11,25;11,25;11,25;11,25;10.125,00;900
ALPA3;07/06/2023;10:50:00;11,24;11,25;11,24;11,25;12.374,00;1.100
ALPA3;07/06/2023;10:35:00;11,25;11,25;11,25;11,25;1.125,00;100
ALPA3;07/06/2023;10:25:00;11,25;11,25;11,25;11,25;1.125,00;100
ALPA3;07/06/2023;10:20:00;11,25;11,25;11,25;11,25;3.375,00;300
ALPA3;07/06/2023;10:15:00;11,25;11,25;11,25;11,25;3.375,00;300
ALPA3;07/06/2023;10:10:00;11,26;11,26;11,25;11,25;12.385,00;1.100
