Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ALSO3;16/06/2023;17:30:00;23,32;23,32;23,32;23,32;2.332,00;100
ALSO3;16/06/2023;16:45:00;23,52;23,52;23,37;23,40;88.507.318,00;3.782.000
ALSO3;16/06/2023;16:40:00;23,56;23,57;23,48;23,53;4.982.958,00;211.900
ALSO3;16/06/2023;16:35:00;23,64;23,64;23,54;23,56;2.360.469,00;100.000
ALSO3;16/06/2023;16:30:00;23,64;23,65;23,57;23,63;3.818.257,00;161.700
ALSO3;16/06/2023;16:25:00;23,73;23,74;23,61;23,64;1.781.375,00;75.200
ALSO3;16/06/2023;16:20:00;23,80;23,81;23,70;23,73;3.002.712,00;126.400
ALSO3;16/06/2023;16:15:00;23,74;23,80;23,74;23,80;1.355.256,00;57.000
ALSO3;16/06/2023;16:10:00;23,78;23,81;23,74;23,74;2.748.213,00;115.500
ALSO3;16/06/2023;16:05:00;23,75;23,80;23,73;23,77;2.242.385,00;94.400
ALSO3;16/06/2023;16:00:00;23,74;23,78;23,69;23,75;3.316.530,00;139.700
ALSO3;16/06/2023;15:55:00;23,71;23,76;23,67;23,75;2.106.710,00;88.800
ALSO3;16/06/2023;15:50:00;23,64;23,71;23,62;23,71;1.552.592,00;65.600
ALSO3;16/06/2023;15:45:00;23,69;23,70;23,61;23,64;3.170.412,00;133.900
ALSO3;16/06/2023;15:40:00;23,68;23,69;23,66;23,68;2.403.406,00;101.500
ALSO3;16/06/2023;15:35:00;23,68;23,71;23,65;23,67;3.557.916,00;150.200
ALSO3;16/06/2023;15:30:00;23,69;23,70;23,63;23,68;1.244.607,00;52.600
ALSO3;16/06/2023;15:25:00;23,76;23,76;23,63;23,67;2.881.005,00;121.600
ALSO3;16/06/2023;15:20:00;23,79;23,80;23,75;23,75;910.772,00;38.300
ALSO3;16/06/2023;15:15:00;23,81;23,83;23,75;23,79;1.044.735,00;43.900
ALSO3;16/06/2023;15:10:00;23,80;23,84;23,79;23,82;1.298.022,00;54.500
ALSO3;16/06/2023;15:05:00;23,77;23,82;23,75;23,79;2.658.755,00;111.800
ALSO3;16/06/2023;15:00:00;23,84;23,85;23,72;23,77;2.525.972,00;106.200
ALSO3;16/06/2023;14:55:00;23,77;23,84;23,76;23,84;1.099.204,00;46.200
ALSO3;16/06/2023;14:50:00;23,82;23,84;23,76;23,77;1.328.480,00;55.800
ALSO3;16/06/2023;14:45:00;23,89;23,90;23,79;23,82;1.392.866,00;58.400
ALSO3;16/06/2023;14:40:00;23,86;23,90;23,84;23,89;905.021,00;37.900
ALSO3;16/06/2023;14:35:00;23,80;23,86;23,79;23,84;1.153.004,00;48.400
ALSO3;16/06/2023;14:30:00;23,82;23,83;23,78;23,80;1.061.716,00;44.600
ALSO3;16/06/2023;14:25:00;23,84;23,85;23,79;23,81;3.841.777,00;161.300
ALSO3;16/06/2023;14:20:00;23,83;23,87;23,81;23,84;3.004.990,00;126.000
ALSO3;16/06/2023;14:15:00;23,86;23,88;23,80;23,83;1.636.604,00;68.600
ALSO3;16/06/2023;14:10:00;23,78;23,88;23,77;23,87;3.320.438,00;139.400
ALSO3;16/06/2023;14:05:00;23,79;23,82;23,75;23,78;989.507,00;41.600
ALSO3;16/06/2023;14:00:00;23,82;23,82;23,76;23,77;1.289.606,00;54.200
