Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ALUP11;06/06/2023;11:20:00;29,10;29,10;29,09;29,09;8.729,00;300
ALUP11;06/06/2023;11:15:00;29,15;29,16;29,10;29,10;174.790,00;6.000
ALUP11;06/06/2023;11:10:00;29,16;29,18;29,16;29,16;17.498,00;600
ALUP11;06/06/2023;11:05:00;29,13;29,19;29,13;29,15;122.536,00;4.200
ALUP11;06/06/2023;11:00:00;29,14;29,16;29,11;29,13;72.841,00;2.500
ALUP11;06/06/2023;10:55:00;29,12;29,16;29,12;29,12;26.218,00;900
ALUP11;06/06/2023;10:50:00;29,18;29,18;29,12;29,12;104.964,00;3.600
ALUP11;06/06/2023;10:45:00;29,25;29,26;29,19;29,19;55.505,00;1.900
ALUP11;06/06/2023;10:40:00;29,30;29,30;29,21;29,25;61.423,00;2.100
ALUP11;06/06/2023;10:35:00;29,32;29,34;29,25;29,28;108.378,00;3.700
ALUP11;06/06/2023;10:30:00;29,28;29,35;29,28;29,32;134.895,00;4.600
ALUP11;06/06/2023;10:25:00;29,25;29,27;29,24;29,25;78.983,00;2.700
ALUP11;06/06/2023;10:20:00;29,27;29,29;29,25;29,25;111.235,00;3.800
ALUP11;06/06/2023;10:15:00;29,26;29,28;29,24;29,24;20.477,00;700
ALUP11;06/06/2023;10:10:00;29,31;29,31;29,28;29,29;38.096,00;1.300
ALUP11;06/06/2023;10:05:00;29,25;29,30;29,25;29,30;40.980,00;1.400
ALUP11;06/06/2023;10:00:00;29,18;29,18;29,14;29,18;122.510,00;4.200
ALUP11;05/06/2023;17:30:00;29,23;29,23;29,19;29,19;17.518,00;600
ALUP11;05/06/2023;16:50:00;29,16;29,18;29,12;29,18;7.501.994,00;257.100
ALUP11;05/06/2023;16:45:00;29,17;29,18;29,15;29,17;125.410,00;4.300
ALUP11;05/06/2023;16:40:00;29,17;29,17;29,16;29,17;189.600,00;6.500
ALUP11;05/06/2023;16:35:00;29,17;29,20;29,16;29,17;189.655,00;6.500
ALUP11;05/06/2023;16:30:00;29,18;29,20;29,17;29,18;151.746,00;5.200
ALUP11;05/06/2023;16:25:00;29,19;29,22;29,14;29,17;896.192,00;30.700
ALUP11;05/06/2023;16:20:00;29,19;29,21;29,19;29,19;312.426,00;10.700
ALUP11;05/06/2023;16:15:00;29,20;29,20;29,19;29,19;143.062,00;4.900
ALUP11;05/06/2023;16:10:00;29,20;29,22;29,19;29,20;137.276,00;4.700
ALUP11;05/06/2023;16:05:00;29,20;29,21;29,19;29,19;198.598,00;6.800
ALUP11;05/06/2023;16:00:00;29,21;29,22;29,20;29,20;131.445,00;4.500
ALUP11;05/06/2023;15:55:00;29,19;29,22;29,19;29,20;148.943,00;5.100
ALUP11;05/06/2023;15:50:00;29,18;29,21;29,17;29,20;125.536,00;4.300
ALUP11;05/06/2023;15:45:00;29,19;29,20;29,17;29,19;227.677,00;7.800
ALUP11;05/06/2023;15:40:00;29,19;29,20;29,18;29,19;364.987,00;12.500
ALUP11;05/06/2023;15:35:00;29,20;29,20;29,18;29,18;151.801,00;5.200
ALUP11;05/06/2023;15:30:00;29,19;29,20;29,18;29,19;230.650,00;7.900
ALUP11;05/06/2023;15:25:00;29,19;29,20;29,17;29,20;230.642,00;7.900
ALUP11;05/06/2023;15:20:00;29,17;29,20;29,17;29,20;1.164.275,00;39.900
ALUP11;05/06/2023;15:15:00;29,18;29,19;29,17;29,17;64.192,00;2.200
ALUP11;05/06/2023;15:10:00;29,17;29,20;29,17;29,18;239.279,00;8.200
ALUP11;05/06/2023;15:05:00;29,18;29,29;29,17;29,17;528.725,00;18.100
ALUP11;05/06/2023;15:00:00;29,17;29,23;29,15;29,20;169.309,00;5.800
ALUP11;05/06/2023;14:55:00;29,12;29,17;29,12;29,17;61.199,00;2.100
ALUP11;05/06/2023;14:50:00;29,11;29,14;29,11;29,12;55.333,00;1.900
ALUP11;05/06/2023;14:45:00;29,12;29,14;29,11;29,12;119.395,00;4.100
ALUP11;05/06/2023;14:40:00;29,10;29,14;29,10;29,14;299.912,00;10.300
ALUP11;05/06/2023;14:35:00;29,16;29,16;29,10;29,10;535.906,00;18.400
ALUP11;05/06/2023;14:30:00;29,17;29,18;29,16;29,16;64.163,00;2.200
ALUP11;05/06/2023;14:25:00;29,17;29,19;29,15;29,18;116.670,00;4.000
ALUP11;05/06/2023;14:20:00;29,17;29,19;29,17;29,17;52.519,00;1.800
ALUP11;05/06/2023;14:15:00;29,19;29,19;29,17;29,17;52.521,00;1.800
ALUP11;05/06/2023;14:10:00;29,18;29,20;29,17;29,19;67.129,00;2.300
ALUP11;05/06/2023;14:05:00;29,20;29,20;29,17;29,19;78.797,00;2.700
ALUP11;05/06/2023;14:00:00;29,12;29,30;29,12;29,21;403.116,00;13.800
ALUP11;05/06/2023;13:55:00;29,12;29,14;29,11;29,12;145.609,00;5.000
ALUP11;05/06/2023;13:50:00;29,13;29,13;29,12;29,12;52.429,00;1.800
ALUP11;05/06/2023;13:45:00;29,13;29,15;29,13;29,14;61.200,00;2.100
ALUP11;05/06/2023;13:40:00;29,13;29,16;29,12;29,14;69.942,00;2.400
ALUP11;05/06/2023;13:35:00;29,13;29,15;29,13;29,13;64.101,00;2.200
ALUP11;05/06/2023;13:30:00;29,13;29,14;29,12;29,14;55.341,00;1.900
ALUP11;05/06/2023;13:25:00;29,12;29,15;29,11;29,14;69.902,00;2.400
ALUP11;05/06/2023;13:20:00;29,11;29,14;29,11;29,12;69.889,00;2.400
ALUP11;05/06/2023;13:15:00;29,14;29,14;29,11;29,11;61.159,00;2.100
ALUP11;05/06/2023;13:10:00;29,10;29,18;29,10;29,14;131.118,00;4.500
ALUP11;05/06/2023;13:05:00;29,11;29,12;29,10;29,10;101.899,00;3.500
ALUP11;05/06/2023;13:00:00;29,12;29,14;29,10;29,12;93.164,00;3.200
ALUP11;05/06/2023;12:55:00;29,04;29,15;29,02;29,11;378.430,00;13.000
ALUP11;05/06/2023;12:50:00;29,04;29,08;29,04;29,04;81.363,00;2.800
ALUP11;05/06/2023;12:45:00;29,06;29,07;29,05;29,05;55.207,00;1.900
ALUP11;05/06/2023;12:40:00;29,06;29,09;29,05;29,07;122.096,00;4.200
ALUP11;05/06/2023;12:35:00;29,07;29,09;29,07;29,07;52.343,00;1.800
ALUP11;05/06/2023;12:30:00;29,08;29,11;29,07;29,07;98.907,00;3.400
ALUP11;05/06/2023;12:25:00;29,08;29,10;29,08;29,08;64.003,00;2.200
ALUP11;05/06/2023;12:20:00;29,10;29,10;29,08;29,08;58.169,00;2.000
