Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AMAR3;06/06/2023;11:20:00;0,68;0,68;0,68;0,68;68,00;100
AMAR3;06/06/2023;11:15:00;0,67;0,68;0,67;0,68;3.690,00;5.500
AMAR3;06/06/2023;11:10:00;0,68;0,68;0,67;0,68;5.281,00;7.800
AMAR3;06/06/2023;11:05:00;0,68;0,68;0,67;0,67;3.688,00;5.500
AMAR3;06/06/2023;11:00:00;0,68;0,68;0,67;0,68;5.455,00;8.100
AMAR3;06/06/2023;10:55:00;0,68;0,68;0,67;0,67;949,00;1.400
AMAR3;06/06/2023;10:50:00;0,67;0,68;0,67;0,68;283.047,00;422.300
AMAR3;06/06/2023;10:45:00;0,67;0,67;0,67;0,67;1.340,00;2.000
AMAR3;06/06/2023;10:40:00;0,67;0,67;0,66;0,67;4.501,00;6.800
AMAR3;06/06/2023;10:35:00;0,67;0,67;0,66;0,67;4.281,00;6.400
AMAR3;06/06/2023;10:30:00;0,66;0,67;0,66;0,67;332,00;500
AMAR3;06/06/2023;10:25:00;0,67;0,67;0,67;0,67;2.680,00;4.000
AMAR3;06/06/2023;10:20:00;0,66;0,67;0,66;0,67;793,00;1.200
AMAR3;06/06/2023;10:15:00;0,67;0,67;0,66;0,67;3.908,00;5.900
AMAR3;06/06/2023;10:10:00;0,67;0,67;0,66;0,66;5.706,00;8.600
AMAR3;06/06/2023;10:05:00;0,67;0,67;0,66;0,67;3.817,00;5.700
AMAR3;06/06/2023;10:00:00;0,67;0,67;0,66;0,67;52.700,00;79.300
AMAR3;05/06/2023;17:30:00;0,66;0,67;0,66;0,67;6.146,00;9.300
AMAR3;05/06/2023;16:50:00;0,66;0,67;0,66;0,66;49.011,00;74.200
AMAR3;05/06/2023;16:45:00;0,66;0,67;0,66;0,67;13.276,00;20.000
AMAR3;05/06/2023;16:40:00;0,67;0,67;0,66;0,66;13.982,00;21.100
AMAR3;05/06/2023;16:35:00;0,66;0,66;0,66;0,66;2.244,00;3.400
AMAR3;05/06/2023;16:30:00;0,66;0,67;0,66;0,66;10.125,00;15.300
AMAR3;05/06/2023;16:25:00;0,66;0,67;0,66;0,66;28.277,00;42.800
AMAR3;05/06/2023;16:20:00;0,66;0,67;0,66;0,66;84.726,00;128.300
AMAR3;05/06/2023;16:15:00;0,66;0,67;0,66;0,66;1.872,00;2.800
AMAR3;05/06/2023;16:10:00;0,66;0,66;0,66;0,66;198,00;300
AMAR3;05/06/2023;16:05:00;0,66;0,67;0,66;0,66;398,00;600
AMAR3;05/06/2023;16:00:00;0,67;0,67;0,66;0,66;199,00;300
AMAR3;05/06/2023;15:55:00;0,67;0,67;0,66;0,67;5.087,00;7.600
AMAR3;05/06/2023;15:50:00;0,67;0,67;0,66;0,67;3.318,00;5.000
AMAR3;05/06/2023;15:45:00;0,66;0,67;0,66;0,66;11.924,00;17.800
AMAR3;05/06/2023;15:40:00;0,67;0,67;0,66;0,66;1.874,00;2.800
AMAR3;05/06/2023;15:35:00;0,66;0,67;0,66;0,66;2.973,00;4.500
AMAR3;05/06/2023;15:30:00;0,67;0,67;0,66;0,67;464,00;700
AMAR3;05/06/2023;15:25:00;0,67;0,67;0,66;0,66;1.740,00;2.600
AMAR3;05/06/2023;15:20:00;0,66;0,67;0,66;0,66;529,00;800
AMAR3;05/06/2023;15:15:00;0,66;0,67;0,66;0,66;3.746,00;5.600
AMAR3;05/06/2023;15:10:00;0,66;0,66;0,66;0,66;528,00;800
AMAR3;05/06/2023;15:05:00;0,66;0,66;0,66;0,66;66,00;100
AMAR3;05/06/2023;15:00:00;0,66;0,66;0,66;0,66;660,00;1.000
AMAR3;05/06/2023;14:55:00;0,67;0,67;0,66;0,66;5.415,00;8.200
AMAR3;05/06/2023;14:50:00;0,67;0,67;0,66;0,66;466,00;700
AMAR3;05/06/2023;14:45:00;0,67;0,67;0,66;0,66;1.536,00;2.300
AMAR3;05/06/2023;14:40:00;0,67;0,67;0,66;0,66;3.684,00;5.500
AMAR3;05/06/2023;14:35:00;0,66;0,66;0,66;0,66;33.924,00;51.400
AMAR3;05/06/2023;14:30:00;0,66;0,66;0,66;0,66;66,00;100
AMAR3;05/06/2023;14:25:00;0,66;0,66;0,66;0,66;66,00;100
AMAR3;05/06/2023;14:20:00;0,66;0,67;0,66;0,67;24.102,00;36.500
AMAR3;05/06/2023;14:15:00;0,66;0,67;0,66;0,67;3.812,00;5.700
AMAR3;05/06/2023;14:10:00;0,66;0,67;0,66;0,67;133,00;200
AMAR3;05/06/2023;14:05:00;0,67;0,67;0,66;0,66;4.927,00;7.400
AMAR3;05/06/2023;14:00:00;0,66;0,66;0,66;0,66;13.002,00;19.700
AMAR3;05/06/2023;13:55:00;0,66;0,67;0,66;0,66;6.867,00;10.400
AMAR3;05/06/2023;13:50:00;0,67;0,67;0,66;0,67;3.406,00;5.100
AMAR3;05/06/2023;13:45:00;0,67;0,67;0,66;0,67;1.741,00;2.600
AMAR3;05/06/2023;13:40:00;0,66;0,67;0,66;0,66;4.310,00;6.500
AMAR3;05/06/2023;13:35:00;0,66;0,67;0,66;0,67;663,00;1.000
AMAR3;05/06/2023;13:30:00;0,66;0,67;0,66;0,67;2.009,00;3.000
AMAR3;05/06/2023;13:25:00;0,66;0,66;0,66;0,66;66,00;100
AMAR3;05/06/2023;13:20:00;0,66;0,66;0,66;0,66;132,00;200
AMAR3;05/06/2023;13:15:00;0,66;0,67;0,66;0,67;3.416,00;5.100
AMAR3;05/06/2023;13:10:00;0,67;0,67;0,66;0,66;5.032,00;7.600
AMAR3;05/06/2023;13:05:00;0,66;0,67;0,66;0,66;1.265,00;1.900
AMAR3;05/06/2023;13:00:00;0,67;0,67;0,66;0,67;1.406,00;2.100
AMAR3;05/06/2023;12:55:00;0,66;0,66;0,66;0,66;4.752,00;7.200
AMAR3;05/06/2023;12:50:00;0,66;0,67;0,66;0,67;2.745,00;4.100
AMAR3;05/06/2023;12:45:00;0,67;0,67;0,66;0,66;4.483,00;6.700
AMAR3;05/06/2023;12:40:00;0,66;0,67;0,66;0,66;332,00;500
AMAR3;05/06/2023;12:35:00;0,67;0,67;0,66;0,67;535,00;800
AMAR3;05/06/2023;12:30:00;0,66;0,66;0,66;0,66;6.666,00;10.100
AMAR3;05/06/2023;12:25:00;0,66;0,67;0,66;0,66;3.707,00;5.600
AMAR3;05/06/2023;12:20:00;0,66;0,67;0,66;0,66;534,00;800
AMAR3;05/06/2023;12:15:00;0,66;0,67;0,66;0,67;662,00;1.000
AMAR3;05/06/2023;12:10:00;0,67;0,67;0,66;0,67;5.291,00;7.900
AMAR3;05/06/2023;12:05:00;0,66;0,67;0,66;0,67;3.103,00;4.700
AMAR3;05/06/2023;12:00:00;0,66;0,67;0,66;0,67;4.541,00;6.800
AMAR3;05/06/2023;11:55:00;0,67;0,67;0,66;0,67;7.698,00;11.500
AMAR3;05/06/2023;11:50:00;0,67;0,67;0,66;0,66;1.589,00;2.400
AMAR3;05/06/2023;11:45:00;0,67;0,67;0,67;0,67;67,00;100
AMAR3;05/06/2023;11:40:00;0,65;0,66;0,65;0,66;245.650,00;372.200
