Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AMER3;16/06/2023;17:30:00;1,19;1,19;1,18;1,19;137.750,00;115.800
AMER3;16/06/2023;16:45:00;1,20;1,20;1,19;1,19;530.172,00;445.300
AMER3;16/06/2023;16:40:00;1,20;1,20;1,19;1,19;373.761,00;312.200
AMER3;16/06/2023;16:35:00;1,19;1,20;1,19;1,20;41.713,00;35.000
AMER3;16/06/2023;16:30:00;1,20;1,20;1,19;1,19;117.103,00;98.100
AMER3;16/06/2023;16:25:00;1,19;1,20;1,19;1,19;90.193,00;75.700
AMER3;16/06/2023;16:20:00;1,19;1,20;1,19;1,19;25.826,00;21.700
AMER3;16/06/2023;16:15:00;1,20;1,20;1,19;1,20;4.173,00;3.500
AMER3;16/06/2023;16:10:00;1,19;1,20;1,19;1,19;46.583,00;39.100
AMER3;16/06/2023;16:05:00;1,19;1,20;1,19;1,20;11.877,00;9.900
AMER3;16/06/2023;16:00:00;1,19;1,20;1,19;1,20;29.835,00;24.900
AMER3;16/06/2023;15:55:00;1,19;1,20;1,19;1,19;110.812,00;92.400
AMER3;16/06/2023;15:50:00;1,19;1,20;1,19;1,20;7.391,00;6.200
AMER3;16/06/2023;15:45:00;1,20;1,20;1,19;1,19;23.692,00;19.900
AMER3;16/06/2023;15:40:00;1,19;1,20;1,19;1,20;14.866,00;12.400
AMER3;16/06/2023;15:35:00;1,19;1,20;1,19;1,19;13.336,00;11.200
AMER3;16/06/2023;15:30:00;1,20;1,20;1,19;1,19;8.389,00;7.000
AMER3;16/06/2023;15:25:00;1,20;1,20;1,19;1,19;60.924,00;51.000
AMER3;16/06/2023;15:20:00;1,20;1,20;1,19;1,19;364.401,00;306.200
AMER3;16/06/2023;15:15:00;1,19;1,20;1,19;1,20;6.198,00;5.200
AMER3;16/06/2023;15:10:00;1,19;1,20;1,19;1,20;5.875,00;4.900
AMER3;16/06/2023;15:05:00;1,19;1,20;1,18;1,19;1.450.361,00;1.218.800
