Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ANIM3;06/06/2023;11:20:00;3,62;3,63;3,62;3,63;26.114,00;7.200
ANIM3;06/06/2023;11:15:00;3,63;3,63;3,62;3,62;319.290,00;88.200
ANIM3;06/06/2023;11:10:00;3,63;3,64;3,63;3,63;292.193,00;80.400
ANIM3;06/06/2023;11:05:00;3,63;3,65;3,63;3,64;370.883,00;101.900
ANIM3;06/06/2023;11:00:00;3,63;3,63;3,62;3,62;190.926,00;52.600
ANIM3;06/06/2023;10:55:00;3,63;3,63;3,63;3,63;39.204,00;10.800
ANIM3;06/06/2023;10:50:00;3,63;3,64;3,62;3,62;251.187,00;69.300
ANIM3;06/06/2023;10:45:00;3,62;3,63;3,62;3,63;202.474,00;55.800
ANIM3;06/06/2023;10:40:00;3,61;3,62;3,60;3,62;493.496,00;136.800
ANIM3;06/06/2023;10:35:00;3,63;3,63;3,60;3,62;1.075.200,00;297.700
ANIM3;06/06/2023;10:30:00;3,63;3,64;3,62;3,63;751.289,00;207.200
ANIM3;06/06/2023;10:25:00;3,63;3,64;3,62;3,64;1.040.258,00;286.100
ANIM3;06/06/2023;10:20:00;3,61;3,64;3,61;3,64;435.018,00;120.200
ANIM3;06/06/2023;10:15:00;3,60;3,64;3,60;3,62;1.077.430,00;297.700
ANIM3;06/06/2023;10:10:00;3,64;3,65;3,59;3,61;2.244.162,00;620.600
ANIM3;06/06/2023;10:05:00;3,65;3,68;3,64;3,64;1.050.510,00;287.700
ANIM3;05/06/2023;17:30:00;3,55;3,58;3,55;3,58;21.360,00;6.000
ANIM3;05/06/2023;16:50:00;3,56;3,60;3,55;3,56;3.157.559,00;883.200
ANIM3;05/06/2023;16:45:00;3,56;3,56;3,54;3,56;1.078.049,00;303.600
ANIM3;05/06/2023;16:40:00;3,56;3,56;3,55;3,56;216.158,00;60.800
ANIM3;05/06/2023;16:35:00;3,56;3,56;3,55;3,56;195.789,00;55.000
ANIM3;05/06/2023;16:30:00;3,56;3,57;3,55;3,56;331.221,00;93.000
ANIM3;05/06/2023;16:25:00;3,58;3,58;3,55;3,56;478.185,00;134.100
ANIM3;05/06/2023;16:20:00;3,57;3,59;3,57;3,58;487.484,00;136.200
ANIM3;05/06/2023;16:15:00;3,57;3,57;3,56;3,57;563.444,00;158.200
ANIM3;05/06/2023;16:10:00;3,55;3,57;3,55;3,57;288.568,00;81.100
ANIM3;05/06/2023;16:05:00;3,56;3,56;3,54;3,55;1.325.783,00;373.700
ANIM3;05/06/2023;16:00:00;3,58;3,58;3,56;3,56;180.204,00;50.600
ANIM3;05/06/2023;15:55:00;3,58;3,58;3,57;3,58;136.088,00;38.100
ANIM3;05/06/2023;15:50:00;3,57;3,58;3,55;3,58;255.947,00;71.800
ANIM3;05/06/2023;15:45:00;3,58;3,58;3,57;3,57;126.760,00;35.500
ANIM3;05/06/2023;15:40:00;3,58;3,59;3,57;3,58;251.647,00;70.300
ANIM3;05/06/2023;15:35:00;3,58;3,58;3,56;3,58;113.876,00;31.900
ANIM3;05/06/2023;15:30:00;3,58;3,58;3,57;3,58;44.659,00;12.500
ANIM3;05/06/2023;15:25:00;3,58;3,58;3,56;3,58;253.458,00;71.000
ANIM3;05/06/2023;15:20:00;3,58;3,58;3,57;3,58;12.528,00;3.500
ANIM3;05/06/2023;15:15:00;3,57;3,58;3,56;3,58;329.100,00;92.400
ANIM3;05/06/2023;15:10:00;3,60;3,60;3,56;3,57;336.634,00;94.100
ANIM3;05/06/2023;15:05:00;3,61;3,61;3,59;3,60;83.825,00;23.300
ANIM3;05/06/2023;15:00:00;3,61;3,62;3,60;3,61;322.746,00;89.400
ANIM3;05/06/2023;14:55:00;3,59;3,61;3,58;3,61;475.593,00;132.200
ANIM3;05/06/2023;14:50:00;3,59;3,59;3,58;3,59;110.745,00;30.900
ANIM3;05/06/2023;14:45:00;3,60;3,60;3,58;3,59;210.344,00;58.600
ANIM3;05/06/2023;14:40:00;3,56;3,60;3,55;3,60;1.066.933,00;298.000
ANIM3;05/06/2023;14:35:00;3,56;3,56;3,54;3,55;356.847,00;100.600
ANIM3;05/06/2023;14:30:00;3,56;3,56;3,55;3,56;51.162,00;14.400
ANIM3;05/06/2023;14:25:00;3,56;3,56;3,54;3,56;131.705,00;37.100
ANIM3;05/06/2023;14:20:00;3,55;3,56;3,53;3,56;678.080,00;191.200
ANIM3;05/06/2023;14:15:00;3,58;3,58;3,55;3,55;286.433,00;80.300
ANIM3;05/06/2023;14:10:00;3,58;3,58;3,57;3,57;63.712,00;17.800
ANIM3;05/06/2023;14:05:00;3,58;3,58;3,57;3,58;116.316,00;32.500
ANIM3;05/06/2023;14:00:00;3,60;3,60;3,58;3,58;2.442.701,00;679.300
ANIM3;05/06/2023;13:55:00;3,60;3,61;3,60;3,60;501.162,00;139.200
ANIM3;05/06/2023;13:50:00;3,58;3,61;3,58;3,60;2.770.099,00;769.800
ANIM3;05/06/2023;13:45:00;3,56;3,58;3,56;3,58;229.529,00;64.300
ANIM3;05/06/2023;13:40:00;3,56;3,57;3,56;3,56;189.049,00;53.100
ANIM3;05/06/2023;13:35:00;3,56;3,57;3,56;3,56;163.763,00;46.000
ANIM3;05/06/2023;13:30:00;3,56;3,57;3,56;3,57;80.117,00;22.500
ANIM3;05/06/2023;13:25:00;3,56;3,57;3,55;3,56;234.601,00;65.900
ANIM3;05/06/2023;13:20:00;3,57;3,57;3,56;3,56;122.145,00;34.300
ANIM3;05/06/2023;13:15:00;3,55;3,57;3,55;3,57;374.559,00;105.200
ANIM3;05/06/2023;13:10:00;3,55;3,55;3,54;3,55;75.596,00;21.300
ANIM3;05/06/2023;13:05:00;3,54;3,55;3,54;3,55;300.264,00;84.600
ANIM3;05/06/2023;13:00:00;3,55;3,55;3,54;3,54;5.669,00;1.600
ANIM3;05/06/2023;12:55:00;3,55;3,55;3,54;3,54;225.367,00;63.600
ANIM3;05/06/2023;12:50:00;3,54;3,55;3,53;3,55;138.752,00;39.200
ANIM3;05/06/2023;12:45:00;3,55;3,55;3,52;3,54;720.730,00;203.700
ANIM3;05/06/2023;12:40:00;3,54;3,55;3,54;3,54;1.053.105,00;297.000
ANIM3;05/06/2023;12:35:00;3,56;3,56;3,54;3,54;412.525,00;116.400
ANIM3;05/06/2023;12:30:00;3,54;3,56;3,54;3,55;378.392,00;106.700
ANIM3;05/06/2023;12:25:00;3,54;3,54;3,52;3,54;442.079,00;125.300
