Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ARZZ3;16/06/2023;17:30:00;75,00;75,20;75,00;75,20;45.020,00;600
ARZZ3;16/06/2023;16:45:00;74,84;75,00;74,73;75,00;12.288.494,00;163.900
ARZZ3;16/06/2023;16:40:00;74,80;74,90;74,63;74,85;2.639.666,00;35.300
ARZZ3;16/06/2023;16:35:00;74,82;74,87;74,80;74,80;1.346.922,00;18.000
ARZZ3;16/06/2023;16:30:00;74,73;74,88;74,59;74,80;1.981.517,00;26.500
ARZZ3;16/06/2023;16:25:00;74,57;74,85;74,57;74,73;2.652.381,00;35.500
ARZZ3;16/06/2023;16:20:00;74,81;74,83;74,55;74,57;2.756.172,00;36.900
ARZZ3;16/06/2023;16:15:00;74,71;74,88;74,56;74,74;3.116.495,00;41.700
ARZZ3;16/06/2023;16:10:00;74,54;74,85;74,44;74,69;2.194.809,00;29.400
ARZZ3;16/06/2023;16:05:00;74,54;74,62;74,37;74,51;1.549.375,00;20.800
ARZZ3;16/06/2023;16:00:00;74,62;74,78;74,47;74,47;1.626.875,00;21.800
ARZZ3;16/06/2023;15:55:00;74,66;74,72;74,52;74,61;1.477.703,00;19.800
ARZZ3;16/06/2023;15:50:00;75,01;75,05;74,61;74,69;6.500.504,00;86.700
ARZZ3;16/06/2023;15:45:00;75,03;75,08;75,00;75,01;1.035.178,00;13.800
ARZZ3;16/06/2023;15:40:00;75,00;75,10;74,98;75,03;1.132.696,00;15.100
ARZZ3;16/06/2023;15:35:00;75,16;75,18;74,92;75,03;2.395.097,00;31.900
ARZZ3;16/06/2023;15:30:00;75,03;75,21;75,00;75,16;1.704.142,00;22.700
ARZZ3;16/06/2023;15:25:00;75,14;75,23;74,95;75,07;5.602.761,00;74.600
ARZZ3;16/06/2023;15:20:00;75,14;75,25;75,10;75,15;1.383.306,00;18.400
ARZZ3;16/06/2023;15:15:00;75,00;75,25;75,00;75,13;1.269.555,00;16.900
ARZZ3;16/06/2023;15:10:00;75,06;75,13;74,99;75,00;1.035.599,00;13.800
ARZZ3;16/06/2023;15:05:00;75,03;75,09;75,00;75,05;690.365,00;9.200
ARZZ3;16/06/2023;15:00:00;75,07;75,13;74,99;75,05;2.214.169,00;29.500
ARZZ3;16/06/2023;14:55:00;75,03;75,12;75,00;75,07;607.799,00;8.100
ARZZ3;16/06/2023;14:50:00;75,00;75,07;75,00;75,00;697.733,00;9.300
ARZZ3;16/06/2023;14:45:00;75,35;75,55;75,00;75,07;6.311.000,00;83.900
ARZZ3;16/06/2023;14:40:00;75,38;75,50;75,30;75,35;6.292.666,00;83.500
ARZZ3;16/06/2023;14:35:00;75,39;75,50;75,36;75,37;618.399,00;8.200
ARZZ3;16/06/2023;14:30:00;75,14;75,50;75,09;75,39;1.401.499,00;18.600
ARZZ3;16/06/2023;14:25:00;75,16;75,31;75,13;75,13;789.773,00;10.500
ARZZ3;16/06/2023;14:20:00;75,38;75,38;75,14;75,18;1.376.348,00;18.300
ARZZ3;16/06/2023;14:15:00;75,70;75,86;75,32;75,42;2.742.740,00;36.300
ARZZ3;16/06/2023;14:10:00;75,62;75,70;75,57;75,70;453.773,00;6.000
ARZZ3;16/06/2023;14:05:00;75,61;75,67;75,53;75,63;430.974,00;5.700
ARZZ3;16/06/2023;14:00:00;75,82;76,10;75,60;75,66;3.143.008,00;41.400
ARZZ3;16/06/2023;13:55:00;75,38;75,96;75,38;75,93;1.332.431,00;17.600
ARZZ3;16/06/2023;13:50:00;75,33;75,39;75,19;75,32;4.017.910,00;53.400
ARZZ3;16/06/2023;13:45:00;75,17;75,28;75,14;75,28;338.403,00;4.500
ARZZ3;16/06/2023;13:40:00;75,22;75,26;75,13;75,25;594.028,00;7.900
ARZZ3;16/06/2023;13:35:00;75,30;75,30;75,10;75,21;473.454,00;6.300
ARZZ3;16/06/2023;13:30:00;74,96;75,35;74,92;75,33;1.059.954,00;14.100
ARZZ3;16/06/2023;13:25:00;75,10;75,13;74,98;74,99;420.452,00;5.600
ARZZ3;16/06/2023;13:20:00;75,25;75,27;75,12;75,15;330.842,00;4.400
ARZZ3;16/06/2023;13:15:00;74,88;75,25;74,84;75,19;2.572.812,00;34.300
ARZZ3;16/06/2023;13:10:00;74,87;74,93;74,86;74,88;284.588,00;3.800
ARZZ3;16/06/2023;13:05:00;74,91;74,96;74,81;74,85;1.011.044,00;13.500
ARZZ3;16/06/2023;13:00:00;74,69;74,94;74,69;74,94;867.915,00;11.600
ARZZ3;16/06/2023;12:55:00;74,75;74,81;74,72;74,75;373.805,00;5.000
ARZZ3;16/06/2023;12:50:00;74,75;74,82;74,69;74,72;351.382,00;4.700
ARZZ3;16/06/2023;12:45:00;74,83;74,95;74,75;74,76;658.787,00;8.800
ARZZ3;16/06/2023;12:40:00;74,76;74,84;74,74;74,84;448.708,00;6.000
ARZZ3;16/06/2023;12:35:00;74,91;74,91;74,64;74,77;702.771,00;9.400
ARZZ3;16/06/2023;12:30:00;74,90;74,96;74,87;74,87;501.968,00;6.700
ARZZ3;16/06/2023;12:25:00;74,79;74,91;74,55;74,91;1.015.752,00;13.600
ARZZ3;16/06/2023;12:20:00;74,95;74,96;74,74;74,81;643.854,00;8.600
ARZZ3;16/06/2023;12:15:00;74,86;75,00;74,78;74,94;516.703,00;6.900
ARZZ3;16/06/2023;12:10:00;74,91;75,11;74,80;74,86;3.329.143,00;44.400
ARZZ3;16/06/2023;12:05:00;74,42;74,91;74,41;74,91;3.314.373,00;44.400
ARZZ3;16/06/2023;12:00:00;74,30;74,43;74,28;74,42;1.769.615,00;23.800
ARZZ3;16/06/2023;11:55:00;74,29;74,35;74,11;74,34;2.908.703,00;39.200
ARZZ3;16/06/2023;11:50:00;74,25;74,35;74,25;74,26;445.668,00;6.000
ARZZ3;16/06/2023;11:45:00;74,22;74,42;74,22;74,26;780.043,00;10.500
ARZZ3;16/06/2023;11:40:00;74,32;74,34;74,23;74,23;661.149,00;8.900
ARZZ3;16/06/2023;11:35:00;74,46;74,48;74,30;74,36;1.040.992,00;14.000
ARZZ3;16/06/2023;11:30:00;74,34;74,50;74,32;74,45;528.153,00;7.100
ARZZ3;16/06/2023;11:25:00;74,27;74,40;74,23;74,39;631.653,00;8.500
ARZZ3;16/06/2023;11:20:00;74,32;74,41;74,26;74,28;587.181,00;7.900
ARZZ3;16/06/2023;11:15:00;74,44;74,56;74,30;74,30;863.104,00;11.600
ARZZ3;16/06/2023;11:10:00;74,65;74,65;74,38;74,51;990.866,00;13.300
ARZZ3;16/06/2023;11:05:00;74,58;74,85;74,58;74,65;1.098.008,00;14.700
ARZZ3;16/06/2023;11:00:00;74,35;74,86;74,35;74,65;1.223.847,00;16.400
ARZZ3;16/06/2023;10:55:00;74,32;74,39;74,14;74,28;690.507,00;9.300
ARZZ3;16/06/2023;10:50:00;74,20;74,40;74,06;74,29;2.662.005,00;35.900
ARZZ3;16/06/2023;10:45:00;74,23;74,27;74,02;74,17;1.030.790,00;13.900
ARZZ3;16/06/2023;10:40:00;74,39;74,48;74,20;74,22;802.776,00;10.800
ARZZ3;16/06/2023;10:35:00;74,39;74,47;74,10;74,38;1.129.155,00;15.200
ARZZ3;16/06/2023;10:30:00;74,12;74,32;74,04;74,32;771.173,00;10.400
ARZZ3;16/06/2023;10:25:00;74,99;75,14;74,15;74,15;2.944.360,00;39.400
ARZZ3;16/06/2023;10:20:00;74,61;75,18;74,60;75,00;1.108.111,00;14.800
ARZZ3;16/06/2023;10:15:00;74,85;75,04;74,52;74,65;912.224,00;12.200
ARZZ3;16/06/2023;10:10:00;75,35;75,35;74,89;74,89;2.942.066,00;39.200
ARZZ3;16/06/2023;10:05:00;75,51;75,73;75,34;75,43;544.201,00;7.200
ARZZ3;15/06/2023;17:30:00;76,16;76,16;75,90;75,90;68.388,00;900
ARZZ3;15/06/2023;16:50:00;76,06;76,18;75,84;76,17;10.761.256,00;141.300
ARZZ3;15/06/2023;16:45:00;76,07;76,13;76,01;76,05;1.224.692,00;16.100
ARZZ3;15/06/2023;16:40:00;76,14;76,18;76,04;76,11;1.050.584,00;13.800
ARZZ3;15/06/2023;16:35:00;76,03;76,16;75,95;76,15;1.483.662,00;19.500
ARZZ3;15/06/2023;16:30:00;76,12;76,24;76,01;76,05;1.065.740,00;14.000
ARZZ3;15/06/2023;16:25:00;76,24;76,26;76,11;76,14;708.827,00;9.300
ARZZ3;15/06/2023;16:20:00;76,14;76,26;76,10;76,25;1.021.010,00;13.400
ARZZ3;15/06/2023;16:15:00;76,14;76,16;76,09;76,15;563.321,00;7.400
ARZZ3;15/06/2023;16:10:00;76,09;76,15;76,06;76,11;601.226,00;7.900
ARZZ3;15/06/2023;16:05:00;75,97;76,13;75,87;76,12;980.749,00;12.900
ARZZ3;15/06/2023;16:00:00;76,11;76,13;75,95;75,98;851.489,00;11.200
ARZZ3;15/06/2023;15:55:00;76,09;76,11;75,99;76,10;616.045,00;8.100
ARZZ3;15/06/2023;15:50:00;76,01;76,19;76,01;76,09;844.614,00;11.100
ARZZ3;15/06/2023;15:45:00;75,92;76,04;75,90;76,03;516.593,00;6.800
ARZZ3;15/06/2023;15:40:00;75,99;76,00;75,88;75,91;607.581,00;8.000
ARZZ3;15/06/2023;15:35:00;76,05;76,20;76,02;76,04;852.401,00;11.200
ARZZ3;15/06/2023;15:30:00;75,99;76,19;75,99;76,11;532.605,00;7.000
ARZZ3;15/06/2023;15:25:00;75,90;76,05;75,82;75,93;994.786,00;13.100
ARZZ3;15/06/2023;15:20:00;75,77;75,95;75,77;75,90;546.357,00;7.200
ARZZ3;15/06/2023;15:15:00;75,79;75,85;75,77;75,79;416.967,00;5.500
ARZZ3;15/06/2023;15:10:00;75,77;75,84;75,74;75,82;530.504,00;7.000
ARZZ3;15/06/2023;15:05:00;75,77;75,84;75,76;75,76;310.730,00;4.100
ARZZ3;15/06/2023;15:00:00;75,90;75,90;75,78;75,81;492.819,00;6.500
ARZZ3;15/06/2023;14:55:00;75,83;75,91;75,80;75,85;379.265,00;5.000
ARZZ3;15/06/2023;14:50:00;75,78;75,87;75,77;75,81;356.270,00;4.700
ARZZ3;15/06/2023;14:45:00;75,82;75,87;75,75;75,82;432.138,00;5.700
ARZZ3;15/06/2023;14:40:00;75,78;75,82;75,72;75,81;469.828,00;6.200
ARZZ3;15/06/2023;14:35:00;75,81;75,87;75,74;75,78;439.681,00;5.800
ARZZ3;15/06/2023;14:30:00;75,81;75,99;75,78;75,83;629.777,00;8.300
ARZZ3;15/06/2023;14:25:00;75,63;75,80;75,56;75,77;476.683,00;6.300
ARZZ3;15/06/2023;14:20:00;75,51;75,70;75,50;75,64;657.995,00;8.700
ARZZ3;15/06/2023;14:15:00;75,50;75,65;75,50;75,51;748.061,00;9.900
ARZZ3;15/06/2023;14:10:00;75,36;75,50;75,34;75,50;716.800,00;9.500
ARZZ3;15/06/2023;14:05:00;75,18;75,36;75,17;75,32;571.929,00;7.600
ARZZ3;15/06/2023;14:00:00;75,31;75,31;75,20;75,20;443.921,00;5.900
ARZZ3;15/06/2023;13:55:00;75,33;75,38;75,29;75,33;451.998,00;6.000
ARZZ3;15/06/2023;13:50:00;75,41;75,46;75,33;75,34;384.466,00;5.100
ARZZ3;15/06/2023;13:45:00;75,50;75,50;75,36;75,42;784.875,00;10.400
ARZZ3;15/06/2023;13:40:00;75,42;75,50;75,37;75,50;3.231.204,00;42.800
ARZZ3;15/06/2023;13:35:00;75,42;75,50;75,37;75,41;430.012,00;5.700
ARZZ3;15/06/2023;13:30:00;75,50;75,50;75,41;75,41;618.944,00;8.200
ARZZ3;15/06/2023;13:25:00;75,40;75,50;75,40;75,49;415.152,00;5.500
ARZZ3;15/06/2023;13:20:00;75,49;75,50;75,41;75,46;973.754,00;12.900
ARZZ3;15/06/2023;13:15:00;75,30;75,50;75,25;75,50;1.010.945,00;13.400
ARZZ3;15/06/2023;13:10:00;75,26;75,30;75,13;75,29;443.750,00;5.900
ARZZ3;15/06/2023;13:05:00;75,13;75,31;75,08;75,24;1.120.483,00;14.900
ARZZ3;15/06/2023;13:00:00;75,01;75,20;74,97;75,13;2.517.449,00;33.500
ARZZ3;15/06/2023;12:55:00;75,02;75,10;74,92;74,96;435.043,00;5.800
ARZZ3;15/06/2023;12:50:00;74,93;75,07;74,93;75,00;435.070,00;5.800
ARZZ3;15/06/2023;12:45:00;75,01;75,11;74,91;74,98;1.582.942,00;21.100
