Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
ASAI3;06/06/2023;11:20:00;11,55;11,57;11,55;11,55;1.060.500,00;91.800
ASAI3;06/06/2023;11:15:00;11,53;11,60;11,52;11,56;3.988.495,00;344.700
ASAI3;06/06/2023;11:10:00;11,51;11,54;11,50;11,53;1.688.379,00;146.500
ASAI3;06/06/2023;11:05:00;11,45;11,54;11,45;11,51;3.572.279,00;310.700
ASAI3;06/06/2023;11:00:00;11,49;11,50;11,43;11,44;2.965.429,00;258.700
ASAI3;06/06/2023;10:55:00;11,36;11,49;11,36;11,49;3.071.189,00;268.400
ASAI3;06/06/2023;10:50:00;11,41;11,42;11,36;11,37;1.739.188,00;152.600
ASAI3;06/06/2023;10:45:00;11,35;11,41;11,32;11,41;2.500.627,00;220.000
ASAI3;06/06/2023;10:40:00;11,34;11,39;11,34;11,36;2.799.540,00;246.500
ASAI3;06/06/2023;10:35:00;11,28;11,34;11,27;11,34;5.760.243,00;508.800
ASAI3;06/06/2023;10:30:00;11,28;11,30;11,20;11,28;3.840.223,00;341.300
ASAI3;06/06/2023;10:25:00;11,28;11,30;11,27;11,29;574.104,00;50.900
ASAI3;06/06/2023;10:20:00;11,27;11,29;11,22;11,28;3.696.832,00;328.500
ASAI3;06/06/2023;10:15:00;11,29;11,32;11,26;11,26;2.788.864,00;247.000
ASAI3;06/06/2023;10:10:00;11,31;11,33;11,28;11,29;3.383.238,00;299.200
ASAI3;06/06/2023;10:05:00;11,29;11,35;11,24;11,32;3.998.513,00;353.800
ASAI3;06/06/2023;10:00:00;11,26;11,39;11,26;11,30;1.792.093,00;158.700
ASAI3;05/06/2023;17:30:00;11,16;11,29;11,16;11,24;3.046.815,00;271.600
ASAI3;05/06/2023;16:50:00;11,16;11,17;11,14;11,16;40.340.934,00;3.615.000
ASAI3;05/06/2023;16:45:00;11,14;11,17;11,14;11,14;4.797.942,00;430.100
ASAI3;05/06/2023;16:40:00;11,14;11,18;11,14;11,14;2.219.630,00;199.000
ASAI3;05/06/2023;16:35:00;11,16;11,19;11,14;11,14;4.494.640,00;402.700
ASAI3;05/06/2023;16:30:00;11,18;11,19;11,14;11,16;3.861.856,00;346.100
ASAI3;05/06/2023;16:25:00;11,19;11,20;11,15;11,18;4.036.069,00;361.200
ASAI3;05/06/2023;16:20:00;11,23;11,23;11,17;11,19;2.180.379,00;194.700
ASAI3;05/06/2023;16:15:00;11,23;11,25;11,21;11,23;990.533,00;88.200
ASAI3;05/06/2023;16:10:00;11,17;11,24;11,15;11,24;3.913.760,00;349.900
ASAI3;05/06/2023;16:05:00;11,19;11,19;11,17;11,17;782.719,00;70.000
ASAI3;05/06/2023;16:00:00;11,17;11,19;11,17;11,18;990.702,00;88.600
ASAI3;05/06/2023;15:55:00;11,18;11,20;11,17;11,17;517.931,00;46.300
ASAI3;05/06/2023;15:50:00;11,15;11,19;11,13;11,18;4.107.985,00;368.200
ASAI3;05/06/2023;15:45:00;11,16;11,17;11,14;11,15;2.306.338,00;206.800
ASAI3;05/06/2023;15:40:00;11,16;11,18;11,16;11,17;1.452.589,00;130.000
