Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AURE3;16/06/2023;17:30:00;14,57;14,60;14,57;14,58;43.720,00;3.000
AURE3;16/06/2023;16:45:00;14,61;14,62;14,54;14,58;11.413.041,00;782.800
AURE3;16/06/2023;16:40:00;14,58;14,62;14,58;14,62;293.359,00;20.100
AURE3;16/06/2023;16:35:00;14,59;14,61;14,58;14,58;786.501,00;53.900
AURE3;16/06/2023;16:30:00;14,62;14,63;14,59;14,59;651.708,00;44.600
AURE3;16/06/2023;16:25:00;14,61;14,62;14,58;14,62;3.280.190,00;224.800
AURE3;16/06/2023;16:20:00;14,62;14,64;14,60;14,61;1.143.187,00;78.200
AURE3;16/06/2023;16:15:00;14,66;14,66;14,62;14,62;709.727,00;48.500
AURE3;16/06/2023;16:10:00;14,68;14,69;14,64;14,66;859.061,00;58.600
AURE3;16/06/2023;16:05:00;14,71;14,71;14,67;14,68;515.603,00;35.100
AURE3;16/06/2023;16:00:00;14,70;14,71;14,69;14,71;251.468,00;17.100
AURE3;16/06/2023;15:55:00;14,71;14,72;14,68;14,69;514.552,00;35.000
AURE3;16/06/2023;15:50:00;14,72;14,74;14,71;14,72;563.846,00;38.300
AURE3;16/06/2023;15:45:00;14,73;14,74;14,72;14,72;783.928,00;53.200
AURE3;16/06/2023;15:40:00;14,72;14,74;14,71;14,72;331.361,00;22.500
AURE3;16/06/2023;15:35:00;14,72;14,73;14,71;14,72;404.873,00;27.500
AURE3;16/06/2023;15:30:00;14,72;14,74;14,71;14,73;306.369,00;20.800
AURE3;16/06/2023;15:25:00;14,72;14,73;14,70;14,73;347.272,00;23.600
AURE3;16/06/2023;15:20:00;14,73;14,74;14,71;14,72;443.309,00;30.100
AURE3;16/06/2023;15:15:00;14,72;14,74;14,71;14,73;468.356,00;31.800
AURE3;16/06/2023;15:10:00;14,74;14,77;14,70;14,72;4.075.675,00;276.800
AURE3;16/06/2023;15:05:00;14,74;14,77;14,73;14,74;620.741,00;42.100
AURE3;16/06/2023;15:00:00;14,77;14,78;14,73;14,75;1.570.289,00;106.400
AURE3;16/06/2023;14:55:00;14,79;14,80;14,69;14,78;3.704.848,00;251.100
AURE3;16/06/2023;14:50:00;14,78;14,80;14,77;14,78;1.005.608,00;68.000
AURE3;16/06/2023;14:45:00;14,80;14,82;14,77;14,79;1.349.190,00;91.200
AURE3;16/06/2023;14:40:00;14,79;14,81;14,79;14,80;2.597.805,00;175.600
AURE3;16/06/2023;14:35:00;14,75;14,82;14,75;14,80;1.882.627,00;127.300
