Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AZEV4;06/06/2023;11:20:00;1,68;1,69;1,67;1,69;12.194,00;7.300
AZEV4;06/06/2023;11:15:00;1,68;1,68;1,68;1,68;1.680,00;1.000
AZEV4;06/06/2023;11:05:00;1,68;1,68;1,68;1,68;168,00;100
AZEV4;06/06/2023;11:00:00;1,69;1,69;1,68;1,68;505,00;300
AZEV4;06/06/2023;10:55:00;1,71;1,71;1,68;1,70;3.385,00;2.000
AZEV4;06/06/2023;10:50:00;1,70;1,70;1,70;1,70;4.930,00;2.900
AZEV4;06/06/2023;10:45:00;1,70;1,70;1,68;1,70;10.313,00;6.100
AZEV4;06/06/2023;10:40:00;1,70;1,70;1,68;1,70;3.876,00;2.300
AZEV4;06/06/2023;10:35:00;1,68;1,70;1,68;1,70;18.650,00;11.100
AZEV4;06/06/2023;10:30:00;1,69;1,74;1,68;1,68;101.238,00;59.300
AZEV4;06/06/2023;10:25:00;1,68;1,68;1,68;1,68;20.496,00;12.200
AZEV4;06/06/2023;10:20:00;1,65;1,69;1,65;1,68;33.955,00;20.200
AZEV4;06/06/2023;10:15:00;1,66;1,68;1,65;1,65;7.006,00;4.200
AZEV4;06/06/2023;10:10:00;1,66;1,67;1,65;1,65;6.813,00;4.100
AZEV4;06/06/2023;10:05:00;1,68;1,68;1,67;1,67;9.536,00;5.700
AZEV4;06/06/2023;10:00:00;1,66;1,69;1,61;1,69;41.975,00;25.400
AZEV4;05/06/2023;17:30:00;1,62;1,66;1,61;1,66;44.758,00;27.300
AZEV4;05/06/2023;16:50:00;1,64;1,65;1,62;1,63;34.259,00;20.900
AZEV4;05/06/2023;16:45:00;1,63;1,63;1,63;1,63;5.053,00;3.100
AZEV4;05/06/2023;16:40:00;1,65;1,65;1,65;1,65;4.950,00;3.000
AZEV4;05/06/2023;16:35:00;1,62;1,65;1,62;1,65;3.270,00;2.000
AZEV4;05/06/2023;16:30:00;1,64;1,64;1,63;1,63;5.067,00;3.100
AZEV4;05/06/2023;16:25:00;1,62;1,64;1,62;1,63;19.940,00;12.200
AZEV4;05/06/2023;16:20:00;1,62;1,62;1,62;1,62;12.960,00;8.000
AZEV4;05/06/2023;16:15:00;1,63;1,63;1,63;1,63;4.075,00;2.500
AZEV4;05/06/2023;16:10:00;1,62;1,62;1,62;1,62;8.100,00;5.000
AZEV4;05/06/2023;15:55:00;1,64;1,64;1,64;1,64;164,00;100
AZEV4;05/06/2023;15:50:00;1,65;1,65;1,63;1,63;980,00;600
AZEV4;05/06/2023;15:40:00;1,63;1,64;1,63;1,64;67.230,00;41.000
AZEV4;05/06/2023;15:35:00;1,63;1,63;1,63;1,63;326,00;200
AZEV4;05/06/2023;15:25:00;1,63;1,64;1,62;1,62;46.023,00;28.300
AZEV4;05/06/2023;15:20:00;1,64;1,64;1,64;1,64;4.264,00;2.600
AZEV4;05/06/2023;15:15:00;1,65;1,65;1,64;1,64;821,00;500
AZEV4;05/06/2023;15:10:00;1,64;1,64;1,64;1,64;2.788,00;1.700
AZEV4;05/06/2023;15:05:00;1,65;1,65;1,65;1,65;14.850,00;9.000
AZEV4;05/06/2023;15:00:00;1,65;1,65;1,64;1,64;11.818,00;7.200
