Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
AZUL4;16/06/2023;17:30:00;20,61;20,63;20,59;20,59;1.141.919,00;55.400
AZUL4;16/06/2023;16:45:00;20,68;20,68;20,60;20,61;19.913.077,00;965.900
AZUL4;16/06/2023;16:40:00;20,71;20,71;20,65;20,68;2.479.074,00;119.900
AZUL4;16/06/2023;16:35:00;20,68;20,71;20,67;20,70;1.984.177,00;95.900
AZUL4;16/06/2023;16:30:00;20,68;20,71;20,65;20,68;1.592.390,00;77.000
AZUL4;16/06/2023;16:25:00;20,65;20,69;20,64;20,67;2.558.355,00;123.800
AZUL4;16/06/2023;16:20:00;20,69;20,69;20,61;20,65;2.587.760,00;125.300
AZUL4;16/06/2023;16:15:00;20,67;20,76;20,67;20,69;5.060.805,00;244.300
AZUL4;16/06/2023;16:10:00;20,69;20,69;20,66;20,67;961.354,00;46.500
AZUL4;16/06/2023;16:05:00;20,69;20,70;20,66;20,69;1.825.559,00;88.300
AZUL4;16/06/2023;16:00:00;20,72;20,77;20,70;20,70;1.745.856,00;84.200
AZUL4;16/06/2023;15:55:00;20,75;20,77;20,69;20,72;1.521.035,00;73.400
AZUL4;16/06/2023;15:50:00;20,76;20,77;20,74;20,75;1.282.517,00;61.800
AZUL4;16/06/2023;15:45:00;20,76;20,77;20,71;20,75;1.495.826,00;72.100
AZUL4;16/06/2023;15:40:00;20,69;20,79;20,68;20,77;4.693.040,00;226.300
AZUL4;16/06/2023;15:35:00;20,70;20,72;20,67;20,70;995.615,00;48.100
AZUL4;16/06/2023;15:30:00;20,64;20,71;20,61;20,71;3.982.481,00;192.900
AZUL4;16/06/2023;15:25:00;20,60;20,65;20,57;20,65;4.572.467,00;222.000
AZUL4;16/06/2023;15:20:00;20,68;20,68;20,58;20,61;2.249.677,00;109.100
AZUL4;16/06/2023;15:15:00;20,64;20,69;20,62;20,67;2.310.230,00;111.900
AZUL4;16/06/2023;15:10:00;20,72;20,72;20,58;20,64;5.367.608,00;260.100
AZUL4;16/06/2023;15:05:00;20,73;20,79;20,69;20,71;2.124.479,00;102.400
AZUL4;16/06/2023;15:00:00;20,74;20,74;20,70;20,73;2.159.137,00;104.200
AZUL4;16/06/2023;14:55:00;20,78;20,79;20,67;20,74;6.176.603,00;298.100
AZUL4;16/06/2023;14:50:00;20,86;20,87;20,75;20,77;3.725.086,00;179.000
AZUL4;16/06/2023;14:45:00;20,76;20,87;20,75;20,85;4.370.323,00;209.800
AZUL4;16/06/2023;14:40:00;20,82;20,83;20,73;20,75;3.047.516,00;146.600
AZUL4;16/06/2023;14:35:00;20,67;20,83;20,67;20,82;8.282.593,00;398.700
AZUL4;16/06/2023;14:30:00;20,65;20,68;20,64;20,68;1.591.121,00;77.000
AZUL4;16/06/2023;14:25:00;20,64;20,68;20,64;20,65;386.271,00;18.700
AZUL4;16/06/2023;14:20:00;20,66;20,68;20,62;20,65;968.666,00;46.900
AZUL4;16/06/2023;14:15:00;20,65;20,69;20,64;20,66;632.057,00;30.600
AZUL4;16/06/2023;14:10:00;20,68;20,68;20,64;20,65;1.014.355,00;49.100
AZUL4;16/06/2023;14:05:00;20,72;20,73;20,64;20,69;1.774.492,00;85.800
AZUL4;16/06/2023;14:00:00;20,70;20,74;20,67;20,72;2.079.015,00;100.400
AZUL4;16/06/2023;13:55:00;20,65;20,75;20,65;20,71;3.195.764,00;154.400
AZUL4;16/06/2023;13:50:00;20,60;20,65;20,60;20,65;2.965.068,00;143.700
AZUL4;16/06/2023;13:45:00;20,57;20,64;20,56;20,62;3.288.336,00;159.600
AZUL4;16/06/2023;13:40:00;20,54;20,59;20,54;20,58;1.032.760,00;50.200
AZUL4;16/06/2023;13:35:00;20,56;20,58;20,53;20,55;1.164.885,00;56.700
AZUL4;16/06/2023;13:30:00;20,58;20,62;20,53;20,57;1.355.391,00;65.900
AZUL4;16/06/2023;13:25:00;20,58;20,60;20,55;20,58;1.142.146,00;55.500
AZUL4;16/06/2023;13:20:00;20,55;20,60;20,53;20,58;1.877.540,00;91.300
AZUL4;16/06/2023;13:15:00;20,61;20,61;20,56;20,56;666.975,00;32.400
AZUL4;16/06/2023;13:10:00;20,66;20,67;20,61;20,62;1.337.498,00;64.800
AZUL4;16/06/2023;13:05:00;20,65;20,69;20,62;20,65;3.458.510,00;167.400
AZUL4;16/06/2023;13:00:00;20,55;20,64;20,55;20,64;1.099.123,00;53.400
AZUL4;16/06/2023;12:55:00;20,60;20,62;20,56;20,56;1.202.614,00;58.400
AZUL4;16/06/2023;12:50:00;20,64;20,64;20,55;20,61;866.430,00;42.100
AZUL4;16/06/2023;12:45:00;20,56;20,63;20,54;20,63;1.489.323,00;72.300
AZUL4;16/06/2023;12:40:00;20,52;20,58;20,52;20,55;425.315,00;20.700
AZUL4;16/06/2023;12:35:00;20,60;20,64;20,52;20,52;1.109.250,00;53.900
AZUL4;16/06/2023;12:30:00;20,58;20,62;20,53;20,60;1.369.273,00;66.500
AZUL4;16/06/2023;12:25:00;20,55;20,59;20,53;20,58;775.211,00;37.700
