Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
B3SA3;06/06/2023;11:20:00;14,56;14,57;14,55;14,56;688.646,00;47.300
B3SA3;06/06/2023;11:15:00;14,53;14,60;14,53;14,55;18.963.794,00;1.300.200
B3SA3;06/06/2023;11:10:00;14,58;14,58;14,51;14,53;12.143.064,00;835.200
B3SA3;06/06/2023;11:05:00;14,60;14,60;14,56;14,58;20.093.854,00;1.376.700
B3SA3;06/06/2023;11:00:00;14,65;14,68;14,58;14,60;25.531.313,00;1.746.700
B3SA3;06/06/2023;10:55:00;14,62;14,70;14,61;14,64;15.077.094,00;1.027.800
B3SA3;06/06/2023;10:50:00;14,61;14,62;14,57;14,62;3.461.563,00;237.100
B3SA3;06/06/2023;10:45:00;14,61;14,62;14,57;14,62;970.699,00;66.500
B3SA3;06/06/2023;10:40:00;14,63;14,63;14,59;14,60;1.363.574,00;93.400
B3SA3;06/06/2023;10:35:00;14,61;14,66;14,59;14,62;2.363.390,00;161.500
B3SA3;06/06/2023;10:30:00;14,59;14,65;14,58;14,61;3.752.030,00;256.700
B3SA3;06/06/2023;10:25:00;14,60;14,61;14,53;14,58;4.610.904,00;316.600
B3SA3;06/06/2023;10:20:00;14,65;14,65;14,57;14,60;8.240.740,00;564.500
B3SA3;06/06/2023;10:15:00;14,56;14,68;14,55;14,65;11.834.693,00;808.400
B3SA3;06/06/2023;10:10:00;14,57;14,57;14,54;14,57;3.904.404,00;268.100
B3SA3;06/06/2023;10:05:00;14,53;14,58;14,53;14,57;2.955.831,00;203.000
B3SA3;06/06/2023;10:00:00;14,51;14,57;14,49;14,52;1.490.492,00;102.600
B3SA3;05/06/2023;17:30:00;14,45;14,46;14,42;14,42;509.846,00;35.300
B3SA3;05/06/2023;16:50:00;14,53;14,54;14,46;14,46;57.728.244,00;3.990.900
B3SA3;05/06/2023;16:45:00;14,52;14,56;14,50;14,53;17.086.221,00;1.175.400
B3SA3;05/06/2023;16:40:00;14,52;14,53;14,50;14,51;6.780.574,00;467.200
B3SA3;05/06/2023;16:35:00;14,48;14,53;14,48;14,53;6.434.414,00;443.900
B3SA3;05/06/2023;16:30:00;14,50;14,54;14,47;14,48;9.071.918,00;625.200
B3SA3;05/06/2023;16:25:00;14,46;14,50;14,45;14,50;8.556.130,00;591.000
B3SA3;05/06/2023;16:20:00;14,41;14,48;14,39;14,46;12.749.250,00;884.100
B3SA3;05/06/2023;16:15:00;14,36;14,42;14,35;14,41;48.293.673,00;3.362.400
B3SA3;05/06/2023;16:10:00;14,36;14,39;14,35;14,36;6.846.911,00;476.400
B3SA3;05/06/2023;16:05:00;14,39;14,40;14,36;14,37;4.377.965,00;304.300
B3SA3;05/06/2023;16:00:00;14,40;14,40;14,38;14,39;4.062.095,00;282.300
B3SA3;05/06/2023;15:55:00;14,40;14,42;14,38;14,40;3.608.450,00;250.600
B3SA3;05/06/2023;15:50:00;14,39;14,43;14,38;14,40;42.074.005,00;2.923.100
B3SA3;05/06/2023;15:45:00;14,38;14,39;14,37;14,38;2.944.329,00;204.700
B3SA3;05/06/2023;15:40:00;14,37;14,39;14,36;14,38;2.512.407,00;174.700
B3SA3;05/06/2023;15:35:00;14,36;14,38;14,36;14,36;2.774.057,00;193.100
B3SA3;05/06/2023;15:30:00;14,40;14,41;14,36;14,37;4.528.407,00;314.600
B3SA3;05/06/2023;15:25:00;14,40;14,42;14,36;14,40;21.063.663,00;1.463.600
B3SA3;05/06/2023;15:20:00;14,40;14,41;14,39;14,40;2.286.833,00;158.800
B3SA3;05/06/2023;15:15:00;14,40;14,41;14,39;14,40;1.480.156,00;102.800
B3SA3;05/06/2023;15:10:00;14,42;14,42;14,38;14,40;3.507.566,00;243.600
B3SA3;05/06/2023;15:05:00;14,45;14,45;14,39;14,41;5.218.005,00;362.100
B3SA3;05/06/2023;15:00:00;14,46;14,49;14,44;14,44;6.433.468,00;444.600
B3SA3;05/06/2023;14:55:00;14,39;14,46;14,38;14,46;12.944.997,00;898.200
B3SA3;05/06/2023;14:50:00;14,39;14,41;14,38;14,39;1.501.878,00;104.300
B3SA3;05/06/2023;14:45:00;14,42;14,44;14,39;14,40;18.464.171,00;1.281.300
B3SA3;05/06/2023;14:40:00;14,41;14,42;14,40;14,41;1.363.586,00;94.600
B3SA3;05/06/2023;14:35:00;14,43;14,44;14,40;14,41;8.623.032,00;598.000
B3SA3;05/06/2023;14:30:00;14,43;14,46;14,42;14,44;2.862.010,00;198.200
B3SA3;05/06/2023;14:25:00;14,44;14,44;14,41;14,43;2.129.053,00;147.600
B3SA3;05/06/2023;14:20:00;14,44;14,44;14,43;14,44;955.809,00;66.200
B3SA3;05/06/2023;14:15:00;14,45;14,46;14,43;14,44;2.216.517,00;153.500
B3SA3;05/06/2023;14:10:00;14,37;14,46;14,37;14,45;24.750.939,00;1.720.600
B3SA3;05/06/2023;14:05:00;14,35;14,37;14,33;14,37;4.011.284,00;279.600
B3SA3;05/06/2023;14:00:00;14,35;14,35;14,33;14,35;6.512.277,00;453.900
B3SA3;05/06/2023;13:55:00;14,35;14,36;14,34;14,35;1.718.511,00;119.800
B3SA3;05/06/2023;13:50:00;14,36;14,37;14,34;14,35;7.395.217,00;515.300
B3SA3;05/06/2023;13:45:00;14,35;14,36;14,34;14,35;1.432.060,00;99.800
B3SA3;05/06/2023;13:40:00;14,34;14,35;14,33;14,35;651.316,00;45.400
B3SA3;05/06/2023;13:35:00;14,35;14,38;14,33;14,34;7.682.826,00;535.200
B3SA3;05/06/2023;13:30:00;14,35;14,35;14,34;14,35;1.074.662,00;74.900
B3SA3;05/06/2023;13:25:00;14,32;14,35;14,32;14,35;827.381,00;57.700
B3SA3;05/06/2023;13:20:00;14,34;14,34;14,31;14,33;2.775.384,00;193.700
B3SA3;05/06/2023;13:15:00;14,34;14,34;14,33;14,34;1.147.080,00;80.000
