Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BBAS3;16/06/2023;17:30:00;49,37;49,64;49,37;49,62;1.657.627,00;33.500
BBAS3;16/06/2023;16:45:00;49,32;49,49;49,30;49,49;321.490.860,00;6.496.500
BBAS3;16/06/2023;16:40:00;49,36;49,36;49,26;49,31;6.749.167,00;136.900
BBAS3;16/06/2023;16:35:00;49,42;49,43;49,35;49,35;5.917.389,00;119.800
BBAS3;16/06/2023;16:30:00;49,31;49,43;49,28;49,43;7.902.915,00;160.100
BBAS3;16/06/2023;16:25:00;49,33;49,33;49,28;49,31;5.822.797,00;118.100
BBAS3;16/06/2023;16:20:00;49,35;49,36;49,31;49,33;7.470.480,00;151.400
BBAS3;16/06/2023;16:15:00;49,39;49,39;49,33;49,36;5.902.517,00;119.600
BBAS3;16/06/2023;16:10:00;49,41;49,42;49,37;49,38;4.114.372,00;83.300
BBAS3;16/06/2023;16:05:00;49,41;49,42;49,40;49,41;4.022.049,00;81.400
BBAS3;16/06/2023;16:00:00;49,38;49,42;49,34;49,41;6.123.353,00;124.000
BBAS3;16/06/2023;15:55:00;49,38;49,39;49,33;49,37;35.761.993,00;724.500
BBAS3;16/06/2023;15:50:00;49,35;49,38;49,35;49,37;4.566.423,00;92.500
BBAS3;16/06/2023;15:45:00;49,38;49,39;49,32;49,35;4.471.162,00;90.600
BBAS3;16/06/2023;15:40:00;49,35;49,39;49,32;49,38;5.336.132,00;108.100
BBAS3;16/06/2023;15:35:00;49,43;49,44;49,35;49,35;4.229.087,00;85.600
BBAS3;16/06/2023;15:30:00;49,41;49,47;49,39;49,43;4.904.286,00;99.200
BBAS3;16/06/2023;15:25:00;49,39;49,45;49,38;49,41;4.165.535,00;84.300
BBAS3;16/06/2023;15:20:00;49,36;49,40;49,36;49,40;3.269.154,00;66.200
BBAS3;16/06/2023;15:15:00;49,30;49,38;49,27;49,36;5.292.052,00;107.300
BBAS3;16/06/2023;15:10:00;49,30;49,33;49,25;49,30;5.466.846,00;110.900
BBAS3;16/06/2023;15:05:00;49,46;49,47;49,30;49,31;8.870.508,00;179.600
BBAS3;16/06/2023;15:00:00;49,52;49,52;49,46;49,46;4.692.585,00;94.800
BBAS3;16/06/2023;14:55:00;49,47;49,52;49,46;49,51;3.558.310,00;71.900
BBAS3;16/06/2023;14:50:00;49,45;49,47;49,44;49,46;3.348.273,00;67.700
BBAS3;16/06/2023;14:45:00;49,45;49,47;49,43;49,45;1.943.312,00;39.300
BBAS3;16/06/2023;14:40:00;49,46;49,47;49,43;49,44;3.248.693,00;65.700
BBAS3;16/06/2023;14:35:00;49,47;49,48;49,45;49,46;2.171.476,00;43.900
BBAS3;16/06/2023;14:30:00;49,48;49,49;49,45;49,48;1.899.652,00;38.400
BBAS3;16/06/2023;14:25:00;49,46;49,50;49,45;49,49;2.275.755,00;46.000
BBAS3;16/06/2023;14:20:00;49,45;49,52;49,45;49,46;2.612.773,00;52.800
BBAS3;16/06/2023;14:15:00;49,47;49,52;49,44;49,46;5.566.779,00;112.500
BBAS3;16/06/2023;14:10:00;49,50;49,50;49,45;49,48;3.067.567,00;62.000
BBAS3;16/06/2023;14:05:00;49,51;49,51;49,48;49,49;3.127.988,00;63.200
BBAS3;16/06/2023;14:00:00;49,57;49,61;49,51;49,52;5.665.601,00;114.300
BBAS3;16/06/2023;13:55:00;49,49;49,61;49,48;49,57;6.272.992,00;126.600
BBAS3;16/06/2023;13:50:00;49,47;49,52;49,45;49,49;5.883.996,00;118.900
BBAS3;16/06/2023;13:45:00;49,49;49,49;49,45;49,47;1.652.413,00;33.400
BBAS3;16/06/2023;13:40:00;49,46;49,50;49,42;49,49;4.545.207,00;91.900
