Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BBDC3;06/06/2023;11:20:00;14,04;14,04;14,02;14,02;89.836,00;6.400
BBDC3;06/06/2023;11:15:00;14,05;14,05;14,03;14,04;219.013,00;15.600
BBDC3;06/06/2023;11:10:00;14,05;14,06;14,04;14,06;119.434,00;8.500
BBDC3;06/06/2023;11:05:00;14,03;14,06;14,03;14,05;1.627.740,00;115.900
BBDC3;06/06/2023;11:00:00;14,01;14,04;14,01;14,03;461.484,00;32.900
BBDC3;06/06/2023;10:55:00;14,00;14,03;14,00;14,01;140.175,00;10.000
BBDC3;06/06/2023;10:50:00;14,03;14,04;13,98;13,98;179.345,00;12.800
BBDC3;06/06/2023;10:45:00;14,04;14,04;14,01;14,03;123.501,00;8.800
BBDC3;06/06/2023;10:40:00;14,01;14,04;14,00;14,04;304.305,00;21.700
BBDC3;06/06/2023;10:35:00;14,00;14,04;14,00;14,01;315.199,00;22.500
BBDC3;06/06/2023;10:30:00;14,00;14,04;14,00;14,01;1.653.696,00;117.900
BBDC3;06/06/2023;10:25:00;14,03;14,03;14,00;14,01;291.490,00;20.800
BBDC3;06/06/2023;10:20:00;14,02;14,02;14,00;14,02;1.039.786,00;74.200
BBDC3;06/06/2023;10:15:00;14,04;14,05;14,00;14,02;1.571.174,00;112.000
BBDC3;06/06/2023;10:10:00;13,97;14,05;13,97;14,04;3.081.513,00;220.200
BBDC3;06/06/2023;10:05:00;13,94;13,99;13,92;13,99;1.610.666,00;115.300
BBDC3;06/06/2023;10:00:00;13,90;13,97;13,90;13,95;470.997,00;33.800
BBDC3;05/06/2023;17:30:00;13,90;13,95;13,87;13,89;172.246,00;12.400
BBDC3;05/06/2023;16:50:00;13,96;13,96;13,89;13,89;11.710.348,00;842.700
BBDC3;05/06/2023;16:45:00;13,94;13,96;13,92;13,95;2.966.212,00;212.700
BBDC3;05/06/2023;16:40:00;13,93;13,94;13,92;13,94;242.481,00;17.400
BBDC3;05/06/2023;16:35:00;13,93;13,94;13,91;13,93;5.073.091,00;364.200
BBDC3;05/06/2023;16:30:00;13,94;13,97;13,92;13,93;1.753.439,00;125.800
BBDC3;05/06/2023;16:25:00;13,92;13,94;13,91;13,94;1.409.380,00;101.200
BBDC3;05/06/2023;16:20:00;13,91;13,93;13,90;13,92;1.163.125,00;83.600
BBDC3;05/06/2023;16:15:00;13,92;13,92;13,89;13,90;689.431,00;49.600
BBDC3;05/06/2023;16:10:00;13,91;13,92;13,87;13,92;1.763.058,00;126.900
BBDC3;05/06/2023;16:05:00;13,89;13,92;13,89;13,91;1.135.871,00;81.700
BBDC3;05/06/2023;16:00:00;13,86;13,89;13,86;13,89;1.144.562,00;82.500
BBDC3;05/06/2023;15:55:00;13,84;13,87;13,83;13,87;1.060.671,00;76.600
BBDC3;05/06/2023;15:50:00;13,81;13,84;13,79;13,84;466.042,00;33.700
BBDC3;05/06/2023;15:45:00;13,80;13,81;13,79;13,81;404.263,00;29.300
BBDC3;05/06/2023;15:40:00;13,79;13,81;13,79;13,81;703.818,00;51.000
BBDC3;05/06/2023;15:35:00;13,77;13,79;13,77;13,79;59.266,00;4.300
BBDC3;05/06/2023;15:30:00;13,79;13,80;13,77;13,78;97.893,00;7.100
BBDC3;05/06/2023;15:25:00;13,80;13,80;13,77;13,79;283.925,00;20.600
BBDC3;05/06/2023;15:20:00;13,80;13,81;13,80;13,81;26.223,00;1.900
BBDC3;05/06/2023;15:15:00;13,80;13,81;13,79;13,81;52.448,00;3.800
BBDC3;05/06/2023;15:10:00;13,80;13,80;13,78;13,79;66.196,00;4.800
BBDC3;05/06/2023;15:05:00;13,83;13,83;13,78;13,78;1.622.679,00;117.500
BBDC3;05/06/2023;15:00:00;13,79;13,83;13,78;13,83;1.450.202,00;105.000
BBDC3;05/06/2023;14:55:00;13,77;13,79;13,76;13,79;108.847,00;7.900
BBDC3;05/06/2023;14:50:00;13,77;13,77;13,76;13,77;323.594,00;23.500
BBDC3;05/06/2023;14:45:00;13,77;13,77;13,76;13,76;41.299,00;3.000
BBDC3;05/06/2023;14:40:00;13,75;13,77;13,75;13,77;111.454,00;8.100
BBDC3;05/06/2023;14:35:00;13,76;13,77;13,75;13,76;68.794,00;5.000
BBDC3;05/06/2023;14:30:00;13,77;13,78;13,76;13,76;60.577,00;4.400
BBDC3;05/06/2023;14:25:00;13,78;13,78;13,77;13,78;123.982,00;9.000
BBDC3;05/06/2023;14:20:00;13,77;13,78;13,77;13,78;16.531,00;1.200
