Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BBSE3;06/06/2023;11:20:00;31,02;31,03;30,98;30,98;167.494,00;5.400
BBSE3;06/06/2023;11:15:00;31,06;31,07;30,98;31,02;2.487.744,00;80.200
BBSE3;06/06/2023;11:10:00;31,06;31,08;31,04;31,05;944.194,00;30.400
BBSE3;06/06/2023;11:05:00;31,07;31,13;31,05;31,06;1.396.127,00;44.900
BBSE3;06/06/2023;11:00:00;31,18;31,21;31,04;31,07;3.556.690,00;114.300
BBSE3;06/06/2023;10:55:00;31,18;31,20;31,17;31,18;361.748,00;11.600
BBSE3;06/06/2023;10:50:00;31,20;31,23;31,17;31,18;446.109,00;14.300
BBSE3;06/06/2023;10:45:00;31,22;31,25;31,19;31,19;415.388,00;13.300
BBSE3;06/06/2023;10:40:00;31,24;31,25;31,22;31,24;493.443,00;15.800
BBSE3;06/06/2023;10:35:00;31,19;31,27;31,19;31,24;674.922,00;21.600
BBSE3;06/06/2023;10:30:00;31,25;31,28;31,19;31,19;846.819,00;27.100
BBSE3;06/06/2023;10:25:00;31,16;31,26;31,14;31,25;898.030,00;28.800
BBSE3;06/06/2023;10:20:00;31,16;31,18;31,07;31,18;597.509,00;19.200
BBSE3;06/06/2023;10:15:00;31,20;31,23;31,15;31,17;764.060,00;24.500
BBSE3;06/06/2023;10:10:00;31,25;31,26;31,16;31,20;973.271,00;31.200
BBSE3;06/06/2023;10:05:00;31,22;31,28;31,13;31,25;1.267.470,00;40.600
BBSE3;06/06/2023;10:00:00;31,05;31,27;31,05;31,26;1.140.556,00;36.600
BBSE3;05/06/2023;17:30:00;31,06;31,11;31,03;31,10;298.315,00;9.600
BBSE3;05/06/2023;16:50:00;31,09;31,10;31,02;31,04;12.245.038,00;394.400
BBSE3;05/06/2023;16:45:00;31,05;31,09;31,04;31,08;1.764.478,00;56.800
BBSE3;05/06/2023;16:40:00;31,08;31,10;31,03;31,05;1.385.412,00;44.600
BBSE3;05/06/2023;16:35:00;31,07;31,08;31,04;31,08;1.851.088,00;59.600
BBSE3;05/06/2023;16:30:00;31,05;31,11;31,05;31,07;3.615.144,00;116.300
BBSE3;05/06/2023;16:25:00;30,96;31,05;30,96;31,05;1.999.564,00;64.500
BBSE3;05/06/2023;16:20:00;30,95;30,97;30,95;30,96;1.687.328,00;54.500
BBSE3;05/06/2023;16:15:00;30,98;30,98;30,95;30,95;1.238.331,00;40.000
BBSE3;05/06/2023;16:10:00;31,01;31,02;30,95;30,97;2.449.890,00;79.100
BBSE3;05/06/2023;16:05:00;30,98;31,03;30,98;31,01;2.058.507,00;66.400
BBSE3;05/06/2023;16:00:00;30,99;31,00;30,97;30,98;1.747.410,00;56.400
BBSE3;05/06/2023;15:55:00;30,99;31,00;30,98;30,99;842.830,00;27.200
BBSE3;05/06/2023;15:50:00;30,95;31,00;30,95;30,99;2.097.066,00;67.700
BBSE3;05/06/2023;15:45:00;30,97;30,98;30,93;30,95;2.476.262,00;80.000
BBSE3;05/06/2023;15:40:00;30,98;31,00;30,97;30,97;1.301.520,00;42.000
BBSE3;05/06/2023;15:35:00;31,03;31,06;30,97;30,99;2.860.358,00;92.200
BBSE3;05/06/2023;15:30:00;31,03;31,04;31,00;31,02;883.961,00;28.500
BBSE3;05/06/2023;15:25:00;31,05;31,05;31,01;31,03;964.918,00;31.100
BBSE3;05/06/2023;15:20:00;31,07;31,08;31,03;31,04;894.529,00;28.800
BBSE3;05/06/2023;15:15:00;31,12;31,14;31,07;31,07;1.980.923,00;63.700
BBSE3;05/06/2023;15:10:00;31,10;31,13;31,10;31,12;507.147,00;16.300
BBSE3;05/06/2023;15:05:00;31,12;31,12;31,09;31,10;609.655,00;19.600
BBSE3;05/06/2023;15:00:00;31,13;31,17;31,12;31,12;1.273.961,00;40.900
BBSE3;05/06/2023;14:55:00;31,08;31,13;31,08;31,12;895.900,00;28.800
BBSE3;05/06/2023;14:50:00;31,10;31,11;31,08;31,09;534.832,00;17.200
BBSE3;05/06/2023;14:45:00;31,08;31,15;31,07;31,10;1.356.374,00;43.600
BBSE3;05/06/2023;14:40:00;31,09;31,09;31,07;31,08;584.296,00;18.800
BBSE3;05/06/2023;14:35:00;31,08;31,10;31,08;31,09;596.901,00;19.200
BBSE3;05/06/2023;14:30:00;31,09;31,10;31,08;31,08;345.114,00;11.100
BBSE3;05/06/2023;14:25:00;31,07;31,10;31,07;31,09;892.018,00;28.700
