Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BEEF3;16/06/2023;17:30:00;11,16;11,16;11,12;11,15;66.889,00;6.000
BEEF3;16/06/2023;16:45:00;11,18;11,20;11,16;11,16;47.282.400,00;4.236.400
BEEF3;16/06/2023;16:40:00;11,17;11,19;11,16;11,19;1.779.374,00;159.200
BEEF3;16/06/2023;16:35:00;11,16;11,18;11,14;11,17;1.676.214,00;150.200
BEEF3;16/06/2023;16:30:00;11,12;11,17;11,11;11,17;1.651.917,00;148.200
BEEF3;16/06/2023;16:25:00;11,15;11,17;11,11;11,12;1.277.780,00;114.700
BEEF3;16/06/2023;16:20:00;11,13;11,17;11,12;11,16;1.924.657,00;172.700
BEEF3;16/06/2023;16:15:00;11,13;11,15;11,13;11,14;1.011.131,00;90.800
BEEF3;16/06/2023;16:10:00;11,15;11,17;11,13;11,14;1.450.043,00;130.100
BEEF3;16/06/2023;16:05:00;11,11;11,16;11,11;11,16;1.185.946,00;106.500
BEEF3;16/06/2023;16:00:00;11,11;11,13;11,11;11,11;800.361,00;72.000
BEEF3;16/06/2023;15:55:00;11,10;11,14;11,10;11,11;1.545.557,00;139.100
BEEF3;16/06/2023;15:50:00;11,12;11,13;11,10;11,11;1.127.647,00;101.500
BEEF3;16/06/2023;15:45:00;11,11;11,13;11,10;11,13;1.162.839,00;104.600
BEEF3;16/06/2023;15:40:00;11,12;11,13;11,10;11,11;1.336.108,00;120.200
BEEF3;16/06/2023;15:35:00;11,12;11,14;11,11;11,12;1.066.739,00;95.900
BEEF3;16/06/2023;15:30:00;11,13;11,17;11,12;11,13;1.667.245,00;149.600
BEEF3;16/06/2023;15:25:00;11,16;11,16;11,12;11,13;1.106.180,00;99.300
BEEF3;16/06/2023;15:20:00;11,16;11,20;11,15;11,16;1.216.071,00;108.800
BEEF3;16/06/2023;15:15:00;11,19;11,20;11,16;11,16;1.221.057,00;109.200
BEEF3;16/06/2023;15:10:00;11,21;11,22;11,19;11,19;441.379,00;39.400
BEEF3;16/06/2023;15:05:00;11,19;11,21;11,18;11,20;508.415,00;45.400
BEEF3;16/06/2023;15:00:00;11,22;11,23;11,19;11,19;527.871,00;47.100
BEEF3;16/06/2023;14:55:00;11,22;11,23;11,21;11,22;401.669,00;35.800
BEEF3;16/06/2023;14:50:00;11,25;11,26;11,22;11,22;702.562,00;62.500
BEEF3;16/06/2023;14:45:00;11,26;11,28;11,24;11,25;734.985,00;65.300
BEEF3;16/06/2023;14:40:00;11,27;11,28;11,26;11,26;353.747,00;31.400
BEEF3;16/06/2023;14:35:00;11,26;11,28;11,26;11,26;481.126,00;42.700
BEEF3;16/06/2023;14:30:00;11,27;11,28;11,25;11,26;446.258,00;39.600
BEEF3;16/06/2023;14:25:00;11,27;11,28;11,25;11,28;654.772,00;58.100
BEEF3;16/06/2023;14:20:00;11,26;11,28;11,25;11,28;466.449,00;41.400
BEEF3;16/06/2023;14:15:00;11,23;11,27;11,23;11,26;517.267,00;46.000
BEEF3;16/06/2023;14:10:00;11,24;11,25;11,23;11,23;402.377,00;35.800
BEEF3;16/06/2023;14:05:00;11,26;11,27;11,23;11,25;391.603,00;34.800
BEEF3;16/06/2023;14:00:00;11,26;11,28;11,26;11,27;405.737,00;36.000
BEEF3;16/06/2023;13:55:00;11,27;11,29;11,26;11,27;1.412.873,00;125.300
BEEF3;16/06/2023;13:50:00;11,19;11,27;11,19;11,27;1.172.420,00;104.400
BEEF3;16/06/2023;13:45:00;11,20;11,23;11,18;11,20;948.156,00;84.600
BEEF3;16/06/2023;13:40:00;11,17;11,21;11,17;11,21;506.971,00;45.300
BEEF3;16/06/2023;13:35:00;11,18;11,19;11,17;11,17;581.298,00;52.000
BEEF3;16/06/2023;13:30:00;11,18;11,20;11,17;11,17;650.071,00;58.100
BEEF3;16/06/2023;13:25:00;11,16;11,20;11,14;11,18;827.730,00;74.100
BEEF3;16/06/2023;13:20:00;11,13;11,18;11,13;11,15;626.907,00;56.200
BEEF3;16/06/2023;13:15:00;11,14;11,15;11,13;11,13;366.428,00;32.900
BEEF3;16/06/2023;13:10:00;11,12;11,14;11,12;11,14;357.221,00;32.100
BEEF3;16/06/2023;13:05:00;11,11;11,14;11,11;11,12;572.728,00;51.500
BEEF3;16/06/2023;13:00:00;11,11;11,12;11,10;11,12;357.733,00;32.200
BEEF3;16/06/2023;12:55:00;11,11;11,14;11,10;11,11;594.004,00;53.400
BEEF3;16/06/2023;12:50:00;11,13;11,13;11,10;11,11;852.003,00;76.700
BEEF3;16/06/2023;12:45:00;11,12;11,13;11,11;11,13;249.013,00;22.400
BEEF3;16/06/2023;12:40:00;11,11;11,13;11,11;11,12;362.443,00;32.600
BEEF3;16/06/2023;12:35:00;11,11;11,13;11,10;11,12;456.687,00;41.100
BEEF3;16/06/2023;12:30:00;11,13;11,13;11,11;11,12;435.888,00;39.200
BEEF3;16/06/2023;12:25:00;11,11;11,13;11,11;11,12;295.711,00;26.600
BEEF3;16/06/2023;12:20:00;11,14;11,15;11,10;11,12;699.710,00;62.900
BEEF3;16/06/2023;12:15:00;11,16;11,17;11,13;11,14;383.420,00;34.400
BEEF3;16/06/2023;12:10:00;11,13;11,16;11,12;11,15;366.383,00;32.900
BEEF3;16/06/2023;12:05:00;11,12;11,14;11,11;11,13;348.151,00;31.300
BEEF3;16/06/2023;12:00:00;11,13;11,14;11,11;11,12;522.738,00;47.000
BEEF3;16/06/2023;11:55:00;11,14;11,15;11,12;11,12;468.924,00;42.100
BEEF3;16/06/2023;11:50:00;11,12;11,16;11,12;11,13;378.936,00;34.000
BEEF3;16/06/2023;11:45:00;11,17;11,17;11,11;11,12;918.886,00;82.500
BEEF3;16/06/2023;11:40:00;11,19;11,19;11,16;11,17;601.097,00;53.800
BEEF3;16/06/2023;11:35:00;11,19;11,20;11,15;11,18;1.163.403,00;104.100
BEEF3;16/06/2023;11:30:00;11,12;11,20;11,12;11,20;984.310,00;88.200
BEEF3;16/06/2023;11:25:00;11,14;11,15;11,11;11,12;285.829,00;25.700
BEEF3;16/06/2023;11:20:00;11,17;11,19;11,14;11,14;369.755,00;33.100
BEEF3;16/06/2023;11:15:00;11,11;11,19;11,11;11,18;1.841.448,00;165.100
BEEF3;16/06/2023;11:10:00;11,12;11,14;11,10;11,11;1.416.858,00;127.500
BEEF3;16/06/2023;11:05:00;11,12;11,13;11,10;11,11;463.417,00;41.700
BEEF3;16/06/2023;11:00:00;11,12;11,14;11,10;11,12;707.499,00;63.600
BEEF3;16/06/2023;10:55:00;11,11;11,12;11,10;11,11;629.930,00;56.700
BEEF3;16/06/2023;10:50:00;11,12;11,13;11,11;11,11;353.681,00;31.800
BEEF3;16/06/2023;10:45:00;11,12;11,14;11,11;11,12;236.863,00;21.300
BEEF3;16/06/2023;10:40:00;11,12;11,18;11,12;11,14;873.273,00;78.300
BEEF3;16/06/2023;10:35:00;11,12;11,14;11,11;11,13;495.238,00;44.500
