Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BGIFUT;06/06/2023;13:45:00;255,50;255,50;255,50;255,50;505.890,00;6
BGIFUT;06/06/2023;13:35:00;255,55;255,55;255,55;255,55;84.331,50;1
BGIFUT;06/06/2023;13:30:00;255,55;255,55;255,55;255,55;252.994,50;3
BGIFUT;06/06/2023;13:25:00;255,55;255,55;255,55;255,55;252.994,50;3
BGIFUT;06/06/2023;13:20:00;255,70;255,70;255,50;255,50;1.264.923,00;15
BGIFUT;06/06/2023;12:55:00;256,50;256,50;255,70;255,70;1.521.085,50;18
BGIFUT;06/06/2023;12:50:00;256,85;256,85;256,50;256,55;846.681,00;10
BGIFUT;06/06/2023;12:45:00;256,50;257,15;256,50;257,15;3.559.198,50;42
BGIFUT;06/06/2023;12:40:00;255,80;256,75;255,80;256,30;3.720.387,00;44
BGIFUT;06/06/2023;12:35:00;255,80;255,80;255,80;255,80;84.414,00;1
BGIFUT;06/06/2023;12:30:00;254,85;256,00;254,85;255,30;3.961.270,50;47
BGIFUT;06/06/2023;12:15:00;255,00;255,00;255,00;255,00;84.150,00;1
BGIFUT;06/06/2023;11:55:00;255,00;255,00;255,00;255,00;2.356.200,00;28
BGIFUT;06/06/2023;11:45:00;255,00;255,00;255,00;255,00;84.150,00;1
BGIFUT;06/06/2023;11:40:00;254,80;254,95;254,80;254,95;420.469,50;5
BGIFUT;06/06/2023;11:35:00;254,90;255,00;254,90;255,00;673.150,50;8
BGIFUT;06/06/2023;11:30:00;254,65;254,65;254,65;254,65;84.034,50;1
BGIFUT;06/06/2023;11:20:00;254,30;254,50;254,30;254,50;839.767,50;10
BGIFUT;06/06/2023;11:15:00;254,60;254,60;254,25;254,25;2.099.179,50;25
BGIFUT;06/06/2023;11:10:00;254,80;254,80;254,55;254,60;1.176.499,50;14
BGIFUT;06/06/2023;11:05:00;255,00;255,00;255,00;255,00;84.150,00;1
BGIFUT;06/06/2023;11:00:00;255,00;255,10;255,00;255,00;1.009.915,50;12
BGIFUT;06/06/2023;10:55:00;255,00;255,00;255,00;255,00;252.450,00;3
BGIFUT;06/06/2023;10:50:00;255,00;255,00;255,00;255,00;84.150,00;1
BGIFUT;06/06/2023;10:45:00;254,95;254,95;254,95;254,95;84.133,50;1
BGIFUT;06/06/2023;10:35:00;254,70;254,70;254,70;254,70;336.204,00;4
BGIFUT;06/06/2023;10:25:00;255,00;255,00;255,00;255,00;420.750,00;5
BGIFUT;06/06/2023;10:20:00;254,65;255,00;254,65;255,00;1.093.521,00;13
BGIFUT;06/06/2023;10:15:00;255,00;255,50;254,60;255,00;1.935.120,00;23
BGIFUT;06/06/2023;10:10:00;255,50;255,95;255,00;255,00;3.033.921,00;36
BGIFUT;06/06/2023;10:05:00;255,45;255,95;255,25;255,50;2.361.892,50;28
BGIFUT;06/06/2023;10:00:00;255,00;256,45;254,90;255,25;7.925.659,50;94
BGIFUT;06/06/2023;09:55:00;254,25;255,30;254,25;254,80;6.310.392,00;75
BGIFUT;06/06/2023;09:50:00;254,30;254,50;254,30;254,30;1.091.409,00;13
BGIFUT;06/06/2023;09:45:00;253,95;254,00;253,95;254,00;670.543,50;8
BGIFUT;06/06/2023;09:40:00;253,75;254,00;253,75;254,00;167.557,50;2
BGIFUT;06/06/2023;09:35:00;254,00;254,00;254,00;254,00;1.676.400,00;20
BGIFUT;06/06/2023;09:30:00;254,05;254,15;254,05;254,15;167.706,00;2
BGIFUT;06/06/2023;09:25:00;253,70;253,70;253,55;253,60;1.088.043,00;13
BGIFUT;06/06/2023;09:20:00;253,80;253,80;253,80;253,80;418.770,00;5
BGIFUT;06/06/2023;09:15:00;254,30;254,45;253,50;253,80;2.094.576,00;25
BGIFUT;06/06/2023;09:10:00;252,85;255,00;252,85;254,20;13.942.467,00;166
BGIFUT;06/06/2023;09:05:00;252,00;252,90;252,00;252,90;833.382,00;10
BGIFUT;06/06/2023;09:00:00;252,55;252,55;252,50;252,50;333.316,50;4
BGIFUT;05/06/2023;17:05:00;251,20;252,95;251,10;252,10;9.065.017,50;109
BGIFUT;05/06/2023;16:25:00;251,00;252,35;251,00;251,60;4.566.111,00;55
BGIFUT;05/06/2023;16:20:00;250,90;251,60;250,50;251,00;5.634.552,00;68
BGIFUT;05/06/2023;16:15:00;250,50;250,80;250,50;250,80;330.841,50;4
BGIFUT;05/06/2023;16:10:00;250,00;250,50;250,00;250,50;2.314.191,00;28
BGIFUT;05/06/2023;16:00:00;250,10;250,10;250,00;250,00;2.062.582,50;25
BGIFUT;05/06/2023;15:45:00;250,05;250,05;250,05;250,05;82.516,50;1
BGIFUT;05/06/2023;15:40:00;250,50;250,50;250,00;250,00;1.815.528,00;22
BGIFUT;05/06/2023;15:00:00;251,35;251,35;250,85;250,85;662.854,50;8
BGIFUT;05/06/2023;14:45:00;251,35;251,45;251,30;251,45;414.760,50;5
BGIFUT;05/06/2023;14:40:00;250,90;251,00;250,90;250,90;910.932,00;11
BGIFUT;05/06/2023;14:35:00;250,85;250,95;250,85;250,95;165.594,00;2
BGIFUT;05/06/2023;14:30:00;250,75;250,75;250,75;250,75;82.747,50;1
BGIFUT;05/06/2023;14:25:00;250,75;250,75;250,75;250,75;82.747,50;1
BGIFUT;05/06/2023;14:20:00;250,30;250,30;250,30;250,30;1.156.386,00;14
BGIFUT;05/06/2023;14:15:00;250,30;250,30;250,30;250,30;247.797,00;3
BGIFUT;05/06/2023;14:00:00;250,65;250,90;250,65;250,80;744.892,50;9
BGIFUT;05/06/2023;13:55:00;249,90;250,40;249,90;250,40;5.942.623,50;72
BGIFUT;05/06/2023;13:40:00;249,60;249,90;249,60;249,90;412.071,00;5
BGIFUT;05/06/2023;13:30:00;249,50;249,50;249,50;249,50;82.335,00;1
BGIFUT;05/06/2023;13:20:00;249,60;249,60;249,30;249,30;493.729,50;6
BGIFUT;05/06/2023;13:15:00;249,50;249,50;249,25;249,25;164.587,50;2
BGIFUT;05/06/2023;13:10:00;249,50;249,50;249,50;249,50;82.335,00;1
BGIFUT;05/06/2023;13:05:00;249,60;249,60;249,30;249,50;1.647.145,50;20
BGIFUT;05/06/2023;13:00:00;249,65;249,65;249,60;249,60;2.800.528,50;34
BGIFUT;05/06/2023;12:50:00;249,70;249,70;249,70;249,70;82.401,00;1
BGIFUT;05/06/2023;12:45:00;249,95;250,25;249,95;250,25;1.651.089,00;20
BGIFUT;05/06/2023;12:40:00;250,10;250,10;249,75;249,75;1.319.290,50;16
BGIFUT;05/06/2023;12:35:00;250,15;250,15;250,15;250,15;247.648,50;3
BGIFUT;05/06/2023;12:30:00;250,30;250,30;250,30;250,30;1.651.980,00;20
BGIFUT;05/06/2023;12:25:00;250,30;250,30;250,30;250,30;825.990,00;10
BGIFUT;05/06/2023;12:20:00;249,95;250,00;249,95;250,00;3.629.950,50;44
BGIFUT;05/06/2023;12:10:00;249,80;250,00;249,80;250,00;4.204.761,00;51
BGIFUT;05/06/2023;12:05:00;250,00;250,00;249,80;249,80;494.802,00;6
BGIFUT;05/06/2023;12:00:00;250,65;250,65;249,80;249,90;2.145.396,00;26
BGIFUT;05/06/2023;11:55:00;250,60;250,60;250,60;250,60;165.396,00;2
BGIFUT;05/06/2023;11:50:00;250,45;250,70;250,45;250,60;330.775,50;4
BGIFUT;05/06/2023;11:45:00;250,50;250,60;250,50;250,60;165.363,00;2
BGIFUT;05/06/2023;11:40:00;250,30;250,60;250,30;250,45;1.570.519,50;19
