Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BITH11;06/06/2023;11:20:00;30,48;30,48;30,48;30,48;914,40;30
BITH11;06/06/2023;11:15:00;30,51;30,51;30,23;30,45;17.204,79;567
BITH11;06/06/2023;11:10:00;30,35;30,51;30,35;30,51;10.305,24;339
BITH11;06/06/2023;11:00:00;29,94;30,19;29,94;30,19;11.104,11;369
BITH11;06/06/2023;10:55:00;29,86;30,10;29,86;30,09;21.317,00;711
BITH11;06/06/2023;10:45:00;29,98;29,98;29,69;29,86;23.335,65;783
BITH11;06/06/2023;10:40:00;29,98;29,99;29,98;29,99;179,91;6
BITH11;06/06/2023;10:35:00;29,97;29,97;29,97;29,97;269,73;9
BITH11;06/06/2023;10:30:00;29,90;29,98;29,90;29,97;12.561,82;420
BITH11;06/06/2023;10:25:00;29,55;29,89;29,55;29,89;41.629,88;1.398
BITH11;06/06/2023;10:20:00;29,57;29,57;29,57;29,57;295,70;10
BITH11;06/06/2023;10:15:00;29,75;29,86;29,57;29,57;3.923,40;132
BITH11;06/06/2023;10:10:00;29,80;29,85;29,75;29,75;3.457,20;116
BITH11;06/06/2023;10:05:00;29,89;29,89;29,89;29,89;4.363,94;146
BITH11;05/06/2023;17:30:00;29,75;29,75;29,75;29,75;59,50;2
BITH11;05/06/2023;16:50:00;29,51;30,19;29,51;29,75;15.592,04;524
BITH11;05/06/2023;16:45:00;30,04;30,23;29,50;29,51;55.226,86;1.851
BITH11;05/06/2023;16:40:00;30,24;30,25;30,03;30,03;4.746,27;157
BITH11;05/06/2023;16:35:00;29,96;30,24;29,96;29,96;905,23;30
BITH11;05/06/2023;16:30:00;29,96;30,32;29,96;29,96;511,15;17
BITH11;05/06/2023;16:25:00;29,98;29,99;29,96;29,96;329,73;11
BITH11;05/06/2023;16:20:00;30,25;30,25;29,83;29,93;51.678,98;1.712
BITH11;05/06/2023;16:15:00;30,24;30,32;30,23;30,25;8.103,64;268
BITH11;05/06/2023;16:10:00;30,25;30,32;30,24;30,24;3.509,62;116
BITH11;05/06/2023;16:05:00;30,24;30,35;30,24;30,25;9.108,45;301
BITH11;05/06/2023;16:00:00;30,27;30,38;30,24;30,24;545,58;18
BITH11;05/06/2023;15:55:00;30,28;30,28;30,27;30,27;333,00;11
BITH11;05/06/2023;15:50:00;30,24;30,40;30,24;30,28;3.464,16;114
BITH11;05/06/2023;15:45:00;30,21;30,39;30,21;30,24;26.024,19;858
BITH11;05/06/2023;15:40:00;30,15;30,24;30,15;30,20;453,02;15
BITH11;05/06/2023;15:35:00;30,20;30,23;30,04;30,09;512,07;17
BITH11;05/06/2023;15:30:00;30,02;30,45;30,02;30,18;29.963,02;990
BITH11;05/06/2023;15:25:00;30,33;30,42;30,02;30,02;24.469,48;809
BITH11;05/06/2023;15:20:00;30,33;30,36;30,33;30,33;303,33;10
BITH11;05/06/2023;15:15:00;30,36;30,46;30,33;30,46;9.772,78;321
BITH11;05/06/2023;15:10:00;30,46;30,46;30,36;30,36;3.045,11;100
BITH11;05/06/2023;15:05:00;30,36;30,42;30,36;30,42;1.368,72;45
BITH11;05/06/2023;15:00:00;30,33;30,36;30,33;30,36;121,35;4
BITH11;05/06/2023;14:55:00;30,36;30,37;30,33;30,33;3.188,75;105
BITH11;05/06/2023;14:50:00;30,43;30,43;30,26;30,33;14.345,84;472
BITH11;05/06/2023;14:45:00;30,41;30,51;30,33;30,43;19.386,04;637
BITH11;05/06/2023;14:40:00;30,36;30,60;29,60;30,50;178.189,79;5.842
BITH11;05/06/2023;14:35:00;30,50;30,54;29,50;30,49;160.490,20;5.332
BITH11;05/06/2023;14:30:00;30,50;30,50;30,50;30,50;1.464,00;48
BITH11;05/06/2023;14:25:00;30,56;30,56;30,49;30,49;1.680,46;55
BITH11;05/06/2023;14:20:00;30,53;30,53;30,39;30,49;3.689,29;121
BITH11;05/06/2023;14:15:00;30,40;30,53;30,40;30,40;152,13;5
BITH11;05/06/2023;14:10:00;30,38;30,54;30,38;30,40;2.104,79;69
BITH11;05/06/2023;14:05:00;30,36;30,50;30,36;30,49;17.501,73;574
BITH11;05/06/2023;14:00:00;30,43;30,49;30,30;30,30;23.836,20;784
BITH11;05/06/2023;13:55:00;30,40;30,58;30,40;30,42;14.966,34;490
BITH11;05/06/2023;13:50:00;30,40;30,50;30,40;30,50;14.238,18;467
BITH11;05/06/2023;13:45:00;30,73;30,73;30,40;30,40;39.080,77;1.275
BITH11;05/06/2023;13:40:00;30,74;30,85;30,72;30,73;8.236,87;268
BITH11;05/06/2023;13:35:00;30,74;30,83;30,74;30,74;2.890,01;94
BITH11;05/06/2023;13:30:00;30,72;30,83;30,72;30,74;739,50;24
BITH11;05/06/2023;13:25:00;30,84;30,84;30,72;30,72;15.576,40;507
BITH11;05/06/2023;13:20:00;30,72;30,85;30,72;30,85;2.398,49;78
BITH11;05/06/2023;13:15:00;30,59;30,95;30,59;30,68;15.906,93;518
BITH11;05/06/2023;13:10:00;30,30;30,46;30,30;30,46;13.150,96;432
BITH11;05/06/2023;13:05:00;30,30;30,40;30,30;30,30;3.433,75;113
BITH11;05/06/2023;13:00:00;30,75;30,75;30,18;30,30;68.461,61;2.254
BITH11;05/06/2023;12:55:00;30,79;30,91;30,73;30,73;16.613,01;540
BITH11;05/06/2023;12:50:00;30,75;30,92;30,75;30,91;3.926,02;127
BITH11;05/06/2023;12:45:00;30,75;30,75;30,75;30,75;123,00;4
BITH11;05/06/2023;12:40:00;30,66;30,93;30,66;30,93;22.648,28;733
BITH11;05/06/2023;12:35:00;30,77;30,97;30,62;30,67;4.649,42;151
BITH11;05/06/2023;12:30:00;31,11;31,11;30,78;30,78;12.317,79;397
BITH11;05/06/2023;12:25:00;31,11;31,11;31,11;31,11;124,44;4
BITH11;05/06/2023;12:20:00;31,11;31,11;31,11;31,11;124,44;4
BITH11;05/06/2023;12:15:00;31,15;31,22;31,11;31,11;4.492,66;144
BITH11;05/06/2023;12:10:00;31,16;31,16;31,15;31,15;124,62;4
BITH11;05/06/2023;12:05:00;31,26;31,26;31,15;31,15;12.532,98;401
BITH11;05/06/2023;12:00:00;31,34;31,34;31,26;31,26;156,54;5
BITH11;05/06/2023;11:55:00;31,34;31,50;31,34;31,34;22.134,41;703
BITH11;05/06/2023;11:50:00;31,49;31,49;31,34;31,34;785,85;25
BITH11;05/06/2023;11:45:00;31,31;31,34;31,31;31,34;156,67;5
BITH11;05/06/2023;11:40:00;31,25;31,31;31,25;31,31;156,37;5
BITH11;05/06/2023;11:35:00;31,25;31,25;31,25;31,25;125,00;4
BITH11;05/06/2023;11:30:00;31,22;31,25;31,22;31,25;1.092,73;35
BITH11;05/06/2023;11:25:00;31,14;31,32;31,14;31,14;594,36;19
BITH11;05/06/2023;11:20:00;31,15;31,15;31,14;31,14;124,57;4
BITH11;05/06/2023;11:15:00;31,15;31,15;31,15;31,15;124,60;4
BITH11;05/06/2023;11:10:00;31,39;31,39;31,15;31,15;5.931,99;189
BITH11;05/06/2023;11:05:00;31,39;31,47;31,35;31,39;13.213,23;421
BITH11;05/06/2023;11:00:00;31,45;31,45;31,39;31,39;10.315,42;328
BITH11;05/06/2023;10:55:00;31,37;31,39;31,37;31,39;3.923,27;125
BITH11;05/06/2023;10:50:00;31,36;31,37;31,33;31,37;1.034,56;33
BITH11;05/06/2023;10:45:00;31,37;31,37;31,37;31,37;94,11;3
BITH11;05/06/2023;10:40:00;31,31;31,37;31,31;31,37;13.819,15;441
BITH11;05/06/2023;10:35:00;31,10;31,30;31,10;31,30;3.565,41;114
BITH11;05/06/2023;10:30:00;31,51;31,53;31,11;31,11;10.136,10;323
BITH11;05/06/2023;10:10:00;31,64;31,64;31,49;31,49;4.825,93;153
BITH11;05/06/2023;10:05:00;31,61;31,61;31,52;31,52;4.487,07;142
BITH11;02/06/2023;17:30:00;31,94;31,94;31,94;31,94;9.390,36;294
BITH11;02/06/2023;16:50:00;31,74;31,94;31,74;31,94;7.786,02;245
BITH11;02/06/2023;16:45:00;31,74;31,74;31,73;31,74;11.614,73;366
BITH11;02/06/2023;16:40:00;31,82;31,82;31,74;31,74;4.065,36;128
BITH11;02/06/2023;16:35:00;31,75;31,76;31,74;31,74;5.809,33;183
BITH11;02/06/2023;16:30:00;31,74;31,75;31,74;31,75;5.776,69;182
BITH11;02/06/2023;16:25:00;31,76;31,76;31,74;31,74;3.015,48;95
BITH11;02/06/2023;16:20:00;31,87;31,87;31,76;31,76;61.402,79;1.927
BITH11;02/06/2023;16:15:00;31,80;31,87;31,80;31,87;6.552,34;206
BITH11;02/06/2023;16:10:00;31,80;31,80;31,80;31,80;2.989,20;94
BITH11;02/06/2023;16:05:00;31,80;31,89;31,80;31,80;5.883,39;185
BITH11;02/06/2023;16:00:00;31,80;31,90;31,80;31,80;6.552,80;206
BITH11;02/06/2023;15:55:00;31,80;31,80;31,80;31,80;4.865,40;153
BITH11;02/06/2023;15:50:00;31,80;31,80;31,80;31,80;5.851,20;184
