Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BKBR3;25/10/2022;17:30:00;7,62;7,62;7,62;7,62;7.620,00;1.000
BKBR3;25/10/2022;16:50:00;7,70;7,71;7,63;7,63;1.024.730,00;134.200
BKBR3;25/10/2022;16:45:00;7,70;7,71;7,68;7,71;133.844,00;17.400
BKBR3;25/10/2022;16:40:00;7,73;7,73;7,70;7,71;82.588,00;10.700
BKBR3;25/10/2022;16:35:00;7,74;7,74;7,70;7,73;151.959,00;19.700
BKBR3;25/10/2022;16:30:00;7,74;7,75;7,74;7,74;99.172,00;12.800
BKBR3;25/10/2022;16:25:00;7,70;7,75;7,70;7,74;100.436,00;13.000
BKBR3;25/10/2022;16:20:00;7,68;7,70;7,68;7,70;50.014,00;6.500
BKBR3;25/10/2022;16:15:00;7,66;7,69;7,66;7,68;72.143,00;9.400
BKBR3;25/10/2022;16:10:00;7,66;7,67;7,65;7,66;53.627,00;7.000
BKBR3;25/10/2022;16:05:00;7,65;7,66;7,65;7,66;26.806,00;3.500
BKBR3;25/10/2022;16:00:00;7,65;7,66;7,64;7,65;94.099,00;12.300
BKBR3;25/10/2022;15:55:00;7,66;7,67;7,65;7,65;35.239,00;4.600
BKBR3;25/10/2022;15:50:00;7,65;7,67;7,65;7,67;29.111,00;3.800
BKBR3;25/10/2022;15:45:00;7,65;7,65;7,65;7,65;22.185,00;2.900
BKBR3;25/10/2022;15:40:00;7,65;7,65;7,64;7,64;91.030,00;11.900
BKBR3;25/10/2022;15:35:00;7,65;7,65;7,65;7,65;41.310,00;5.400
BKBR3;25/10/2022;15:30:00;7,65;7,65;7,64;7,65;117.044,00;15.300
BKBR3;25/10/2022;15:25:00;7,65;7,65;7,65;7,65;47.430,00;6.200
BKBR3;25/10/2022;15:20:00;7,65;7,65;7,64;7,65;130.039,00;17.000
BKBR3;25/10/2022;15:15:00;7,65;7,65;7,65;7,65;24.480,00;3.200
BKBR3;25/10/2022;15:10:00;7,65;7,65;7,64;7,65;67.317,00;8.800
BKBR3;25/10/2022;15:05:00;7,65;7,65;7,65;7,65;11.475,00;1.500
BKBR3;25/10/2022;15:00:00;7,65;7,65;7,64;7,65;125.442,00;16.400
BKBR3;25/10/2022;14:55:00;7,65;7,65;7,65;7,65;7.650,00;1.000
BKBR3;25/10/2022;14:50:00;7,65;7,65;7,65;7,65;36.720,00;4.800
BKBR3;25/10/2022;14:45:00;7,65;7,65;7,65;7,65;27.540,00;3.600
BKBR3;25/10/2022;14:40:00;7,65;7,66;7,64;7,65;50.505,00;6.600
BKBR3;25/10/2022;14:35:00;7,65;7,65;7,65;7,65;22.185,00;2.900
BKBR3;25/10/2022;14:30:00;7,67;7,67;7,65;7,65;42.163,00;5.500
BKBR3;25/10/2022;14:25:00;7,65;7,66;7,65;7,66;24.508,00;3.200
BKBR3;25/10/2022;14:20:00;7,66;7,67;7,65;7,65;22.209,00;2.900
BKBR3;25/10/2022;14:15:00;7,65;7,67;7,65;7,66;72.737,00;9.500
BKBR3;25/10/2022;14:10:00;7,65;7,65;7,64;7,65;56.577,00;7.400
BKBR3;25/10/2022;14:05:00;7,65;7,65;7,64;7,65;24.478,00;3.200
BKBR3;25/10/2022;14:00:00;7,65;7,66;7,64;7,64;104.875,00;13.700
BKBR3;25/10/2022;13:55:00;7,65;7,65;7,65;7,65;68.085,00;8.900
BKBR3;25/10/2022;13:50:00;7,65;7,66;7,65;7,65;39.061,00;5.100
BKBR3;25/10/2022;13:45:00;7,65;7,65;7,64;7,65;100.214,00;13.100
BKBR3;25/10/2022;13:40:00;7,65;7,65;7,64;7,65;144.561,00;18.900
BKBR3;25/10/2022;13:35:00;7,65;7,65;7,65;7,65;3.825,00;500
BKBR3;25/10/2022;13:30:00;7,65;7,66;7,65;7,65;32.915,00;4.300
BKBR3;25/10/2022;13:25:00;7,66;7,68;7,65;7,65;15.328,00;2.000
BKBR3;25/10/2022;13:20:00;7,68;7,69;7,66;7,67;48.368,00;6.300
BKBR3;25/10/2022;13:15:00;7,68;7,68;7,68;7,68;2.304,00;300
BKBR3;25/10/2022;13:10:00;7,67;7,68;7,67;7,68;24.547,00;3.200
BKBR3;25/10/2022;13:05:00;7,65;7,68;7,65;7,67;38.336,00;5.000
BKBR3;25/10/2022;13:00:00;7,65;7,65;7,65;7,65;27.540,00;3.600
BKBR3;25/10/2022;12:55:00;7,67;7,67;7,65;7,65;8.423,00;1.100
BKBR3;25/10/2022;12:50:00;7,65;7,67;7,65;7,67;34.444,00;4.500
BKBR3;25/10/2022;12:45:00;7,67;7,67;7,65;7,65;47.471,00;6.200
BKBR3;25/10/2022;12:40:00;7,66;7,68;7,66;7,67;15.348,00;2.000
BKBR3;25/10/2022;12:35:00;7,69;7,70;7,68;7,68;36.929,00;4.800
BKBR3;25/10/2022;12:30:00;7,69;7,69;7,67;7,69;49.926,00;6.500
BKBR3;25/10/2022;12:25:00;7,67;7,70;7,67;7,68;84.496,00;11.000
BKBR3;25/10/2022;12:20:00;7,65;7,66;7,65;7,66;36.742,00;4.800
BKBR3;25/10/2022;12:15:00;7,65;7,66;7,64;7,65;61.182,00;8.000
BKBR3;25/10/2022;12:10:00;7,66;7,66;7,64;7,65;65.032,00;8.500
BKBR3;25/10/2022;12:05:00;7,65;7,66;7,65;7,66;26.808,00;3.500
BKBR3;25/10/2022;12:00:00;7,65;7,66;7,64;7,65;54.326,00;7.100
BKBR3;25/10/2022;11:55:00;7,65;7,66;7,64;7,65;80.296,00;10.500
BKBR3;25/10/2022;11:50:00;7,65;7,66;7,64;7,65;75.718,00;9.900
BKBR3;25/10/2022;11:45:00;7,65;7,65;7,63;7,65;114.662,00;15.000
BKBR3;25/10/2022;11:40:00;7,65;7,66;7,64;7,65;102.566,00;13.400
BKBR3;25/10/2022;11:35:00;7,66;7,67;7,63;7,65;83.420,00;10.900
BKBR3;25/10/2022;11:30:00;7,65;7,65;7,65;7,65;45.900,00;6.000
BKBR3;25/10/2022;11:25:00;7,65;7,65;7,64;7,65;60.427,00;7.900
BKBR3;25/10/2022;11:20:00;7,62;7,65;7,61;7,65;96.110,00;12.600
BKBR3;25/10/2022;11:15:00;7,62;7,62;7,60;7,61;18.272,00;2.400
BKBR3;25/10/2022;11:10:00;7,58;7,61;7,58;7,61;55.436,00;7.300
BKBR3;25/10/2022;11:05:00;7,62;7,62;7,58;7,59;35.721,00;4.700
BKBR3;25/10/2022;11:00:00;7,62;7,63;7,61;7,63;54.092,00;7.100
BKBR3;25/10/2022;10:55:00;7,58;7,61;7,58;7,61;85.922,00;11.300
BKBR3;25/10/2022;10:50:00;7,62;7,63;7,57;7,58;43.352,00;5.700
BKBR3;25/10/2022;10:45:00;7,59;7,62;7,59;7,62;25.876,00;3.400
BKBR3;25/10/2022;10:40:00;7,55;7,59;7,55;7,59;34.088,00;4.500
BKBR3;25/10/2022;10:35:00;7,55;7,58;7,55;7,56;46.853,00;6.200
BKBR3;25/10/2022;10:30:00;7,57;7,57;7,56;7,56;44.632,00;5.900
BKBR3;25/10/2022;10:25:00;7,57;7,59;7,55;7,56;120.372,00;15.900
BKBR3;25/10/2022;10:20:00;7,46;7,56;7,42;7,56;170.396,00;22.800
BKBR3;25/10/2022;10:15:00;7,46;7,48;7,42;7,46;153.406,00;20.600
BKBR3;25/10/2022;10:10:00;7,49;7,53;7,44;7,45;150.198,00;20.100
BKBR3;25/10/2022;10:05:00;7,55;7,55;7,47;7,48;73.439,00;9.800
BKBR3;25/10/2022;10:00:00;7,61;7,61;7,55;7,55;10.636,00;1.400
BKBR3;24/10/2022;17:30:00;7,67;7,67;7,67;7,67;1.534,00;200
BKBR3;24/10/2022;16:50:00;7,65;7,67;7,61;7,61;895.771,00;117.600
BKBR3;24/10/2022;16:45:00;7,66;7,68;7,63;7,66;211.365,00;27.600
BKBR3;24/10/2022;16:40:00;7,70;7,70;7,66;7,66;125.316,00;16.300
BKBR3;24/10/2022;16:35:00;7,66;7,71;7,66;7,70;249.761,00;32.500
BKBR3;24/10/2022;16:30:00;7,70;7,71;7,66;7,66;130.685,00;17.000
BKBR3;24/10/2022;16:25:00;7,68;7,70;7,66;7,70;132.892,00;17.300
BKBR3;24/10/2022;16:20:00;7,69;7,71;7,66;7,68;162.911,00;21.200
BKBR3;24/10/2022;16:15:00;7,69;7,71;7,68;7,70;138.536,00;18.000
BKBR3;24/10/2022;16:10:00;7,66;7,70;7,66;7,68;298.098,00;38.800
