Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BLAU3;06/06/2023;11:20:00;20,84;20,85;20,84;20,84;12.505,00;600
BLAU3;06/06/2023;11:15:00;20,90;20,90;20,83;20,84;95.898,00;4.600
BLAU3;06/06/2023;11:10:00;20,93;20,96;20,85;20,89;194.589,00;9.300
BLAU3;06/06/2023;11:05:00;20,84;20,96;20,84;20,89;223.810,00;10.700
BLAU3;06/06/2023;11:00:00;20,91;20,93;20,81;20,82;181.509,00;8.700
BLAU3;06/06/2023;10:55:00;20,91;20,95;20,89;20,91;66.942,00;3.200
BLAU3;06/06/2023;10:50:00;21,10;21,11;20,90;20,92;329.669,00;15.700
BLAU3;06/06/2023;10:45:00;21,28;21,28;21,10;21,10;165.223,00;7.800
BLAU3;06/06/2023;10:40:00;21,26;21,30;21,26;21,28;27.658,00;1.300
BLAU3;06/06/2023;10:35:00;21,28;21,31;21,26;21,26;42.565,00;2.000
BLAU3;06/06/2023;10:30:00;21,28;21,34;21,25;21,30;36.208,00;1.700
BLAU3;06/06/2023;10:25:00;21,24;21,28;21,24;21,28;10.625,00;500
BLAU3;06/06/2023;10:20:00;21,12;21,23;21,09;21,23;59.179,00;2.800
BLAU3;06/06/2023;10:15:00;21,13;21,19;21,13;21,18;16.925,00;800
BLAU3;06/06/2023;10:10:00;21,30;21,38;21,10;21,10;95.738,00;4.500
BLAU3;06/06/2023;10:05:00;21,15;21,27;21,15;21,27;21.212,00;1.000
BLAU3;06/06/2023;10:00:00;21,20;21,20;21,10;21,10;4.230,00;200
BLAU3;05/06/2023;17:30:00;21,19;21,20;21,19;21,20;14.839,00;700
BLAU3;05/06/2023;16:50:00;21,16;21,20;21,15;21,20;551.152,00;26.000
BLAU3;05/06/2023;16:45:00;21,19;21,19;21,15;21,15;35.980,00;1.700
BLAU3;05/06/2023;16:40:00;21,17;21,18;21,16;21,16;35.994,00;1.700
BLAU3;05/06/2023;16:35:00;21,11;21,17;21,11;21,13;71.878,00;3.400
BLAU3;05/06/2023;16:30:00;21,14;21,15;21,11;21,13;80.290,00;3.800
BLAU3;05/06/2023;16:25:00;21,10;21,12;21,07;21,12;46.419,00;2.200
BLAU3;05/06/2023;16:20:00;21,08;21,10;21,06;21,10;27.403,00;1.300
BLAU3;05/06/2023;16:15:00;21,08;21,08;21,04;21,04;35.813,00;1.700
BLAU3;05/06/2023;16:10:00;21,05;21,07;21,04;21,04;101.059,00;4.800
BLAU3;05/06/2023;16:05:00;21,03;21,07;21,03;21,04;25.266,00;1.200
BLAU3;05/06/2023;16:00:00;21,07;21,07;21,02;21,04;35.780,00;1.700
BLAU3;05/06/2023;15:55:00;21,10;21,10;21,06;21,06;27.405,00;1.300
BLAU3;05/06/2023;15:50:00;21,11;21,11;21,05;21,07;42.187,00;2.000
BLAU3;05/06/2023;15:45:00;21,15;21,15;21,13;21,15;42.286,00;2.000
BLAU3;05/06/2023;15:40:00;21,09;21,09;21,09;21,09;4.218,00;200
BLAU3;05/06/2023;15:35:00;21,12;21,14;21,07;21,07;52.782,00;2.500
BLAU3;05/06/2023;15:30:00;21,08;21,11;21,08;21,11;25.319,00;1.200
BLAU3;05/06/2023;15:25:00;21,16;21,16;21,07;21,11;57.005,00;2.700
BLAU3;05/06/2023;15:20:00;21,09;21,14;21,09;21,14;14.779,00;700
BLAU3;05/06/2023;15:15:00;21,00;21,08;20,96;21,02;109.211,00;5.200
BLAU3;05/06/2023;15:10:00;20,97;21,02;20,97;21,02;12.593,00;600
BLAU3;05/06/2023;15:05:00;21,07;21,07;20,93;20,95;142.826,00;6.800
BLAU3;05/06/2023;15:00:00;21,06;21,10;21,04;21,06;109.590,00;5.200
BLAU3;05/06/2023;14:55:00;21,10;21,10;21,06;21,09;31.622,00;1.500
BLAU3;05/06/2023;14:50:00;21,09;21,10;21,07;21,10;46.410,00;2.200
BLAU3;05/06/2023;14:45:00;21,13;21,15;21,06;21,06;50.667,00;2.400
BLAU3;05/06/2023;14:40:00;21,10;21,13;21,09;21,13;27.447,00;1.300
BLAU3;05/06/2023;14:35:00;21,11;21,11;21,08;21,08;16.880,00;800
BLAU3;05/06/2023;14:30:00;21,11;21,14;21,11;21,12;29.579,00;1.400
BLAU3;05/06/2023;14:25:00;21,17;21,17;21,09;21,09;33.835,00;1.600
BLAU3;05/06/2023;14:20:00;21,17;21,17;21,14;21,14;16.931,00;800
BLAU3;05/06/2023;14:15:00;21,17;21,18;21,15;21,17;57.155,00;2.700
BLAU3;05/06/2023;14:10:00;21,16;21,18;21,15;21,18;23.284,00;1.100
BLAU3;05/06/2023;14:05:00;21,14;21,16;21,12;21,16;48.629,00;2.300
BLAU3;05/06/2023;14:00:00;21,13;21,15;21,12;21,15;10.568,00;500
