Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BMGB4;16/06/2023;17:30:00;2,53;2,53;2,53;2,53;23.782,00;9.400
BMGB4;16/06/2023;16:45:00;2,52;2,53;2,51;2,53;59.067,00;23.400
BMGB4;16/06/2023;16:40:00;2,52;2,53;2,51;2,52;180.191,00;71.500
BMGB4;16/06/2023;16:35:00;2,53;2,53;2,52;2,53;24.283,00;9.600
BMGB4;16/06/2023;16:30:00;2,54;2,54;2,53;2,54;30.116,00;11.900
BMGB4;16/06/2023;16:25:00;2,54;2,54;2,53;2,53;760,00;300
BMGB4;16/06/2023;16:20:00;2,54;2,54;2,53;2,53;1.772,00;700
BMGB4;16/06/2023;16:15:00;2,54;2,54;2,53;2,53;2.030,00;800
BMGB4;16/06/2023;16:10:00;2,53;2,54;2,53;2,54;53.388,00;21.100
BMGB4;16/06/2023;16:05:00;2,54;2,54;2,53;2,54;12.692,00;5.000
BMGB4;16/06/2023;16:00:00;2,53;2,54;2,53;2,54;8.632,00;3.400
BMGB4;16/06/2023;15:55:00;2,54;2,54;2,53;2,53;3.544,00;1.400
BMGB4;16/06/2023;15:50:00;2,54;2,54;2,54;2,54;2.540,00;1.000
BMGB4;16/06/2023;15:45:00;2,54;2,54;2,54;2,54;2.032,00;800
BMGB4;16/06/2023;15:40:00;2,54;2,54;2,53;2,54;8.635,00;3.400
BMGB4;16/06/2023;15:35:00;2,53;2,54;2,53;2,54;4.062,00;1.600
BMGB4;16/06/2023;15:30:00;2,53;2,54;2,53;2,54;2.284,00;900
BMGB4;16/06/2023;15:25:00;2,54;2,54;2,54;2,54;254,00;100
BMGB4;16/06/2023;15:20:00;2,53;2,54;2,53;2,54;9.903,00;3.900
BMGB4;16/06/2023;15:15:00;2,53;2,53;2,53;2,53;2.530,00;1.000
BMGB4;16/06/2023;15:10:00;2,54;2,54;2,53;2,53;1.268,00;500
BMGB4;16/06/2023;15:05:00;2,54;2,54;2,54;2,54;254,00;100
BMGB4;16/06/2023;15:00:00;2,54;2,54;2,53;2,54;10.653,00;4.200
BMGB4;16/06/2023;14:55:00;2,54;2,54;2,53;2,53;3.046,00;1.200
BMGB4;16/06/2023;14:50:00;2,54;2,54;2,53;2,54;8.378,00;3.300
BMGB4;16/06/2023;14:45:00;2,54;2,54;2,53;2,54;28.090,00;11.100
BMGB4;16/06/2023;14:40:00;2,54;2,54;2,54;2,54;1.016,00;400
BMGB4;16/06/2023;14:35:00;2,53;2,53;2,53;2,53;32.637,00;12.900
BMGB4;16/06/2023;14:30:00;2,54;2,54;2,53;2,54;41.758,00;16.500
BMGB4;16/06/2023;14:25:00;2,54;2,55;2,54;2,55;3.812,00;1.500
BMGB4;16/06/2023;14:20:00;2,55;2,55;2,54;2,54;40.133,00;15.800
BMGB4;16/06/2023;14:15:00;2,54;2,55;2,54;2,54;5.592,00;2.200
BMGB4;16/06/2023;14:10:00;2,55;2,55;2,54;2,54;10.709,00;4.200
BMGB4;16/06/2023;14:05:00;2,55;2,55;2,54;2,55;1.274,00;500
BMGB4;16/06/2023;14:00:00;2,54;2,55;2,54;2,55;5.099,00;2.000
BMGB4;16/06/2023;13:55:00;2,54;2,54;2,54;2,54;25.400,00;10.000
BMGB4;16/06/2023;13:50:00;2,54;2,54;2,53;2,54;4.316,00;1.700
BMGB4;16/06/2023;13:45:00;2,54;2,54;2,54;2,54;2.032,00;800
BMGB4;16/06/2023;13:40:00;2,54;2,54;2,54;2,54;3.048,00;1.200
BMGB4;16/06/2023;13:35:00;2,54;2,54;2,53;2,54;8.880,00;3.500
BMGB4;16/06/2023;13:30:00;2,53;2,53;2,53;2,53;1.771,00;700
BMGB4;16/06/2023;13:25:00;2,54;2,54;2,53;2,54;5.077,00;2.000
BMGB4;16/06/2023;13:20:00;2,54;2,54;2,53;2,54;9.393,00;3.700
BMGB4;16/06/2023;13:15:00;2,53;2,53;2,53;2,53;2.783,00;1.100
BMGB4;16/06/2023;13:10:00;2,53;2,54;2,53;2,54;761,00;300
BMGB4;16/06/2023;13:05:00;2,54;2,54;2,53;2,53;1.014,00;400
BMGB4;16/06/2023;13:00:00;2,54;2,54;2,54;2,54;2.286,00;900
BMGB4;16/06/2023;12:55:00;2,54;2,54;2,53;2,54;6.595,00;2.600
BMGB4;16/06/2023;12:50:00;2,54;2,54;2,53;2,54;1.523,00;600
BMGB4;16/06/2023;12:45:00;2,54;2,54;2,53;2,54;8.621,00;3.400
BMGB4;16/06/2023;12:40:00;2,54;2,54;2,54;2,54;8.636,00;3.400
BMGB4;16/06/2023;12:35:00;2,54;2,54;2,54;2,54;4.064,00;1.600
BMGB4;16/06/2023;12:30:00;2,54;2,54;2,54;2,54;1.270,00;500
BMGB4;16/06/2023;12:25:00;2,54;2,54;2,53;2,54;8.365,00;3.300
BMGB4;16/06/2023;12:20:00;2,54;2,54;2,53;2,54;1.522,00;600
BMGB4;16/06/2023;12:15:00;2,54;2,54;2,54;2,54;1.016,00;400
BMGB4;16/06/2023;12:10:00;2,54;2,54;2,54;2,54;6.096,00;2.400
BMGB4;16/06/2023;12:05:00;2,53;2,54;2,53;2,54;3.545,00;1.400
BMGB4;16/06/2023;12:00:00;2,54;2,54;2,54;2,54;762,00;300
BMGB4;16/06/2023;11:55:00;2,54;2,54;2,53;2,53;5.839,00;2.300
BMGB4;16/06/2023;11:50:00;2,53;2,54;2,53;2,53;9.876,00;3.900
BMGB4;16/06/2023;11:45:00;2,54;2,54;2,53;2,53;2.537,00;1.000
BMGB4;16/06/2023;11:40:00;2,54;2,54;2,54;2,54;5.334,00;2.100
BMGB4;16/06/2023;11:35:00;2,53;2,55;2,53;2,54;37.327,00;14.700
BMGB4;16/06/2023;11:30:00;2,54;2,54;2,54;2,54;508,00;200
BMGB4;16/06/2023;11:25:00;2,54;2,54;2,54;2,54;57.658,00;22.700
BMGB4;16/06/2023;11:20:00;2,55;2,55;2,55;2,55;11.730,00;4.600
BMGB4;16/06/2023;11:15:00;2,55;2,55;2,55;2,55;1.275,00;500
BMGB4;16/06/2023;11:10:00;2,54;2,55;2,54;2,55;4.331,00;1.700
BMGB4;16/06/2023;11:05:00;2,55;2,55;2,54;2,54;4.072,00;1.600
BMGB4;16/06/2023;11:00:00;2,54;2,55;2,54;2,55;9.406,00;3.700
BMGB4;16/06/2023;10:55:00;2,54;2,54;2,53;2,53;3.551,00;1.400
BMGB4;16/06/2023;10:50:00;2,52;2,54;2,52;2,53;11.384,00;4.500
BMGB4;16/06/2023;10:45:00;2,54;2,54;2,53;2,53;39.726,00;15.700
BMGB4;16/06/2023;10:40:00;2,54;2,54;2,54;2,54;6.350,00;2.500
BMGB4;16/06/2023;10:35:00;2,53;2,54;2,53;2,53;3.291,00;1.300
BMGB4;16/06/2023;10:30:00;2,53;2,54;2,53;2,54;3.292,00;1.300
BMGB4;16/06/2023;10:25:00;2,54;2,54;2,53;2,54;6.085,00;2.400
BMGB4;16/06/2023;10:20:00;2,54;2,55;2,53;2,54;10.674,00;4.200
BMGB4;16/06/2023;10:15:00;2,54;2,54;2,53;2,54;17.250,00;6.800
BMGB4;16/06/2023;10:10:00;2,53;2,54;2,52;2,54;12.872,00;5.100
BMGB4;16/06/2023;10:05:00;2,54;2,54;2,53;2,53;45.350,00;17.900
BMGB4;16/06/2023;10:00:00;2,55;2,56;2,54;2,55;58.883,00;23.100
BMGB4;15/06/2023;17:30:00;2,55;2,55;2,55;2,55;39.015,00;15.300
BMGB4;15/06/2023;16:50:00;2,54;2,55;2,53;2,55;91.299,00;35.900
BMGB4;15/06/2023;16:45:00;2,54;2,55;2,54;2,55;3.559,00;1.400
BMGB4;15/06/2023;16:40:00;2,53;2,55;2,53;2,54;32.159,00;12.700
BMGB4;15/06/2023;16:35:00;2,53;2,54;2,53;2,54;4.823,00;1.900
BMGB4;15/06/2023;16:30:00;2,54;2,54;2,53;2,54;1.774,00;700
BMGB4;15/06/2023;16:25:00;2,54;2,54;2,53;2,54;20.807,00;8.200
BMGB4;15/06/2023;16:20:00;2,54;2,54;2,53;2,54;12.412,00;4.900
BMGB4;15/06/2023;16:15:00;2,54;2,54;2,54;2,54;1.016,00;400
BMGB4;15/06/2023;16:10:00;2,54;2,54;2,54;2,54;2.794,00;1.100
BMGB4;15/06/2023;16:05:00;2,54;2,54;2,53;2,54;3.808,00;1.500
BMGB4;15/06/2023;16:00:00;2,54;2,54;2,54;2,54;1.524,00;600
BMGB4;15/06/2023;15:55:00;2,54;2,54;2,53;2,54;16.762,00;6.600
BMGB4;15/06/2023;15:50:00;2,54;2,54;2,54;2,54;762,00;300
BMGB4;15/06/2023;15:45:00;2,54;2,55;2,53;2,54;14.983,00;5.900
BMGB4;15/06/2023;15:40:00;2,55;2,55;2,54;2,54;5.845,00;2.300
BMGB4;15/06/2023;15:35:00;2,54;2,55;2,54;2,54;30.740,00;12.100
BMGB4;15/06/2023;15:30:00;2,54;2,54;2,54;2,54;508,00;200
BMGB4;15/06/2023;15:20:00;2,53;2,54;2,53;2,54;1.776,00;700
BMGB4;15/06/2023;15:15:00;2,54;2,54;2,53;2,54;13.182,00;5.200
BMGB4;15/06/2023;15:10:00;2,54;2,54;2,53;2,53;761,00;300
BMGB4;15/06/2023;15:05:00;2,54;2,54;2,53;2,53;5.841,00;2.300
BMGB4;15/06/2023;15:00:00;2,53;2,54;2,53;2,54;1.520,00;600
BMGB4;15/06/2023;14:55:00;2,53;2,54;2,53;2,54;18.032,00;7.100
BMGB4;15/06/2023;14:50:00;2,53;2,54;2,53;2,53;25.056,00;9.900
BMGB4;15/06/2023;14:45:00;2,54;2,54;2,54;2,54;2.794,00;1.100
