Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BOAS3;06/06/2023;11:20:00;7,76;7,76;7,76;7,76;776,00;100
BOAS3;06/06/2023;11:10:00;7,77;7,77;7,77;7,77;777,00;100
BOAS3;06/06/2023;11:05:00;7,74;7,77;7,74;7,76;29.502,00;3.800
BOAS3;06/06/2023;11:00:00;7,74;7,74;7,73;7,74;30.944,00;4.000
BOAS3;06/06/2023;10:55:00;7,75;7,76;7,75;7,76;4.652,00;600
BOAS3;06/06/2023;10:50:00;7,76;7,76;7,74;7,74;28.687,00;3.700
BOAS3;06/06/2023;10:45:00;7,77;7,77;7,77;7,77;10.101,00;1.300
BOAS3;06/06/2023;10:40:00;7,77;7,77;7,76;7,76;3.107,00;400
BOAS3;06/06/2023;10:35:00;7,77;7,77;7,76;7,76;22.531,00;2.900
BOAS3;06/06/2023;10:30:00;7,76;7,77;7,75;7,76;121.162,00;15.600
BOAS3;06/06/2023;10:25:00;7,77;7,78;7,77;7,77;16.333,00;2.100
BOAS3;06/06/2023;10:20:00;7,76;7,77;7,76;7,76;4.658,00;600
BOAS3;06/06/2023;10:15:00;7,76;7,76;7,75;7,75;1.551,00;200
BOAS3;06/06/2023;10:10:00;7,76;7,78;7,75;7,75;41.916,00;5.400
BOAS3;06/06/2023;10:05:00;7,76;7,76;7,75;7,75;22.500,00;2.900
BOAS3;05/06/2023;16:50:00;7,74;7,76;7,72;7,72;558.471,00;72.300
BOAS3;05/06/2023;16:45:00;7,74;7,75;7,73;7,74;49.537,00;6.400
BOAS3;05/06/2023;16:40:00;7,74;7,75;7,73;7,75;54.937,00;7.100
BOAS3;05/06/2023;16:35:00;7,74;7,75;7,73;7,74;58.036,00;7.500
BOAS3;05/06/2023;16:30:00;7,74;7,76;7,74;7,74;51.144,00;6.600
BOAS3;05/06/2023;16:25:00;7,75;7,76;7,74;7,74;41.854,00;5.400
BOAS3;05/06/2023;16:20:00;7,72;7,76;7,72;7,74;92.924,00;12.000
BOAS3;05/06/2023;16:15:00;7,72;7,73;7,72;7,72;26.260,00;3.400
BOAS3;05/06/2023;16:10:00;7,72;7,73;7,72;7,72;17.763,00;2.300
BOAS3;05/06/2023;16:05:00;7,73;7,73;7,72;7,72;23.180,00;3.000
BOAS3;05/06/2023;16:00:00;7,73;7,74;7,73;7,73;34.812,00;4.500
BOAS3;05/06/2023;15:55:00;7,74;7,74;7,73;7,73;17.023,00;2.200
BOAS3;05/06/2023;15:50:00;7,74;7,74;7,74;7,74;19.350,00;2.500
BOAS3;05/06/2023;15:45:00;7,76;7,76;7,74;7,74;51.168,00;6.600
BOAS3;05/06/2023;15:40:00;7,76;7,77;7,76;7,76;62.884,00;8.100
BOAS3;05/06/2023;15:35:00;7,76;7,76;7,76;7,76;38.800,00;5.000
BOAS3;05/06/2023;15:30:00;7,77;7,78;7,76;7,76;62.127,00;8.000
BOAS3;05/06/2023;15:25:00;7,80;7,80;7,77;7,78;129.330,00;16.600
BOAS3;05/06/2023;15:20:00;7,80;7,81;7,79;7,79;83.445,00;10.700
BOAS3;05/06/2023;15:15:00;7,78;7,81;7,78;7,79;218.487,00;28.000
BOAS3;05/06/2023;15:10:00;7,79;7,79;7,79;7,79;7.011,00;900
BOAS3;05/06/2023;15:05:00;7,80;7,80;7,78;7,79;24.932,00;3.200
BOAS3;05/06/2023;15:00:00;7,78;7,80;7,77;7,79;221.765,00;28.500
BOAS3;05/06/2023;14:55:00;7,75;7,78;7,75;7,78;70.719,00;9.100
BOAS3;05/06/2023;14:50:00;7,73;7,74;7,73;7,74;39.465,00;5.100
BOAS3;05/06/2023;14:45:00;7,73;7,73;7,73;7,73;6.957,00;900
BOAS3;05/06/2023;14:40:00;7,71;7,73;7,70;7,73;56.392,00;7.300
BOAS3;05/06/2023;14:35:00;7,70;7,72;7,70;7,70;20.801,00;2.700
BOAS3;05/06/2023;14:30:00;7,71;7,72;7,70;7,70;23.129,00;3.000
BOAS3;05/06/2023;14:25:00;7,72;7,72;7,71;7,71;3.856,00;500
BOAS3;05/06/2023;14:20:00;7,71;7,73;7,71;7,72;18.523,00;2.400
BOAS3;05/06/2023;14:15:00;7,71;7,73;7,71;7,73;16.215,00;2.100
BOAS3;05/06/2023;14:10:00;7,72;7,72;7,71;7,72;6.946,00;900
BOAS3;05/06/2023;14:05:00;7,71;7,73;7,71;7,71;34.721,00;4.500
BOAS3;05/06/2023;14:00:00;7,71;7,73;7,71;7,71;41.693,00;5.400
BOAS3;05/06/2023;13:55:00;7,72;7,72;7,71;7,72;20.070,00;2.600
BOAS3;05/06/2023;13:50:00;7,71;7,72;7,71;7,72;4.627,00;600
