Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BPAC3;06/06/2023;11:00:00;14,20;14,20;14,20;14,20;9.940,00;700
BPAC3;06/06/2023;10:50:00;14,21;14,21;14,21;14,21;2.842,00;200
BPAC3;06/06/2023;10:45:00;14,31;14,31;14,26;14,26;5.717,00;400
BPAC3;06/06/2023;10:40:00;14,30;14,30;14,30;14,30;2.860,00;200
BPAC3;06/06/2023;10:35:00;14,30;14,30;14,30;14,30;1.430,00;100
BPAC3;06/06/2023;10:30:00;14,31;14,31;14,31;14,31;1.431,00;100
BPAC3;06/06/2023;10:10:00;14,31;14,31;14,31;14,31;1.431,00;100
BPAC3;05/06/2023;16:50:00;14,20;14,20;14,20;14,20;2.840,00;200
BPAC3;05/06/2023;16:40:00;14,20;14,20;14,20;14,20;2.840,00;200
BPAC3;05/06/2023;16:30:00;14,04;14,12;14,04;14,12;4.221,00;300
BPAC3;05/06/2023;16:25:00;13,97;13,98;13,97;13,98;2.795,00;200
BPAC3;05/06/2023;15:55:00;13,95;13,95;13,95;13,95;1.395,00;100
BPAC3;05/06/2023;15:10:00;13,85;13,85;13,85;13,85;1.385,00;100
BPAC3;05/06/2023;15:00:00;13,89;13,97;13,89;13,97;13.904,00;1.000
BPAC3;05/06/2023;14:30:00;13,89;13,89;13,89;13,89;1.389,00;100
BPAC3;05/06/2023;14:10:00;13,89;13,89;13,89;13,89;1.389,00;100
BPAC3;05/06/2023;13:10:00;13,82;13,82;13,82;13,82;2.764,00;200
BPAC3;05/06/2023;13:05:00;13,82;13,82;13,82;13,82;1.382,00;100
BPAC3;05/06/2023;12:50:00;13,82;13,82;13,82;13,82;1.382,00;100
BPAC3;05/06/2023;12:45:00;13,82;13,82;13,82;13,82;1.382,00;100
BPAC3;05/06/2023;11:50:00;13,90;13,90;13,90;13,90;1.390,00;100
BPAC3;05/06/2023;11:15:00;13,86;13,86;13,86;13,86;1.386,00;100
BPAC3;05/06/2023;10:40:00;13,93;13,93;13,93;13,93;1.393,00;100
BPAC3;05/06/2023;10:10:00;13,97;13,97;13,97;13,97;2.794,00;200
BPAC3;05/06/2023;10:00:00;14,20;14,20;14,20;14,20;8.520,00;600
BPAC3;02/06/2023;17:30:00;14,10;14,10;14,10;14,10;1.410,00;100
BPAC3;02/06/2023;15:55:00;14,09;14,10;14,09;14,10;2.819,00;200
BPAC3;02/06/2023;15:35:00;13,99;14,00;13,99;14,00;2.799,00;200
BPAC3;02/06/2023;15:25:00;13,87;13,87;13,87;13,87;1.387,00;100
BPAC3;02/06/2023;15:20:00;13,99;13,99;13,99;13,99;1.399,00;100
BPAC3;02/06/2023;14:50:00;13,85;13,85;13,62;13,62;5.501,00;400
BPAC3;02/06/2023;14:25:00;13,75;14,18;13,75;14,18;8.336,00;600
BPAC3;02/06/2023;14:20:00;13,92;13,92;13,75;13,75;6.925,00;500
BPAC3;02/06/2023;14:15:00;14,09;14,09;14,09;14,09;5.636,00;400
BPAC3;02/06/2023;14:10:00;14,09;14,09;14,09;14,09;5.636,00;400
BPAC3;02/06/2023;13:35:00;14,09;14,09;14,09;14,09;1.409,00;100
BPAC3;02/06/2023;12:55:00;14,10;14,18;14,10;14,18;2.828,00;200
BPAC3;02/06/2023;12:50:00;14,09;14,09;14,09;14,09;1.409,00;100
BPAC3;02/06/2023;12:20:00;14,10;14,10;14,10;14,10;1.410,00;100
BPAC3;02/06/2023;12:15:00;14,10;14,10;14,10;14,10;1.410,00;100
BPAC3;02/06/2023;12:00:00;14,10;14,10;14,10;14,10;2.820,00;200
