Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BPAN4;06/06/2023;11:20:00;6,89;6,89;6,89;6,89;11.024,00;1.600
BPAN4;06/06/2023;11:15:00;6,90;6,90;6,88;6,90;117.950,00;17.100
BPAN4;06/06/2023;11:10:00;6,91;6,92;6,91;6,91;8.299,00;1.200
BPAN4;06/06/2023;11:05:00;6,88;6,91;6,88;6,91;62.758,00;9.100
BPAN4;06/06/2023;11:00:00;6,90;6,90;6,87;6,87;132.328,00;19.200
BPAN4;06/06/2023;10:55:00;6,91;6,92;6,89;6,89;102.222,00;14.800
BPAN4;06/06/2023;10:50:00;6,90;6,90;6,90;6,90;22.770,00;3.300
BPAN4;06/06/2023;10:45:00;6,90;6,90;6,89;6,90;15.178,00;2.200
BPAN4;06/06/2023;10:40:00;6,90;6,90;6,89;6,90;24.135,00;3.500
BPAN4;06/06/2023;10:35:00;6,88;6,90;6,88;6,89;48.899,00;7.100
BPAN4;06/06/2023;10:30:00;6,85;6,90;6,85;6,89;202.690,00;29.500
BPAN4;06/06/2023;10:25:00;6,87;6,87;6,85;6,85;34.990,00;5.100
BPAN4;06/06/2023;10:20:00;6,88;6,89;6,87;6,87;72.906,00;10.600
BPAN4;06/06/2023;10:15:00;6,86;6,89;6,86;6,89;98.356,00;14.300
BPAN4;06/06/2023;10:10:00;6,89;6,90;6,86;6,87;178.832,00;26.000
BPAN4;06/06/2023;10:05:00;6,92;6,92;6,88;6,89;206.996,00;30.000
BPAN4;06/06/2023;10:00:00;6,89;6,89;6,87;6,87;7.574,00;1.100
BPAN4;05/06/2023;17:30:00;6,89;6,91;6,89;6,91;6.204,00;900
BPAN4;05/06/2023;16:50:00;6,91;6,94;6,87;6,94;471.212,00;68.000
BPAN4;05/06/2023;16:45:00;6,92;6,93;6,90;6,91;166.630,00;24.100
BPAN4;05/06/2023;16:40:00;6,91;6,93;6,91;6,92;58.837,00;8.500
BPAN4;05/06/2023;16:35:00;6,91;6,92;6,91;6,92;59.464,00;8.600
BPAN4;05/06/2023;16:30:00;6,92;6,93;6,91;6,92;112.784,00;16.300
BPAN4;05/06/2023;16:25:00;6,93;6,94;6,91;6,91;117.054,00;16.900
BPAN4;05/06/2023;16:20:00;6,89;6,94;6,88;6,93;335.623,00;48.500
BPAN4;05/06/2023;16:15:00;6,89;6,90;6,87;6,88;238.079,00;34.600
BPAN4;05/06/2023;16:10:00;6,89;6,89;6,88;6,88;30.988,00;4.500
BPAN4;05/06/2023;16:05:00;6,89;6,90;6,88;6,88;150.104,00;21.800
BPAN4;05/06/2023;16:00:00;6,91;6,93;6,88;6,89;1.479.905,00;214.100
BPAN4;05/06/2023;15:55:00;6,92;6,93;6,91;6,92;51.209,00;7.400
BPAN4;05/06/2023;15:50:00;6,94;6,95;6,93;6,93;631.280,00;91.000
BPAN4;05/06/2023;15:45:00;6,93;6,93;6,92;6,93;169.085,00;24.400
BPAN4;05/06/2023;15:40:00;6,91;6,93;6,91;6,93;125.195,00;18.100
BPAN4;05/06/2023;15:35:00;6,91;6,91;6,90;6,91;35.240,00;5.100
BPAN4;05/06/2023;15:30:00;6,91;6,91;6,90;6,91;23.490,00;3.400
BPAN4;05/06/2023;15:25:00;6,89;6,91;6,88;6,91;154.935,00;22.500
BPAN4;05/06/2023;15:20:00;6,88;6,89;6,88;6,89;70.198,00;10.200
