Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRAP3;16/06/2023;16:45:00;21,55;21,60;21,25;21,25;1.058.445,00;49.800
BRAP3;16/06/2023;16:40:00;21,55;21,56;21,53;21,53;15.084,00;700
BRAP3;16/06/2023;16:35:00;21,55;21,55;21,50;21,54;124.918,00;5.800
BRAP3;16/06/2023;16:30:00;21,53;21,56;21,53;21,54;12.927,00;600
BRAP3;16/06/2023;16:25:00;21,53;21,54;21,50;21,50;43.058,00;2.000
BRAP3;16/06/2023;16:20:00;21,51;21,52;21,49;21,49;19.357,00;900
BRAP3;16/06/2023;16:15:00;21,49;21,49;21,47;21,49;17.188,00;800
BRAP3;16/06/2023;16:10:00;21,50;21,52;21,49;21,49;6.451,00;300
BRAP3;16/06/2023;16:05:00;21,49;21,60;21,44;21,50;86.099,00;4.000
BRAP3;16/06/2023;16:00:00;21,47;21,47;21,40;21,45;45.009,00;2.100
BRAP3;16/06/2023;15:55:00;21,49;21,50;21,49;21,49;6.448,00;300
BRAP3;16/06/2023;15:50:00;21,48;21,50;21,45;21,45;12.883,00;600
BRAP3;16/06/2023;15:45:00;21,50;21,51;21,47;21,51;10.747,00;500
BRAP3;16/06/2023;15:40:00;21,44;21,46;21,43;21,46;36.448,00;1.700
BRAP3;16/06/2023;15:35:00;21,44;21,44;21,43;21,44;10.719,00;500
BRAP3;16/06/2023;15:30:00;21,44;21,46;21,43;21,43;55.743,00;2.600
BRAP3;16/06/2023;15:25:00;21,44;21,44;21,43;21,44;36.447,00;1.700
BRAP3;16/06/2023;15:20:00;21,44;21,44;21,42;21,42;30.012,00;1.400
BRAP3;16/06/2023;15:15:00;21,43;21,45;21,41;21,44;40.735,00;1.900
BRAP3;16/06/2023;15:10:00;21,46;21,46;21,40;21,40;124.372,00;5.800
BRAP3;16/06/2023;15:05:00;21,46;21,47;21,45;21,45;30.040,00;1.400
BRAP3;16/06/2023;15:00:00;21,48;21,48;21,45;21,46;10.731,00;500
BRAP3;16/06/2023;14:55:00;21,48;21,48;21,47;21,47;6.443,00;300
BRAP3;16/06/2023;14:50:00;21,50;21,51;21,46;21,48;23.631,00;1.100
BRAP3;16/06/2023;14:45:00;21,49;21,51;21,48;21,48;6.448,00;300
BRAP3;16/06/2023;14:40:00;21,51;21,52;21,48;21,51;15.055,00;700
BRAP3;16/06/2023;14:35:00;21,51;21,51;21,49;21,51;15.053,00;700
