Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRBI11;06/06/2023;11:15:00;13,21;13,21;13,19;13,19;3.960,00;300
BRBI11;06/06/2023;11:10:00;13,22;13,25;13,21;13,21;9.257,00;700
BRBI11;06/06/2023;11:05:00;13,19;13,22;13,17;13,22;21.113,00;1.600
BRBI11;06/06/2023;11:00:00;13,18;13,20;13,18;13,20;17.154,00;1.300
BRBI11;06/06/2023;10:55:00;13,13;13,13;13,11;13,11;11.810,00;900
BRBI11;06/06/2023;10:50:00;13,15;13,19;13,15;13,19;18.448,00;1.400
BRBI11;06/06/2023;10:45:00;13,10;13,10;13,10;13,10;2.620,00;200
BRBI11;06/06/2023;10:40:00;13,13;13,15;13,10;13,10;5.248,00;400
BRBI11;06/06/2023;10:35:00;13,13;13,19;13,13;13,13;17.110,00;1.300
BRBI11;06/06/2023;10:30:00;13,07;13,07;13,07;13,07;3.921,00;300
BRBI11;06/06/2023;10:25:00;13,02;13,02;12,92;13,01;84.501,00;6.500
BRBI11;06/06/2023;10:20:00;13,02;13,02;13,02;13,02;5.208,00;400
BRBI11;06/06/2023;10:15:00;13,00;13,12;13,00;13,12;35.218,00;2.700
BRBI11;06/06/2023;10:10:00;12,88;13,00;12,88;13,00;93.421,00;7.200
BRBI11;06/06/2023;10:05:00;12,76;12,89;12,76;12,84;42.350,00;3.300
BRBI11;06/06/2023;10:00:00;12,70;12,76;12,69;12,76;10.162,00;800
BRBI11;05/06/2023;17:30:00;12,47;12,71;12,47;12,71;154.967,00;12.400
BRBI11;05/06/2023;16:50:00;12,20;12,47;12,18;12,47;908.600,00;72.900
BRBI11;05/06/2023;16:45:00;12,20;12,22;12,19;12,22;18.296,00;1.500
BRBI11;05/06/2023;16:40:00;12,20;12,20;12,20;12,20;6.100,00;500
BRBI11;05/06/2023;16:35:00;12,19;12,20;12,19;12,19;32.936,00;2.700
BRBI11;05/06/2023;16:30:00;12,20;12,20;12,18;12,20;39.036,00;3.200
BRBI11;05/06/2023;16:25:00;12,20;12,20;12,18;12,18;8.538,00;700
BRBI11;05/06/2023;16:20:00;12,19;12,20;12,18;12,20;31.715,00;2.600
BRBI11;05/06/2023;16:15:00;12,20;12,20;12,19;12,19;10.979,00;900
BRBI11;05/06/2023;16:10:00;12,20;12,20;12,18;12,20;30.496,00;2.500
BRBI11;05/06/2023;16:05:00;12,27;12,27;12,20;12,20;29.381,00;2.400
BRBI11;05/06/2023;16:00:00;12,33;12,33;12,29;12,29;30.809,00;2.500
BRBI11;05/06/2023;15:55:00;12,37;12,37;12,33;12,33;33.337,00;2.700
BRBI11;05/06/2023;15:50:00;12,44;12,44;12,39;12,39;34.749,00;2.800
BRBI11;05/06/2023;15:45:00;12,45;12,45;12,45;12,45;3.735,00;300
BRBI11;05/06/2023;15:40:00;12,44;12,44;12,44;12,44;2.488,00;200
BRBI11;05/06/2023;15:30:00;12,45;12,45;12,44;12,44;8.712,00;700
BRBI11;05/06/2023;15:25:00;12,42;12,44;12,42;12,44;13.682,00;1.100
BRBI11;05/06/2023;15:20:00;12,45;12,45;12,42;12,42;2.487,00;200
BRBI11;05/06/2023;15:15:00;12,42;12,44;12,42;12,44;4.972,00;400
BRBI11;05/06/2023;15:05:00;12,39;12,44;12,39;12,39;11.170,00;900
BRBI11;05/06/2023;15:00:00;12,39;12,39;12,37;12,37;3.713,00;300
BRBI11;05/06/2023;14:55:00;12,36;12,43;12,34;12,43;19.791,00;1.600
BRBI11;05/06/2023;14:50:00;12,40;12,41;12,34;12,34;40.895,00;3.300
BRBI11;05/06/2023;14:45:00;12,39;12,40;12,35;12,40;3.714,00;300
BRBI11;05/06/2023;14:40:00;12,41;12,41;12,36;12,36;3.718,00;300
BRBI11;05/06/2023;14:35:00;12,40;12,41;12,35;12,41;14.865,00;1.200
BRBI11;05/06/2023;14:30:00;12,44;12,44;12,35;12,35;23.523,00;1.900
BRBI11;05/06/2023;14:25:00;12,45;12,45;12,40;12,40;4.971,00;400
BRBI11;05/06/2023;14:20:00;12,48;12,49;12,42;12,46;7.477,00;600
BRBI11;05/06/2023;14:15:00;12,48;12,48;12,46;12,46;4.988,00;400
BRBI11;05/06/2023;14:10:00;12,47;12,56;12,47;12,47;47.579,00;3.800
BRBI11;05/06/2023;14:05:00;12,53;12,53;12,37;12,40;73.689,00;5.900
BRBI11;05/06/2023;14:00:00;12,50;12,50;12,50;12,50;12.500,00;1.000
BRBI11;05/06/2023;13:55:00;12,47;12,50;12,43;12,50;8.729,00;700
BRBI11;05/06/2023;13:50:00;12,38;12,47;12,35;12,47;91.676,00;7.400
BRBI11;05/06/2023;13:45:00;12,38;12,38;12,37;12,37;2.475,00;200
BRBI11;05/06/2023;13:40:00;12,38;12,38;12,35;12,35;8.656,00;700
BRBI11;05/06/2023;13:35:00;12,36;12,36;12,36;12,36;1.236,00;100
BRBI11;05/06/2023;13:30:00;12,33;12,37;12,33;12,35;12.351,00;1.000
BRBI11;05/06/2023;13:25:00;12,38;12,38;12,35;12,35;9.899,00;800
BRBI11;05/06/2023;13:20:00;12,38;12,38;12,33;12,34;28.421,00;2.300
BRBI11;05/06/2023;13:10:00;12,37;12,37;12,33;12,33;9.883,00;800
BRBI11;05/06/2023;13:05:00;12,40;12,40;12,30;12,33;21.006,00;1.700
BRBI11;05/06/2023;13:00:00;12,38;12,38;12,36;12,38;3.712,00;300
BRBI11;05/06/2023;12:55:00;12,34;12,39;12,34;12,34;6.180,00;500
BRBI11;05/06/2023;12:50:00;12,39;12,39;12,33;12,33;3.711,00;300
BRBI11;05/06/2023;12:45:00;12,36;12,39;12,36;12,39;2.475,00;200
BRBI11;05/06/2023;12:40:00;12,35;12,35;12,34;12,34;2.469,00;200
BRBI11;05/06/2023;12:35:00;12,35;12,35;12,34;12,34;2.469,00;200
BRBI11;05/06/2023;12:30:00;12,30;12,30;12,30;12,30;1.230,00;100
BRBI11;05/06/2023;12:25:00;12,36;12,36;12,29;12,29;4.937,00;400
BRBI11;05/06/2023;12:20:00;12,35;12,35;12,35;12,35;1.235,00;100
BRBI11;05/06/2023;12:15:00;12,34;12,36;12,29;12,29;50.583,00;4.100
BRBI11;05/06/2023;12:10:00;12,34;12,34;12,33;12,34;3.701,00;300
BRBI11;05/06/2023;12:05:00;12,30;12,30;12,29;12,29;3.688,00;300
BRBI11;05/06/2023;12:00:00;12,34;12,34;12,32;12,32;2.466,00;200
BRBI11;05/06/2023;11:55:00;12,32;12,32;12,28;12,28;2.460,00;200
BRBI11;05/06/2023;11:50:00;12,33;12,33;12,31;12,31;4.927,00;400
BRBI11;05/06/2023;11:45:00;12,29;12,31;12,27;12,27;4.915,00;400
BRBI11;05/06/2023;11:40:00;12,29;12,29;12,26;12,26;3.682,00;300
BRBI11;05/06/2023;11:35:00;12,35;12,35;12,23;12,23;6.146,00;500
BRBI11;05/06/2023;11:30:00;12,32;12,33;12,32;12,33;6.161,00;500
BRBI11;05/06/2023;11:25:00;12,32;12,32;12,32;12,32;1.232,00;100
BRBI11;05/06/2023;11:15:00;12,28;12,30;12,25;12,25;25.820,00;2.100
BRBI11;05/06/2023;11:10:00;12,29;12,30;12,25;12,25;13.503,00;1.100
BRBI11;05/06/2023;11:00:00;12,32;12,32;12,27;12,27;3.691,00;300
BRBI11;05/06/2023;10:55:00;12,29;12,29;12,25;12,25;3.681,00;300
BRBI11;05/06/2023;10:50:00;12,32;12,32;12,26;12,31;8.611,00;700
BRBI11;05/06/2023;10:45:00;12,28;12,32;12,24;12,32;12.290,00;1.000
BRBI11;05/06/2023;10:40:00;12,20;12,27;12,20;12,27;4.890,00;400
BRBI11;05/06/2023;10:25:00;12,17;12,17;12,16;12,16;2.433,00;200
BRBI11;05/06/2023;10:20:00;12,12;12,17;12,12;12,17;7.277,00;600
BRBI11;05/06/2023;10:15:00;12,13;12,13;12,12;12,12;4.850,00;400
BRBI11;05/06/2023;10:10:00;12,15;12,15;12,15;12,15;1.215,00;100
BRBI11;05/06/2023;10:05:00;12,17;12,17;12,10;12,12;25.438,00;2.100
BRBI11;05/06/2023;10:00:00;12,20;12,20;12,20;12,20;1.220,00;100
BRBI11;02/06/2023;17:30:00;12,20;12,21;12,10;12,10;72.871,00;6.000
BRBI11;02/06/2023;16:50:00;12,27;12,27;12,20;12,20;95.167,00;7.800
BRBI11;02/06/2023;16:45:00;12,25;12,27;12,25;12,25;7.352,00;600
BRBI11;02/06/2023;16:40:00;12,24;12,24;12,24;12,24;1.224,00;100
BRBI11;02/06/2023;16:35:00;12,25;12,25;12,25;12,25;2.450,00;200
BRBI11;02/06/2023;16:30:00;12,25;12,25;12,23;12,23;3.673,00;300
BRBI11;02/06/2023;16:25:00;12,23;12,25;12,21;12,25;34.268,00;2.800
BRBI11;02/06/2023;16:20:00;12,22;12,24;12,20;12,20;18.341,00;1.500
BRBI11;02/06/2023;16:15:00;12,22;12,22;12,22;12,22;1.222,00;100
BRBI11;02/06/2023;16:05:00;12,18;12,19;12,18;12,19;3.655,00;300
BRBI11;02/06/2023;15:55:00;12,27;12,27;12,13;12,13;67.121,00;5.500
BRBI11;02/06/2023;15:50:00;12,29;12,29;12,26;12,26;2.455,00;200
BRBI11;02/06/2023;15:45:00;12,27;12,29;12,27;12,29;3.684,00;300
BRBI11;02/06/2023;15:40:00;12,40;12,40;12,20;12,20;120.406,00;9.800
BRBI11;02/06/2023;15:30:00;12,41;12,43;12,41;12,43;2.484,00;200
BRBI11;02/06/2023;15:20:00;12,37;12,38;12,37;12,38;7.423,00;600
BRBI11;02/06/2023;15:05:00;12,34;12,36;12,34;12,36;3.705,00;300
BRBI11;02/06/2023;14:50:00;12,33;12,33;12,29;12,29;8.613,00;700
BRBI11;02/06/2023;14:35:00;12,37;12,37;12,37;12,37;1.237,00;100
BRBI11;02/06/2023;14:30:00;12,35;12,35;12,35;12,35;7.410,00;600
BRBI11;02/06/2023;14:25:00;12,42;12,42;12,35;12,35;21.063,00;1.700
BRBI11;02/06/2023;14:00:00;12,45;12,45;12,42;12,42;19.914,00;1.600
BRBI11;02/06/2023;13:50:00;12,46;12,46;12,45;12,45;4.982,00;400
BRBI11;02/06/2023;13:45:00;12,50;12,50;12,47;12,47;28.747,00;2.300
BRBI11;02/06/2023;13:40:00;12,50;12,54;12,50;12,50;12.508,00;1.000
BRBI11;02/06/2023;13:30:00;12,56;12,56;12,53;12,53;6.275,00;500
BRBI11;02/06/2023;13:25:00;12,60;12,60;12,60;12,60;1.260,00;100
BRBI11;02/06/2023;13:15:00;12,59;12,60;12,56;12,60;7.555,00;600
BRBI11;02/06/2023;13:05:00;12,55;12,55;12,55;12,55;2.510,00;200
BRBI11;02/06/2023;13:00:00;12,53;12,53;12,53;12,53;1.253,00;100
BRBI11;02/06/2023;12:55:00;12,51;12,53;12,50;12,50;23.781,00;1.900
BRBI11;02/06/2023;12:35:00;12,49;12,49;12,49;12,49;2.498,00;200
BRBI11;02/06/2023;12:20:00;12,49;12,49;12,49;12,49;4.996,00;400
BRBI11;02/06/2023;12:00:00;12,50;12,55;12,50;12,51;8.766,00;700
BRBI11;02/06/2023;11:55:00;12,51;12,55;12,51;12,52;12.529,00;1.000
BRBI11;02/06/2023;11:50:00;12,50;12,51;12,47;12,47;3.748,00;300
BRBI11;02/06/2023;11:40:00;12,47;12,47;12,47;12,47;3.741,00;300
