Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRFS3;16/06/2023;17:30:00;9,17;9,21;9,17;9,17;332.158,00;36.200
BRFS3;16/06/2023;16:45:00;9,17;9,21;9,16;9,21;28.839.918,00;3.132.500
BRFS3;16/06/2023;16:40:00;9,17;9,19;9,16;9,16;3.609.048,00;393.500
BRFS3;16/06/2023;16:35:00;9,17;9,18;9,15;9,17;2.236.765,00;244.000
BRFS3;16/06/2023;16:30:00;9,14;9,17;9,13;9,16;3.081.468,00;336.800
BRFS3;16/06/2023;16:25:00;9,12;9,14;9,10;9,13;1.976.784,00;216.600
BRFS3;16/06/2023;16:20:00;9,13;9,13;9,11;9,12;2.707.145,00;296.800
BRFS3;16/06/2023;16:15:00;9,12;9,13;9,11;9,12;1.852.324,00;203.100
BRFS3;16/06/2023;16:10:00;9,11;9,12;9,10;9,11;870.903,00;95.600
BRFS3;16/06/2023;16:05:00;9,10;9,13;9,10;9,11;1.807.663,00;198.400
BRFS3;16/06/2023;16:00:00;9,11;9,12;9,10;9,10;913.646,00;100.300
BRFS3;16/06/2023;15:55:00;9,08;9,13;9,08;9,11;2.449.270,00;268.900
BRFS3;16/06/2023;15:50:00;9,10;9,11;9,08;9,09;1.103.028,00;121.200
BRFS3;16/06/2023;15:45:00;9,13;9,13;9,10;9,10;1.358.343,00;149.100
BRFS3;16/06/2023;15:40:00;9,11;9,13;9,10;9,12;1.092.943,00;119.900
BRFS3;16/06/2023;15:35:00;9,11;9,12;9,10;9,12;898.918,00;98.600
BRFS3;16/06/2023;15:30:00;9,13;9,14;9,10;9,11;1.364.144,00;149.600
BRFS3;16/06/2023;15:25:00;9,10;9,13;9,10;9,12;752.960,00;82.600
BRFS3;16/06/2023;15:20:00;9,12;9,12;9,09;9,10;922.656,00;101.300
BRFS3;16/06/2023;15:15:00;9,06;9,11;9,06;9,11;1.116.693,00;122.900
BRFS3;16/06/2023;15:10:00;9,07;9,08;9,05;9,06;851.817,00;93.900
BRFS3;16/06/2023;15:05:00;9,04;9,08;9,03;9,07;2.887.957,00;319.100
BRFS3;16/06/2023;15:00:00;9,10;9,10;9,04;9,04;2.332.001,00;257.200
BRFS3;16/06/2023;14:55:00;9,10;9,10;9,06;9,09;1.195.254,00;131.600
BRFS3;16/06/2023;14:50:00;9,13;9,13;9,09;9,09;1.716.121,00;188.500
BRFS3;16/06/2023;14:45:00;9,13;9,14;9,11;9,13;1.169.644,00;128.200
BRFS3;16/06/2023;14:40:00;9,14;9,14;9,11;9,12;3.004.774,00;329.500
BRFS3;16/06/2023;14:35:00;9,14;9,17;9,13;9,14;992.755,00;108.500
BRFS3;16/06/2023;14:30:00;9,16;9,16;9,13;9,14;993.044,00;108.600
BRFS3;16/06/2023;14:25:00;9,15;9,17;9,15;9,16;582.425,00;63.600
BRFS3;16/06/2023;14:20:00;9,17;9,18;9,15;9,15;741.408,00;80.900
BRFS3;16/06/2023;14:15:00;9,17;9,19;9,17;9,17;600.234,00;65.400
BRFS3;16/06/2023;14:10:00;9,19;9,19;9,17;9,17;500.219,00;54.500
BRFS3;16/06/2023;14:05:00;9,20;9,21;9,18;9,19;637.783,00;69.400
BRFS3;16/06/2023;14:00:00;9,23;9,24;9,20;9,20;689.738,00;74.800
BRFS3;16/06/2023;13:55:00;9,21;9,25;9,20;9,23;1.920.134,00;208.100
BRFS3;16/06/2023;13:50:00;9,19;9,21;9,19;9,20;819.918,00;89.100
BRFS3;16/06/2023;13:45:00;9,20;9,20;9,18;9,20;611.218,00;66.500
BRFS3;16/06/2023;13:40:00;9,18;9,20;9,16;9,19;870.910,00;94.900
BRFS3;16/06/2023;13:35:00;9,17;9,18;9,16;9,18;718.805,00;78.400
BRFS3;16/06/2023;13:30:00;9,20;9,21;9,15;9,17;2.339.351,00;254.900
BRFS3;16/06/2023;13:25:00;9,19;9,20;9,19;9,19;359.439,00;39.100
BRFS3;16/06/2023;13:20:00;9,20;9,22;9,19;9,19;857.672,00;93.200
BRFS3;16/06/2023;13:15:00;9,23;9,23;9,20;9,20;1.103.034,00;119.700
BRFS3;16/06/2023;13:10:00;9,23;9,24;9,22;9,22;665.381,00;72.100
BRFS3;16/06/2023;13:05:00;9,23;9,24;9,22;9,23;420.881,00;45.600
BRFS3;16/06/2023;13:00:00;9,22;9,24;9,22;9,24;779.621,00;84.500
BRFS3;16/06/2023;12:55:00;9,23;9,24;9,21;9,22;602.260,00;65.300
BRFS3;16/06/2023;12:50:00;9,22;9,24;9,20;9,24;691.261,00;75.000
BRFS3;16/06/2023;12:45:00;9,20;9,23;9,19;9,22;453.054,00;49.200
BRFS3;16/06/2023;12:40:00;9,18;9,21;9,17;9,19;913.925,00;99.400
BRFS3;16/06/2023;12:35:00;9,24;9,25;9,17;9,18;2.253.794,00;244.900
BRFS3;16/06/2023;12:30:00;9,24;9,26;9,23;9,24;673.806,00;72.900
BRFS3;16/06/2023;12:25:00;9,24;9,25;9,22;9,23;1.731.353,00;187.500
BRFS3;16/06/2023;12:20:00;9,28;9,29;9,24;9,24;908.764,00;98.100
BRFS3;16/06/2023;12:15:00;9,28;9,28;9,27;9,27;281.883,00;30.400
BRFS3;16/06/2023;12:10:00;9,27;9,28;9,26;9,27;632.175,00;68.200
BRFS3;16/06/2023;12:05:00;9,27;9,30;9,27;9,27;589.259,00;63.500
BRFS3;16/06/2023;12:00:00;9,28;9,28;9,25;9,27;3.561.079,00;384.400
BRFS3;16/06/2023;11:55:00;9,30;9,31;9,27;9,28;599.746,00;64.600
BRFS3;16/06/2023;11:50:00;9,30;9,32;9,30;9,30;761.363,00;81.800
BRFS3;16/06/2023;11:45:00;9,30;9,31;9,28;9,30;971.001,00;104.500
BRFS3;16/06/2023;11:40:00;9,30;9,32;9,29;9,29;796.199,00;85.600
BRFS3;16/06/2023;11:35:00;9,33;9,33;9,29;9,31;1.368.597,00;147.000
BRFS3;16/06/2023;11:30:00;9,29;9,34;9,29;9,33;720.867,00;77.400
BRFS3;16/06/2023;11:25:00;9,32;9,32;9,27;9,29;1.677.709,00;180.600
BRFS3;16/06/2023;11:20:00;9,30;9,34;9,30;9,31;811.646,00;87.100
BRFS3;16/06/2023;11:15:00;9,29;9,36;9,27;9,30;2.619.605,00;281.000
BRFS3;16/06/2023;11:10:00;9,30;9,31;9,27;9,28;1.073.125,00;115.500
BRFS3;16/06/2023;11:05:00;9,33;9,35;9,29;9,31;662.473,00;71.100
BRFS3;16/06/2023;11:00:00;9,29;9,35;9,27;9,33;1.537.634,00;165.200
BRFS3;16/06/2023;10:55:00;9,30;9,31;9,26;9,29;953.861,00;102.800
BRFS3;16/06/2023;10:50:00;9,27;9,32;9,26;9,30;1.417.212,00;152.700
BRFS3;16/06/2023;10:45:00;9,31;9,31;9,25;9,26;1.423.096,00;153.400
BRFS3;16/06/2023;10:40:00;9,34;9,35;9,29;9,31;1.137.161,00;122.000
BRFS3;16/06/2023;10:35:00;9,29;9,34;9,27;9,33;2.135.935,00;229.700
BRFS3;16/06/2023;10:30:00;9,27;9,29;9,22;9,29;2.023.708,00;218.800
BRFS3;16/06/2023;10:25:00;9,35;9,35;9,25;9,27;1.589.459,00;170.900
BRFS3;16/06/2023;10:20:00;9,32;9,40;9,31;9,36;1.489.665,00;159.100
BRFS3;16/06/2023;10:15:00;9,31;9,33;9,28;9,31;1.105.257,00;118.800
BRFS3;16/06/2023;10:10:00;9,29;9,31;9,23;9,31;1.351.800,00;145.900
BRFS3;16/06/2023;10:05:00;9,33;9,36;9,28;9,29;2.437.231,00;261.700
BRFS3;16/06/2023;10:00:00;9,36;9,36;9,29;9,33;1.042.364,00;111.600
BRFS3;15/06/2023;17:30:00;9,31;9,34;9,31;9,31;154.720,00;16.600
BRFS3;15/06/2023;16:50:00;9,36;9,37;9,31;9,31;13.220.000,00;1.419.100
BRFS3;15/06/2023;16:45:00;9,34;9,38;9,33;9,36;3.079.977,00;329.300
BRFS3;15/06/2023;16:40:00;9,34;9,35;9,31;9,34;1.844.402,00;197.500
BRFS3;15/06/2023;16:35:00;9,34;9,35;9,33;9,34;887.540,00;95.000
BRFS3;15/06/2023;16:30:00;9,33;9,35;9,31;9,33;1.493.095,00;160.000
BRFS3;15/06/2023;16:25:00;9,32;9,33;9,31;9,33;843.037,00;90.400
BRFS3;15/06/2023;16:20:00;9,34;9,35;9,30;9,32;3.389.946,00;363.500
BRFS3;15/06/2023;16:15:00;9,34;9,35;9,33;9,34;1.393.362,00;149.200
BRFS3;15/06/2023;16:10:00;9,34;9,34;9,32;9,34;671.095,00;71.900
BRFS3;15/06/2023;16:05:00;9,35;9,35;9,32;9,34;666.474,00;71.400
BRFS3;15/06/2023;16:00:00;9,34;9,35;9,33;9,34;517.516,00;55.400
BRFS3;15/06/2023;15:55:00;9,36;9,36;9,32;9,34;1.909.689,00;204.500
BRFS3;15/06/2023;15:50:00;9,43;9,43;9,34;9,36;3.549.315,00;378.000
BRFS3;15/06/2023;15:45:00;9,36;9,43;9,36;9,43;1.700.874,00;181.100
BRFS3;15/06/2023;15:40:00;9,38;9,38;9,35;9,37;682.756,00;72.900
BRFS3;15/06/2023;15:35:00;9,35;9,39;9,34;9,38;2.282.085,00;243.500
BRFS3;15/06/2023;15:30:00;9,33;9,36;9,32;9,34;2.961.791,00;316.800
BRFS3;15/06/2023;15:25:00;9,33;9,33;9,31;9,33;971.402,00;104.200
BRFS3;15/06/2023;15:20:00;9,32;9,34;9,31;9,32;1.062.249,00;113.900
BRFS3;15/06/2023;15:15:00;9,30;9,32;9,29;9,31;1.204.600,00;129.500
BRFS3;15/06/2023;15:10:00;9,28;9,30;9,27;9,30;393.698,00;42.400
BRFS3;15/06/2023;15:05:00;9,29;9,29;9,26;9,27;841.420,00;90.700
BRFS3;15/06/2023;15:00:00;9,30;9,30;9,27;9,28;614.577,00;66.200
BRFS3;15/06/2023;14:55:00;9,29;9,30;9,28;9,30;405.201,00;43.600
