Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRIT3;06/06/2023;11:20:00;2,66;2,66;2,66;2,66;798,00;300
BRIT3;06/06/2023;11:15:00;2,65;2,68;2,65;2,66;18.076,00;6.800
BRIT3;06/06/2023;11:10:00;2,67;2,67;2,65;2,65;10.644,00;4.000
BRIT3;06/06/2023;11:05:00;2,66;2,68;2,66;2,68;7.472,00;2.800
BRIT3;06/06/2023;11:00:00;2,66;2,68;2,66;2,66;10.647,00;4.000
BRIT3;06/06/2023;10:55:00;2,66;2,68;2,64;2,66;46.682,00;17.500
BRIT3;06/06/2023;10:50:00;2,64;2,70;2,64;2,67;86.986,00;32.500
BRIT3;06/06/2023;10:45:00;2,65;2,65;2,58;2,58;64.666,00;24.800
BRIT3;06/06/2023;10:40:00;2,65;2,65;2,65;2,65;530,00;200
BRIT3;06/06/2023;10:35:00;2,66;2,66;2,66;2,66;266,00;100
BRIT3;06/06/2023;10:30:00;2,66;2,66;2,64;2,64;5.033,00;1.900
BRIT3;06/06/2023;10:25:00;2,66;2,67;2,64;2,65;76.724,00;29.000
BRIT3;06/06/2023;10:20:00;2,67;2,67;2,66;2,66;3.994,00;1.500
BRIT3;06/06/2023;10:15:00;2,68;2,68;2,68;2,68;268,00;100
BRIT3;06/06/2023;10:10:00;2,70;2,70;2,69;2,69;13.456,00;5.000
BRIT3;06/06/2023;10:05:00;2,70;2,71;2,70;2,71;18.636,00;6.900
BRIT3;06/06/2023;10:00:00;2,64;2,69;2,64;2,69;20.138,00;7.600
BRIT3;05/06/2023;17:30:00;2,70;2,70;2,64;2,67;16.764,00;6.300
BRIT3;05/06/2023;16:50:00;2,69;2,69;2,67;2,69;98.170,00;36.500
BRIT3;05/06/2023;16:45:00;2,68;2,69;2,68;2,69;16.892,00;6.300
BRIT3;05/06/2023;16:40:00;2,68;2,69;2,68;2,68;1.341,00;500
BRIT3;05/06/2023;16:35:00;2,69;2,69;2,68;2,69;8.050,00;3.000
BRIT3;05/06/2023;16:30:00;2,69;2,70;2,68;2,69;7.001,00;2.600
BRIT3;05/06/2023;16:25:00;2,69;2,69;2,67;2,69;17.963,00;6.700
BRIT3;05/06/2023;16:20:00;2,67;2,69;2,67;2,68;10.184,00;3.800
BRIT3;05/06/2023;16:15:00;2,66;2,68;2,66;2,66;20.230,00;7.600
BRIT3;05/06/2023;16:10:00;2,66;2,67;2,66;2,66;21.016,00;7.900
BRIT3;05/06/2023;16:05:00;2,66;2,67;2,66;2,66;7.715,00;2.900
BRIT3;05/06/2023;16:00:00;2,67;2,67;2,66;2,66;4.004,00;1.500
BRIT3;05/06/2023;15:55:00;2,67;2,68;2,66;2,68;11.218,00;4.200
BRIT3;05/06/2023;15:50:00;2,67;2,67;2,66;2,66;5.070,00;1.900
BRIT3;05/06/2023;15:45:00;2,65;2,67;2,65;2,67;4.800,00;1.800
BRIT3;05/06/2023;15:40:00;2,65;2,66;2,64;2,65;34.657,00;13.100
BRIT3;05/06/2023;15:35:00;2,67;2,67;2,64;2,65;37.960,00;14.300
BRIT3;05/06/2023;15:30:00;2,67;2,67;2,67;2,67;10.680,00;4.000
BRIT3;05/06/2023;15:25:00;2,67;2,68;2,67;2,67;31.240,00;11.700
BRIT3;05/06/2023;15:20:00;2,67;2,68;2,67;2,67;4.809,00;1.800
BRIT3;05/06/2023;15:15:00;2,67;2,67;2,67;2,67;4.005,00;1.500
BRIT3;05/06/2023;15:10:00;2,67;2,68;2,66;2,67;21.361,00;8.000
BRIT3;05/06/2023;15:05:00;2,67;2,67;2,66;2,66;20.511,00;7.700
BRIT3;05/06/2023;15:00:00;2,66;2,67;2,65;2,67;49.083,00;18.400
