Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRKM5;16/06/2023;17:30:00;30,00;30,00;29,90;29,97;800.058,00;26.700
BRKM5;16/06/2023;16:45:00;29,96;30,00;29,93;30,00;68.485.388,00;2.282.900
BRKM5;16/06/2023;16:40:00;29,98;29,98;29,90;29,98;2.272.711,00;75.900
BRKM5;16/06/2023;16:35:00;29,98;29,99;29,97;29,99;866.498,00;28.900
BRKM5;16/06/2023;16:30:00;29,97;30,01;29,97;29,98;1.040.824,00;34.700
BRKM5;16/06/2023;16:25:00;30,02;30,05;29,93;29,97;2.528.962,00;84.300
BRKM5;16/06/2023;16:20:00;30,05;30,06;30,02;30,02;1.339.468,00;44.600
BRKM5;16/06/2023;16:15:00;30,10;30,10;30,05;30,06;1.094.643,00;36.400
BRKM5;16/06/2023;16:10:00;30,15;30,20;30,09;30,09;1.758.432,00;58.300
BRKM5;16/06/2023;16:05:00;30,12;30,17;30,10;30,16;1.352.739,00;44.900
BRKM5;16/06/2023;16:00:00;30,04;30,14;30,02;30,12;1.238.854,00;41.200
BRKM5;16/06/2023;15:55:00;29,99;30,04;29,99;30,04;1.134.243,00;37.800
BRKM5;16/06/2023;15:50:00;29,99;30,05;29,97;30,00;1.734.700,00;57.800
BRKM5;16/06/2023;15:45:00;30,11;30,12;29,99;29,99;1.172.157,00;39.000
BRKM5;16/06/2023;15:40:00;30,07;30,12;30,05;30,10;716.000,00;23.800
BRKM5;16/06/2023;15:35:00;30,08;30,12;30,05;30,07;1.531.659,00;50.900
BRKM5;16/06/2023;15:30:00;30,05;30,09;30,03;30,08;772.628,00;25.700
BRKM5;16/06/2023;15:25:00;29,97;30,06;29,97;30,05;1.059.484,00;35.300
BRKM5;16/06/2023;15:20:00;29,99;29,99;29,96;29,98;482.669,00;16.100
BRKM5;16/06/2023;15:15:00;29,93;29,98;29,91;29,98;410.067,00;13.700
BRKM5;16/06/2023;15:10:00;29,92;29,93;29,90;29,93;263.249,00;8.800
BRKM5;16/06/2023;15:05:00;29,93;29,94;29,91;29,92;502.729,00;16.800
BRKM5;16/06/2023;15:00:00;29,98;29,99;29,92;29,93;404.419,00;13.500
BRKM5;16/06/2023;14:55:00;29,93;30,00;29,92;29,98;883.567,00;29.500
BRKM5;16/06/2023;14:50:00;29,92;29,96;29,92;29,93;434.080,00;14.500
BRKM5;16/06/2023;14:45:00;29,91;29,95;29,88;29,93;882.552,00;29.500
BRKM5;16/06/2023;14:40:00;29,91;29,95;29,89;29,92;954.141,00;31.900
BRKM5;16/06/2023;14:35:00;29,95;29,96;29,90;29,91;843.583,00;28.200
BRKM5;16/06/2023;14:30:00;29,93;29,96;29,93;29,95;302.425,00;10.100
BRKM5;16/06/2023;14:25:00;29,95;29,96;29,93;29,94;218.624,00;7.300
BRKM5;16/06/2023;14:20:00;29,97;30,00;29,94;29,94;392.568,00;13.100
BRKM5;16/06/2023;14:15:00;29,93;30,00;29,91;29,97;797.166,00;26.600
