Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRML3;06/01/2023;17:50:00;8,27;8,29;8,25;8,26;52.008.028,00;6.296.300
BRML3;06/01/2023;17:45:00;8,24;8,28;8,24;8,27;589.224,00;71.300
BRML3;06/01/2023;17:40:00;8,25;8,25;8,23;8,25;1.290.146,00;156.500
BRML3;06/01/2023;17:35:00;8,24;8,25;8,23;8,24;879.704,00;106.700
BRML3;06/01/2023;17:30:00;8,25;8,25;8,23;8,24;698.304,00;84.700
BRML3;06/01/2023;17:25:00;8,23;8,25;8,23;8,24;800.962,00;97.200
BRML3;06/01/2023;17:20:00;8,21;8,24;8,21;8,23;922.170,00;112.100
BRML3;06/01/2023;17:15:00;8,23;8,24;8,21;8,21;584.027,00;71.000
BRML3;06/01/2023;17:10:00;8,25;8,26;8,23;8,24;1.759.330,00;213.300
BRML3;06/01/2023;17:05:00;8,27;8,27;8,24;8,25;1.285.583,00;155.800
BRML3;06/01/2023;17:00:00;8,25;8,27;8,25;8,27;540.776,00;65.500
BRML3;06/01/2023;16:55:00;8,22;8,26;8,22;8,25;1.421.900,00;172.500
BRML3;06/01/2023;16:50:00;8,21;8,23;8,21;8,23;462.048,00;56.200
BRML3;06/01/2023;16:45:00;8,22;8,23;8,21;8,21;642.844,00;78.200
BRML3;06/01/2023;16:40:00;8,22;8,23;8,20;8,22;1.128.630,00;137.300
BRML3;06/01/2023;16:35:00;8,22;8,22;8,20;8,22;348.969,00;42.500
BRML3;06/01/2023;16:30:00;8,22;8,23;8,21;8,22;374.747,00;45.600
BRML3;06/01/2023;16:25:00;8,23;8,23;8,21;8,22;341.183,00;41.500
BRML3;06/01/2023;16:20:00;8,23;8,23;8,21;8,22;371.566,00;45.200
BRML3;06/01/2023;16:15:00;8,22;8,23;8,21;8,23;376.555,00;45.800
BRML3;06/01/2023;16:10:00;8,24;8,24;8,21;8,22;455.778,00;55.400
BRML3;06/01/2023;16:05:00;8,23;8,24;8,22;8,23;661.434,00;80.400
BRML3;06/01/2023;16:00:00;8,25;8,26;8,22;8,22;1.667.063,00;202.100
BRML3;06/01/2023;15:55:00;8,27;8,27;8,25;8,25;795.330,00;96.300
BRML3;06/01/2023;15:50:00;8,25;8,27;8,25;8,26;679.588,00;82.300
BRML3;06/01/2023;15:45:00;8,24;8,27;8,24;8,25;799.205,00;96.900
BRML3;06/01/2023;15:40:00;8,24;8,25;8,24;8,24;416.209,00;50.500
BRML3;06/01/2023;15:35:00;8,24;8,25;8,23;8,24;381.329,00;46.300
BRML3;06/01/2023;15:30:00;8,23;8,24;8,23;8,23;430.464,00;52.300
BRML3;06/01/2023;15:25:00;8,24;8,25;8,23;8,23;340.314,00;41.300
BRML3;06/01/2023;15:20:00;8,24;8,25;8,24;8,24;641.090,00;77.800
BRML3;06/01/2023;15:15:00;8,24;8,25;8,22;8,24;1.821.794,00;221.100
BRML3;06/01/2023;15:10:00;8,22;8,25;8,21;8,24;1.439.756,00;174.800
