Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRPR3;06/06/2023;11:10:00;68,08;68,08;67,73;67,73;47.568,00;700
BRPR3;06/06/2023;11:00:00;67,60;68,16;67,60;68,16;61.116,00;900
BRPR3;06/06/2023;10:50:00;68,71;68,71;66,38;67,24;338.901,00;5.000
BRPR3;06/06/2023;10:45:00;69,61;69,71;68,86;68,86;708.106,00;10.200
BRPR3;06/06/2023;10:40:00;70,00;70,00;70,00;70,00;7.000,00;100
BRPR3;06/06/2023;10:30:00;69,86;69,99;69,86;69,97;27.978,00;400
BRPR3;06/06/2023;10:20:00;68,27;69,33;68,27;69,33;27.417,00;400
BRPR3;06/06/2023;10:10:00;68,43;68,43;68,43;68,43;34.215,00;500
BRPR3;05/06/2023;17:30:00;67,15;67,15;67,15;67,15;13.430,00;200
BRPR3;05/06/2023;16:50:00;69,02;69,08;68,51;68,51;178.441,00;2.600
BRPR3;05/06/2023;16:40:00;69,02;69,02;69,02;69,02;6.902,00;100
BRPR3;05/06/2023;16:35:00;68,64;68,97;68,52;68,52;123.850,00;1.800
BRPR3;05/06/2023;16:30:00;69,30;69,31;68,47;68,47;131.066,00;1.900
BRPR3;05/06/2023;16:25:00;69,05;69,25;69,05;69,20;55.286,00;800
BRPR3;05/06/2023;16:20:00;68,81;68,82;68,78;68,78;48.165,00;700
BRPR3;05/06/2023;16:15:00;68,91;68,91;68,72;68,72;48.217,00;700
BRPR3;05/06/2023;15:50:00;68,82;68,96;68,82;68,96;234.092,00;3.400
BRPR3;05/06/2023;15:45:00;68,81;68,81;68,81;68,81;6.881,00;100
BRPR3;05/06/2023;15:30:00;68,84;68,85;68,83;68,85;20.652,00;300
BRPR3;05/06/2023;15:10:00;68,76;68,77;68,76;68,77;41.257,00;600
BRPR3;05/06/2023;14:55:00;69,05;69,05;69,05;69,05;6.905,00;100
BRPR3;05/06/2023;14:50:00;68,93;68,93;68,93;68,93;6.893,00;100
BRPR3;05/06/2023;14:45:00;68,73;68,84;68,57;68,78;96.290,00;1.400
BRPR3;05/06/2023;14:40:00;68,59;68,59;68,41;68,41;102.858,00;1.500
