Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
BRSR6;16/06/2023;17:30:00;14,21;14,21;14,21;14,21;9.947,00;700
BRSR6;16/06/2023;16:45:00;14,29;14,31;14,21;14,21;34.435.607,00;2.423.000
BRSR6;16/06/2023;16:40:00;14,30;14,30;14,28;14,30;790.264,00;55.300
BRSR6;16/06/2023;16:35:00;14,30;14,31;14,29;14,30;629.092,00;44.000
BRSR6;16/06/2023;16:30:00;14,30;14,31;14,29;14,30;477.620,00;33.400
BRSR6;16/06/2023;16:25:00;14,30;14,31;14,29;14,30;990.997,00;69.300
BRSR6;16/06/2023;16:20:00;14,30;14,31;14,29;14,30;689.360,00;48.200
BRSR6;16/06/2023;16:15:00;14,31;14,32;14,30;14,30;1.187.831,00;83.000
BRSR6;16/06/2023;16:10:00;14,31;14,32;14,31;14,31;592.440,00;41.400
BRSR6;16/06/2023;16:05:00;14,31;14,32;14,30;14,31;726.725,00;50.800
BRSR6;16/06/2023;16:00:00;14,33;14,33;14,30;14,31;452.364,00;31.600
BRSR6;16/06/2023;15:55:00;14,31;14,34;14,26;14,33;2.338.046,00;163.500
BRSR6;16/06/2023;15:50:00;14,30;14,31;14,30;14,30;421.851,00;29.500
BRSR6;16/06/2023;15:45:00;14,30;14,30;14,27;14,30;418.626,00;29.300
BRSR6;16/06/2023;15:40:00;14,28;14,32;14,28;14,30;605.076,00;42.300
BRSR6;16/06/2023;15:35:00;14,31;14,31;14,28;14,28;520.345,00;36.400
BRSR6;16/06/2023;15:30:00;14,28;14,32;14,27;14,31;524.746,00;36.700
BRSR6;16/06/2023;15:25:00;14,29;14,29;14,27;14,28;234.219,00;16.400
BRSR6;16/06/2023;15:20:00;14,22;14,35;14,20;14,29;3.919.235,00;274.400
BRSR6;16/06/2023;15:15:00;14,26;14,26;14,21;14,22;435.646,00;30.600
BRSR6;16/06/2023;15:10:00;14,24;14,30;14,23;14,26;1.028.894,00;72.100
BRSR6;16/06/2023;15:05:00;14,22;14,25;14,21;14,24;320.285,00;22.500
BRSR6;16/06/2023;15:00:00;14,26;14,26;14,22;14,22;404.509,00;28.400
BRSR6;16/06/2023;14:55:00;14,24;14,27;14,24;14,26;276.476,00;19.400
BRSR6;16/06/2023;14:50:00;14,27;14,27;14,24;14,24;325.157,00;22.800
BRSR6;16/06/2023;14:45:00;14,23;14,29;14,23;14,27;970.230,00;68.000
BRSR6;16/06/2023;14:40:00;14,26;14,26;14,23;14,23;237.828,00;16.700
BRSR6;16/06/2023;14:35:00;14,22;14,27;14,21;14,26;827.488,00;58.100
BRSR6;16/06/2023;14:30:00;14,22;14,23;14,22;14,22;203.394,00;14.300
BRSR6;16/06/2023;14:25:00;14,16;14,24;14,16;14,22;2.377.555,00;167.400
BRSR6;16/06/2023;14:20:00;14,18;14,18;14,15;14,16;642.696,00;45.400
BRSR6;16/06/2023;14:15:00;14,13;14,18;14,12;14,18;793.670,00;56.100
BRSR6;16/06/2023;14:10:00;14,12;14,13;14,09;14,13;484.202,00;34.300
BRSR6;16/06/2023;14:05:00;14,12;14,12;14,12;14,12;248.512,00;17.600
BRSR6;16/06/2023;14:00:00;14,12;14,13;14,12;14,12;256.993,00;18.200
BRSR6;16/06/2023;13:55:00;14,13;14,15;14,12;14,12;264.376,00;18.700
