Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CAML3;06/06/2023;11:20:00;7,20;7,20;7,20;7,20;27.360,00;3.800
CAML3;06/06/2023;11:15:00;7,20;7,20;7,19;7,19;64.797,00;9.000
CAML3;06/06/2023;11:10:00;7,22;7,22;7,18;7,19;112.257,00;15.600
CAML3;06/06/2023;11:05:00;7,21;7,23;7,21;7,22;103.257,00;14.300
CAML3;06/06/2023;11:00:00;7,21;7,21;7,20;7,20;13.695,00;1.900
CAML3;06/06/2023;10:55:00;7,20;7,21;7,20;7,21;15.131,00;2.100
CAML3;06/06/2023;10:50:00;7,20;7,21;7,20;7,21;29.546,00;4.100
CAML3;06/06/2023;10:45:00;7,20;7,21;7,20;7,21;21.628,00;3.000
CAML3;06/06/2023;10:40:00;7,21;7,21;7,20;7,20;31.688,00;4.400
CAML3;06/06/2023;10:35:00;7,21;7,23;7,21;7,22;101.107,00;14.000
CAML3;06/06/2023;10:30:00;7,17;7,21;7,17;7,20;159.783,00;22.200
CAML3;06/06/2023;10:25:00;7,16;7,18;7,16;7,18;25.071,00;3.500
CAML3;06/06/2023;10:20:00;7,15;7,16;7,14;7,16;38.578,00;5.400
CAML3;06/06/2023;10:15:00;7,18;7,18;7,14;7,16;245.753,00;34.300
CAML3;06/06/2023;10:10:00;7,20;7,25;7,18;7,18;531.598,00;73.800
CAML3;06/06/2023;10:05:00;7,20;7,20;7,19;7,20;42.455,00;5.900
CAML3;06/06/2023;10:00:00;7,17;7,19;7,17;7,19;188.633,00;26.300
CAML3;05/06/2023;17:30:00;7,17;7,18;7,16;7,16;65.325,00;9.100
CAML3;05/06/2023;16:50:00;7,18;7,19;7,16;7,16;2.427.507,00;339.000
CAML3;05/06/2023;16:45:00;7,18;7,18;7,17;7,17;54.522,00;7.600
CAML3;05/06/2023;16:40:00;7,16;7,18;7,16;7,18;84.608,00;11.800
CAML3;05/06/2023;16:35:00;7,18;7,18;7,16;7,17;64.522,00;9.000
CAML3;05/06/2023;16:30:00;7,18;7,19;7,17;7,18;44.516,00;6.200
