Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CASH3;16/06/2023;17:30:00;8,85;8,85;8,83;8,83;37.140,00;4.200
CASH3;16/06/2023;16:45:00;8,85;8,85;8,82;8,85;2.188.369,00;247.300
CASH3;16/06/2023;16:40:00;8,84;8,87;8,82;8,86;681.907,00;77.100
CASH3;16/06/2023;16:35:00;8,83;8,85;8,83;8,83;167.961,00;19.000
CASH3;16/06/2023;16:30:00;8,82;8,85;8,81;8,83;149.299,00;16.900
CASH3;16/06/2023;16:25:00;8,81;8,83;8,81;8,82;80.265,00;9.100
CASH3;16/06/2023;16:20:00;8,84;8,85;8,81;8,81;224.141,00;25.400
CASH3;16/06/2023;16:15:00;8,83;8,85;8,83;8,83;143.108,00;16.200
CASH3;16/06/2023;16:10:00;8,83;8,85;8,83;8,83;52.148,00;5.900
CASH3;16/06/2023;16:05:00;8,84;8,85;8,83;8,84;171.543,00;19.400
CASH3;16/06/2023;16:00:00;8,86;8,86;8,83;8,84;307.783,00;34.800
CASH3;16/06/2023;15:55:00;8,86;8,87;8,85;8,86;40.748,00;4.600
CASH3;16/06/2023;15:50:00;8,86;8,87;8,85;8,87;109.855,00;12.400
CASH3;16/06/2023;15:45:00;8,88;8,88;8,86;8,86;41.669,00;4.700
CASH3;16/06/2023;15:40:00;8,87;8,88;8,86;8,88;32.824,00;3.700
CASH3;16/06/2023;15:35:00;8,87;8,88;8,86;8,87;43.464,00;4.900
CASH3;16/06/2023;15:30:00;8,87;8,88;8,86;8,87;20.403,00;2.300
CASH3;16/06/2023;15:25:00;8,86;8,88;8,85;8,87;140.142,00;15.800
CASH3;16/06/2023;15:20:00;8,86;8,87;8,85;8,85;44.284,00;5.000
CASH3;16/06/2023;15:15:00;8,86;8,87;8,85;8,86;18.604,00;2.100
CASH3;16/06/2023;15:10:00;8,86;8,86;8,85;8,86;9.742,00;1.100
CASH3;16/06/2023;15:05:00;8,86;8,86;8,85;8,86;61.070,00;6.900
CASH3;16/06/2023;15:00:00;8,88;8,88;8,86;8,86;72.719,00;8.200
CASH3;16/06/2023;14:55:00;8,87;8,88;8,86;8,88;25.725,00;2.900
CASH3;16/06/2023;14:50:00;8,85;8,87;8,85;8,86;114.279,00;12.900
CASH3;16/06/2023;14:45:00;8,87;8,87;8,84;8,85;62.906,00;7.100
CASH3;16/06/2023;14:40:00;8,87;8,87;8,86;8,87;12.415,00;1.400
CASH3;16/06/2023;14:35:00;8,85;8,87;8,85;8,86;29.231,00;3.300
CASH3;16/06/2023;14:30:00;8,85;8,86;8,85;8,85;8.854,00;1.000
CASH3;16/06/2023;14:25:00;8,85;8,87;8,84;8,86;37.175,00;4.200
CASH3;16/06/2023;14:20:00;8,86;8,86;8,83;8,85;260.030,00;29.400
CASH3;16/06/2023;14:15:00;8,86;8,87;8,85;8,86;30.129,00;3.400
CASH3;16/06/2023;14:10:00;8,87;8,87;8,84;8,87;302.677,00;34.200
CASH3;16/06/2023;14:05:00;8,86;8,86;8,85;8,86;53.151,00;6.000
CASH3;16/06/2023;14:00:00;8,88;8,88;8,85;8,85;22.157,00;2.500
CASH3;16/06/2023;13:55:00;8,86;8,89;8,86;8,88;161.327,00;18.200
CASH3;16/06/2023;13:50:00;8,85;8,86;8,84;8,86;182.311,00;20.600
CASH3;16/06/2023;13:45:00;8,85;8,86;8,85;8,86;13.282,00;1.500
CASH3;16/06/2023;13:40:00;8,85;8,87;8,85;8,85;127.443,00;14.400
CASH3;16/06/2023;13:35:00;8,86;8,86;8,85;8,86;59.299,00;6.700
CASH3;16/06/2023;13:30:00;8,90;8,91;8,85;8,87;838.547,00;94.500
CASH3;16/06/2023;13:25:00;8,91;8,91;8,89;8,89;96.126,00;10.800
CASH3;16/06/2023;13:20:00;8,91;8,92;8,89;8,91;53.416,00;6.000
CASH3;16/06/2023;13:15:00;8,91;8,92;8,91;8,91;34.752,00;3.900
CASH3;16/06/2023;13:10:00;8,92;8,92;8,91;8,91;3.565,00;400
CASH3;16/06/2023;13:05:00;8,91;8,92;8,91;8,92;9.811,00;1.100
CASH3;16/06/2023;13:00:00;8,91;8,92;8,91;8,92;42.795,00;4.800
CASH3;16/06/2023;12:55:00;8,92;8,93;8,90;8,90;41.068,00;4.600
CASH3;16/06/2023;12:50:00;8,89;8,91;8,88;8,91;151.273,00;17.000
CASH3;16/06/2023;12:45:00;8,89;8,90;8,88;8,88;65.805,00;7.400
CASH3;16/06/2023;12:40:00;8,90;8,91;8,88;8,88;77.386,00;8.700
CASH3;16/06/2023;12:35:00;8,92;8,92;8,88;8,89;234.096,00;26.300
CASH3;16/06/2023;12:30:00;8,92;8,92;8,90;8,92;37.452,00;4.200
CASH3;16/06/2023;12:25:00;8,90;8,92;8,88;8,92;121.091,00;13.600
CASH3;16/06/2023;12:20:00;8,93;8,94;8,89;8,89;459.827,00;51.600
CASH3;16/06/2023;12:15:00;8,93;8,94;8,91;8,92;31.245,00;3.500
CASH3;16/06/2023;12:10:00;8,95;8,95;8,91;8,92;197.235,00;22.100
CASH3;16/06/2023;12:05:00;8,94;8,95;8,93;8,94;42.915,00;4.800
CASH3;16/06/2023;12:00:00;8,94;8,95;8,93;8,93;24.129,00;2.700
CASH3;16/06/2023;11:55:00;8,95;8,95;8,94;8,95;64.378,00;7.200
CASH3;16/06/2023;11:50:00;8,96;8,97;8,94;8,95;177.178,00;19.800
CASH3;16/06/2023;11:45:00;8,96;8,97;8,95;8,95;39.426,00;4.400
CASH3;16/06/2023;11:40:00;8,96;8,98;8,96;8,97;27.797,00;3.100
CASH3;16/06/2023;11:35:00;8,96;8,98;8,94;8,94;131.626,00;14.700
CASH3;16/06/2023;11:30:00;8,95;8,97;8,94;8,97;55.501,00;6.200
CASH3;16/06/2023;11:25:00;8,95;8,95;8,94;8,95;45.604,00;5.100
CASH3;16/06/2023;11:20:00;8,94;8,96;8,93;8,95;110.865,00;12.400
CASH3;16/06/2023;11:15:00;8,94;8,94;8,93;8,94;21.455,00;2.400
CASH3;16/06/2023;11:10:00;8,93;8,96;8,93;8,93;68.916,00;7.700
CASH3;16/06/2023;11:05:00;8,95;8,96;8,92;8,93;246.920,00;27.600
CASH3;16/06/2023;11:00:00;8,94;8,99;8,94;8,95;153.167,00;17.100
CASH3;16/06/2023;10:55:00;8,92;8,94;8,92;8,94;54.445,00;6.100
CASH3;16/06/2023;10:50:00;8,91;8,93;8,91;8,93;92.707,00;10.400
CASH3;16/06/2023;10:45:00;8,91;8,91;8,90;8,90;61.470,00;6.900
CASH3;16/06/2023;10:40:00;8,90;8,92;8,90;8,92;72.999,00;8.200
CASH3;16/06/2023;10:35:00;8,91;8,92;8,88;8,91;250.120,00;28.100
CASH3;16/06/2023;10:30:00;8,93;8,94;8,90;8,92;134.638,00;15.100
CASH3;16/06/2023;10:25:00;8,98;8,99;8,93;8,93;71.593,00;8.000
CASH3;16/06/2023;10:20:00;8,96;8,99;8,96;8,98;61.027,00;6.800
CASH3;16/06/2023;10:15:00;8,93;8,95;8,91;8,95;227.990,00;25.500
CASH3;16/06/2023;10:10:00;8,94;8,95;8,86;8,90;713.810,00;80.300
CASH3;16/06/2023;10:05:00;8,92;8,95;8,88;8,95;397.048,00;44.600
CASH3;16/06/2023;10:00:00;9,01;9,01;8,92;8,92;518.565,00;57.700
CASH3;15/06/2023;17:30:00;9,01;9,07;8,99;8,99;50.580,00;5.600
CASH3;15/06/2023;16:50:00;9,07;9,07;9,01;9,01;3.328.403,00;369.200
CASH3;15/06/2023;16:45:00;9,05;9,08;9,03;9,07;577.103,00;63.700
CASH3;15/06/2023;16:40:00;9,06;9,07;9,04;9,07;296.300,00;32.700
CASH3;15/06/2023;16:35:00;9,02;9,06;9,01;9,06;526.987,00;58.300
CASH3;15/06/2023;16:30:00;9,01;9,04;8,98;9,02;333.319,00;37.000
CASH3;15/06/2023;16:25:00;8,99;9,01;8,96;9,00;268.716,00;29.900
CASH3;15/06/2023;16:20:00;9,00;9,01;8,98;9,00;94.498,00;10.500
CASH3;15/06/2023;16:15:00;9,02;9,02;9,00;9,01;231.383,00;25.700
CASH3;15/06/2023;16:10:00;9,02;9,03;9,00;9,02;61.321,00;6.800
CASH3;15/06/2023;16:05:00;9,01;9,02;9,00;9,01;60.355,00;6.700
