Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CCRO3;16/06/2023;17:30:00;14,05;14,06;13,90;13,93;749.049,00;53.400
CCRO3;16/06/2023;16:45:00;14,06;14,12;14,05;14,06;71.754.416,00;5.103.400
CCRO3;16/06/2023;16:40:00;14,07;14,09;14,06;14,06;2.010.568,00;142.900
CCRO3;16/06/2023;16:35:00;14,09;14,10;14,07;14,08;1.701.823,00;120.800
CCRO3;16/06/2023;16:30:00;14,10;14,10;14,09;14,09;1.254.301,00;89.000
CCRO3;16/06/2023;16:25:00;14,11;14,12;14,08;14,11;2.025.873,00;143.700
CCRO3;16/06/2023;16:20:00;14,13;14,13;14,11;14,12;2.063.012,00;146.100
CCRO3;16/06/2023;16:15:00;14,12;14,13;14,12;14,12;985.700,00;69.800
CCRO3;16/06/2023;16:10:00;14,12;14,13;14,12;14,12;836.005,00;59.200
CCRO3;16/06/2023;16:05:00;14,12;14,14;14,12;14,12;1.021.154,00;72.300
CCRO3;16/06/2023;16:00:00;14,12;14,14;14,12;14,12;1.118.886,00;79.200
CCRO3;16/06/2023;15:55:00;14,12;14,14;14,12;14,13;913.885,00;64.700
CCRO3;16/06/2023;15:50:00;14,13;14,14;14,12;14,13;960.567,00;68.000
CCRO3;16/06/2023;15:45:00;14,13;14,14;14,12;14,13;796.754,00;56.400
CCRO3;16/06/2023;15:40:00;14,12;14,15;14,11;14,13;1.019.810,00;72.200
CCRO3;16/06/2023;15:35:00;14,14;14,15;14,12;14,12;621.842,00;44.000
CCRO3;16/06/2023;15:30:00;14,14;14,15;14,13;14,14;737.963,00;52.200
CCRO3;16/06/2023;15:25:00;14,12;14,15;14,12;14,13;811.031,00;57.400
CCRO3;16/06/2023;15:20:00;14,12;14,14;14,12;14,13;569.213,00;40.300
CCRO3;16/06/2023;15:15:00;14,13;14,14;14,09;14,13;1.649.947,00;116.900
CCRO3;16/06/2023;15:10:00;14,13;14,14;14,12;14,13;401.231,00;28.400
CCRO3;16/06/2023;15:05:00;14,13;14,14;14,12;14,13;442.248,00;31.300
CCRO3;16/06/2023;15:00:00;14,13;14,14;14,10;14,14;1.035.267,00;73.300
CCRO3;16/06/2023;14:55:00;14,14;14,15;14,13;14,14;504.635,00;35.700
CCRO3;16/06/2023;14:50:00;14,14;14,14;14,13;14,13;572.426,00;40.500
CCRO3;16/06/2023;14:45:00;14,13;14,15;14,12;14,14;750.588,00;53.100
CCRO3;16/06/2023;14:40:00;14,13;14,15;14,13;14,13;524.584,00;37.100
CCRO3;16/06/2023;14:35:00;14,15;14,15;14,13;14,14;369.003,00;26.100
CCRO3;16/06/2023;14:30:00;14,14;14,15;14,12;14,14;472.138,00;33.400
CCRO3;16/06/2023;14:25:00;14,13;14,15;14,13;14,13;530.123,00;37.500
CCRO3;16/06/2023;14:20:00;14,14;14,15;14,12;14,13;566.781,00;40.100
CCRO3;16/06/2023;14:15:00;14,14;14,15;14,13;14,14;524.700,00;37.100
CCRO3;16/06/2023;14:10:00;14,15;14,16;14,13;14,14;570.019,00;40.300
CCRO3;16/06/2023;14:05:00;14,16;14,16;14,14;14,16;529.207,00;37.400
CCRO3;16/06/2023;14:00:00;14,19;14,19;14,14;14,16;595.159,00;42.000
CCRO3;16/06/2023;13:55:00;14,14;14,19;14,14;14,19;901.116,00;63.600
CCRO3;16/06/2023;13:50:00;14,15;14,15;14,13;14,14;653.396,00;46.200
CCRO3;16/06/2023;13:45:00;14,14;14,15;14,12;14,15;559.987,00;39.600
CCRO3;16/06/2023;13:40:00;14,14;14,15;14,11;14,15;1.110.594,00;78.600
