Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CEAB3;16/06/2023;17:30:00;4,82;4,84;4,82;4,84;134.634,00;27.900
CEAB3;16/06/2023;16:45:00;4,80;4,82;4,78;4,82;1.699.614,00;353.000
CEAB3;16/06/2023;16:40:00;4,79;4,81;4,78;4,79;521.297,00;108.800
CEAB3;16/06/2023;16:35:00;4,79;4,80;4,79;4,79;114.614,00;23.900
CEAB3;16/06/2023;16:30:00;4,79;4,81;4,79;4,80;167.940,00;35.000
CEAB3;16/06/2023;16:25:00;4,79;4,81;4,79;4,79;201.868,00;42.000
CEAB3;16/06/2023;16:20:00;4,79;4,81;4,79;4,80;400.080,00;83.300
CEAB3;16/06/2023;16:15:00;4,78;4,80;4,78;4,79;524.947,00;109.600
CEAB3;16/06/2023;16:10:00;4,78;4,79;4,78;4,78;77.008,00;16.100
CEAB3;16/06/2023;16:05:00;4,79;4,80;4,78;4,79;161.883,00;33.800
CEAB3;16/06/2023;16:00:00;4,79;4,82;4,76;4,80;1.397.080,00;291.200
CEAB3;16/06/2023;15:55:00;4,80;4,81;4,78;4,78;319.546,00;66.600
CEAB3;16/06/2023;15:50:00;4,82;4,82;4,80;4,80;54.388,00;11.300
CEAB3;16/06/2023;15:45:00;4,81;4,82;4,80;4,81;44.746,00;9.300
CEAB3;16/06/2023;15:40:00;4,81;4,83;4,81;4,82;200.961,00;41.700
CEAB3;16/06/2023;15:35:00;4,81;4,82;4,81;4,82;117.002,00;24.300
CEAB3;16/06/2023;15:30:00;4,82;4,82;4,81;4,81;55.909,00;11.600
CEAB3;16/06/2023;15:25:00;4,81;4,82;4,80;4,81;162.998,00;33.900
CEAB3;16/06/2023;15:20:00;4,80;4,82;4,80;4,81;139.512,00;29.000
CEAB3;16/06/2023;15:15:00;4,81;4,81;4,80;4,80;73.483,00;15.300
CEAB3;16/06/2023;15:10:00;4,79;4,81;4,79;4,80;692.190,00;144.100
CEAB3;16/06/2023;15:05:00;4,80;4,80;4,79;4,80;28.788,00;6.000
CEAB3;16/06/2023;15:00:00;4,80;4,80;4,79;4,80;146.733,00;30.600
CEAB3;16/06/2023;14:55:00;4,78;4,80;4,78;4,80;83.736,00;17.500
CEAB3;16/06/2023;14:50:00;4,81;4,81;4,79;4,79;133.395,00;27.800
CEAB3;16/06/2023;14:45:00;4,81;4,81;4,80;4,81;96.095,00;20.000
CEAB3;16/06/2023;14:40:00;4,80;4,81;4,80;4,81;40.861,00;8.500
CEAB3;16/06/2023;14:35:00;4,81;4,82;4,80;4,81;152.523,00;31.700
CEAB3;16/06/2023;14:30:00;4,79;4,83;4,79;4,82;1.004.048,00;208.300
CEAB3;16/06/2023;14:25:00;4,79;4,81;4,79;4,80;262.557,00;54.700
CEAB3;16/06/2023;14:20:00;4,79;4,80;4,78;4,79;170.110,00;35.500
CEAB3;16/06/2023;14:15:00;4,80;4,80;4,79;4,79;192.363,00;40.100
CEAB3;16/06/2023;14:10:00;4,79;4,80;4,79;4,80;126.531,00;26.400
CEAB3;16/06/2023;14:05:00;4,80;4,81;4,80;4,80;240.507,00;50.100
CEAB3;16/06/2023;14:00:00;4,82;4,82;4,80;4,80;269.686,00;56.100
CEAB3;16/06/2023;13:55:00;4,81;4,82;4,80;4,81;123.661,00;25.700
CEAB3;16/06/2023;13:50:00;4,81;4,81;4,80;4,81;84.162,00;17.500
CEAB3;16/06/2023;13:45:00;4,81;4,81;4,80;4,80;85.005,00;17.700
CEAB3;16/06/2023;13:40:00;4,79;4,81;4,79;4,80;570.222,00;118.800
CEAB3;16/06/2023;13:35:00;4,79;4,80;4,78;4,78;124.851,00;26.100
CEAB3;16/06/2023;13:30:00;4,82;4,82;4,77;4,79;1.659.750,00;346.000
CEAB3;16/06/2023;13:25:00;4,82;4,82;4,81;4,82;264.487,00;54.900
CEAB3;16/06/2023;13:20:00;4,81;4,83;4,81;4,82;69.315,00;14.400
CEAB3;16/06/2023;13:15:00;4,82;4,83;4,81;4,82;72.782,00;15.100
CEAB3;16/06/2023;13:10:00;4,82;4,83;4,81;4,81;115.591,00;24.000
CEAB3;16/06/2023;13:05:00;4,82;4,83;4,81;4,82;249.528,00;51.800
CEAB3;16/06/2023;13:00:00;4,84;4,84;4,81;4,82;415.992,00;86.300
CEAB3;16/06/2023;12:55:00;4,83;4,84;4,83;4,84;189.126,00;39.100
CEAB3;16/06/2023;12:50:00;4,82;4,84;4,82;4,83;188.241,00;39.000
CEAB3;16/06/2023;12:45:00;4,83;4,83;4,82;4,82;41.029,00;8.500
CEAB3;16/06/2023;12:40:00;4,82;4,83;4,81;4,82;156.656,00;32.500
CEAB3;16/06/2023;12:35:00;4,82;4,83;4,81;4,82;316.596,00;65.700
CEAB3;16/06/2023;12:30:00;4,84;4,84;4,82;4,83;113.459,00;23.500
CEAB3;16/06/2023;12:25:00;4,82;4,84;4,82;4,83;143.554,00;29.700
CEAB3;16/06/2023;12:20:00;4,85;4,86;4,82;4,82;179.541,00;37.100
CEAB3;16/06/2023;12:15:00;4,86;4,86;4,84;4,85;63.048,00;13.000
CEAB3;16/06/2023;12:10:00;4,85;4,86;4,85;4,85;45.174,00;9.300
CEAB3;16/06/2023;12:05:00;4,85;4,85;4,82;4,84;254.359,00;52.600
CEAB3;16/06/2023;12:00:00;4,83;4,85;4,82;4,85;271.318,00;56.100
CEAB3;16/06/2023;11:55:00;4,83;4,85;4,83;4,84;116.144,00;24.000
CEAB3;16/06/2023;11:50:00;4,85;4,85;4,82;4,83;530.238,00;109.600
CEAB3;16/06/2023;11:45:00;4,83;4,85;4,83;4,84;216.414,00;44.700
CEAB3;16/06/2023;11:40:00;4,88;4,88;4,82;4,83;749.683,00;154.600
CEAB3;16/06/2023;11:35:00;4,88;4,89;4,86;4,88;65.309,00;13.400
CEAB3;16/06/2023;11:30:00;4,89;4,90;4,87;4,88;101.664,00;20.800
