Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CIEL3;16/06/2023;17:30:00;4,51;4,53;4,51;4,51;399.327,00;88.500
CIEL3;16/06/2023;16:45:00;4,55;4,56;4,52;4,52;22.422.166,00;4.958.600
CIEL3;16/06/2023;16:40:00;4,54;4,56;4,54;4,56;4.951.338,00;1.087.600
CIEL3;16/06/2023;16:35:00;4,55;4,56;4,54;4,54;2.734.332,00;601.200
CIEL3;16/06/2023;16:30:00;4,55;4,56;4,54;4,54;9.773.506,00;2.151.500
CIEL3;16/06/2023;16:25:00;4,56;4,56;4,55;4,56;826.456,00;181.500
CIEL3;16/06/2023;16:20:00;4,56;4,56;4,55;4,55;918.236,00;201.600
CIEL3;16/06/2023;16:15:00;4,54;4,56;4,54;4,56;3.975.179,00;874.700
CIEL3;16/06/2023;16:10:00;4,55;4,55;4,54;4,54;692.367,00;152.400
CIEL3;16/06/2023;16:05:00;4,55;4,55;4,54;4,54;1.000.001,00;220.100
CIEL3;16/06/2023;16:00:00;4,55;4,55;4,54;4,54;999.221,00;219.900
CIEL3;16/06/2023;15:55:00;4,55;4,55;4,54;4,54;1.958.784,00;431.200
CIEL3;16/06/2023;15:50:00;4,55;4,55;4,54;4,54;1.896.074,00;417.500
CIEL3;16/06/2023;15:45:00;4,54;4,55;4,54;4,54;1.843.889,00;406.000
CIEL3;16/06/2023;15:40:00;4,55;4,56;4,54;4,54;2.096.747,00;461.300
CIEL3;16/06/2023;15:35:00;4,53;4,56;4,53;4,55;3.514.588,00;773.800
CIEL3;16/06/2023;15:30:00;4,53;4,55;4,53;4,53;2.445.270,00;539.100
CIEL3;16/06/2023;15:25:00;4,53;4,55;4,53;4,53;2.497.208,00;550.600
CIEL3;16/06/2023;15:20:00;4,53;4,55;4,52;4,53;8.282.256,00;1.827.700
CIEL3;16/06/2023;15:15:00;4,54;4,55;4,53;4,53;2.335.598,00;514.900
CIEL3;16/06/2023;15:10:00;4,54;4,55;4,54;4,54;1.352.024,00;297.700
CIEL3;16/06/2023;15:05:00;4,56;4,56;4,54;4,54;3.500.300,00;769.200
CIEL3;16/06/2023;15:00:00;4,56;4,57;4,55;4,55;1.973.435,00;433.200
CIEL3;16/06/2023;14:55:00;4,56;4,57;4,56;4,56;1.959.808,00;429.700
CIEL3;16/06/2023;14:50:00;4,57;4,57;4,56;4,56;2.690.008,00;589.800
CIEL3;16/06/2023;14:45:00;4,56;4,57;4,56;4,57;1.593.321,00;349.200
