Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CLSA3;06/06/2023;11:20:00;6,89;6,89;6,89;6,89;2.756,00;400
CLSA3;06/06/2023;11:15:00;6,88;6,89;6,88;6,88;12.387,00;1.800
CLSA3;06/06/2023;11:10:00;6,82;6,87;6,82;6,87;106.116,00;15.500
CLSA3;06/06/2023;11:05:00;6,80;6,82;6,80;6,82;4.770,00;700
CLSA3;06/06/2023;11:00:00;6,80;6,82;6,80;6,80;10.207,00;1.500
CLSA3;06/06/2023;10:55:00;6,81;6,83;6,81;6,81;25.230,00;3.700
CLSA3;06/06/2023;10:50:00;6,80;6,81;6,79;6,81;4.079,00;600
CLSA3;06/06/2023;10:45:00;6,80;6,81;6,77;6,80;26.500,00;3.900
CLSA3;06/06/2023;10:40:00;6,80;6,80;6,77;6,78;5.432,00;800
CLSA3;06/06/2023;10:35:00;6,80;6,82;6,77;6,82;33.940,00;5.000
CLSA3;06/06/2023;10:30:00;6,78;6,81;6,74;6,81;31.156,00;4.600
CLSA3;06/06/2023;10:25:00;6,75;6,80;6,75;6,79;75.286,00;11.100
CLSA3;06/06/2023;10:20:00;6,72;6,76;6,72;6,75;22.266,00;3.300
CLSA3;06/06/2023;10:15:00;6,64;6,72;6,64;6,72;45.520,00;6.800
CLSA3;06/06/2023;10:10:00;6,70;6,71;6,65;6,65;51.426,00;7.700
CLSA3;06/06/2023;10:05:00;6,65;6,70;6,65;6,70;2.670,00;400
CLSA3;06/06/2023;10:00:00;6,71;6,71;6,71;6,71;8.052,00;1.200
CLSA3;05/06/2023;16:50:00;6,62;6,65;6,61;6,65;192.073,00;28.900
CLSA3;05/06/2023;16:45:00;6,62;6,62;6,61;6,62;10.579,00;1.600
CLSA3;05/06/2023;16:40:00;6,61;6,61;6,59;6,60;11.886,00;1.800
CLSA3;05/06/2023;16:35:00;6,60;6,61;6,58;6,61;9.899,00;1.500
CLSA3;05/06/2023;16:30:00;6,62;6,62;6,61;6,61;5.954,00;900
CLSA3;05/06/2023;16:25:00;6,59;6,61;6,59;6,61;14.516,00;2.200
CLSA3;05/06/2023;16:20:00;6,58;6,59;6,56;6,59;15.799,00;2.400
CLSA3;05/06/2023;16:15:00;6,59;6,59;6,58;6,59;10.542,00;1.600
CLSA3;05/06/2023;16:10:00;6,60;6,60;6,60;6,60;3.960,00;600
CLSA3;05/06/2023;16:05:00;6,60;6,63;6,59;6,59;55.592,00;8.400
CLSA3;05/06/2023;16:00:00;6,61;6,61;6,60;6,60;6.603,00;1.000
CLSA3;05/06/2023;15:55:00;6,61;6,62;6,60;6,61;40.306,00;6.100
CLSA3;05/06/2023;15:50:00;6,59;6,61;6,59;6,61;6.607,00;1.000
