Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CMIG4;06/06/2023;11:20:00;12,01;12,02;12,00;12,00;61.269,00;5.100
CMIG4;06/06/2023;11:15:00;12,01;12,03;12,01;12,02;592.554,00;49.300
CMIG4;06/06/2023;11:10:00;12,00;12,03;12,00;12,02;521.367,00;43.400
CMIG4;06/06/2023;11:05:00;11,94;12,02;11,94;12,01;663.153,00;55.300
CMIG4;06/06/2023;11:00:00;11,95;11,98;11,94;11,95;925.168,00;77.400
CMIG4;06/06/2023;10:55:00;11,95;11,96;11,94;11,95;223.544,00;18.700
CMIG4;06/06/2023;10:50:00;11,95;11,97;11,93;11,95;435.013,00;36.400
CMIG4;06/06/2023;10:45:00;11,99;12,00;11,96;11,96;1.411.429,00;117.900
CMIG4;06/06/2023;10:40:00;11,99;12,00;11,98;11,99;412.441,00;34.400
CMIG4;06/06/2023;10:35:00;12,00;12,03;11,99;12,00;866.904,00;72.200
CMIG4;06/06/2023;10:30:00;12,00;12,04;12,00;12,01;1.626.903,00;135.400
CMIG4;06/06/2023;10:25:00;11,99;12,00;11,98;12,00;308.125,00;25.700
CMIG4;06/06/2023;10:20:00;11,97;12,00;11,94;11,99;232.299,00;19.400
CMIG4;06/06/2023;10:15:00;11,99;11,99;11,94;11,96;622.484,00;52.000
CMIG4;06/06/2023;10:10:00;12,04;12,05;11,98;12,00;764.871,00;63.700
CMIG4;06/06/2023;10:05:00;12,00;12,05;11,99;12,03;875.296,00;72.800
CMIG4;06/06/2023;10:00:00;11,96;12,00;11,94;12,00;793.545,00;66.300
CMIG4;05/06/2023;17:30:00;11,88;11,92;11,88;11,90;107.029,00;9.000
CMIG4;05/06/2023;16:50:00;11,91;11,91;11,88;11,88;11.125.322,00;936.300
CMIG4;05/06/2023;16:45:00;11,91;11,92;11,89;11,91;1.330.149,00;111.700
CMIG4;05/06/2023;16:40:00;11,90;11,91;11,90;11,91;889.286,00;74.700
CMIG4;05/06/2023;16:35:00;11,91;11,92;11,90;11,92;1.370.740,00;115.100
CMIG4;05/06/2023;16:30:00;11,93;11,94;11,89;11,90;1.937.975,00;162.600
CMIG4;05/06/2023;16:25:00;11,92;11,93;11,91;11,93;1.416.125,00;118.800
CMIG4;05/06/2023;16:20:00;11,90;11,92;11,90;11,91;650.380,00;54.600
CMIG4;05/06/2023;16:15:00;11,92;11,92;11,89;11,90;1.122.556,00;94.300
CMIG4;05/06/2023;16:10:00;11,90;11,92;11,90;11,92;730.263,00;61.300
CMIG4;05/06/2023;16:05:00;11,91;11,92;11,90;11,90;1.172.798,00;98.500
CMIG4;05/06/2023;16:00:00;11,91;11,92;11,90;11,90;810.030,00;68.000
CMIG4;05/06/2023;15:55:00;11,91;11,92;11,90;11,91;869.387,00;73.000
CMIG4;05/06/2023;15:50:00;11,89;11,92;11,89;11,91;1.075.271,00;90.300
CMIG4;05/06/2023;15:45:00;11,90;11,90;11,88;11,89;795.652,00;66.900
CMIG4;05/06/2023;15:40:00;11,90;11,91;11,89;11,90;815.282,00;68.500
CMIG4;05/06/2023;15:35:00;11,89;11,90;11,89;11,89;323.584,00;27.200
CMIG4;05/06/2023;15:30:00;11,90;11,91;11,89;11,89;1.949.939,00;163.900
CMIG4;05/06/2023;15:25:00;11,89;11,90;11,88;11,89;10.607.479,00;891.500
CMIG4;05/06/2023;15:20:00;11,91;11,93;11,90;11,90;9.959.118,00;836.800
CMIG4;05/06/2023;15:15:00;11,92;11,92;11,91;11,91;997.588,00;83.700
CMIG4;05/06/2023;15:10:00;11,88;11,92;11,88;11,91;2.070.088,00;173.900
CMIG4;05/06/2023;15:05:00;11,87;11,89;11,86;11,89;1.386.858,00;116.800
CMIG4;05/06/2023;15:00:00;11,88;11,90;11,87;11,87;1.333.804,00;112.200
CMIG4;05/06/2023;14:55:00;11,86;11,88;11,85;11,87;957.557,00;80.700
CMIG4;05/06/2023;14:50:00;11,86;11,87;11,85;11,85;648.707,00;54.700
CMIG4;05/06/2023;14:45:00;11,85;11,87;11,85;11,85;1.086.729,00;91.600
CMIG4;05/06/2023;14:40:00;11,85;11,86;11,84;11,86;583.018,00;49.200
CMIG4;05/06/2023;14:35:00;11,84;11,85;11,84;11,84;324.513,00;27.400
CMIG4;05/06/2023;14:30:00;11,83;11,85;11,83;11,84;389.500,00;32.900
CMIG4;05/06/2023;14:25:00;11,85;11,85;11,83;11,84;308.985,00;26.100
CMIG4;05/06/2023;14:20:00;11,85;11,86;11,84;11,84;429.016,00;36.200
CMIG4;05/06/2023;14:15:00;11,86;11,86;11,85;11,85;88.907,00;7.500
CMIG4;05/06/2023;14:10:00;11,84;11,86;11,84;11,86;466.852,00;39.400
