Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CMIN3;06/06/2023;11:20:00;4,74;4,76;4,74;4,75;198.089,00;41.700
CMIN3;06/06/2023;11:15:00;4,75;4,76;4,73;4,75;746.832,00;157.400
CMIN3;06/06/2023;11:10:00;4,75;4,76;4,75;4,75;732.037,00;154.100
CMIN3;06/06/2023;11:05:00;4,74;4,76;4,74;4,75;513.486,00;108.100
CMIN3;06/06/2023;11:00:00;4,74;4,75;4,73;4,75;357.460,00;75.400
CMIN3;06/06/2023;10:55:00;4,73;4,75;4,73;4,74;346.137,00;73.100
CMIN3;06/06/2023;10:50:00;4,75;4,75;4,72;4,73;974.565,00;205.700
CMIN3;06/06/2023;10:45:00;4,77;4,77;4,74;4,75;265.689,00;55.900
CMIN3;06/06/2023;10:40:00;4,77;4,77;4,75;4,77;247.595,00;52.000
CMIN3;06/06/2023;10:35:00;4,74;4,77;4,74;4,77;355.776,00;74.800
CMIN3;06/06/2023;10:30:00;4,75;4,77;4,74;4,74;576.159,00;121.100
CMIN3;06/06/2023;10:25:00;4,75;4,75;4,74;4,75;135.740,00;28.600
CMIN3;06/06/2023;10:20:00;4,74;4,75;4,73;4,74;284.971,00;60.100
CMIN3;06/06/2023;10:15:00;4,72;4,75;4,71;4,74;266.525,00;56.300
CMIN3;06/06/2023;10:10:00;4,74;4,75;4,71;4,72;278.293,00;58.900
CMIN3;06/06/2023;10:05:00;4,72;4,75;4,71;4,74;490.945,00;103.900
CMIN3;06/06/2023;10:00:00;4,73;4,75;4,71;4,71;531.309,00;112.300
CMIN3;05/06/2023;17:30:00;4,72;4,74;4,72;4,72;109.786,00;23.200
CMIN3;05/06/2023;16:50:00;4,74;4,75;4,72;4,73;2.993.729,00;632.800
CMIN3;05/06/2023;16:45:00;4,73;4,74;4,73;4,74;213.713,00;45.100
CMIN3;05/06/2023;16:40:00;4,72;4,74;4,72;4,73;217.760,00;46.000
CMIN3;05/06/2023;16:35:00;4,73;4,73;4,72;4,72;295.060,00;62.400
