Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
COGN3;16/06/2023;17:30:00;3,21;3,23;3,21;3,22;370.938,00;115.300
COGN3;16/06/2023;16:45:00;3,22;3,23;3,21;3,22;23.480.348,00;7.292.600
COGN3;16/06/2023;16:40:00;3,21;3,23;3,21;3,23;1.616.624,00;502.100
COGN3;16/06/2023;16:35:00;3,22;3,22;3,21;3,22;812.164,00;252.500
COGN3;16/06/2023;16:30:00;3,20;3,22;3,20;3,22;1.470.571,00;458.200
COGN3;16/06/2023;16:25:00;3,20;3,21;3,20;3,20;823.374,00;257.200
COGN3;16/06/2023;16:20:00;3,20;3,21;3,20;3,21;424.894,00;132.700
COGN3;16/06/2023;16:15:00;3,21;3,22;3,20;3,21;766.461,00;239.100
COGN3;16/06/2023;16:10:00;3,20;3,22;3,20;3,21;1.635.110,00;509.300
COGN3;16/06/2023;16:05:00;3,19;3,21;3,19;3,21;862.801,00;269.500
COGN3;16/06/2023;16:00:00;3,21;3,21;3,19;3,20;1.544.542,00;482.900
COGN3;16/06/2023;15:55:00;3,21;3,22;3,20;3,21;1.881.929,00;587.200
COGN3;16/06/2023;15:50:00;3,21;3,22;3,21;3,22;545.925,00;169.900
COGN3;16/06/2023;15:45:00;3,22;3,22;3,21;3,21;349.561,00;108.700
COGN3;16/06/2023;15:40:00;3,21;3,22;3,21;3,21;394.772,00;122.700
COGN3;16/06/2023;15:35:00;3,21;3,22;3,21;3,22;226.479,00;70.400
COGN3;16/06/2023;15:30:00;3,21;3,22;3,21;3,21;342.781,00;106.500
COGN3;16/06/2023;15:25:00;3,20;3,22;3,20;3,21;1.661.278,00;517.500
COGN3;16/06/2023;15:20:00;3,20;3,21;3,20;3,21;236.941,00;73.900
COGN3;16/06/2023;15:15:00;3,20;3,21;3,20;3,20;197.530,00;61.600
COGN3;16/06/2023;15:10:00;3,20;3,21;3,20;3,21;281.616,00;87.900
COGN3;16/06/2023;15:05:00;3,20;3,21;3,20;3,20;416.417,00;130.000
COGN3;16/06/2023;15:00:00;3,21;3,21;3,20;3,21;281.098,00;87.700
COGN3;16/06/2023;14:55:00;3,21;3,21;3,20;3,20;216.688,00;67.600
COGN3;16/06/2023;14:50:00;3,21;3,21;3,20;3,21;323.653,00;100.900
COGN3;16/06/2023;14:45:00;3,20;3,21;3,20;3,21;1.072.407,00;334.300
COGN3;16/06/2023;14:40:00;3,21;3,21;3,20;3,21;1.146.773,00;357.500
COGN3;16/06/2023;14:35:00;3,20;3,21;3,20;3,21;344.693,00;107.500
COGN3;16/06/2023;14:30:00;3,21;3,21;3,20;3,21;491.498,00;153.300
COGN3;16/06/2023;14:25:00;3,20;3,21;3,20;3,21;486.306,00;151.700
COGN3;16/06/2023;14:20:00;3,21;3,22;3,20;3,21;1.538.063,00;479.300
COGN3;16/06/2023;14:15:00;3,22;3,22;3,21;3,22;230.391,00;71.700
COGN3;16/06/2023;14:10:00;3,21;3,22;3,21;3,21;358.358,00;111.600
COGN3;16/06/2023;14:05:00;3,23;3,24;3,22;3,22;3.240.861,00;1.004.500
COGN3;16/06/2023;14:00:00;3,23;3,24;3,22;3,23;1.468.482,00;454.400
COGN3;16/06/2023;13:55:00;3,22;3,23;3,21;3,23;576.290,00;178.800
COGN3;16/06/2023;13:50:00;3,20;3,22;3,20;3,22;1.604.452,00;499.800
COGN3;16/06/2023;13:45:00;3,21;3,21;3,20;3,21;135.471,00;42.300
COGN3;16/06/2023;13:40:00;3,20;3,21;3,20;3,20;211.300,00;65.900
COGN3;16/06/2023;13:35:00;3,20;3,21;3,20;3,21;446.389,00;139.200
COGN3;16/06/2023;13:30:00;3,23;3,23;3,20;3,21;2.250.853,00;700.600
COGN3;16/06/2023;13:25:00;3,22;3,23;3,22;3,23;202.766,00;62.900
COGN3;16/06/2023;13:20:00;3,22;3,23;3,22;3,22;100.924,00;31.300
COGN3;16/06/2023;13:15:00;3,22;3,23;3,22;3,22;1.076.633,00;333.800
COGN3;16/06/2023;13:10:00;3,23;3,24;3,22;3,22;1.170.336,00;362.400
COGN3;16/06/2023;13:05:00;3,24;3,24;3,23;3,23;120.274,00;37.200
COGN3;16/06/2023;13:00:00;3,24;3,25;3,23;3,24;883.532,00;272.700
COGN3;16/06/2023;12:55:00;3,24;3,25;3,24;3,25;1.290.393,00;397.100
COGN3;16/06/2023;12:50:00;3,24;3,25;3,24;3,24;234.875,00;72.400
COGN3;16/06/2023;12:45:00;3,24;3,25;3,24;3,24;192.317,00;59.300
COGN3;16/06/2023;12:40:00;3,24;3,25;3,24;3,25;107.310,00;33.100
COGN3;16/06/2023;12:35:00;3,24;3,25;3,24;3,24;829.985,00;256.100
COGN3;16/06/2023;12:30:00;3,24;3,25;3,24;3,24;138.892,00;42.800
COGN3;16/06/2023;12:25:00;3,25;3,25;3,24;3,25;177.231,00;54.600
COGN3;16/06/2023;12:20:00;3,24;3,25;3,24;3,25;159.078,00;49.000
COGN3;16/06/2023;12:15:00;3,24;3,25;3,24;3,25;93.396,00;28.800
COGN3;16/06/2023;12:10:00;3,25;3,25;3,24;3,24;303.302,00;93.500
COGN3;16/06/2023;12:05:00;3,24;3,25;3,24;3,24;126.141,00;38.900
COGN3;16/06/2023;12:00:00;3,24;3,25;3,24;3,24;154.625,00;47.700
COGN3;16/06/2023;11:55:00;3,24;3,25;3,24;3,24;199.907,00;61.600
COGN3;16/06/2023;11:50:00;3,24;3,26;3,24;3,24;582.909,00;179.400
COGN3;16/06/2023;11:45:00;3,25;3,25;3,24;3,25;459.716,00;141.700
