Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CPLE6;16/06/2023;17:30:00;7,76;7,76;7,75;7,75;578.618,00;74.600
CPLE6;16/06/2023;16:45:00;7,80;7,81;7,77;7,77;12.000.078,00;1.543.500
CPLE6;16/06/2023;16:40:00;7,81;7,81;7,79;7,79;1.550.740,00;198.800
CPLE6;16/06/2023;16:35:00;7,81;7,81;7,80;7,80;384.872,00;49.300
CPLE6;16/06/2023;16:30:00;7,79;7,81;7,78;7,80;1.690.561,00;216.800
CPLE6;16/06/2023;16:25:00;7,80;7,80;7,78;7,78;1.428.746,00;183.400
CPLE6;16/06/2023;16:20:00;7,79;7,80;7,79;7,79;467.037,00;59.900
CPLE6;16/06/2023;16:15:00;7,80;7,80;7,78;7,80;1.355.913,00;174.000
CPLE6;16/06/2023;16:10:00;7,82;7,82;7,79;7,79;560.397,00;71.800
CPLE6;16/06/2023;16:05:00;7,82;7,82;7,80;7,82;978.117,00;125.200
CPLE6;16/06/2023;16:00:00;7,83;7,83;7,80;7,82;1.389.826,00;178.000
CPLE6;16/06/2023;15:55:00;7,82;7,83;7,80;7,83;1.295.817,00;165.800
CPLE6;16/06/2023;15:50:00;7,83;7,83;7,81;7,82;380.802,00;48.700
CPLE6;16/06/2023;15:45:00;7,82;7,83;7,81;7,82;509.784,00;65.200
CPLE6;16/06/2023;15:40:00;7,81;7,82;7,81;7,81;447.064,00;57.200
CPLE6;16/06/2023;15:35:00;7,83;7,83;7,81;7,82;426.299,00;54.500
CPLE6;16/06/2023;15:30:00;7,83;7,84;7,82;7,83;713.148,00;91.100
CPLE6;16/06/2023;15:25:00;7,83;7,83;7,81;7,82;790.806,00;101.100
CPLE6;16/06/2023;15:20:00;7,83;7,83;7,82;7,82;520.334,00;66.500
CPLE6;16/06/2023;15:15:00;7,85;7,85;7,82;7,82;979.862,00;125.100
CPLE6;16/06/2023;15:10:00;7,85;7,85;7,83;7,85;419.558,00;53.500
