Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CRFB3;16/06/2023;17:30:00;10,77;10,85;10,74;10,80;2.409.548,00;223.800
CRFB3;16/06/2023;16:45:00;10,89;10,92;10,79;10,79;79.084.280,00;7.325.800
CRFB3;16/06/2023;16:40:00;10,89;10,89;10,86;10,89;1.907.373,00;175.400
CRFB3;16/06/2023;16:35:00;10,91;10,91;10,88;10,89;1.460.554,00;134.100
CRFB3;16/06/2023;16:30:00;10,89;10,92;10,88;10,91;1.649.460,00;151.300
CRFB3;16/06/2023;16:25:00;10,89;10,90;10,86;10,90;1.988.128,00;182.800
CRFB3;16/06/2023;16:20:00;10,92;10,92;10,88;10,88;1.266.828,00;116.200
CRFB3;16/06/2023;16:15:00;10,91;10,92;10,90;10,92;1.202.419,00;110.200
CRFB3;16/06/2023;16:10:00;10,86;10,91;10,85;10,90;2.062.855,00;189.600
CRFB3;16/06/2023;16:05:00;10,87;10,87;10,85;10,85;2.669.025,00;245.900
CRFB3;16/06/2023;16:00:00;10,89;10,89;10,86;10,86;1.573.129,00;144.700
CRFB3;16/06/2023;15:55:00;10,90;10,91;10,88;10,89;1.112.047,00;102.100
CRFB3;16/06/2023;15:50:00;10,91;10,91;10,90;10,91;1.105.580,00;101.400
CRFB3;16/06/2023;15:45:00;10,91;10,92;10,89;10,90;1.222.303,00;112.100
CRFB3;16/06/2023;15:40:00;10,90;10,91;10,89;10,90;751.049,00;68.900
CRFB3;16/06/2023;15:35:00;10,91;10,92;10,88;10,90;1.132.365,00;103.900
CRFB3;16/06/2023;15:30:00;10,90;10,91;10,88;10,91;2.043.920,00;187.600
CRFB3;16/06/2023;15:25:00;10,88;10,90;10,86;10,90;1.500.140,00;137.900
CRFB3;16/06/2023;15:20:00;10,88;10,88;10,86;10,88;1.068.164,00;98.300
CRFB3;16/06/2023;15:15:00;10,87;10,89;10,86;10,87;1.177.814,00;108.300
CRFB3;16/06/2023;15:10:00;10,87;10,87;10,86;10,86;408.491,00;37.600
CRFB3;16/06/2023;15:05:00;10,86;10,88;10,85;10,87;1.697.868,00;156.300
CRFB3;16/06/2023;15:00:00;10,87;10,88;10,85;10,85;1.070.472,00;98.500
CRFB3;16/06/2023;14:55:00;10,87;10,88;10,86;10,87;1.468.163,00;135.000
CRFB3;16/06/2023;14:50:00;10,91;10,91;10,87;10,87;2.060.443,00;189.100
CRFB3;16/06/2023;14:45:00;10,92;10,93;10,90;10,91;1.446.473,00;132.600
