Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CSAN3;06/06/2023;11:20:00;16,88;16,88;16,87;16,87;285.159,00;16.900
CSAN3;06/06/2023;11:15:00;16,88;16,88;16,83;16,87;1.621.416,00;96.200
CSAN3;06/06/2023;11:10:00;16,95;16,95;16,87;16,88;2.386.895,00;141.100
CSAN3;06/06/2023;11:05:00;16,93;16,99;16,93;16,94;1.444.310,00;85.200
CSAN3;06/06/2023;11:00:00;16,98;16,99;16,91;16,92;5.318.953,00;313.600
CSAN3;06/06/2023;10:55:00;16,91;16,97;16,90;16,97;2.100.478,00;124.000
CSAN3;06/06/2023;10:50:00;16,94;16,97;16,91;16,92;1.703.864,00;100.600
CSAN3;06/06/2023;10:45:00;16,95;16,95;16,93;16,93;877.230,00;51.800
CSAN3;06/06/2023;10:40:00;16,93;16,95;16,93;16,95;2.143.109,00;126.500
CSAN3;06/06/2023;10:35:00;16,89;16,94;16,87;16,93;2.387.066,00;141.100
CSAN3;06/06/2023;10:30:00;16,87;16,94;16,86;16,89;2.717.815,00;160.800
CSAN3;06/06/2023;10:25:00;16,82;16,87;16,82;16,87;801.936,00;47.600
CSAN3;06/06/2023;10:20:00;16,86;16,86;16,78;16,82;1.051.366,00;62.500
CSAN3;06/06/2023;10:15:00;16,83;16,90;16,80;16,86;1.639.205,00;97.300
CSAN3;06/06/2023;10:10:00;16,88;16,91;16,79;16,82;1.257.913,00;74.600
CSAN3;06/06/2023;10:05:00;16,92;16,93;16,71;16,88;2.270.449,00;135.000
CSAN3;06/06/2023;10:00:00;16,82;16,98;16,82;16,92;1.240.366,00;73.400
CSAN3;05/06/2023;17:30:00;16,75;16,78;16,71;16,75;2.525.521,00;150.800
CSAN3;05/06/2023;16:50:00;16,78;16,78;16,73;16,75;13.561.029,00;809.600
CSAN3;05/06/2023;16:45:00;16,78;16,78;16,73;16,77;1.858.860,00;110.900
CSAN3;05/06/2023;16:40:00;16,77;16,78;16,76;16,78;1.058.356,00;63.100
CSAN3;05/06/2023;16:35:00;16,70;16,78;16,70;16,78;3.377.175,00;201.600
CSAN3;05/06/2023;16:30:00;16,76;16,78;16,69;16,71;3.578.228,00;213.700
CSAN3;05/06/2023;16:25:00;16,76;16,78;16,72;16,75;10.543.073,00;629.200
CSAN3;05/06/2023;16:20:00;16,77;16,79;16,76;16,76;2.391.952,00;142.600
CSAN3;05/06/2023;16:15:00;16,72;16,78;16,70;16,78;7.555.063,00;450.700
CSAN3;05/06/2023;16:10:00;16,72;16,72;16,70;16,72;1.171.380,00;70.100
CSAN3;05/06/2023;16:05:00;16,75;16,76;16,71;16,71;4.010.036,00;239.600
CSAN3;05/06/2023;16:00:00;16,77;16,78;16,75;16,75;1.609.421,00;96.000
CSAN3;05/06/2023;15:55:00;16,80;16,80;16,77;16,77;1.861.209,00;110.900
CSAN3;05/06/2023;15:50:00;16,79;16,80;16,76;16,79;2.515.134,00;149.900
CSAN3;05/06/2023;15:45:00;16,79;16,80;16,78;16,78;2.065.188,00;123.000
CSAN3;05/06/2023;15:40:00;16,79;16,81;16,78;16,79;1.563.509,00;93.100
CSAN3;05/06/2023;15:35:00;16,80;16,81;16,79;16,79;959.407,00;57.100
CSAN3;05/06/2023;15:30:00;16,80;16,81;16,78;16,79;2.650.965,00;157.900
CSAN3;05/06/2023;15:25:00;16,81;16,82;16,78;16,81;2.504.593,00;149.100
CSAN3;05/06/2023;15:20:00;16,82;16,85;16,80;16,81;3.698.313,00;219.700
CSAN3;05/06/2023;15:15:00;16,80;16,82;16,79;16,81;1.996.041,00;118.800
