Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CSED3;06/06/2023;11:15:00;3,37;3,37;3,35;3,36;11.741,00;3.500
CSED3;06/06/2023;11:10:00;3,35;3,37;3,35;3,37;26.553,00;7.900
CSED3;06/06/2023;11:05:00;3,36;3,36;3,35;3,35;8.394,00;2.500
CSED3;06/06/2023;11:00:00;3,37;3,37;3,37;3,37;674,00;200
CSED3;06/06/2023;10:55:00;3,36;3,37;3,36;3,36;44.806,00;13.300
CSED3;06/06/2023;10:50:00;3,35;3,35;3,35;3,35;4.355,00;1.300
CSED3;06/06/2023;10:45:00;3,34;3,38;3,34;3,34;19.495,00;5.800
CSED3;06/06/2023;10:40:00;3,34;3,36;3,33;3,33;15.337,00;4.600
CSED3;06/06/2023;10:35:00;3,35;3,35;3,35;3,35;6.030,00;1.800
CSED3;06/06/2023;10:30:00;3,34;3,34;3,34;3,34;4.342,00;1.300
CSED3;06/06/2023;10:25:00;3,33;3,33;3,33;3,33;333,00;100
CSED3;06/06/2023;10:20:00;3,33;3,33;3,33;3,33;1.665,00;500
CSED3;06/06/2023;10:15:00;3,34;3,34;3,33;3,33;1.999,00;600
CSED3;06/06/2023;10:10:00;3,34;3,34;3,34;3,34;18.370,00;5.500
CSED3;06/06/2023;10:05:00;3,33;3,34;3,33;3,34;3.331,00;1.000
CSED3;06/06/2023;10:00:00;3,32;3,32;3,30;3,30;4.970,00;1.500
CSED3;05/06/2023;17:30:00;3,30;3,33;3,30;3,33;28.188,00;8.500
CSED3;05/06/2023;16:50:00;3,28;3,31;3,26;3,31;24.781,00;7.500
CSED3;05/06/2023;16:45:00;3,28;3,29;3,27;3,27;12.787,00;3.900
CSED3;05/06/2023;16:40:00;3,27;3,28;3,26;3,28;20.586,00;6.300
CSED3;05/06/2023;16:35:00;3,27;3,27;3,26;3,27;37.931,00;11.600
CSED3;05/06/2023;16:30:00;3,25;3,27;3,25;3,27;33.188,00;10.200
CSED3;05/06/2023;16:25:00;3,26;3,26;3,25;3,25;29.991,00;9.200
CSED3;05/06/2023;16:20:00;3,25;3,26;3,25;3,25;2.279,00;700
CSED3;05/06/2023;16:15:00;3,25;3,26;3,24;3,25;4.224,00;1.300
CSED3;05/06/2023;16:10:00;3,24;3,25;3,24;3,24;2.597,00;800
CSED3;05/06/2023;16:05:00;3,25;3,25;3,24;3,25;2.273,00;700
CSED3;05/06/2023;16:00:00;3,24;3,25;3,24;3,24;3.569,00;1.100
CSED3;05/06/2023;15:55:00;3,24;3,25;3,24;3,24;2.272,00;700
CSED3;05/06/2023;15:50:00;3,24;3,25;3,24;3,24;20.740,00;6.400
CSED3;05/06/2023;15:45:00;3,24;3,25;3,24;3,24;1.297,00;400
CSED3;05/06/2023;15:40:00;3,24;3,25;3,24;3,25;10.072,00;3.100
CSED3;05/06/2023;15:35:00;3,24;3,25;3,24;3,24;1.298,00;400
CSED3;05/06/2023;15:30:00;3,25;3,25;3,24;3,24;4.872,00;1.500
CSED3;05/06/2023;15:25:00;3,24;3,26;3,24;3,25;7.806,00;2.400
CSED3;05/06/2023;15:20:00;3,24;3,25;3,24;3,24;5.197,00;1.600
CSED3;05/06/2023;15:15:00;3,24;3,25;3,24;3,25;3.889,00;1.200
CSED3;05/06/2023;15:10:00;3,24;3,24;3,24;3,24;648,00;200
CSED3;05/06/2023;15:05:00;3,25;3,25;3,25;3,25;13.000,00;4.000
CSED3;05/06/2023;15:00:00;3,24;3,26;3,24;3,25;9.102,00;2.800
CSED3;05/06/2023;14:55:00;3,24;3,25;3,24;3,24;5.522,00;1.700
CSED3;05/06/2023;14:50:00;3,24;3,26;3,24;3,25;5.528,00;1.700
CSED3;05/06/2023;14:45:00;3,24;3,25;3,24;3,24;8.123,00;2.500
CSED3;05/06/2023;14:40:00;3,25;3,25;3,24;3,24;3.573,00;1.100
CSED3;05/06/2023;14:35:00;3,25;3,25;3,25;3,25;9.425,00;2.900
CSED3;05/06/2023;14:30:00;3,25;3,26;3,25;3,25;11.051,00;3.400
CSED3;05/06/2023;14:25:00;3,25;3,25;3,25;3,25;4.875,00;1.500
CSED3;05/06/2023;14:20:00;3,26;3,26;3,25;3,25;8.462,00;2.600
CSED3;05/06/2023;14:15:00;3,26;3,26;3,25;3,25;8.142,00;2.500
CSED3;05/06/2023;14:10:00;3,27;3,27;3,26;3,26;7.187,00;2.200
CSED3;05/06/2023;14:05:00;3,29;3,29;3,25;3,27;16.379,00;5.000
CSED3;05/06/2023;14:00:00;3,27;3,32;3,27;3,31;62.916,00;19.100
CSED3;05/06/2023;13:55:00;3,27;3,27;3,27;3,27;3.924,00;1.200
CSED3;05/06/2023;13:50:00;3,26;3,28;3,25;3,28;11.428,00;3.500
CSED3;05/06/2023;13:45:00;3,27;3,27;3,26;3,26;41.739,00;12.800
CSED3;05/06/2023;13:40:00;3,27;3,27;3,26;3,27;8.817,00;2.700
CSED3;05/06/2023;13:35:00;3,26;3,27;3,26;3,26;19.888,00;6.100
CSED3;05/06/2023;13:30:00;3,24;3,25;3,23;3,25;49.878,00;15.400
CSED3;05/06/2023;13:15:00;3,25;3,25;3,25;3,25;3.575,00;1.100
CSED3;05/06/2023;13:10:00;3,25;3,26;3,25;3,25;2.929,00;900
CSED3;05/06/2023;13:05:00;3,25;3,25;3,25;3,25;7.150,00;2.200
CSED3;05/06/2023;13:00:00;3,25;3,25;3,25;3,25;7.800,00;2.400
CSED3;05/06/2023;12:55:00;3,25;3,25;3,25;3,25;11.375,00;3.500
CSED3;05/06/2023;12:50:00;3,25;3,25;3,24;3,24;3.241,00;1.000
