Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CSNA3;06/06/2023;11:20:00;12,98;13,00;12,98;12,99;109.087,00;8.400
CSNA3;06/06/2023;11:15:00;13,03;13,03;12,98;12,99;670.853,00;51.600
CSNA3;06/06/2023;11:10:00;13,03;13,05;13,01;13,04;460.097,00;35.300
CSNA3;06/06/2023;11:05:00;12,98;13,06;12,98;13,03;1.173.953,00;90.100
CSNA3;06/06/2023;11:00:00;12,95;13,00;12,95;12,99;1.314.546,00;101.300
CSNA3;06/06/2023;10:55:00;12,95;12,98;12,95;12,96;619.768,00;47.800
CSNA3;06/06/2023;10:50:00;13,02;13,04;12,95;12,96;1.557.689,00;119.900
CSNA3;06/06/2023;10:45:00;13,05;13,07;13,01;13,03;2.244.213,00;172.200
CSNA3;06/06/2023;10:40:00;13,06;13,06;13,02;13,04;606.358,00;46.500
CSNA3;06/06/2023;10:35:00;13,03;13,07;13,02;13,05;936.233,00;71.700
CSNA3;06/06/2023;10:30:00;12,98;13,07;12,96;13,02;2.634.704,00;202.200
CSNA3;06/06/2023;10:25:00;13,02;13,02;12,97;12,99;324.785,00;25.000
CSNA3;06/06/2023;10:20:00;12,97;13,02;12,95;13,01;672.257,00;51.800
CSNA3;06/06/2023;10:15:00;12,95;12,98;12,94;12,95;488.365,00;37.700
CSNA3;06/06/2023;10:10:00;13,04;13,05;12,94;12,95;1.231.538,00;94.800
CSNA3;06/06/2023;10:05:00;12,96;13,04;12,92;13,04;2.995.255,00;230.500
CSNA3;06/06/2023;10:00:00;12,94;13,00;12,94;12,97;1.523.915,00;117.600
CSNA3;05/06/2023;17:30:00;12,94;12,94;12,92;12,94;187.511,00;14.500
CSNA3;05/06/2023;16:50:00;12,95;12,95;12,91;12,94;9.104.810,00;703.700
CSNA3;05/06/2023;16:45:00;12,90;12,95;12,89;12,94;2.099.092,00;162.400
CSNA3;05/06/2023;16:40:00;12,90;12,91;12,89;12,91;411.579,00;31.900
CSNA3;05/06/2023;16:35:00;12,91;12,92;12,88;12,91;847.605,00;65.700
CSNA3;05/06/2023;16:30:00;12,94;12,96;12,90;12,91;2.573.930,00;199.100
CSNA3;05/06/2023;16:25:00;12,92;12,95;12,91;12,95;1.500.166,00;116.000
CSNA3;05/06/2023;16:20:00;12,93;12,94;12,91;12,92;511.960,00;39.600
CSNA3;05/06/2023;16:15:00;12,96;12,96;12,92;12,94;454.101,00;35.100
CSNA3;05/06/2023;16:10:00;12,93;12,96;12,92;12,96;492.967,00;38.100
CSNA3;05/06/2023;16:05:00;12,93;12,95;12,93;12,93;376.474,00;29.100
CSNA3;05/06/2023;16:00:00;12,94;12,95;12,93;12,93;323.492,00;25.000
CSNA3;05/06/2023;15:55:00;12,92;12,95;12,92;12,94;319.611,00;24.700
CSNA3;05/06/2023;15:50:00;12,92;12,94;12,91;12,93;378.607,00;29.300
CSNA3;05/06/2023;15:45:00;12,93;12,94;12,92;12,92;420.230,00;32.500
CSNA3;05/06/2023;15:40:00;12,94;12,95;12,92;12,93;143.570,00;11.100
CSNA3;05/06/2023;15:35:00;12,93;12,95;12,92;12,93;367.467,00;28.400
CSNA3;05/06/2023;15:30:00;12,93;12,94;12,92;12,93;126.739,00;9.800
CSNA3;05/06/2023;15:25:00;12,92;12,95;12,91;12,94;1.455.667,00;112.600
CSNA3;05/06/2023;15:20:00;12,92;12,93;12,91;12,92;162.827,00;12.600
CSNA3;05/06/2023;15:15:00;12,91;12,93;12,90;12,92;266.104,00;20.600
CSNA3;05/06/2023;15:10:00;12,93;12,94;12,91;12,91;385.048,00;29.800
CSNA3;05/06/2023;15:05:00;12,97;12,97;12,93;12,93;1.348.978,00;104.100
CSNA3;05/06/2023;15:00:00;12,97;13,01;12,97;12,97;1.846.317,00;142.100
CSNA3;05/06/2023;14:55:00;12,98;12,98;12,94;12,96;1.139.400,00;87.900
CSNA3;05/06/2023;14:50:00;12,88;12,97;12,88;12,97;1.574.370,00;121.700
CSNA3;05/06/2023;14:45:00;12,87;12,89;12,87;12,88;327.225,00;25.400
CSNA3;05/06/2023;14:40:00;12,86;12,89;12,85;12,87;1.872.708,00;145.500
CSNA3;05/06/2023;14:35:00;12,89;12,89;12,87;12,87;179.021,00;13.900
CSNA3;05/06/2023;14:30:00;12,93;12,93;12,87;12,89;4.313.550,00;334.700
CSNA3;05/06/2023;14:25:00;12,88;12,93;12,87;12,93;1.892.451,00;146.800
CSNA3;05/06/2023;14:20:00;12,88;12,89;12,88;12,88;181.673,00;14.100
CSNA3;05/06/2023;14:15:00;12,89;12,90;12,87;12,88;108.206,00;8.400
CSNA3;05/06/2023;14:10:00;12,88;12,93;12,88;12,89;1.813.074,00;140.400
CSNA3;05/06/2023;14:05:00;12,83;12,90;12,82;12,88;958.187,00;74.500
CSNA3;05/06/2023;14:00:00;12,83;12,85;12,83;12,83;206.737,00;16.100
CSNA3;05/06/2023;13:55:00;12,83;12,84;12,83;12,83;184.849,00;14.400
CSNA3;05/06/2023;13:50:00;12,83;12,85;12,83;12,84;408.341,00;31.800
CSNA3;05/06/2023;13:45:00;12,83;12,84;12,83;12,83;98.823,00;7.700
CSNA3;05/06/2023;13:40:00;12,81;12,84;12,80;12,83;547.514,00;42.700
CSNA3;05/06/2023;13:35:00;12,83;12,83;12,80;12,82;747.221,00;58.300
CSNA3;05/06/2023;13:30:00;12,83;12,84;12,81;12,83;756.961,00;59.000
CSNA3;05/06/2023;13:25:00;12,83;12,84;12,81;12,83;816.853,00;63.700
CSNA3;05/06/2023;13:20:00;12,83;12,85;12,82;12,83;460.829,00;35.900
CSNA3;05/06/2023;13:15:00;12,86;12,87;12,82;12,83;1.547.091,00;120.500
CSNA3;05/06/2023;13:10:00;12,82;12,87;12,82;12,86;1.344.114,00;104.700
CSNA3;05/06/2023;13:05:00;12,81;12,84;12,80;12,81;2.007.292,00;156.600
CSNA3;05/06/2023;13:00:00;12,83;12,84;12,81;12,81;173.115,00;13.500
CSNA3;05/06/2023;12:55:00;12,81;12,84;12,80;12,83;160.219,00;12.500
CSNA3;05/06/2023;12:50:00;12,79;12,83;12,79;12,81;732.404,00;57.200
CSNA3;05/06/2023;12:45:00;12,81;12,82;12,79;12,79;840.121,00;65.600
CSNA3;05/06/2023;12:40:00;12,82;12,84;12,80;12,81;206.450,00;16.100
CSNA3;05/06/2023;12:35:00;12,83;12,83;12,80;12,82;634.513,00;49.500
CSNA3;05/06/2023;12:30:00;12,84;12,86;12,81;12,82;1.091.150,00;85.000
CSNA3;05/06/2023;12:25:00;12,82;12,86;12,80;12,84;1.684.328,00;131.300
CSNA3;05/06/2023;12:20:00;12,82;12,84;12,79;12,82;2.078.158,00;162.300
CSNA3;05/06/2023;12:15:00;12,85;12,87;12,81;12,82;2.014.373,00;156.900
CSNA3;05/06/2023;12:10:00;12,81;12,85;12,80;12,85;410.462,00;32.000
CSNA3;05/06/2023;12:05:00;12,84;12,84;12,81;12,81;769.664,00;60.000
CSNA3;05/06/2023;12:00:00;12,83;12,85;12,82;12,83;842.822,00;65.700
CSNA3;05/06/2023;11:55:00;12,85;12,85;12,81;12,83;3.008.096,00;234.400
CSNA3;05/06/2023;11:50:00;12,83;12,88;12,83;12,84;1.569.973,00;122.200
CSNA3;05/06/2023;11:45:00;12,82;12,83;12,79;12,83;968.223,00;75.600
CSNA3;05/06/2023;11:40:00;12,83;12,85;12,79;12,83;3.504.290,00;273.200
CSNA3;05/06/2023;11:35:00;12,83;12,85;12,81;12,83;1.252.127,00;97.600
CSNA3;05/06/2023;11:30:00;12,79;12,84;12,78;12,83;1.078.820,00;84.200
CSNA3;05/06/2023;11:25:00;12,75;12,80;12,75;12,79;1.620.048,00;126.900
CSNA3;05/06/2023;11:20:00;12,73;12,77;12,70;12,75;1.113.119,00;87.500
CSNA3;05/06/2023;11:15:00;12,77;12,77;12,72;12,73;1.484.348,00;116.500
CSNA3;05/06/2023;11:10:00;12,84;12,85;12,75;12,76;4.767.582,00;372.400
CSNA3;05/06/2023;11:05:00;12,89;12,90;12,83;12,83;659.649,00;51.300
CSNA3;05/06/2023;11:00:00;12,93;12,95;12,86;12,89;3.052.369,00;236.600
CSNA3;05/06/2023;10:55:00;12,95;12,97;12,92;12,93;856.868,00;66.200
CSNA3;05/06/2023;10:50:00;12,99;12,99;12,95;12,96;606.795,00;46.800
CSNA3;05/06/2023;10:45:00;12,96;13,00;12,95;13,00;1.588.852,00;122.500
CSNA3;05/06/2023;10:40:00;12,93;12,96;12,92;12,96;1.331.639,00;102.900
CSNA3;05/06/2023;10:35:00;12,98;12,99;12,92;12,93;1.620.787,00;125.100
CSNA3;05/06/2023;10:30:00;13,04;13,05;12,96;12,99;2.266.714,00;174.200
CSNA3;05/06/2023;10:25:00;13,05;13,08;13,02;13,03;689.105,00;52.800
CSNA3;05/06/2023;10:20:00;13,06;13,08;13,02;13,05;1.518.568,00;116.400
CSNA3;05/06/2023;10:15:00;12,90;13,11;12,90;13,06;7.970.579,00;612.200
CSNA3;05/06/2023;10:10:00;12,98;12,99;12,90;12,91;1.783.521,00;137.800
CSNA3;05/06/2023;10:05:00;12,94;13,00;12,93;12,97;2.629.083,00;202.900
CSNA3;02/06/2023;17:30:00;12,82;12,84;12,79;12,80;542.328,00;42.300
CSNA3;02/06/2023;16:50:00;12,84;12,84;12,80;12,82;23.576.481,00;1.839.000
CSNA3;02/06/2023;16:45:00;12,83;12,85;12,82;12,84;3.219.656,00;250.700
CSNA3;02/06/2023;16:40:00;12,80;12,85;12,80;12,83;2.023.119,00;157.700
CSNA3;02/06/2023;16:35:00;12,80;12,81;12,79;12,81;1.068.853,00;83.500
CSNA3;02/06/2023;16:30:00;12,81;12,82;12,79;12,81;808.165,00;63.100
CSNA3;02/06/2023;16:25:00;12,80;12,82;12,80;12,81;772.074,00;60.300
CSNA3;02/06/2023;16:20:00;12,80;12,81;12,78;12,80;809.647,00;63.300
CSNA3;02/06/2023;16:15:00;12,79;12,81;12,79;12,80;473.541,00;37.000
CSNA3;02/06/2023;16:10:00;12,79;12,80;12,79;12,80;296.861,00;23.200
CSNA3;02/06/2023;16:05:00;12,81;12,81;12,76;12,79;2.505.811,00;195.900
CSNA3;02/06/2023;16:00:00;12,77;12,80;12,76;12,80;1.336.189,00;104.500
CSNA3;02/06/2023;15:55:00;12,77;12,77;12,74;12,77;1.082.752,00;84.900
CSNA3;02/06/2023;15:50:00;12,75;12,77;12,74;12,77;1.539.095,00;120.700
CSNA3;02/06/2023;15:45:00;12,76;12,77;12,75;12,76;546.157,00;42.800
CSNA3;02/06/2023;15:40:00;12,79;12,81;12,75;12,76;2.161.032,00;169.100
CSNA3;02/06/2023;15:35:00;12,79;12,81;12,79;12,79;495.197,00;38.700
CSNA3;02/06/2023;15:30:00;12,80;12,82;12,78;12,80;1.675.469,00;130.900
CSNA3;02/06/2023;15:25:00;12,80;12,82;12,80;12,81;386.824,00;30.200
