Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CURY3;06/06/2023;11:20:00;15,07;15,08;15,07;15,07;13.565,00;900
CURY3;06/06/2023;11:15:00;15,08;15,08;15,05;15,08;105.489,00;7.000
CURY3;06/06/2023;11:10:00;15,03;15,09;15,01;15,09;341.437,00;22.700
CURY3;06/06/2023;11:05:00;15,05;15,13;15,03;15,04;1.147.424,00;76.100
CURY3;06/06/2023;11:00:00;15,02;15,05;15,01;15,05;202.983,00;13.500
CURY3;06/06/2023;10:55:00;15,03;15,04;14,99;15,02;532.814,00;35.500
CURY3;06/06/2023;10:50:00;15,01;15,05;15,00;15,02;1.069.371,00;71.100
CURY3;06/06/2023;10:45:00;14,99;15,06;14,99;15,00;421.918,00;28.100
CURY3;06/06/2023;10:40:00;14,98;15,02;14,98;15,00;212.922,00;14.200
CURY3;06/06/2023;10:35:00;14,97;15,02;14,97;14,98;280.371,00;18.700
CURY3;06/06/2023;10:30:00;14,98;15,04;14,94;14,98;2.163.845,00;144.300
CURY3;06/06/2023;10:25:00;14,95;14,98;14,93;14,98;1.052.063,00;70.400
CURY3;06/06/2023;10:20:00;14,85;14,96;14,85;14,94;290.423,00;19.500
CURY3;06/06/2023;10:15:00;14,83;14,87;14,82;14,87;20.785,00;1.400
CURY3;06/06/2023;10:10:00;14,86;14,91;14,84;14,84;309.668,00;20.800
CURY3;06/06/2023;10:05:00;14,82;14,83;14,76;14,82;103.532,00;7.000
CURY3;06/06/2023;10:00:00;14,71;14,79;14,71;14,79;53.121,00;3.600
CURY3;05/06/2023;17:30:00;14,65;14,65;14,65;14,65;1.465,00;100
CURY3;05/06/2023;16:50:00;14,70;14,71;14,65;14,65;2.591.158,00;176.800
CURY3;05/06/2023;16:45:00;14,69;14,71;14,67;14,69;251.164,00;17.100
CURY3;05/06/2023;16:40:00;14,70;14,75;14,67;14,69;588.217,00;40.000
CURY3;05/06/2023;16:35:00;14,65;14,70;14,64;14,69;363.772,00;24.800
CURY3;05/06/2023;16:30:00;14,64;14,66;14,63;14,64;342.740,00;23.400
CURY3;05/06/2023;16:25:00;14,62;14,64;14,61;14,63;194.512,00;13.300
CURY3;05/06/2023;16:20:00;14,61;14,64;14,60;14,61;267.535,00;18.300
CURY3;05/06/2023;16:15:00;14,59;14,62;14,58;14,62;608.501,00;41.700
CURY3;05/06/2023;16:10:00;14,57;14,58;14,57;14,58;64.131,00;4.400
CURY3;05/06/2023;16:05:00;14,59;14,61;14,55;14,57;198.372,00;13.600
CURY3;05/06/2023;16:00:00;14,60;14,61;14,58;14,59;110.933,00;7.600
CURY3;05/06/2023;15:55:00;14,60;14,61;14,59;14,60;73.014,00;5.000
CURY3;05/06/2023;15:50:00;14,58;14,61;14,57;14,60;96.290,00;6.600
CURY3;05/06/2023;15:45:00;14,59;14,59;14,57;14,57;86.037,00;5.900
CURY3;05/06/2023;15:40:00;14,58;14,63;14,58;14,60;359.441,00;24.600
CURY3;05/06/2023;15:35:00;14,56;14,60;14,56;14,58;176.424,00;12.100
CURY3;05/06/2023;15:30:00;14,59;14,59;14,56;14,56;157.341,00;10.800
CURY3;05/06/2023;15:25:00;14,60;14,61;14,57;14,58;172.112,00;11.800
CURY3;05/06/2023;15:20:00;14,60;14,61;14,59;14,61;153.306,00;10.500
CURY3;05/06/2023;15:15:00;14,54;14,61;14,54;14,60;374.718,00;25.700
CURY3;05/06/2023;15:10:00;14,56;14,57;14,54;14,55;368.065,00;25.300
CURY3;05/06/2023;15:05:00;14,61;14,61;14,56;14,56;166.191,00;11.400
CURY3;05/06/2023;15:00:00;14,58;14,65;14,57;14,61;415.112,00;28.400
CURY3;05/06/2023;14:55:00;14,55;14,58;14,55;14,58;141.261,00;9.700
CURY3;05/06/2023;14:50:00;14,54;14,57;14,53;14,55;205.162,00;14.100
CURY3;05/06/2023;14:45:00;14,54;14,56;14,52;14,54;186.132,00;12.800
CURY3;05/06/2023;14:40:00;14,52;14,54;14,52;14,53;79.904,00;5.500
CURY3;05/06/2023;14:35:00;14,53;14,55;14,50;14,51;209.149,00;14.400
CURY3;05/06/2023;14:30:00;14,53;14,55;14,52;14,53;101.755,00;7.000
CURY3;05/06/2023;14:25:00;14,54;14,54;14,50;14,53;98.775,00;6.800
CURY3;05/06/2023;14:20:00;14,52;14,55;14,52;14,54;133.740,00;9.200
CURY3;05/06/2023;14:15:00;14,51;14,53;14,49;14,53;101.589,00;7.000
CURY3;05/06/2023;14:10:00;14,53;14,53;14,49;14,50;147.961,00;10.200
CURY3;05/06/2023;14:05:00;14,56;14,56;14,50;14,53;197.640,00;13.600
CURY3;05/06/2023;14:00:00;14,66;14,66;14,56;14,56;270.387,00;18.500
CURY3;05/06/2023;13:55:00;14,63;14,67;14,63;14,65;130.362,00;8.900
CURY3;05/06/2023;13:50:00;14,67;14,67;14,61;14,64;437.701,00;29.900
CURY3;05/06/2023;13:45:00;14,62;14,67;14,60;14,67;383.411,00;26.200
CURY3;05/06/2023;13:40:00;14,54;14,62;14,54;14,61;275.653,00;18.900
CURY3;05/06/2023;13:35:00;14,53;14,55;14,49;14,55;406.456,00;28.000
CURY3;05/06/2023;13:30:00;14,56;14,56;14,52;14,52;109.012,00;7.500
CURY3;05/06/2023;13:25:00;14,53;14,57;14,53;14,55;148.455,00;10.200
CURY3;05/06/2023;13:20:00;14,53;14,56;14,53;14,54;112.044,00;7.700
CURY3;05/06/2023;13:15:00;14,53;14,55;14,51;14,52;207.726,00;14.300
CURY3;05/06/2023;13:10:00;14,53;14,54;14,52;14,53;142.434,00;9.800
