Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CVCB3;16/06/2023;17:30:00;4,49;4,54;4,48;4,54;762.792,00;169.200
CVCB3;16/06/2023;16:45:00;4,53;4,54;4,50;4,50;10.841.315,00;2.407.100
CVCB3;16/06/2023;16:40:00;4,52;4,53;4,51;4,52;1.314.376,00;290.800
CVCB3;16/06/2023;16:35:00;4,51;4,53;4,51;4,52;940.803,00;208.100
CVCB3;16/06/2023;16:30:00;4,52;4,54;4,50;4,51;2.430.376,00;538.100
CVCB3;16/06/2023;16:25:00;4,54;4,56;4,51;4,52;2.760.645,00;609.400
CVCB3;16/06/2023;16:20:00;4,57;4,58;4,51;4,54;2.456.418,00;540.200
CVCB3;16/06/2023;16:15:00;4,56;4,58;4,56;4,57;1.596.323,00;349.100
CVCB3;16/06/2023;16:10:00;4,56;4,58;4,56;4,57;718.138,00;157.200
CVCB3;16/06/2023;16:05:00;4,57;4,57;4,56;4,57;623.073,00;136.500
CVCB3;16/06/2023;16:00:00;4,55;4,57;4,54;4,56;1.419.354,00;311.400
CVCB3;16/06/2023;15:55:00;4,56;4,58;4,54;4,55;3.531.979,00;774.200
CVCB3;16/06/2023;15:50:00;4,56;4,57;4,55;4,56;1.129.182,00;247.700
CVCB3;16/06/2023;15:45:00;4,58;4,58;4,55;4,57;1.636.321,00;358.200
CVCB3;16/06/2023;15:40:00;4,55;4,58;4,54;4,58;1.988.218,00;436.100
CVCB3;16/06/2023;15:35:00;4,55;4,57;4,55;4,55;890.877,00;195.400
CVCB3;16/06/2023;15:30:00;4,55;4,56;4,53;4,55;1.044.370,00;229.800
CVCB3;16/06/2023;15:25:00;4,55;4,57;4,53;4,55;1.731.361,00;380.800
CVCB3;16/06/2023;15:20:00;4,57;4,58;4,53;4,55;2.425.024,00;532.600
CVCB3;16/06/2023;15:15:00;4,56;4,57;4,55;4,56;966.578,00;212.100
CVCB3;16/06/2023;15:10:00;4,59;4,61;4,54;4,55;4.063.517,00;887.100
CVCB3;16/06/2023;15:05:00;4,55;4,60;4,54;4,60;3.636.751,00;793.800
CVCB3;16/06/2023;15:00:00;4,58;4,58;4,54;4,56;2.266.849,00;497.600
CVCB3;16/06/2023;14:55:00;4,55;4,58;4,54;4,57;2.938.018,00;644.100
CVCB3;16/06/2023;14:50:00;4,54;4,56;4,53;4,55;2.510.637,00;552.500
CVCB3;16/06/2023;14:45:00;4,46;4,54;4,46;4,54;7.769.444,00;1.721.600
CVCB3;16/06/2023;14:40:00;4,47;4,48;4,45;4,45;1.728.150,00;387.300
CVCB3;16/06/2023;14:35:00;4,42;4,49;4,41;4,46;3.663.767,00;821.900
CVCB3;16/06/2023;14:30:00;4,40;4,42;4,39;4,42;1.329.719,00;302.200
CVCB3;16/06/2023;14:25:00;4,40;4,40;4,39;4,39;515.019,00;117.100
CVCB3;16/06/2023;14:20:00;4,40;4,40;4,39;4,39;1.293.463,00;294.000
CVCB3;16/06/2023;14:15:00;4,40;4,40;4,38;4,39;848.281,00;193.000
CVCB3;16/06/2023;14:10:00;4,40;4,40;4,38;4,39;658.440,00;149.900
CVCB3;16/06/2023;14:05:00;4,41;4,44;4,38;4,40;4.610.849,00;1.045.900
CVCB3;16/06/2023;14:00:00;4,41;4,42;4,39;4,41;1.276.556,00;289.700
CVCB3;16/06/2023;13:55:00;4,37;4,41;4,37;4,41;2.147.450,00;488.600
CVCB3;16/06/2023;13:50:00;4,34;4,37;4,34;4,37;2.004.326,00;460.000
CVCB3;16/06/2023;13:45:00;4,34;4,35;4,33;4,35;1.210.166,00;278.900
CVCB3;16/06/2023;13:40:00;4,34;4,35;4,32;4,34;1.660.086,00;382.900
CVCB3;16/06/2023;13:35:00;4,37;4,37;4,34;4,35;721.415,00;165.800
CVCB3;16/06/2023;13:30:00;4,41;4,41;4,33;4,36;4.744.114,00;1.085.700
CVCB3;16/06/2023;13:25:00;4,41;4,42;4,40;4,40;991.384,00;225.000
CVCB3;16/06/2023;13:20:00;4,42;4,43;4,41;4,42;2.097.287,00;474.300
CVCB3;16/06/2023;13:15:00;4,43;4,43;4,42;4,42;346.785,00;78.400
CVCB3;16/06/2023;13:10:00;4,42;4,43;4,42;4,43;156.291,00;35.300
CVCB3;16/06/2023;13:05:00;4,46;4,46;4,42;4,43;2.202.542,00;495.400
CVCB3;16/06/2023;13:00:00;4,44;4,46;4,43;4,46;1.480.748,00;333.000
CVCB3;16/06/2023;12:55:00;4,43;4,45;4,43;4,44;822.232,00;185.200
CVCB3;16/06/2023;12:50:00;4,43;4,44;4,42;4,44;571.041,00;128.900
CVCB3;16/06/2023;12:45:00;4,44;4,44;4,43;4,43;288.181,00;65.000
CVCB3;16/06/2023;12:40:00;4,43;4,44;4,42;4,44;300.835,00;67.900
CVCB3;16/06/2023;12:35:00;4,45;4,45;4,42;4,42;779.141,00;175.700
CVCB3;16/06/2023;12:30:00;4,44;4,45;4,43;4,45;534.567,00;120.400
CVCB3;16/06/2023;12:25:00;4,44;4,45;4,43;4,44;535.384,00;120.600
