Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CXSE3;06/06/2023;11:20:00;10,39;10,39;10,39;10,39;7.273,00;700
CXSE3;06/06/2023;11:15:00;10,39;10,39;10,38;10,39;148.523,00;14.300
CXSE3;06/06/2023;11:10:00;10,40;10,40;10,39;10,39;119.569,00;11.500
CXSE3;06/06/2023;11:05:00;10,39;10,40;10,37;10,40;378.205,00;36.400
CXSE3;06/06/2023;11:00:00;10,41;10,43;10,36;10,37;2.019.311,00;194.400
CXSE3;06/06/2023;10:55:00;10,42;10,43;10,41;10,43;158.403,00;15.200
CXSE3;06/06/2023;10:50:00;10,44;10,45;10,41;10,42;162.705,00;15.600
CXSE3;06/06/2023;10:45:00;10,47;10,47;10,44;10,44;145.394,00;13.900
CXSE3;06/06/2023;10:40:00;10,48;10,48;10,47;10,47;73.315,00;7.000
CXSE3;06/06/2023;10:35:00;10,49;10,49;10,48;10,49;236.959,00;22.600
CXSE3;06/06/2023;10:30:00;10,46;10,49;10,46;10,49;80.649,00;7.700
CXSE3;06/06/2023;10:25:00;10,47;10,47;10,46;10,46;17.789,00;1.700
CXSE3;06/06/2023;10:20:00;10,49;10,49;10,46;10,47;97.399,00;9.300
CXSE3;06/06/2023;10:15:00;10,47;10,49;10,47;10,49;103.745,00;9.900
CXSE3;06/06/2023;10:10:00;10,48;10,50;10,46;10,48;189.762,00;18.100
CXSE3;06/06/2023;10:05:00;10,43;10,49;10,43;10,49;149.791,00;14.300
CXSE3;06/06/2023;10:00:00;10,45;10,47;10,42;10,43;128.518,00;12.300
CXSE3;05/06/2023;17:30:00;10,45;10,50;10,45;10,45;48.195,00;4.600
CXSE3;05/06/2023;16:50:00;10,49;10,50;10,45;10,48;3.185.343,00;303.900
CXSE3;05/06/2023;16:45:00;10,48;10,49;10,47;10,49;250.634,00;23.900
CXSE3;05/06/2023;16:40:00;10,48;10,49;10,47;10,48;323.884,00;30.900
CXSE3;05/06/2023;16:35:00;10,47;10,48;10,47;10,47;266.142,00;25.400
CXSE3;05/06/2023;16:30:00;10,47;10,48;10,47;10,48;283.845,00;27.100
CXSE3;05/06/2023;16:25:00;10,48;10,48;10,46;10,46;311.016,00;29.700
CXSE3;05/06/2023;16:20:00;10,47;10,48;10,45;10,47;325.383,00;31.100
CXSE3;05/06/2023;16:15:00;10,48;10,48;10,45;10,46;371.458,00;35.500
CXSE3;05/06/2023;16:10:00;10,48;10,48;10,46;10,47;308.847,00;29.500
CXSE3;05/06/2023;16:05:00;10,47;10,50;10,46;10,47;1.287.255,00;122.800
CXSE3;05/06/2023;16:00:00;10,45;10,47;10,45;10,46;166.310,00;15.900
CXSE3;05/06/2023;15:55:00;10,47;10,47;10,45;10,45;215.490,00;20.600
CXSE3;05/06/2023;15:50:00;10,46;10,47;10,46;10,46;209.346,00;20.000
CXSE3;05/06/2023;15:45:00;10,47;10,47;10,46;10,46;70.093,00;6.700
CXSE3;05/06/2023;15:40:00;10,45;10,46;10,45;10,46;471.537,00;45.100
CXSE3;05/06/2023;15:35:00;10,44;10,46;10,44;10,45;150.399,00;14.400
CXSE3;05/06/2023;15:30:00;10,44;10,46;10,44;10,44;774.692,00;74.100
CXSE3;05/06/2023;15:25:00;10,44;10,45;10,44;10,44;173.355,00;16.600
CXSE3;05/06/2023;15:20:00;10,42;10,45;10,42;10,44;543.856,00;52.100
CXSE3;05/06/2023;15:15:00;10,41;10,43;10,41;10,43;243.725,00;23.400
CXSE3;05/06/2023;15:10:00;10,41;10,42;10,41;10,41;96.821,00;9.300
CXSE3;05/06/2023;15:05:00;10,42;10,43;10,41;10,41;530.347,00;50.900
CXSE3;05/06/2023;15:00:00;10,41;10,43;10,41;10,42;155.247,00;14.900
CXSE3;05/06/2023;14:55:00;10,40;10,42;10,40;10,42;133.238,00;12.800
CXSE3;05/06/2023;14:50:00;10,41;10,41;10,40;10,40;105.080,00;10.100
CXSE3;05/06/2023;14:45:00;10,39;10,41;10,39;10,40;149.729,00;14.400
CXSE3;05/06/2023;14:40:00;10,36;10,40;10,36;10,39;384.094,00;37.000
CXSE3;05/06/2023;14:35:00;10,37;10,39;10,36;10,36;401.493,00;38.700
CXSE3;05/06/2023;14:30:00;10,38;10,38;10,37;10,37;86.103,00;8.300
CXSE3;05/06/2023;14:25:00;10,38;10,39;10,37;10,37;181.618,00;17.500
CXSE3;05/06/2023;14:20:00;10,36;10,38;10,36;10,37;151.414,00;14.600
CXSE3;05/06/2023;14:15:00;10,37;10,37;10,36;10,36;37.315,00;3.600
CXSE3;05/06/2023;14:10:00;10,37;10,37;10,36;10,37;94.323,00;9.100
CXSE3;05/06/2023;14:05:00;10,36;10,37;10,35;10,36;80.778,00;7.800
CXSE3;05/06/2023;14:00:00;10,36;10,36;10,35;10,35;127.371,00;12.300
CXSE3;05/06/2023;13:55:00;10,36;10,37;10,35;10,35;114.945,00;11.100
CXSE3;05/06/2023;13:50:00;10,36;10,37;10,36;10,36;101.531,00;9.800
CXSE3;05/06/2023;13:45:00;10,36;10,38;10,36;10,36;331.825,00;32.000
CXSE3;05/06/2023;13:40:00;10,36;10,37;10,36;10,36;104.647,00;10.100
CXSE3;05/06/2023;13:35:00;10,36;10,37;10,36;10,36;63.203,00;6.100
CXSE3;05/06/2023;13:30:00;10,37;10,38;10,36;10,36;186.618,00;18.000
CXSE3;05/06/2023;13:25:00;10,36;10,37;10,35;10,37;190.701,00;18.400
CXSE3;05/06/2023;13:20:00;10,37;10,37;10,36;10,36;129.528,00;12.500
CXSE3;05/06/2023;13:15:00;10,37;10,38;10,36;10,36;156.566,00;15.100
CXSE3;05/06/2023;13:10:00;10,37;10,38;10,36;10,37;127.522,00;12.300
CXSE3;05/06/2023;13:05:00;10,36;10,38;10,36;10,36;103.648,00;10.000
CXSE3;05/06/2023;13:00:00;10,34;10,37;10,34;10,36;190.443,00;18.400
CXSE3;05/06/2023;12:55:00;10,34;10,35;10,34;10,34;73.418,00;7.100
CXSE3;05/06/2023;12:50:00;10,33;10,35;10,33;10,34;75.466,00;7.300
CXSE3;05/06/2023;12:45:00;10,34;10,35;10,33;10,33;307.067,00;29.700
CXSE3;05/06/2023;12:40:00;10,33;10,35;10,33;10,34;130.240,00;12.600
CXSE3;05/06/2023;12:35:00;10,34;10,35;10,33;10,33;100.255,00;9.700
CXSE3;05/06/2023;12:30:00;10,35;10,36;10,34;10,34;161.477,00;15.600
CXSE3;05/06/2023;12:25:00;10,36;10,37;10,35;10,35;146.021,00;14.100
CXSE3;05/06/2023;12:20:00;10,35;10,36;10,35;10,35;60.038,00;5.800
CXSE3;05/06/2023;12:15:00;10,36;10,38;10,35;10,35;199.035,00;19.200
CXSE3;05/06/2023;12:10:00;10,36;10,37;10,35;10,36;121.194,00;11.700
CXSE3;05/06/2023;12:05:00;10,36;10,37;10,35;10,36;191.659,00;18.500
CXSE3;05/06/2023;12:00:00;10,37;10,38;10,36;10,36;104.677,00;10.100
CXSE3;05/06/2023;11:55:00;10,40;10,41;10,36;10,36;413.222,00;39.800
CXSE3;05/06/2023;11:50:00;10,39;10,41;10,39;10,40;122.800,00;11.800
CXSE3;05/06/2023;11:45:00;10,38;10,40;10,37;10,39;219.240,00;21.100
CXSE3;05/06/2023;11:40:00;10,38;10,39;10,37;10,38;160.861,00;15.500
CXSE3;05/06/2023;11:35:00;10,38;10,39;10,37;10,38;192.002,00;18.500
CXSE3;05/06/2023;11:30:00;10,37;10,39;10,36;10,38;178.510,00;17.200
CXSE3;05/06/2023;11:25:00;10,38;10,39;10,37;10,38;127.717,00;12.300
CXSE3;05/06/2023;11:20:00;10,38;10,40;10,36;10,39;232.505,00;22.400
CXSE3;05/06/2023;11:15:00;10,40;10,40;10,38;10,38;136.079,00;13.100
CXSE3;05/06/2023;11:10:00;10,44;10,44;10,39;10,40;294.566,00;28.300
CXSE3;05/06/2023;11:05:00;10,44;10,46;10,43;10,44;458.569,00;43.900
CXSE3;05/06/2023;11:00:00;10,45;10,46;10,43;10,44;110.728,00;10.600
CXSE3;05/06/2023;10:55:00;10,46;10,47;10,45;10,46;184.133,00;17.600
CXSE3;05/06/2023;10:50:00;10,46;10,46;10,45;10,46;76.347,00;7.300
CXSE3;05/06/2023;10:45:00;10,45;10,47;10,45;10,47;88.900,00;8.500
CXSE3;05/06/2023;10:40:00;10,45;10,45;10,45;10,45;126.445,00;12.100
CXSE3;05/06/2023;10:35:00;10,44;10,45;10,44;10,45;107.622,00;10.300
CXSE3;05/06/2023;10:30:00;10,45;10,45;10,45;10,45;169.290,00;16.200
CXSE3;05/06/2023;10:25:00;10,47;10,48;10,45;10,45;150.788,00;14.400
CXSE3;05/06/2023;10:20:00;10,46;10,48;10,45;10,48;132.761,00;12.700
CXSE3;05/06/2023;10:15:00;10,45;10,46;10,45;10,46;163.021,00;15.600
