Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
CYRE3;06/06/2023;11:20:00;19,40;19,40;19,38;19,39;158.999,00;8.200
CYRE3;06/06/2023;11:15:00;19,39;19,41;19,38;19,40;564.355,00;29.100
CYRE3;06/06/2023;11:10:00;19,39;19,40;19,36;19,39;719.109,00;37.100
CYRE3;06/06/2023;11:05:00;19,38;19,43;19,36;19,38;996.623,00;51.400
CYRE3;06/06/2023;11:00:00;19,36;19,40;19,35;19,37;1.290.436,00;66.600
CYRE3;06/06/2023;10:55:00;19,35;19,36;19,30;19,35;837.297,00;43.300
CYRE3;06/06/2023;10:50:00;19,30;19,35;19,29;19,35;1.243.863,00;64.400
CYRE3;06/06/2023;10:45:00;19,39;19,39;19,29;19,29;1.870.795,00;96.800
CYRE3;06/06/2023;10:40:00;19,37;19,40;19,35;19,39;987.959,00;51.000
CYRE3;06/06/2023;10:35:00;19,26;19,37;19,26;19,36;1.520.283,00;78.700
CYRE3;06/06/2023;10:30:00;19,20;19,32;19,19;19,27;2.297.088,00;119.300
CYRE3;06/06/2023;10:25:00;19,26;19,26;19,19;19,20;1.518.798,00;79.000
CYRE3;06/06/2023;10:20:00;19,23;19,30;19,22;19,25;735.846,00;38.200
CYRE3;06/06/2023;10:15:00;19,27;19,27;19,20;19,24;1.303.952,00;67.800
CYRE3;06/06/2023;10:10:00;19,21;19,30;19,21;19,28;2.427.264,00;126.100
CYRE3;06/06/2023;10:05:00;19,13;19,25;19,12;19,20;1.165.220,00;60.700
CYRE3;06/06/2023;10:00:00;19,13;19,22;19,11;19,13;532.563,00;27.800
CYRE3;05/06/2023;17:30:00;19,08;19,16;19,08;19,15;89.967,00;4.700
CYRE3;05/06/2023;16:50:00;19,15;19,15;19,11;19,13;7.933.204,00;414.700
CYRE3;05/06/2023;16:45:00;19,16;19,16;19,12;19,15;788.856,00;41.200
CYRE3;05/06/2023;16:40:00;19,14;19,17;19,13;19,15;599.161,00;31.300
CYRE3;05/06/2023;16:35:00;19,09;19,15;19,05;19,15;1.103.684,00;57.800
CYRE3;05/06/2023;16:30:00;19,07;19,10;19,05;19,08;1.447.388,00;75.900
CYRE3;05/06/2023;16:25:00;19,03;19,08;19,03;19,06;1.725.846,00;90.600
CYRE3;05/06/2023;16:20:00;18,99;19,05;18,97;19,04;5.667.185,00;297.900
CYRE3;05/06/2023;16:15:00;18,99;19,00;18,98;19,00;643.801,00;33.900
CYRE3;05/06/2023;16:10:00;18,98;19,01;18,98;19,00;398.924,00;21.000
CYRE3;05/06/2023;16:05:00;18,98;19,01;18,98;18,99;548.872,00;28.900
CYRE3;05/06/2023;16:00:00;19,02;19,03;18,98;18,99;657.402,00;34.600
CYRE3;05/06/2023;15:55:00;19,03;19,04;19,00;19,02;658.028,00;34.600
CYRE3;05/06/2023;15:50:00;18,97;19,03;18,95;19,03;1.211.998,00;63.800
CYRE3;05/06/2023;15:45:00;19,00;19,00;18,97;18,97;693.048,00;36.500
CYRE3;05/06/2023;15:40:00;18,98;19,03;18,98;19,00;2.178.388,00;114.600
CYRE3;05/06/2023;15:35:00;19,00;19,03;18,97;18,98;1.052.949,00;55.400
CYRE3;05/06/2023;15:30:00;19,01;19,01;18,98;19,00;364.797,00;19.200
CYRE3;05/06/2023;15:25:00;19,02;19,02;18,97;19,01;759.850,00;40.000
CYRE3;05/06/2023;15:20:00;19,00;19,02;18,99;19,01;267.975,00;14.100
CYRE3;05/06/2023;15:15:00;18,98;19,00;18,97;19,00;208.813,00;11.000
CYRE3;05/06/2023;15:10:00;18,98;18,99;18,97;18,98;301.764,00;15.900
CYRE3;05/06/2023;15:05:00;19,01;19,01;18,98;18,98;243.092,00;12.800
CYRE3;05/06/2023;15:00:00;18,99;19,06;18,99;19,02;1.658.491,00;87.200
CYRE3;05/06/2023;14:55:00;19,01;19,01;18,97;18,98;619.242,00;32.600
CYRE3;05/06/2023;14:50:00;19,04;19,04;18,98;19,01;2.362.660,00;124.300
CYRE3;05/06/2023;14:45:00;19,03;19,04;19,02;19,04;323.568,00;17.000
CYRE3;05/06/2023;14:40:00;19,03;19,04;19,01;19,03;298.686,00;15.700
CYRE3;05/06/2023;14:35:00;19,06;19,06;19,02;19,02;306.499,00;16.100
CYRE3;05/06/2023;14:30:00;19,05;19,07;19,04;19,06;184.837,00;9.700
CYRE3;05/06/2023;14:25:00;19,07;19,07;19,02;19,05;1.026.534,00;53.900
CYRE3;05/06/2023;14:20:00;19,08;19,09;19,06;19,08;318.541,00;16.700
CYRE3;05/06/2023;14:15:00;19,08;19,09;19,07;19,08;192.693,00;10.100
CYRE3;05/06/2023;14:10:00;19,10;19,12;19,07;19,09;507.800,00;26.600
CYRE3;05/06/2023;14:05:00;19,11;19,12;19,08;19,10;269.241,00;14.100
CYRE3;05/06/2023;14:00:00;19,13;19,18;19,11;19,11;874.673,00;45.700
CYRE3;05/06/2023;13:55:00;19,09;19,13;19,08;19,13;763.703,00;40.000
CYRE3;05/06/2023;13:50:00;19,18;19,18;19,08;19,08;699.946,00;36.600
CYRE3;05/06/2023;13:45:00;19,17;19,19;19,17;19,18;207.090,00;10.800
CYRE3;05/06/2023;13:40:00;19,17;19,18;19,16;19,17;306.810,00;16.000
CYRE3;05/06/2023;13:35:00;19,16;19,17;19,13;19,17;1.523.296,00;79.500
CYRE3;05/06/2023;13:30:00;19,18;19,19;19,15;19,16;300.891,00;15.700
CYRE3;05/06/2023;13:25:00;19,20;19,21;19,18;19,18;151.572,00;7.900
CYRE3;05/06/2023;13:20:00;19,15;19,21;19,14;19,20;809.411,00;42.200
CYRE3;05/06/2023;13:15:00;19,20;19,21;19,15;19,15;834.725,00;43.500
CYRE3;05/06/2023;13:10:00;19,22;19,23;19,19;19,20;278.551,00;14.500
CYRE3;05/06/2023;13:05:00;19,19;19,22;19,19;19,22;1.582.779,00;82.400
CYRE3;05/06/2023;13:00:00;19,20;19,20;19,17;19,19;690.939,00;36.000
CYRE3;05/06/2023;12:55:00;19,09;19,21;19,08;19,20;4.155.370,00;216.900
CYRE3;05/06/2023;12:50:00;19,06;19,09;19,06;19,09;686.776,00;36.000
CYRE3;05/06/2023;12:45:00;19,07;19,07;19,05;19,06;238.252,00;12.500
CYRE3;05/06/2023;12:40:00;19,04;19,07;19,03;19,06;314.307,00;16.500
CYRE3;05/06/2023;12:35:00;19,03;19,06;19,03;19,05;394.186,00;20.700
CYRE3;05/06/2023;12:30:00;19,07;19,07;19,03;19,03;205.644,00;10.800
CYRE3;05/06/2023;12:25:00;19,04;19,08;19,03;19,06;512.425,00;26.900
CYRE3;05/06/2023;12:20:00;19,08;19,08;19,05;19,05;181.153,00;9.500
CYRE3;05/06/2023;12:15:00;19,09;19,09;19,05;19,08;270.827,00;14.200
CYRE3;05/06/2023;12:10:00;19,07;19,09;19,05;19,09;175.428,00;9.200
CYRE3;05/06/2023;12:05:00;19,02;19,10;19,02;19,06;649.878,00;34.100
CYRE3;05/06/2023;12:00:00;18,98;19,02;18,98;19,02;450.278,00;23.700
CYRE3;05/06/2023;11:55:00;19,00;19,00;18,97;18,98;531.465,00;28.000
CYRE3;05/06/2023;11:50:00;18,99;19,03;18,97;19,00;1.702.816,00;89.600
CYRE3;05/06/2023;11:45:00;19,04;19,05;18,96;18,98;1.009.049,00;53.100
CYRE3;05/06/2023;11:40:00;18,93;19,04;18,93;19,03;788.955,00;41.600
CYRE3;05/06/2023;11:35:00;18,98;18,98;18,92;18,94;663.366,00;35.000
CYRE3;05/06/2023;11:30:00;18,94;19,00;18,93;18,99;254.038,00;13.400
CYRE3;05/06/2023;11:25:00;18,95;18,96;18,91;18,94;354.096,00;18.700
CYRE3;05/06/2023;11:20:00;18,92;18,98;18,91;18,96;727.759,00;38.400
CYRE3;05/06/2023;11:15:00;18,98;18,98;18,90;18,90;829.244,00;43.800
CYRE3;05/06/2023;11:10:00;18,99;19,03;18,97;18,98;267.697,00;14.100
CYRE3;05/06/2023;11:05:00;19,02;19,04;18,97;18,99;1.228.714,00;64.700
CYRE3;05/06/2023;11:00:00;19,00;19,05;19,00;19,02;519.575,00;27.300
CYRE3;05/06/2023;10:55:00;19,04;19,07;19,00;19,00;938.683,00;49.300
CYRE3;05/06/2023;10:50:00;19,09;19,09;19,02;19,05;302.797,00;15.900
CYRE3;05/06/2023;10:45:00;19,05;19,09;19,04;19,09;213.475,00;11.200
CYRE3;05/06/2023;10:40:00;19,09;19,10;19,06;19,06;112.597,00;5.900
CYRE3;05/06/2023;10:35:00;19,10;19,12;19,07;19,10;217.718,00;11.400
CYRE3;05/06/2023;10:30:00;19,05;19,09;19,03;19,09;443.803,00;23.300
CYRE3;05/06/2023;10:25:00;19,10;19,10;19,04;19,05;548.996,00;28.800
CYRE3;05/06/2023;10:20:00;19,18;19,19;19,12;19,12;358.192,00;18.700
CYRE3;05/06/2023;10:15:00;19,29;19,30;19,14;19,20;517.450,00;26.900
CYRE3;05/06/2023;10:10:00;19,23;19,30;19,20;19,30;826.337,00;42.900
CYRE3;05/06/2023;10:05:00;19,20;19,31;19,19;19,23;309.346,00;16.100
CYRE3;02/06/2023;17:30:00;19,27;19,28;19,25;19,28;61.664,00;3.200
CYRE3;02/06/2023;16:50:00;19,24;19,30;19,20;19,20;22.255.117,00;1.158.500
CYRE3;02/06/2023;16:45:00;19,28;19,29;19,21;19,24;4.391.411,00;228.100
CYRE3;02/06/2023;16:40:00;19,22;19,29;19,22;19,28;1.534.406,00;79.700
CYRE3;02/06/2023;16:35:00;19,22;19,28;19,21;19,24;2.473.423,00;128.500
CYRE3;02/06/2023;16:30:00;19,24;19,25;19,20;19,22;1.499.630,00;78.000
CYRE3;02/06/2023;16:25:00;19,18;19,24;19,18;19,24;1.544.275,00;80.400
CYRE3;02/06/2023;16:20:00;19,19;19,19;19,17;19,19;1.665.053,00;86.800
CYRE3;02/06/2023;16:15:00;19,18;19,19;19,16;19,19;991.410,00;51.700
CYRE3;02/06/2023;16:10:00;19,18;19,20;19,16;19,18;2.096.023,00;109.300
CYRE3;02/06/2023;16:05:00;19,21;19,22;19,18;19,19;882.819,00;46.000
CYRE3;02/06/2023;16:00:00;19,16;19,22;19,16;19,21;1.245.419,00;64.900
CYRE3;02/06/2023;15:55:00;19,13;19,16;19,11;19,16;1.251.191,00;65.400
CYRE3;02/06/2023;15:50:00;19,12;19,13;19,10;19,13;1.012.972,00;53.000
CYRE3;02/06/2023;15:45:00;19,12;19,15;19,09;19,11;1.478.145,00;77.300
CYRE3;02/06/2023;15:40:00;19,11;19,15;19,08;19,13;1.836.608,00;96.100
CYRE3;02/06/2023;15:35:00;19,05;19,12;19,04;19,11;2.170.220,00;113.700
CYRE3;02/06/2023;15:30:00;19,10;19,11;19,04;19,05;1.830.913,00;96.000
CYRE3;02/06/2023;15:25:00;19,08;19,11;19,07;19,11;1.185.481,00;62.100
CYRE3;02/06/2023;15:20:00;19,07;19,11;19,06;19,09;1.375.655,00;72.100
CYRE3;02/06/2023;15:15:00;19,07;19,10;19,05;19,07;3.951.204,00;207.100
CYRE3;02/06/2023;15:10:00;19,06;19,10;19,05;19,08;1.899.666,00;99.600
CYRE3;02/06/2023;15:05:00;19,03;19,07;18,99;19,06;9.380.845,00;493.100
CYRE3;02/06/2023;15:00:00;19,07;19,09;19,03;19,03;1.119.270,00;58.700
CYRE3;02/06/2023;14:55:00;19,06;19,10;19,05;19,08;1.168.820,00;61.300
CYRE3;02/06/2023;14:50:00;19,09;19,10;19,07;19,07;1.120.042,00;58.700
CYRE3;02/06/2023;14:45:00;19,06;19,10;19,05;19,09;1.090.850,00;57.200
CYRE3;02/06/2023;14:40:00;19,07;19,08;19,05;19,06;1.445.068,00;75.800
CYRE3;02/06/2023;14:35:00;19,08;19,10;19,06;19,07;2.472.704,00;129.600
CYRE3;02/06/2023;14:30:00;19,09;19,13;19,08;19,09;2.297.692,00;120.300
CYRE3;02/06/2023;14:25:00;19,12;19,12;19,07;19,08;1.181.944,00;61.900
CYRE3;02/06/2023;14:20:00;19,13;19,13;19,09;19,12;1.800.677,00;94.200
CYRE3;02/06/2023;14:15:00;19,12;19,14;19,11;19,13;684.516,00;35.800
CYRE3;02/06/2023;14:10:00;19,17;19,18;19,10;19,12;1.544.242,00;80.700
CYRE3;02/06/2023;14:05:00;19,16;19,18;19,15;19,17;680.162,00;35.500
CYRE3;02/06/2023;14:00:00;19,16;19,18;19,12;19,17;1.258.071,00;65.700
CYRE3;02/06/2023;13:55:00;19,19;19,20;19,14;19,17;1.398.864,00;73.000
CYRE3;02/06/2023;13:50:00;19,17;19,19;19,15;19,19;912.369,00;47.600
CYRE3;02/06/2023;13:45:00;19,13;19,18;19,12;19,17;880.700,00;46.000
CYRE3;02/06/2023;13:40:00;19,08;19,17;19,06;19,14;4.894.225,00;256.000
CYRE3;02/06/2023;13:35:00;19,15;19,17;19,08;19,09;5.566.363,00;291.300
