Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DASA3;06/06/2023;11:20:00;11,11;11,12;11,11;11,11;7.780,00;700
DASA3;06/06/2023;11:15:00;11,12;11,15;11,10;11,11;54.539,00;4.900
DASA3;06/06/2023;11:10:00;11,17;11,20;11,11;11,12;326.581,00;29.300
DASA3;06/06/2023;11:05:00;11,10;11,19;11,04;11,17;260.022,00;23.400
DASA3;06/06/2023;11:00:00;11,14;11,18;11,08;11,10;186.911,00;16.800
DASA3;06/06/2023;10:55:00;11,03;11,18;11,03;11,14;136.274,00;12.300
DASA3;06/06/2023;10:50:00;11,06;11,08;11,03;11,03;38.662,00;3.500
DASA3;06/06/2023;10:45:00;11,10;11,10;11,04;11,07;121.691,00;11.000
DASA3;06/06/2023;10:40:00;11,25;11,25;11,01;11,07;3.541.120,00;319.300
DASA3;06/06/2023;10:35:00;11,27;11,29;11,15;11,25;336.251,00;30.000
DASA3;06/06/2023;10:30:00;11,11;11,28;11,09;11,28;581.113,00;52.000
DASA3;06/06/2023;10:25:00;11,01;11,11;10,98;11,09;313.198,00;28.400
DASA3;06/06/2023;10:20:00;10,97;11,06;10,96;11,02;373.482,00;33.900
DASA3;06/06/2023;10:15:00;10,94;11,01;10,90;10,96;391.892,00;35.800
DASA3;06/06/2023;10:10:00;11,05;11,11;10,84;11,00;1.185.796,00;108.100
DASA3;06/06/2023;10:05:00;11,10;11,10;11,10;11,10;744.810,00;67.100
DASA3;05/06/2023;17:30:00;10,36;10,36;10,31;10,31;13.440,00;1.300
DASA3;05/06/2023;16:50:00;10,43;10,52;10,36;10,51;259.175,00;24.700
DASA3;05/06/2023;16:45:00;10,42;10,47;10,40;10,44;113.703,00;10.900
DASA3;05/06/2023;16:40:00;10,44;10,47;10,39;10,43;150.172,00;14.400
DASA3;05/06/2023;16:35:00;10,47;10,50;10,43;10,45;77.345,00;7.400
DASA3;05/06/2023;16:30:00;10,46;10,53;10,44;10,48;86.080,00;8.200
DASA3;05/06/2023;16:25:00;10,47;10,52;10,47;10,49;50.331,00;4.800
DASA3;05/06/2023;16:20:00;10,38;10,47;10,38;10,45;108.507,00;10.400
DASA3;05/06/2023;16:15:00;10,37;10,41;10,36;10,39;50.867,00;4.900
DASA3;05/06/2023;16:10:00;10,36;10,40;10,35;10,38;34.238,00;3.300
DASA3;05/06/2023;16:05:00;10,42;10,43;10,36;10,38;46.771,00;4.500
DASA3;05/06/2023;16:00:00;10,43;10,49;10,41;10,43;63.751,00;6.100
DASA3;05/06/2023;15:55:00;10,48;10,48;10,41;10,46;34.474,00;3.300
DASA3;05/06/2023;15:50:00;10,49;10,49;10,41;10,46;37.622,00;3.600
DASA3;05/06/2023;15:45:00;10,50;10,57;10,50;10,51;62.085,00;5.900
DASA3;05/06/2023;15:40:00;10,54;10,56;10,53;10,53;67.512,00;6.400
DASA3;05/06/2023;15:35:00;10,45;10,54;10,44;10,54;78.459,00;7.500
DASA3;05/06/2023;15:30:00;10,48;10,48;10,48;10,48;1.048,00;100
DASA3;05/06/2023;15:25:00;10,51;10,51;10,45;10,45;25.160,00;2.400
DASA3;05/06/2023;15:20:00;10,52;10,52;10,52;10,52;7.364,00;700
DASA3;05/06/2023;15:15:00;10,53;10,53;10,50;10,51;29.411,00;2.800
DASA3;05/06/2023;15:10:00;10,56;10,56;10,50;10,50;25.272,00;2.400
DASA3;05/06/2023;15:05:00;10,54;10,58;10,54;10,58;8.448,00;800
DASA3;05/06/2023;15:00:00;10,44;10,59;10,42;10,54;116.686,00;11.100
DASA3;05/06/2023;14:55:00;10,40;10,46;10,40;10,46;55.333,00;5.300
DASA3;05/06/2023;14:50:00;10,38;10,39;10,30;10,38;65.077,00;6.300
DASA3;05/06/2023;14:45:00;10,40;10,40;10,39;10,39;2.079,00;200
DASA3;05/06/2023;14:40:00;10,40;10,40;10,38;10,39;15.576,00;1.500
DASA3;05/06/2023;14:35:00;10,41;10,43;10,38;10,40;29.156,00;2.800
DASA3;05/06/2023;14:30:00;10,40;10,42;10,40;10,42;4.162,00;400
DASA3;05/06/2023;14:25:00;10,42;10,44;10,40;10,40;13.557,00;1.300
DASA3;05/06/2023;14:20:00;10,42;10,42;10,38;10,40;52.001,00;5.000
DASA3;05/06/2023;14:15:00;10,41;10,42;10,41;10,42;12.503,00;1.200
