Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DESK3;06/06/2023;11:05:00;10,85;10,94;10,85;10,94;15.243,00;1.400
DESK3;06/06/2023;11:00:00;10,79;10,90;10,79;10,90;23.891,00;2.200
DESK3;06/06/2023;10:50:00;10,70;10,78;10,70;10,74;87.130,00;8.100
DESK3;06/06/2023;10:25:00;10,65;10,70;10,65;10,70;3.205,00;300
DESK3;06/06/2023;10:20:00;10,47;10,47;10,47;10,47;1.047,00;100
DESK3;06/06/2023;10:15:00;10,51;10,51;10,51;10,51;2.102,00;200
DESK3;06/06/2023;10:10:00;10,60;10,61;10,60;10,60;6.362,00;600
DESK3;06/06/2023;10:05:00;10,80;10,80;10,80;10,80;1.080,00;100
DESK3;05/06/2023;16:50:00;10,55;10,55;10,51;10,51;269.098,00;25.600
DESK3;05/06/2023;16:45:00;10,60;10,60;10,52;10,52;42.239,00;4.000
DESK3;05/06/2023;16:40:00;10,61;10,61;10,54;10,54;8.464,00;800
DESK3;05/06/2023;16:35:00;10,61;10,62;10,60;10,60;5.304,00;500
DESK3;05/06/2023;16:30:00;10,61;10,62;10,57;10,60;36.070,00;3.400
DESK3;05/06/2023;16:25:00;10,61;10,67;10,60;10,60;9.559,00;900
DESK3;05/06/2023;16:20:00;10,64;10,68;10,62;10,63;20.215,00;1.900
DESK3;05/06/2023;16:15:00;10,64;10,65;10,59;10,65;3.188,00;300
DESK3;05/06/2023;16:10:00;10,57;10,57;10,57;10,57;3.171,00;300
DESK3;05/06/2023;16:05:00;10,58;10,60;10,45;10,58;93.420,00;8.900
DESK3;05/06/2023;16:00:00;10,63;10,63;10,55;10,56;18.009,00;1.700
DESK3;05/06/2023;15:55:00;10,57;10,64;10,56;10,61;12.714,00;1.200
DESK3;05/06/2023;15:50:00;10,58;10,58;10,53;10,53;17.960,00;1.700
DESK3;05/06/2023;15:45:00;10,63;10,63;10,57;10,57;4.236,00;400
DESK3;05/06/2023;15:40:00;10,57;10,62;10,51;10,58;30.657,00;2.900
DESK3;05/06/2023;15:35:00;10,61;10,61;10,57;10,58;6.356,00;600
DESK3;05/06/2023;15:30:00;10,62;10,62;10,62;10,62;1.062,00;100
DESK3;05/06/2023;15:25:00;10,57;10,62;10,54;10,56;49.757,00;4.700
DESK3;05/06/2023;15:20:00;10,55;10,55;10,53;10,53;3.162,00;300
DESK3;05/06/2023;15:15:00;10,57;10,57;10,57;10,57;1.057,00;100
DESK3;05/06/2023;15:10:00;10,57;10,57;10,51;10,51;5.270,00;500
DESK3;05/06/2023;15:05:00;10,57;10,57;10,50;10,55;6.327,00;600
DESK3;05/06/2023;15:00:00;10,59;10,59;10,58;10,59;4.234,00;400
DESK3;05/06/2023;14:55:00;10,54;10,59;10,53;10,59;4.221,00;400
DESK3;05/06/2023;14:50:00;10,55;10,55;10,54;10,54;2.109,00;200
DESK3;05/06/2023;14:45:00;10,50;10,53;10,49;10,50;19.962,00;1.900
DESK3;05/06/2023;14:40:00;10,53;10,54;10,48;10,48;51.476,00;4.900
DESK3;05/06/2023;14:35:00;10,54;10,54;10,54;10,54;1.054,00;100
DESK3;05/06/2023;14:30:00;10,53;10,53;10,45;10,51;20.987,00;2.000
DESK3;05/06/2023;14:25:00;10,54;10,54;10,52;10,52;3.158,00;300
DESK3;05/06/2023;14:20:00;10,57;10,57;10,52;10,52;12.653,00;1.200
DESK3;05/06/2023;14:15:00;10,59;10,60;10,58;10,58;4.236,00;400
DESK3;05/06/2023;14:10:00;10,58;10,59;10,57;10,58;6.348,00;600
DESK3;05/06/2023;14:05:00;10,59;10,60;10,58;10,59;4.236,00;400
DESK3;05/06/2023;14:00:00;10,63;10,63;10,58;10,59;8.492,00;800
DESK3;05/06/2023;13:55:00;10,63;10,63;10,62;10,63;6.376,00;600
DESK3;05/06/2023;13:50:00;10,63;10,63;10,63;10,63;2.126,00;200
DESK3;05/06/2023;13:45:00;10,67;10,67;10,55;10,57;28.728,00;2.700
DESK3;05/06/2023;13:40:00;10,65;10,66;10,65;10,65;8.522,00;800
DESK3;05/06/2023;13:35:00;10,66;10,66;10,61;10,64;11.711,00;1.100
DESK3;05/06/2023;13:30:00;10,67;10,67;10,67;10,67;5.335,00;500
DESK3;05/06/2023;13:20:00;10,69;10,69;10,66;10,66;6.409,00;600
DESK3;05/06/2023;13:15:00;10,63;10,70;10,63;10,68;8.523,00;800
DESK3;05/06/2023;13:10:00;10,67;10,67;10,61;10,61;6.387,00;600
DESK3;05/06/2023;13:05:00;10,67;10,69;10,61;10,61;9.604,00;900
DESK3;05/06/2023;13:00:00;10,76;10,76;10,69;10,69;4.289,00;400
DESK3;05/06/2023;12:50:00;10,62;10,78;10,62;10,75;38.650,00;3.600
DESK3;05/06/2023;12:45:00;10,64;10,64;10,64;10,64;2.128,00;200
DESK3;05/06/2023;12:40:00;10,67;10,67;10,67;10,67;3.201,00;300
DESK3;05/06/2023;12:35:00;10,65;10,69;10,59;10,68;6.391,00;600
DESK3;05/06/2023;12:30:00;10,60;10,65;10,60;10,65;8.512,00;800
DESK3;05/06/2023;12:25:00;10,65;10,65;10,56;10,56;6.349,00;600
DESK3;05/06/2023;12:20:00;10,65;10,65;10,61;10,61;3.187,00;300
DESK3;05/06/2023;12:15:00;10,66;10,66;10,58;10,65;34.052,00;3.200
DESK3;05/06/2023;12:10:00;10,49;10,70;10,49;10,70;50.856,00;4.800
DESK3;05/06/2023;12:05:00;10,46;10,48;10,46;10,48;7.330,00;700
DESK3;05/06/2023;12:00:00;10,50;10,50;10,47;10,47;6.287,00;600
DESK3;05/06/2023;11:55:00;10,50;10,50;10,50;10,50;2.100,00;200
DESK3;05/06/2023;11:50:00;10,50;10,50;10,47;10,50;6.292,00;600
DESK3;05/06/2023;11:45:00;10,49;10,49;10,46;10,49;6.291,00;600
DESK3;05/06/2023;11:40:00;10,38;10,45;10,38;10,45;13.560,00;1.300
DESK3;05/06/2023;11:35:00;10,28;10,31;10,28;10,31;49.433,00;4.800
DESK3;05/06/2023;11:30:00;10,31;10,31;10,28;10,28;2.059,00;200
DESK3;05/06/2023;11:25:00;10,28;10,28;10,28;10,28;2.056,00;200
DESK3;05/06/2023;11:20:00;10,31;10,31;10,31;10,31;1.031,00;100
DESK3;05/06/2023;11:15:00;10,33;10,33;10,29;10,30;17.517,00;1.700
DESK3;05/06/2023;11:10:00;10,32;10,36;10,32;10,36;5.166,00;500
DESK3;05/06/2023;11:05:00;10,29;10,36;10,29;10,36;3.095,00;300
DESK3;05/06/2023;11:00:00;10,29;10,29;10,29;10,29;1.029,00;100
DESK3;05/06/2023;10:55:00;10,26;10,27;10,26;10,27;2.053,00;200
DESK3;05/06/2023;10:50:00;10,25;10,25;10,25;10,25;1.025,00;100
DESK3;05/06/2023;10:45:00;10,24;10,24;10,24;10,24;20.480,00;2.000
DESK3;05/06/2023;10:40:00;10,23;10,24;10,20;10,21;10.227,00;1.000
DESK3;05/06/2023;10:35:00;10,18;10,25;10,16;10,25;7.128,00;700
DESK3;05/06/2023;10:30:00;10,25;10,25;10,21;10,21;3.067,00;300
DESK3;05/06/2023;10:25:00;10,19;10,19;10,17;10,17;3.055,00;300
DESK3;05/06/2023;10:20:00;10,40;10,42;10,25;10,42;44.544,00;4.300
DESK3;05/06/2023;10:15:00;10,17;10,28;10,17;10,28;11.242,00;1.100
DESK3;05/06/2023;10:10:00;10,00;10,00;10,00;10,00;1.000,00;100
DESK3;02/06/2023;16:50:00;10,10;10,11;9,96;9,96;194.428,00;19.500
DESK3;02/06/2023;16:45:00;10,10;10,11;10,09;10,10;13.131,00;1.300
DESK3;02/06/2023;16:35:00;10,12;10,12;10,10;10,10;17.186,00;1.700
DESK3;02/06/2023;16:30:00;10,09;10,11;10,09;10,10;21.210,00;2.100
