Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DEXP3;06/06/2023;11:15:00;9,96;9,99;9,96;9,99;4.990,00;500
DEXP3;06/06/2023;11:10:00;9,95;9,95;9,93;9,93;3.976,00;400
DEXP3;06/06/2023;11:05:00;9,93;9,98;9,93;9,93;6.961,00;700
DEXP3;06/06/2023;11:00:00;9,93;9,93;9,93;9,93;1.986,00;200
DEXP3;06/06/2023;10:55:00;9,93;9,93;9,93;9,93;993,00;100
DEXP3;06/06/2023;10:50:00;9,95;9,95;9,95;9,95;2.985,00;300
DEXP3;06/06/2023;10:40:00;9,96;9,96;9,95;9,95;2.986,00;300
DEXP3;06/06/2023;10:35:00;10,00;10,00;10,00;10,00;1.000,00;100
DEXP3;06/06/2023;10:30:00;10,02;10,02;10,01;10,02;7.013,00;700
DEXP3;06/06/2023;10:25:00;10,02;10,02;9,90;9,90;86.362,00;8.700
DEXP3;06/06/2023;10:20:00;9,99;9,99;9,99;9,99;12.987,00;1.300
DEXP3;06/06/2023;10:15:00;10,00;10,00;9,98;9,98;3.995,00;400
DEXP3;06/06/2023;10:10:00;10,00;10,00;9,99;9,99;9.999,00;1.000
DEXP3;06/06/2023;10:05:00;10,00;10,00;9,98;9,98;2.998,00;300
DEXP3;05/06/2023;17:30:00;9,94;9,94;9,89;9,90;65.352,00;6.600
DEXP3;05/06/2023;16:50:00;9,98;10,00;9,95;9,95;73.850,00;7.400
DEXP3;05/06/2023;16:45:00;9,97;9,97;9,96;9,97;5.981,00;600
DEXP3;05/06/2023;16:40:00;9,97;9,97;9,95;9,97;4.981,00;500
DEXP3;05/06/2023;16:35:00;9,97;9,99;9,94;9,95;12.970,00;1.300
DEXP3;05/06/2023;16:30:00;9,94;9,98;9,94;9,97;3.983,00;400
DEXP3;05/06/2023;16:25:00;9,95;9,98;9,94;9,96;13.931,00;1.400
DEXP3;05/06/2023;16:20:00;9,95;9,99;9,95;9,95;15.944,00;1.600
DEXP3;05/06/2023;16:15:00;9,95;9,95;9,95;9,95;1.990,00;200
DEXP3;05/06/2023;16:10:00;10,01;10,01;10,01;10,01;1.001,00;100
DEXP3;05/06/2023;16:05:00;10,01;10,01;10,01;10,01;3.003,00;300
DEXP3;05/06/2023;15:55:00;10,04;10,04;10,04;10,04;1.004,00;100
DEXP3;05/06/2023;15:45:00;10,03;10,05;10,03;10,05;6.024,00;600
DEXP3;05/06/2023;15:40:00;10,03;10,04;10,03;10,04;2.007,00;200
DEXP3;05/06/2023;15:30:00;10,01;10,01;9,99;9,99;5.002,00;500
DEXP3;05/06/2023;15:15:00;10,05;10,05;10,05;10,05;1.005,00;100
DEXP3;05/06/2023;15:05:00;10,04;10,04;10,04;10,04;5.020,00;500
DEXP3;05/06/2023;14:50:00;10,08;10,08;10,08;10,08;3.024,00;300
DEXP3;05/06/2023;14:45:00;10,08;10,08;10,08;10,08;6.048,00;600
DEXP3;05/06/2023;14:40:00;10,04;10,08;10,04;10,08;3.019,00;300
DEXP3;05/06/2023;14:30:00;10,04;10,04;10,04;10,04;1.004,00;100
DEXP3;05/06/2023;14:25:00;10,03;10,03;10,03;10,03;2.006,00;200
DEXP3;05/06/2023;14:20:00;10,03;10,03;9,95;10,01;26.994,00;2.700
DEXP3;05/06/2023;14:10:00;10,05;10,05;10,02;10,02;6.018,00;600
DEXP3;05/06/2023;14:00:00;10,10;10,10;10,10;10,10;3.030,00;300
DEXP3;05/06/2023;13:45:00;10,03;10,03;10,03;10,03;3.009,00;300
DEXP3;05/06/2023;13:35:00;10,09;10,09;10,09;10,09;1.009,00;100
DEXP3;05/06/2023;13:30:00;10,08;10,08;10,08;10,08;1.008,00;100
DEXP3;05/06/2023;13:20:00;10,06;10,06;10,02;10,02;10.042,00;1.000
DEXP3;05/06/2023;13:15:00;10,10;10,10;10,10;10,10;1.010,00;100
DEXP3;05/06/2023;13:10:00;10,09;10,10;10,09;10,10;5.048,00;500
DEXP3;05/06/2023;13:05:00;10,10;10,10;10,10;10,10;1.010,00;100
DEXP3;05/06/2023;13:00:00;10,08;10,08;10,08;10,08;2.016,00;200
DEXP3;05/06/2023;12:55:00;10,02;10,02;10,02;10,02;1.002,00;100
DEXP3;05/06/2023;12:40:00;10,05;10,06;10,02;10,02;12.048,00;1.200
DEXP3;05/06/2023;12:25:00;10,08;10,08;10,08;10,08;1.008,00;100
DEXP3;05/06/2023;12:20:00;10,08;10,08;10,08;10,08;1.008,00;100
DEXP3;05/06/2023;12:15:00;10,07;10,07;10,07;10,07;2.014,00;200
DEXP3;05/06/2023;12:10:00;10,07;10,07;10,07;10,07;1.007,00;100
DEXP3;05/06/2023;12:05:00;10,02;10,03;10,02;10,03;16.045,00;1.600
DEXP3;05/06/2023;11:55:00;10,02;10,02;10,01;10,01;2.003,00;200
DEXP3;05/06/2023;11:50:00;10,01;10,01;10,01;10,01;3.003,00;300
DEXP3;05/06/2023;11:45:00;9,98;10,01;9,98;10,01;1.999,00;200
DEXP3;05/06/2023;11:35:00;9,97;9,97;9,97;9,97;997,00;100
DEXP3;05/06/2023;11:30:00;9,96;9,96;9,92;9,92;24.856,00;2.500
DEXP3;05/06/2023;11:25:00;9,95;9,95;9,94;9,94;29.827,00;3.000
DEXP3;05/06/2023;11:20:00;9,98;9,98;9,98;9,98;3.992,00;400
DEXP3;05/06/2023;11:10:00;10,02;10,02;10,00;10,00;19.023,00;1.900
DEXP3;05/06/2023;11:00:00;9,99;10,01;9,99;10,01;8.001,00;800
DEXP3;05/06/2023;10:55:00;9,98;9,98;9,95;9,95;9.958,00;1.000
DEXP3;05/06/2023;10:50:00;10,07;10,07;9,98;9,98;29.012,00;2.900
DEXP3;05/06/2023;10:45:00;10,09;10,09;10,07;10,07;3.024,00;300
DEXP3;05/06/2023;10:40:00;10,09;10,09;10,09;10,09;2.018,00;200
DEXP3;05/06/2023;10:35:00;10,10;10,10;10,10;10,10;2.020,00;200
DEXP3;05/06/2023;10:30:00;10,10;10,10;10,10;10,10;1.010,00;100
DEXP3;05/06/2023;10:25:00;10,10;10,10;10,09;10,09;5.049,00;500
DEXP3;05/06/2023;10:20:00;10,08;10,10;10,08;10,10;5.044,00;500
DEXP3;05/06/2023;10:10:00;10,08;10,08;10,08;10,08;1.008,00;100
DEXP3;02/06/2023;17:30:00;10,10;10,10;10,10;10,10;75.750,00;7.500
DEXP3;02/06/2023;16:50:00;10,05;10,11;10,05;10,09;29.252,00;2.900
DEXP3;02/06/2023;16:45:00;10,04;10,06;10,03;10,05;8.033,00;800
DEXP3;02/06/2023;16:40:00;10,03;10,04;10,02;10,04;7.017,00;700
DEXP3;02/06/2023;16:35:00;10,08;10,08;10,00;10,00;102.185,00;10.200
DEXP3;02/06/2023;16:15:00;10,09;10,09;10,01;10,07;32.173,00;3.200
DEXP3;02/06/2023;16:10:00;10,15;10,15;10,01;10,09;64.420,00;6.400
DEXP3;02/06/2023;16:05:00;10,16;10,16;10,16;10,16;1.016,00;100
DEXP3;02/06/2023;16:00:00;10,17;10,17;10,17;10,17;3.051,00;300
