Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DI1FUT;05/06/2023;17:25:00;10,625;10,625;10,620;10,620;30.960.095,88;402
DI1FUT;05/06/2023;17:20:00;10,620;10,625;10,620;10,625;219.345.454,33;2.848
DI1FUT;05/06/2023;17:15:00;10,620;10,620;10,615;10,615;317.092.244,65;4.117
DI1FUT;05/06/2023;17:10:00;10,615;10,615;10,615;10,615;3.158.084,45;41
DI1FUT;05/06/2023;17:05:00;10,615;10,620;10,615;10,620;83.875.702,05;1.089
DI1FUT;05/06/2023;17:00:00;10,610;10,615;10,610;10,610;288.263.294,55;3.742
DI1FUT;05/06/2023;16:55:00;10,620;10,620;10,605;10,615;177.644.342,91;2.306
DI1FUT;05/06/2023;16:50:00;10,615;10,620;10,610;10,620;105.839.389,13;1.374
DI1FUT;05/06/2023;16:45:00;10,610;10,620;10,610;10,615;420.283.882,23;5.456
DI1FUT;05/06/2023;16:40:00;10,610;10,610;10,605;10,610;250.981.898,09;3.258
DI1FUT;05/06/2023;16:35:00;10,610;10,610;10,600;10,605;93.840.571,93;1.218
DI1FUT;05/06/2023;16:30:00;10,590;10,615;10,590;10,615;807.832.354,64;10.485
DI1FUT;05/06/2023;16:25:00;10,595;10,595;10,565;10,585;588.923.044,48;7.639
DI1FUT;05/06/2023;16:20:00;10,595;10,600;10,595;10,595;32.057.261,18;416
DI1FUT;05/06/2023;16:15:00;10,585;10,595;10,580;10,595;1.311.043.587,46;17.010
DI1FUT;05/06/2023;16:10:00;10,590;10,590;10,575;10,585;1.576.364.741,06;20.450
DI1FUT;05/06/2023;16:05:00;10,590;10,590;10,580;10,585;132.955.940,57;1.725
DI1FUT;05/06/2023;16:00:00;10,595;10,600;10,590;10,595;569.976.261,40;7.397
DI1FUT;05/06/2023;15:55:00;10,600;10,600;10,585;10,595;402.436.566,06;5.222
DI1FUT;05/06/2023;15:50:00;10,615;10,615;10,595;10,605;250.006.457,24;3.245
DI1FUT;05/06/2023;15:45:00;10,605;10,615;10,605;10,615;198.844.127,58;2.581
DI1FUT;05/06/2023;15:40:00;10,630;10,630;10,610;10,610;566.608.404,28;7.357
DI1FUT;05/06/2023;15:35:00;10,640;10,645;10,635;10,635;151.730.452,53;1.971
DI1FUT;05/06/2023;15:30:00;10,630;10,640;10,620;10,640;232.758.533,84;3.023
DI1FUT;05/06/2023;15:25:00;10,630;10,640;10,630;10,630;101.246.166,49;1.315
DI1FUT;05/06/2023;15:20:00;10,605;10,635;10,605;10,630;876.836.911,35;11.386
DI1FUT;05/06/2023;15:15:00;10,620;10,625;10,595;10,605;472.970.364,55;6.139
DI1FUT;05/06/2023;15:10:00;10,635;10,635;10,620;10,620;248.804.178,89;3.231
