Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DIRR3;16/06/2023;17:30:00;19,02;19,02;19,02;19,02;5.706,00;300
DIRR3;16/06/2023;16:45:00;18,97;19,02;18,95;19,02;16.016.195,00;842.200
DIRR3;16/06/2023;16:40:00;18,97;18,99;18,94;18,97;986.277,00;52.000
DIRR3;16/06/2023;16:35:00;18,97;18,99;18,95;18,97;1.011.265,00;53.300
DIRR3;16/06/2023;16:30:00;18,85;19,00;18,85;18,98;1.574.955,00;83.200
DIRR3;16/06/2023;16:25:00;18,85;18,87;18,83;18,86;301.612,00;16.000
DIRR3;16/06/2023;16:20:00;18,84;18,90;18,84;18,86;297.990,00;15.800
DIRR3;16/06/2023;16:15:00;18,85;18,86;18,83;18,85;269.498,00;14.300
DIRR3;16/06/2023;16:10:00;18,82;18,86;18,81;18,86;261.826,00;13.900
DIRR3;16/06/2023;16:05:00;18,81;18,82;18,80;18,81;188.105,00;10.000
DIRR3;16/06/2023;16:00:00;18,81;18,84;18,79;18,81;413.821,00;22.000
DIRR3;16/06/2023;15:55:00;18,81;18,82;18,80;18,80;246.400,00;13.100
DIRR3;16/06/2023;15:50:00;18,82;18,83;18,80;18,80;169.348,00;9.000
DIRR3;16/06/2023;15:45:00;18,83;18,86;18,82;18,83;250.478,00;13.300
DIRR3;16/06/2023;15:40:00;18,86;18,87;18,84;18,85;190.415,00;10.100
DIRR3;16/06/2023;15:35:00;18,88;18,89;18,86;18,86;186.894,00;9.900
DIRR3;16/06/2023;15:30:00;18,87;18,89;18,85;18,88;235.856,00;12.500
DIRR3;16/06/2023;15:25:00;18,87;18,90;18,86;18,88;305.887,00;16.200
DIRR3;16/06/2023;15:20:00;18,97;18,97;18,86;18,86;524.147,00;27.700
DIRR3;16/06/2023;15:15:00;18,98;18,98;18,96;18,97;172.620,00;9.100
DIRR3;16/06/2023;15:10:00;18,96;18,98;18,95;18,97;172.599,00;9.100
DIRR3;16/06/2023;15:05:00;18,99;18,99;18,95;18,95;225.888,00;11.900
DIRR3;16/06/2023;15:00:00;18,97;18,99;18,96;18,99;125.237,00;6.600
DIRR3;16/06/2023;14:55:00;18,98;18,98;18,96;18,98;129.008,00;6.800
DIRR3;16/06/2023;14:50:00;19,00;19,03;18,96;18,98;267.835,00;14.100
DIRR3;16/06/2023;14:45:00;19,01;19,02;18,96;19,01;660.837,00;34.800
DIRR3;16/06/2023;14:40:00;19,04;19,06;19,02;19,02;243.793,00;12.800
DIRR3;16/06/2023;14:35:00;19,04;19,06;19,02;19,04;241.789,00;12.700
DIRR3;16/06/2023;14:30:00;19,01;19,04;18,99;19,04;201.576,00;10.600
DIRR3;16/06/2023;14:25:00;18,98;19,01;18,97;19,01;182.313,00;9.600
DIRR3;16/06/2023;14:20:00;18,99;19,00;18,95;18,98;222.035,00;11.700
DIRR3;16/06/2023;14:15:00;19,00;19,03;18,98;18,99;176.702,00;9.300
DIRR3;16/06/2023;14:10:00;18,98;19,01;18,96;19,00;222.101,00;11.700
DIRR3;16/06/2023;14:05:00;18,98;19,00;18,96;18,98;256.224,00;13.500
DIRR3;16/06/2023;14:00:00;19,02;19,03;18,97;18,98;239.493,00;12.600
DIRR3;16/06/2023;13:55:00;18,99;19,03;18,99;19,02;252.933,00;13.300
DIRR3;16/06/2023;13:50:00;18,97;18,99;18,96;18,99;214.408,00;11.300
