Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
DMMO3;06/01/2023;17:50:00;1,78;1,79;1,76;1,76;4.064.545,00;2.309.300
DMMO3;06/01/2023;17:45:00;1,78;1,78;1,77;1,78;14.403,00;8.100
DMMO3;06/01/2023;17:40:00;1,77;1,78;1,77;1,78;13.699,00;7.700
DMMO3;06/01/2023;17:35:00;1,78;1,78;1,77;1,78;12.459,00;7.000
DMMO3;06/01/2023;17:30:00;1,78;1,78;1,77;1,78;5.512,00;3.100
DMMO3;06/01/2023;17:25:00;1,78;1,78;1,77;1,78;13.875,00;7.800
DMMO3;06/01/2023;17:20:00;1,78;1,78;1,77;1,78;10.834,00;6.100
DMMO3;06/01/2023;17:15:00;1,77;1,78;1,77;1,78;8.340,00;4.700
DMMO3;06/01/2023;17:10:00;1,77;1,78;1,77;1,78;8.171,00;4.600
DMMO3;06/01/2023;17:05:00;1,78;1,78;1,77;1,78;11.006,00;6.200
DMMO3;06/01/2023;17:00:00;1,77;1,78;1,77;1,77;11.904,00;6.700
DMMO3;06/01/2023;16:55:00;1,78;1,79;1,77;1,78;60.892,00;34.100
DMMO3;06/01/2023;16:50:00;1,79;1,79;1,78;1,79;9.465,00;5.300
DMMO3;06/01/2023;16:45:00;1,77;1,79;1,77;1,79;88.442,00;49.800
DMMO3;06/01/2023;16:40:00;1,77;1,78;1,76;1,78;37.517,00;21.200
DMMO3;06/01/2023;16:35:00;1,77;1,77;1,76;1,77;7.761,00;4.400
DMMO3;06/01/2023;16:30:00;1,75;1,77;1,75;1,77;39.310,00;22.300
DMMO3;06/01/2023;16:25:00;1,77;1,77;1,75;1,76;54.570,00;31.000
DMMO3;06/01/2023;16:20:00;1,78;1,78;1,76;1,76;30.806,00;17.400
DMMO3;06/01/2023;16:15:00;1,77;1,78;1,77;1,78;8.334,00;4.700
DMMO3;06/01/2023;16:10:00;1,78;1,78;1,77;1,78;13.466,00;7.600
DMMO3;06/01/2023;16:05:00;1,78;1,78;1,77;1,78;8.519,00;4.800
DMMO3;06/01/2023;16:00:00;1,77;1,78;1,77;1,78;3.376,00;1.900
DMMO3;06/01/2023;15:55:00;1,78;1,78;1,77;1,78;4.618,00;2.600
DMMO3;06/01/2023;15:50:00;1,78;1,78;1,77;1,78;8.507,00;4.800
